[S02DA03, antipyrine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Antipyrine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Paroxetine.]
[B01AC04, clopidogrel, The risk or severity of adverse effects can be increased when Clopidogrel is combined with Guanfacine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Guanfacine is combined with Diamorphine.]
[P03AC04, permethrin, Guanfacine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Guanfacine.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Phenacemide.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Guanfacine.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Guanfacine.]
[N06AA08, dibenzepin, The risk or severity of hypertension can be increased when Dibenzepin is combined with Guanfacine.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Guanfacine.]
[R05DA08, pholcodine, Guanfacine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[A03AA07, dicyclomine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C02DG01, pinacidil, Guanfacine may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, Guanfacine may increase the bradycardic activities of Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Pipamperone.]
[A03AB14, pipenzolate, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[R03CC07, pirbuterol, Pirbuterol may decrease the antihypertensive activities of Guanfacine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Guanfacine.]
[C08CA03, isradipine, The metabolism of Guanfacine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Guanfacine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Diflunisal.]
[C01AA05, digoxin, Guanfacine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Guanfacine may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Guanfacine.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Guanfacine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Guanfacine.]
[H03BC01, potassium perchlorate, Guanfacine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Guanfacine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Guanfacine.]
[V03AB09, dimercaprol, Guanfacine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Guanfacine is combined with Pridinol.]
[R06AB03, dimethindene, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, Procaterol may decrease the antihypertensive activities of Guanfacine.]
[M02AX03, dimethyl sulfoxide, Guanfacine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Guanfacine.]
[N02BB04, propyphenazone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Propyphenazone.]
[M01AB14, proglumetacin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Proglumetacin.]
[G02AD02, dinoprostone, The risk or severity of adverse effects can be increased when Dinoprostone is combined with Guanfacine.]
[R06AA02, diphenhydramine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Guanfacine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Quazepam.]
[C09AA06, quinapril, Guanfacine may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the antihypertensive activities of Guanfacine.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Guanfacine.]
[N06AA23, quinupramine, The risk or severity of hypertension can be increased when Quinupramine is combined with Guanfacine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Guanfacine.]
[C09AA05, ramipril, Guanfacine may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Guanfacine.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Guanfacine.]
[S01AX06, resorcinol, Guanfacine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Guanfacine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Guanfacine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Guanfacine.]
[N05AX08, risperidone, Guanfacine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Guanfacine.]
[A04AD12, aprepitant, The metabolism of Guanfacine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Guanfacine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Ketorolac.]
[C02KX02, ambrisentan, Guanfacine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02BA06, salsalate, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, The risk or severity of adverse effects can be increased when Salmeterol is combined with Guanfacine.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the antihypertensive activities of Guanfacine.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Dopamine.]
[N06AA16, dothiepin, The risk or severity of hypertension can be increased when Dosulepin is combined with Guanfacine.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Guanfacine.]
[N06AA12, doxepin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Guanfacine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Guanfacine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Sibutramine.]
[A12CA02, sodium sulfate, Guanfacine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Guanfacine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Guanfacine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Guanfacine.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C07AB13, talinolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Talinolol.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M01AC02, tenoxicam, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Terazosin.]
[G04BD05, terodiline, Guanfacine may increase the bradycardic activities of Terodiline.]
[C07AA16, tertatolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Tertatolol.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Guanfacine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Guanfacine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Guanfacine is combined with Thiopropazate.]
[G04BD01, emepronium, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of hypertension can be increased when Tianeptine is combined with Guanfacine.]
[C09AA02, enalapril, Guanfacine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Guanfacine.]
[N06BA09, atomoxetine, Atomoxetine may decrease the antihypertensive activities of Guanfacine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Guanfacine.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Guanfacine.]
[C09AA10, trandolapril, Guanfacine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Guanfacine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Guanfacine is combined with Triclofos.]
[A03AB08, tridihexethyl, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Guanfacine.]
[N04AA12, tropatepine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Guanfacine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Guanfacine.]
[C02CA06, urapidil, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Guanfacine is combined with Veralipride.]
[S01FB02, ephedrine, Ephedrine may decrease the antihypertensive activities of Guanfacine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Guanfacine.]
[N06AX16, venlafaxine, Venlafaxine may increase the tachycardic activities of Guanfacine.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Guanfacine.]
[S01GA03, xylometazoline, Xylometazoline may decrease the antihypertensive activities of Guanfacine.]
[C08CA12, mepirodipine, Guanfacine may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Epinephrine.]
[C09AA15, zofenopril, Guanfacine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Guanfacine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Guanfacine can be decreased when combined with Fusidic acid.]
[N07XX04, sodium oxybate, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Guanfacine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Guanfacine.]
[G02AB03, ergonovine, Ergometrine may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[N02CA02, ergotamine, The metabolism of Guanfacine can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Guanfacine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Guanfacine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Guanfacine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Guanfacine.]
[V03AF05, amifostine, Guanfacine may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N04AA05, profenamine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Guanfacine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Guanfacine.]
[M01AC06, meloxicam, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ethylmorphine.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Guanfacine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Guanfacine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Guanfacine is combined with Sertindole.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[R06AX12, terfenadine, The metabolism of Guanfacine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Guanfacine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Guanfacine is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Guanfacine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Guanfacine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C08CA02, felodipine, Guanfacine may decrease the antihypertensive activities of Felodipine.]
[C08EA01, fendiline, Guanfacine may increase the bradycardic activities of Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Guanfacine.]
[M01AE04, fenoprofen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, Fenoterol may decrease the antihypertensive activities of Guanfacine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Guanfacine.]
[R03CC02, albuterol, Salbutamol may decrease the antihypertensive activities of Guanfacine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Guanfacine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[G04BD02, flavoxate, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BG04, floctafenine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Guanfacine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Guanfacine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Guanfacine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of hypertension can be increased when Melitracen is combined with Guanfacine.]
[V03AZ01, ethanol, Ethanol may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N06AB03, fluoxetine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Guanfacine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Guanfacine.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Guanfacine is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L01BC03, tegafur, Guanfacine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Guanfacine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Guanfacine is combined with Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Guanfacine.]
[J05AE10, darunavir, The metabolism of Guanfacine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Guanfacine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Guanfacine is combined with Amisulpride.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Guanfacine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Gallamine.]
[C08DA02, gallopamil, Guanfacine may increase the bradycardic activities of Gallopamil.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Ganciclovir is combined with Guanfacine.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Guanfacine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Guanfacine is combined with Bifemelane.]
[C10AB04, gemfibrozil, Guanfacine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Guanfacine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, Cabergoline may increase the hypertensive and vasoconstricting activities of Guanfacine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Guanfacine.]
[A10BB07, glipizide, Guanfacine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Guanfacine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Glutethimide.]
[C05AE01, nitroglycerin, Guanfacine may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Doxazosin.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C07AB09, esmolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Esmolol.]
[M01CB04, aurothioglucose, Guanfacine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Guanfacine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Guanfacine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Guanfacine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Guanfacine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Guanfacine is combined with Halothane.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Guanfacine.]
[N06BX13, idebenone, Guanfacine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Guanfacine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Guanfacine is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C09CA01, losartan, Guanfacine may decrease the antihypertensive activities of Losartan.]
[G03DC01, allylestrenol, Guanfacine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Mesalazine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Guanfacine.]
[R03CC05, hexoprenaline, Hexoprenaline may decrease the antihypertensive activities of Guanfacine.]
[J05AG01, nevirapine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Guanfacine.]
[C08CA10, nilvadipine, The metabolism of Guanfacine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Nimesulide.]
[C09AA04, perindopril, Guanfacine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Guanfacine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Guanfacine can be increased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Guanfacine can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Guanfacine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[G04BD06, propiverine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Propiverine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Guanfacine is combined with Prothipendyl.]
[B05AA07, hetastarch, Guanfacine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[C02AC06, rilmenidine, Guanfacine may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Ibuprofen.]
[B05XA08, sodium acetate, Guanfacine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Guanfacine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Guanfacine.]
[N06AA02, imipramine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Guanfacine is combined with Paclitaxel.]
[R01AD07, tixocortol, Guanfacine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Guanfacine.]
[L01CE01, topotecan, Guanfacine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Guanfacine.]
[S01BC01, indomethacin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Indoramin.]
[A11HA07, inositol, Guanfacine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Guanfacine is combined with Milnacipran.]
[A03AA30, piperidolate, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Guanfacine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Articaine.]
[A10BH01, sitagliptin, Guanfacine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Guanfacine.]
