[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Labetalol.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Labetalol.]
[A07EC03, olsalazine, Olsalazine may decrease the antihypertensive activities of Labetalol.]
[N06AA01, desipramine, The metabolism of Labetalol can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Labetalol may increase the bradycardic activities of Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Labetalol.]
[V04CH02, indigo carmine, Labetalol may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C09XA02, aliskiren, Labetalol may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, Oxaprozin may decrease the antihypertensive activities of Labetalol.]
[N03AF02, oxcarbazepine, The metabolism of Labetalol can be decreased when combined with Oxcarbazepine.]
[N04AA08, dexetimide, The risk or severity of Tachycardia can be increased when Labetalol is combined with Dexetimide.]
[G04BD04, oxybutynin, The metabolism of Labetalol can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Labetalol.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia can be increased when Oxyphencyclimine is combined with Labetalol.]
[L04AB04, adalimumab, The metabolism of Labetalol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Labetalol.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Labetalol.]
[H05AA02, teriparatide, The risk or severity of adverse effects can be increased when Labetalol is combined with Teriparatide.]
[N06AB05, paroxetine, The metabolism of Labetalol can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Labetalol.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Labetalol is combined with Pentifylline.]
[P03AC04, permethrin, Labetalol may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Labetalol.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Labetalol.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Labetalol.]
[S02DA04, dibucaine, Cinchocaine may increase the bradycardic activities of Labetalol.]
[R05DA08, pholcodine, Labetalol may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the antihypertensive activities of Labetalol.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[A03AA07, dicyclomine, Labetalol may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Labetalol may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Labetalol may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of bradycardia can be increased when Pinaverium is combined with Labetalol.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Labetalol.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Labetalol is combined with Pipamperone.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia can be increased when Labetalol is combined with Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Labetalol.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Labetalol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the bradycardic activities of Labetalol.]
[A08AA03, diethylpropion, The therapeutic efficacy of Labetalol can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, The risk or severity of bradycardia can be increased when Isradipine is combined with Labetalol.]
[D07XC04, diflucortolone, Labetalol may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the antihypertensive activities of Labetalol.]
[C01AA04, digitoxin, Labetalol may increase the bradycardic activities of Digitoxin.]
[C01AA05, digoxin, Labetalol may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Labetalol may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Labetalol may increase the vasoconstricting activities of Dihydroergocristine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Labetalol can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Labetalol.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Labetalol.]
[V03AB04, pralidoxime, Labetalol may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, The risk or severity of bradycardia can be increased when Diltiazem is combined with Labetalol.]
[V03AB09, dimercaprol, Labetalol may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R06AB03, dimethindene, The risk or severity of Tachycardia can be increased when Labetalol is combined with Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Labetalol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Labetalol can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Labetalol is combined with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the antihypertensive activities of Labetalol.]
[M01AB14, proglumetacin, Proglumetacin may decrease the antihypertensive activities of Labetalol.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Labetalol is combined with Proxyphylline.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Labetalol.]
[C09AA06, quinapril, Labetalol may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the bradycardic activities of Labetalol.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Labetalol.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Labetalol.]
[A03FA02, cisapride, The metabolism of Labetalol can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Labetalol.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Labetalol.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Labetalol.]
[S01AX06, resorcinol, Labetalol may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may increase the bradycardic activities of Labetalol.]
[N07AA03, distigmine, Distigmine may increase the bradycardic activities of Labetalol.]
[S02AA12, rifamycin SV, The metabolism of Labetalol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Labetalol can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Labetalol can be increased when combined with Rifaximin.]
[N05AX08, risperidone, Labetalol may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Labetalol may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Labetalol.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Labetalol.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Labetalol can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Labetalol.]
[S01BC05, ketorolac, Ketorolac may decrease the antihypertensive activities of Labetalol.]
[C02KX02, ambrisentan, Labetalol may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Labetalol can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the antihypertensive activities of Labetalol.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Labetalol.]
[H05BA01, salmon calcitonin, The risk or severity of adverse effects can be increased when Labetalol is combined with Salmon calcitonin.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Labetalol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Labetalol.]
[C01CA04, dopamine, Dopamine may decrease the antihypertensive activities of Labetalol.]
[N06AA16, dothiepin, The metabolism of Labetalol can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Labetalol.]
[N06AA12, doxepin, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Labetalol can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of Tachycardia can be increased when Doxylamine is combined with Labetalol.]
[N06AB06, sertraline, The serum concentration of Labetalol can be increased when it is combined with Sertraline.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Labetalol.]
[N05AD08, droperidol, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[A08AA10, sibutramine, The serum concentration of Labetalol can be increased when it is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Labetalol.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Labetalol.]
[A12CA02, sodium sulfate, Labetalol may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Labetalol may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Labetalol is combined with Dyphylline.]
[N02CC01, sumatriptan, Sumatriptan may decrease the antihypertensive activities of Labetalol.]
[V04CX07, edrophonium, Edrophonium may increase the bradycardic activities of Labetalol.]
[C07AB13, talinolol, Talinolol may increase the orthostatic hypotensive activities of Labetalol.]
[L01AX03, temozolomide, Labetalol may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the antihypertensive activities of Labetalol.]
[G04CA03, terazosin, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Labetalol can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of bradycardia can be increased when Terodiline is combined with Labetalol.]
[C07AA16, tertatolol, Tertatolol may increase the orthostatic hypotensive activities of Labetalol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Labetalol.]
[G04BD01, emepronium, The risk or severity of Tachycardia can be increased when Labetalol is combined with Emepronium.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Labetalol.]
[C09AA02, enalapril, Enalapril may increase the hypotensive activities of Labetalol.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the antihypertensive activities of Labetalol.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Labetalol.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Labetalol.]
[N03AX11, topiramate, The metabolism of Labetalol can be decreased when combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Labetalol.]
[C09AA10, trandolapril, Trandolapril may increase the hypotensive activities of Labetalol.]
[N05CC01, chloral hydrate, Labetalol may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia can be increased when Tridihexethyl is combined with Labetalol.]
[G03GA05, follitropin alfa, The risk or severity of adverse effects can be increased when Labetalol is combined with Follitropin.]
[N04AA12, tropatepine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Tropatepine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Labetalol.]
[N01AB04, enflurane, Enflurane may increase the cardiodepressant activities of Labetalol.]
[C02CA06, urapidil, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Urapidil.]
[L01CA04, vinorelbine, The metabolism of Labetalol can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Labetalol can be increased when used in combination with Ephedrine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Labetalol.]
[N06AX16, venlafaxine, The metabolism of Labetalol can be decreased when combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Labetalol.]
[S01GA03, xylometazoline, The risk or severity of bradycardia can be increased when Xylometazoline is combined with Labetalol.]
[C08CA12, mepirodipine, Labetalol may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Labetalol can be increased when used in combination with Epinephrine.]
[C09AA15, zofenopril, Labetalol may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Labetalol can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the antihypertensive activities of Labetalol.]
[N03AX15, zonisamide, The risk or severity of bradycardia can be increased when Zonisamide is combined with Labetalol.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Labetalol.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Labetalol.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Labetalol.]
[C01BG01, moricizine, The serum concentration of Labetalol can be increased when it is combined with Moricizine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Labetalol.]
[C04AE01, ergoloid mesylates, USP, Labetalol may increase the vasoconstricting activities of Ergoloid mesylate.]
[N02CA02, ergotamine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Ergotamine.]
[N03AG01, valproic acid, The metabolism of Labetalol can be decreased when combined with Valproic acid.]
[L03AX05, pidotimod, Labetalol may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Labetalol may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, The metabolism of Labetalol can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Labetalol can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Labetalol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Labetalol can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Labetalol.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C01CA15, gepefrine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Gepefrine.]
[L02AA03, ethinyl estradiol, The metabolism of Labetalol can be increased when combined with Ethinylestradiol.]
[V03AF05, amifostine, Labetalol may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04AA05, profenamine, Profenamine may increase the bradycardic activities of Labetalol.]
[N03AD01, ethosuximide, The risk or severity of bradycardia can be increased when Ethosuximide is combined with Labetalol.]
[M01AC06, meloxicam, Meloxicam may decrease the antihypertensive activities of Labetalol.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Labetalol.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Labetalol.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Labetalol.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Labetalol.]
[L04AD02, tacrolimus, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Tacrolimus.]
[A02BA04, nizatidine, Nizatidine may increase the bradycardic activities of Labetalol.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Labetalol.]
[R06AX12, terfenadine, The metabolism of Labetalol can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Labetalol may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Labetalol can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Labetalol can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Labetalol.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, The metabolism of Labetalol can be decreased when combined with Sodium aurothiomalate.]
[A05AA01, chenodeoxycholic acid, The metabolism of Labetalol can be decreased when combined with Chenodeoxycholic acid.]
[B05AA05, dextran, Labetalol may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Labetalol can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of bradycardia can be increased when Felodipine is combined with Labetalol.]
[C08EA01, fendiline, The risk or severity of bradycardia can be increased when Fendiline is combined with Labetalol.]
[N03AX26, fenfluramine, The metabolism of Labetalol can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the antihypertensive activities of Labetalol.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Labetalol.]
[N02AB03, fentanyl, Fentanyl may decrease the antihypertensive activities of Labetalol.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Labetalol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Labetalol is combined with Clofarabine.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Labetalol is combined with Cevimeline.]
[G04BD02, flavoxate, Labetalol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Labetalol.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Labetalol is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Labetalol can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Labetalol may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Labetalol may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of bradycardia can be increased when Flunarizine is combined with Labetalol.]
[N05CD03, flunitrazepam, The metabolism of Labetalol can be decreased when combined with Flunitrazepam.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Labetalol.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Labetalol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N06AB03, fluoxetine, The serum concentration of Labetalol can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Flupentixol.]
[N05AB02, fluphenazine, The serum concentration of Labetalol can be increased when it is combined with Fluphenazine.]
[N05CD01, flurazepam, Labetalol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the antihypertensive activities of Labetalol.]
[N05AG01, fluspirilene, The risk or severity of bradycardia can be increased when Fluspirilene is combined with Labetalol.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[S02AA17, fosfomycin, Labetalol may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L01BC03, tegafur, Labetalol may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Labetalol.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Labetalol.]
[J05AE10, darunavir, The metabolism of Labetalol can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Labetalol.]
[C08DA02, gallopamil, The risk or severity of bradycardia can be increased when Gallopamil is combined with Labetalol.]
[S01AD09, ganciclovir, Labetalol may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Labetalol.]
[C10AB04, gemfibrozil, The metabolism of Labetalol can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Labetalol may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, Labetalol may increase the vasoconstricting activities of Cabergoline.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Labetalol is combined with Cafedrine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Labetalol.]
[J05AG04, etravirine, The metabolism of Labetalol can be decreased when combined with Etravirine.]
[A12AA13, calcium citrate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium citrate.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium lactate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, The risk or severity of bradycardia can be increased when Methsuximide is combined with Labetalol.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Labetalol.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Labetalol.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Labetalol.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Labetalol.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Labetalol.]
[H04AA01, glucagon, The therapeutic efficacy of Labetalol can be decreased when used in combination with Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Labetalol.]
[C05AE01, nitroglycerin, Labetalol may increase the hypotensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Doxazosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Labetalol.]
[L01EX02, sorafenib, The metabolism of Labetalol can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the orthostatic hypotensive activities of Labetalol.]
[M01CB04, aurothioglucose, Labetalol may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Labetalol may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may increase the hypotensive activities of Labetalol.]
[S01EX01, guanethidine, Guanethidine may increase the hypotensive activities of Labetalol.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Labetalol can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Labetalol can be increased when it is combined with Haloperidol.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Labetalol.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Labetalol.]
[N06BX13, idebenone, Labetalol may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Labetalol.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Labetalol can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Heparin.]
[G03DC01, allylestrenol, Labetalol may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the antihypertensive activities of Labetalol.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Labetalol.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Labetalol.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Labetalol.]
[C08CA10, nilvadipine, The risk or severity of bradycardia can be increased when Nilvadipine is combined with Labetalol.]
[M02AA26, nimesulide, Nimesulide may decrease the antihypertensive activities of Labetalol.]
[C09AA04, perindopril, Labetalol may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Labetalol may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Labetalol can be increased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Labetalol.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Labetalol can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Labetalol.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Labetalol.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[G04BD06, propiverine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Labetalol.]
[B05AA07, hetastarch, Labetalol may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The metabolism of Labetalol can be decreased when combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Labetalol can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Labetalol.]
[R02AX02, ibuprofen, Ibuprofen may decrease the antihypertensive activities of Labetalol.]
[B05XA08, sodium acetate, Labetalol may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Labetalol.]
[L01AA06, ifosfamide, Labetalol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Labetalol.]
[N06AA02, imipramine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
