[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Epinephrine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Epinephrine.]
[D07AC08, fluocinonide, The risk or severity of hypokalemia can be increased when Fluocinonide is combined with Epinephrine.]
[N06AA14, melitracen, Melitracen may increase the vasopressor activities of Epinephrine.]
[H02AB03, fluocortolone, The risk or severity of hypokalemia can be increased when Fluocortolone is combined with Epinephrine.]
[S01CB05, fluorometholone, The risk or severity of hypokalemia can be increased when Fluorometholone is combined with Epinephrine.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Epinephrine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Flupentixol.]
[N05CD01, flurazepam, The serum concentration of Epinephrine can be increased when it is combined with Flurazepam.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Epinephrine.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Epinephrine is combined with Adrafinil.]
[G01AX06, furazolidone, Furazolidone may increase the hypertensive activities of Epinephrine.]
[C03CA01, furosemide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Furosemide.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Epinephrine.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Ganciclovir is combined with Epinephrine.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Epinephrine.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Epinephrine.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Cafedrine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Epinephrine.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Epinephrine.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Epinephrine is combined with Alfentanil.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Epinephrine.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Epinephrine.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Epinephrine.]
[N05CM18, dexmedetomidine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Epinephrine.]
[C05AE01, nitroglycerin, Epinephrine may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Epinephrine.]
[C02CA04, doxazosin, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Doxazosin.]
[H01AB01, thyrotropin alfa, The risk or severity of adverse effects can be increased when Epinephrine is combined with Thyrotropin alfa.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Epinephrine.]
[C07AB09, esmolol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Esmolol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Epinephrine.]
[C09AA09, fosinopril, Epinephrine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Epinephrine may decrease the antihypertensive activities of Guanethidine.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Epinephrine.]
[N01AB01, halothane, Halothane may increase the arrhythmogenic activities of Epinephrine.]
[N05AH04, quetiapine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Epinephrine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Epinephrine.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Epinephrine.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Epinephrine.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Epinephrine.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Epinephrine.]
[R03CC05, hexoprenaline, The risk or severity of adverse effects can be increased when Epinephrine is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Epinephrine.]
[C08CA10, nilvadipine, Epinephrine may decrease the antihypertensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Epinephrine is combined with Nimesulide.]
[R06AE06, oxatomide, The therapeutic efficacy of Epinephrine can be increased when used in combination with Oxatomide.]
[C09AA04, perindopril, Epinephrine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Epinephrine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hypokalemia can be increased when Hydrocortisone is combined with Epinephrine.]
[C03AA02, hydroflumethiazide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Hydroflumethiazide.]
[A12BA02, potassium citrate, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Potassium citrate.]
[G04BD06, propiverine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Propiverine.]
[C02AC06, rilmenidine, Epinephrine may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Epinephrine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Epinephrine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Epinephrine.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Epinephrine is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the vasopressor activities of Epinephrine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Epinephrine.]
[R01AD07, tixocortol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Epinephrine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Epinephrine.]
[C03BA11, indapamide, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Indapamide.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Epinephrine.]
[C02CA02, indoramin, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Indoramin.]
[N06AX17, milnacipran, Milnacipran may increase the tachycardic activities of Epinephrine.]
[A03AA30, piperidolate, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Piperidolate.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Epinephrine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Epinephrine.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Epinephrine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Epinephrine.]
[R06AE01, buclizine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Buclizine.]
[G02CX01, atosiban, The risk or severity of adverse effects can be increased when Epinephrine is combined with Atosiban.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Epinephrine.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Epinephrine.]
[C07AA01, alprenolol, Alprenolol may decrease the bronchodilatory activities of Epinephrine.]
[C03BA02, quinethazone, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Quinethazone.]
[N06AA13, iprindole, Iprindole may increase the vasopressor activities of Epinephrine.]
[N06AF05, iproniazid, Iproniazid may increase the hypertensive activities of Epinephrine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypertensive activities of Epinephrine.]
[R03CC06, isoetharine, The risk or severity of adverse effects can be increased when Isoetharine is combined with Epinephrine.]
[C09AA16, imidapril, Epinephrine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the arrhythmogenic activities of Epinephrine.]
[N04BX02, entacapone, The metabolism of Epinephrine can be decreased when combined with Entacapone.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be increased when used in combination with Epinephrine.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Epinephrine.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be increased when used in combination with Epinephrine.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Epinephrine.]
[C02KD01, ketanserin, Epinephrine may decrease the antihypertensive activities of Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Epinephrine.]
[N05AH03, olanzapine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Epinephrine is combined with Ketoprofen.]
[R06AX25, mizolastine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Mizolastine.]
[S01GX08, ketotifen, The therapeutic efficacy of Epinephrine can be increased when used in combination with Ketotifen.]
[C01CA22, arbutamine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Arbutamine.]
[N04BC09, rotigotine, The risk or severity of hypertension can be increased when Epinephrine is combined with Rotigotine.]
[C07AG01, labetalol, The therapeutic efficacy of Labetalol can be increased when used in combination with Epinephrine.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Epinephrine.]
[C02AA05, deserpidine, Epinephrine may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Epinephrine.]
[C03CC01, ethacrynic acid, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Etacrynic acid.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Epinephrine.]
[C03DB01, amiloride, The serum concentration of Epinephrine can be increased when it is combined with Amiloride.]
[N02CA07, lisuride, Lisuride may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[N06AA07, lofepramine, Lofepramine may increase the vasopressor activities of Epinephrine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Epinephrine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Epinephrine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Epinephrine.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Epinephrine.]
[V04CX04, mannitol, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Mannitol.]
[N06AA21, maprotiline, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Epinephrine.]
[C02BB01, mecamylamine, Epinephrine may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Epinephrine is combined with Meclofenamic acid.]
[C01AA08, medigoxin, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Metildigoxin.]
[C03BA05, mefruside, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Mefruside.]
[N06DX01, memantine, The serum concentration of Memantine can be increased when it is combined with Epinephrine.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Epinephrine.]
[C01CA11, mephentermine, The therapeutic efficacy of Mephentermine can be increased when used in combination with Epinephrine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Epinephrine.]
[C03BC01, mersalyl, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Mersalyl.]
[N05AX13, paliperidone, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be increased when used in combination with Epinephrine.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Epinephrine.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Epinephrine.]
[N06BA03, methamphetamine, The therapeutic efficacy of Metamfetamine can be increased when used in combination with Epinephrine.]
[A03AB07, methantheline, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Methantheline.]
[R06AC05, methapyrilene, The therapeutic efficacy of Epinephrine can be increased when used in combination with Methapyrilene.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Epinephrine.]
[S01EC05, methazolamide, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Methazolamide.]
[G02CB05, metergoline, Metergoline may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Epinephrine is combined with Methimazole.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Epinephrine.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be increased when used in combination with Epinephrine.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the arrhythmogenic activities of Epinephrine.]
[C03AA08, methyclothiazide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Methyclothiazide.]
[C02AB01, methyldopa, Epinephrine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the hypertensive activities of Epinephrine.]
[G02AB01, methylergonovine, Methylergometrine may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Epinephrine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Epinephrine.]
[H02AB04, methylprednisolone, The risk or severity of hypokalemia can be increased when Methylprednisolone is combined with Epinephrine.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hypokalemia can be increased when Methylprednisolone aceponate is combined with Epinephrine.]
[N02CA04, methysergide, Methysergide may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[C03BA08, metolazone, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Metoprolol.]
[N06AX03, mianserin, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Mianserin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Epinephrine.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Epinephrine.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be increased when used in combination with Epinephrine.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be decreased when used in combination with Epinephrine.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Epinephrine.]
[D11AX01, minoxidil, Epinephrine may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Lisdexamfetamine can be increased when used in combination with Epinephrine.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Epinephrine.]
[N06AA09, amitriptyline, Amitriptyline may increase the vasopressor activities of Epinephrine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Epinephrine.]
[G04CA04, silodosin, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Silodosin.]
[N06AA17, amoxapine, Amoxapine may increase the vasopressor activities of Epinephrine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Epinephrine.]
[C07AA12, nadolol, Nadolol may decrease the bronchodilatory activities of Epinephrine.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be increased when used in combination with Epinephrine.]
[N06BA01, amphetamine, The therapeutic efficacy of Amphetamine can be increased when used in combination with Epinephrine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Epinephrine.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Epinephrine.]
[N06AX21, duloxetine, Duloxetine may increase the tachycardic activities of Epinephrine.]
[N04BX01, tolcapone, The metabolism of Epinephrine can be decreased when combined with Tolcapone.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Epinephrine.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Epinephrine is combined with Remifentanil.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Epinephrine.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Epinephrine.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the tachycardic activities of Epinephrine.]
[C09CA07, telmisartan, Epinephrine may decrease the antihypertensive activities of Telmisartan.]
[N06AF02, nialamide, Nialamide may increase the hypertensive activities of Epinephrine.]
[C08CA04, nicardipine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Epinephrine.]
[N07BA01, nicotine, The serum concentration of Epinephrine can be increased when it is combined with Nicotine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Epinephrine is combined with Niflumic acid.]
[C08CA06, nimodipine, Epinephrine may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Epinephrine may decrease the antihypertensive activities of Nisoldipine.]
[C08CA08, nitrendipine, Epinephrine may decrease the antihypertensive activities of Nitrendipine.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Epinephrine.]
[C02DD01, nitroprusside, Epinephrine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the arrhythmogenic activities of Epinephrine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Norepinephrine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Epinephrine.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Epinephrine.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Epinephrine.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be increased when used in combination with Epinephrine.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Epinephrine.]
[N06AA05, opipramol, Opipramol may increase the vasopressor activities of Epinephrine.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be increased when used in combination with Epinephrine.]
[G04CA02, tamsulosin, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Tamsulosin.]
[C01AC01, ouabain, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Ouabain.]
[C07AA02, oxprenolol, Oxprenolol may decrease the bronchodilatory activities of Epinephrine.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Epinephrine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The absorption of Epinephrine can be decreased when combined with Oxymetazoline.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Epinephrine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia can be increased when Oxyphenonium is combined with Epinephrine.]
[H01BB02, oxytocin, The risk or severity of hypertension can be increased when Epinephrine is combined with Oxytocin.]
[V04CH30, 4-aminohippuric acid, The serum concentration of Epinephrine can be increased when it is combined with Aminohippuric acid.]
[N05AH05, asenapine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Asenapine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Epinephrine.]
[H02AB05, paramethasone, The risk or severity of hypokalemia can be increased when Paramethasone is combined with Epinephrine.]
[C02KC01, pargyline, Pargyline may increase the hypertensive activities of Epinephrine.]
[G04BD11, fesoterodine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may decrease the bronchodilatory activities of Epinephrine.]
[C04AD03, pentoxifylline, The risk or severity of adverse effects can be increased when Epinephrine is combined with Pentoxifylline.]
[N04BC02, pergolide, Pergolide may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Epinephrine.]
[N06AF03, phenelzine, Phenelzine may increase the hypertensive activities of Epinephrine.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Epinephrine.]
[R06AB05, pheniramine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Epinephrine.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Epinephrine.]
[A08AA01, phentermine, The therapeutic efficacy of Phentermine can be increased when used in combination with Epinephrine.]
[V03AB36, phentolamine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Epinephrine.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be increased when used in combination with Epinephrine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be increased when used in combination with Epinephrine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Epinephrine.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Epinephrine.]
[C08CX01, mibefradil, Epinephrine may decrease the antihypertensive activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Epinephrine.]
[C07AA03, pindolol, Pindolol may decrease the bronchodilatory activities of Epinephrine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Epinephrine.]
[J05AE01, saquinavir, The risk or severity of adverse effects can be increased when Saquinavir is combined with Epinephrine.]
[C09CA02, eprosartan, Epinephrine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Pirenzepine.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Epinephrine.]
[J01MA11, grepafloxacin, The serum concentration of Epinephrine can be increased when it is combined with Grepafloxacin.]
[N02CX01, pizotyline, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Pizotifen.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Epinephrine.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Epinephrine.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Epinephrine.]
[C03AA05, polythiazide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Polythiazide.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Epinephrine.]
[V03AB21, potassium iodide, The risk or severity of adverse effects can be increased when Epinephrine is combined with Potassium Iodide.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Epinephrine.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Epinephrine.]
[C07AB01, practolol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Practolol.]
[C02CA01, prazosin, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Prazosin.]
[S03BA02, prednisolone, The risk or severity of hypokalemia can be increased when Prednisolone is combined with Epinephrine.]
[H02AB07, prednisone, The risk or severity of hypokalemia can be increased when Prednisone is combined with Epinephrine.]
[R06AX05, antazoline, The therapeutic efficacy of Epinephrine can be increased when used in combination with Antazoline.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Epinephrine.]
[M04AB01, probenecid, The serum concentration of Epinephrine can be increased when it is combined with Probenecid.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Epinephrine.]
[S01HA05, procaine, Procaine may increase the hypertensive activities of Epinephrine.]
[L01XB01, procarbazine, Procarbazine may increase the hypertensive activities of Epinephrine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Epinephrine.]
[N04AA04, procyclidine, The risk or severity of Tachycardia can be increased when Procyclidine is combined with Epinephrine.]
[G03DA04, progesterone, The serum concentration of Epinephrine can be increased when it is combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, Promethazine may decrease the vasoconstricting activities of Epinephrine.]
[C01BC03, propafenone, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Propafenone.]
[A03AB05, propantheline, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Propantheline.]
[R06AX26, fexofenadine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Fexofenadine.]
[N05AC01, periciazine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Periciazine.]
[N05CM06, propiomazine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Epinephrine.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Epinephrine.]
[C07AA05, propranolol, Propranolol may decrease the bronchodilatory activities of Epinephrine.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Epinephrine is combined with Propylthiouracil.]
[C01AB01, proscillaridin, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Proscillaridin.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Epinephrine is combined with Rizatriptan.]
[B01AC09, epoprostenol, Epinephrine may decrease the antihypertensive activities of Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Epinephrine.]
[N06AA11, protriptyline, Protriptyline may increase the vasopressor activities of Epinephrine.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Pseudoephedrine can be increased when used in combination with Epinephrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Epinephrine.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Epinephrine.]
[A03AB15, diphemanil, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Methscopolamine.]
[R06AC01, pyrilamine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Mepyramine.]
[P01AX05, quinacrine, The serum concentration of Epinephrine can be increased when it is combined with Quinacrine.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Epinephrine.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Epinephrine.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Epinephrine.]
[C02AA01, rescinnamine, Epinephrine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The serum concentration of Reserpine can be increased when it is combined with Epinephrine.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Epinephrine is combined with Rimiterol.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be increased when used in combination with Epinephrine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Epinephrine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Epinephrine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Epinephrine.]
[S01FA02, scopolamine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Scopolamine.]
[N04BD01, selegiline, Selegiline may increase the hypertensive activities of Epinephrine.]
[C07AA07, sotalol, Sotalol may decrease the bronchodilatory activities of Epinephrine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Epinephrine.]
[C03DA01, spironolactone, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Spironolactone.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Epinephrine.]
