[S02DA03, antipyrine, The protein binding of Glimepiride can be decreased when combined with Antipyrine.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Glimepiride.]
[S01EC05, methazolamide, The therapeutic efficacy of Glimepiride can be increased when used in combination with Methazolamide.]
[H03BB02, methimazole, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Methimazole.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Glimepiride.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Methotrimeprazine.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Glimepiride.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Methyclothiazide.]
[V04CG05, methylene blue, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Glimepiride.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Glimepiride.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Glimepiride.]
[C03BA08, metolazone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Glimepiride can be decreased when combined with Metronidazole.]
[S02AA13, miconazole, The serum concentration of Glimepiride can be increased when it is combined with Miconazole.]
[N02BB03, aminopyrine, The protein binding of Glimepiride can be decreased when combined with Aminophenazone.]
[G03XB01, mifepristone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Mifepristone.]
[C09CA03, valsartan, The metabolism of Glimepiride can be decreased when combined with Valsartan.]
[C01BD01, amiodarone, The metabolism of Glimepiride can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Glimepiride.]
[L04AB05, certolizumab pegol, The metabolism of Glimepiride can be increased when combined with Certolizumab pegol.]
[P01BA06, amodiaquine, The metabolism of Glimepiride can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Glimepiride.]
[N03AB05, fosphenytoin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Fosphenytoin.]
[C07AA12, nadolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Nadolol.]
[L04AC03, anakinra, The metabolism of Glimepiride can be increased when combined with Anakinra.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Glimepiride.]
[M02AA12, naproxen, The protein binding of Glimepiride can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The therapeutic efficacy of Glimepiride can be increased when used in combination with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Glimepiride.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Repaglinide.]
[N05AX14, iloperidone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Glimepiride.]
[C09CA07, telmisartan, Glimepiride may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[C10AD02, niacin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypoglycemic activities of Glimepiride.]
[C08CA04, nicardipine, The metabolism of Glimepiride can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Glimepiride.]
[C08CA05, nifedipine, Glimepiride may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, The protein binding of Glimepiride can be decreased when combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Glimepiride.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Glimepiride.]
[C08CA08, nitrendipine, Glimepiride may decrease the excretion rate of Nitrendipine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Glimepiride may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[G03DC02, norethindrone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Norfloxacin.]
[G03AC07, norgestrienone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Norgestrienone.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Glimepiride.]
[R05DA07, noscapine, The metabolism of Glimepiride can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Glimepiride.]
[H01CB02, octreotide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Glimepiride can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Glimepiride.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Glimepiride.]
[G04CA02, tamsulosin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Tamsulosin.]
[A14AA08, oxandrolone, The metabolism of Glimepiride can be decreased when combined with Oxandrolone.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Glimepiride can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Glimepiride.]
[S01BC02, oxyphenbutazone, The protein binding of Glimepiride can be decreased when combined with Oxyphenbutazone.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Glimepiride.]
[N05AH05, asenapine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Asenapine.]
[G03DB06, chlormadinone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Chlormadinone.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Glimepiride.]
[C02KC01, pargyline, Pargyline may increase the hypoglycemic activities of Glimepiride.]
[J01MA03, pefloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Pefloxacin.]
[C07AA23, penbutolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Glimepiride.]
[N05AB10, perazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Perazine.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Glimepiride.]
[N05AB03, perphenazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Glimepiride.]
[N06AF03, phenelzine, Phenelzine may increase the hypoglycemic activities of Glimepiride.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Phenformin.]
[B01AA02, phenindione, Glimepiride may increase the anticoagulant activities of Phenindione.]
[N03AA02, phenobarbital, Phenobarbital may increase the excretion rate of Glimepiride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Glimepiride can be increased when used in combination with Phenprocoumon.]
[A08AA01, phentermine, The therapeutic efficacy of Glimepiride can be increased when used in combination with Phentermine.]
[M02AA01, phenylbutazone, The protein binding of Glimepiride can be decreased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Phenytoin.]
[L04AB06, golimumab, The metabolism of Glimepiride can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Glimepiride.]
[C07AA03, pindolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Pindolol.]
[C10AA05, atorvastatin, Glimepiride may decrease the excretion rate of Atorvastatin which could result in a higher serum level.]
[J05AE01, saquinavir, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Pipotiazine.]
[S01BC06, piroxicam, The protein binding of Glimepiride can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Glimepiride can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Glimepiride.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Glimepiride.]
[L04AC08, canakinumab, The metabolism of Glimepiride can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Ritonavir.]
[A10BH03, saxagliptin, Saxagliptin may increase the hypoglycemic activities of Glimepiride.]
[V03AB21, potassium iodide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Potassium Iodide.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Insulin lispro.]
[C10AA08, pitavastatin, Glimepiride may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Practolol.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Glimepiride.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Glimepiride.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Glimepiride.]
[N03AA03, primidone, The metabolism of Primidone can be decreased when combined with Glimepiride.]
[M04AB01, probenecid, The protein binding of Glimepiride can be decreased when combined with Probenecid.]
[S01HA05, procaine, Procaine may increase the hypoglycemic activities of Glimepiride.]
[L01XB01, procarbazine, Procarbazine may increase the hypoglycemic activities of Glimepiride.]
[C10AB05, fenofibrate, The risk or severity of hypoglycemia can be increased when Fenofibrate is combined with Glimepiride.]
[N05AB04, prochlorperazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Prochlorperazine.]
[G03DA04, progesterone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Promethazine.]
[C01BC03, propafenone, The therapeutic efficacy of Glimepiride can be increased when used in combination with Propafenone.]
[N05AC01, periciazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Periciazine.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Glimepiride.]
[C07AA05, propranolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Propranolol.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Propylthiouracil.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Glimepiride.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Glimepiride.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Aripiprazole.]
[C01BA01, quinidine, Quinidine may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Quinine.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Glimepiride.]
[A02BA02, ranitidine, The serum concentration of Glimepiride can be increased when it is combined with Ranitidine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Glimepiride can be decreased when it is combined with Rifampicin.]
[N02BA05, salicylamide, The protein binding of Glimepiride can be decreased when combined with Salicylamide.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Glimepiride.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Glimepiride.]
[N04BD01, selegiline, Selegiline may increase the hypoglycemic activities of Glimepiride.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Glimepiride.]
[C03DA01, spironolactone, Glimepiride may decrease the excretion rate of Spironolactone which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Glimepiride can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Glimepiride.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
