[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Imatinib.]
[L04AB04, adalimumab, The metabolism of Imatinib can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The serum concentration of Gefitinib can be increased when it is combined with Imatinib.]
[N06BA02, dextroamphetamine, The serum concentration of Amphetamine can be increased when it is combined with Imatinib.]
[R05DA09, dextromethorphan, The serum concentration of Dextromethorphan can be increased when it is combined with Imatinib.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Imatinib.]
[H05AA02, teriparatide, The therapeutic efficacy of Teriparatide can be decreased when used in combination with Imatinib.]
[N06AB05, paroxetine, The serum concentration of Paroxetine can be increased when it is combined with Imatinib.]
[B01AC04, clopidogrel, The metabolism of Imatinib can be decreased when combined with Clopidogrel.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Imatinib.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Imatinib.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Imatinib.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Imatinib.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Imatinib.]
[A10BG03, pioglitazone, The metabolism of Imatinib can be decreased when combined with Pioglitazone.]
[L01DC04, ixabepilone, The serum concentration of Ixabepilone can be increased when it is combined with Imatinib.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be increased when it is combined with Imatinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Imatinib is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[C08CA03, isradipine, The serum concentration of Isradipine can be increased when it is combined with Imatinib.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Imatinib is combined with Difluocortolone.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Imatinib.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Imatinib.]
[C02DB01, dihydralazine, The metabolism of Imatinib can be decreased when combined with Dihydralazine.]
[C10AX09, ezetimibe, Imatinib may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[L01XX24, pegaspargase, The risk or severity of liver damage can be increased when Pegaspargase is combined with Imatinib.]
[C04AE04, dihydroergocristine, Imatinib may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The serum concentration of Dihydroergotamine can be increased when it is combined with Imatinib.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Imatinib.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Imatinib.]
[J05AE08, atazanavir, The serum concentration of Imatinib can be increased when it is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Imatinib.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Potassium perchlorate can be decreased when used in combination with Imatinib.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Pramocaine.]
[C08DB01, diltiazem, The serum concentration of Diltiazem can be increased when it is combined with Imatinib.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Imatinib.]
[M02AX03, dimethyl sulfoxide, The metabolism of Imatinib can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Imatinib.]
[G02AD02, dinoprostone, The risk or severity of adverse effects can be increased when Dinoprostone is combined with Imatinib.]
[C05CA03, diosmin, The metabolism of Imatinib can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Imatinib.]
[R06AA02, diphenhydramine, The serum concentration of Diphenhydramine can be increased when it is combined with Imatinib.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Imatinib.]
[B01AC07, dipyridamole, Imatinib may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Imatinib.]
[A03FA02, cisapride, The metabolism of Imatinib can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be increased when it is combined with Imatinib.]
[N05AL04, remoxipride, The serum concentration of Remoxipride can be increased when it is combined with Imatinib.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Disopyramide is combined with Imatinib.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Natalizumab.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Imatinib.]
[S02AA12, rifamycin SV, The metabolism of Imatinib can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Imatinib can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Imatinib may decrease the excretion rate of Riluzole which could result in a higher serum level.]
[N05AX08, risperidone, The serum concentration of Risperidone can be increased when it is combined with Imatinib.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Imatinib.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Imatinib.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Imatinib.]
[L01EX01, sunitinib, The serum concentration of Sunitinib can be increased when it is combined with Imatinib.]
[A04AD12, aprepitant, The metabolism of Imatinib can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Imatinib.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Imatinib.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Imatinib.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Imatinib.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Imatinib.]
[C01EB18, ranolazine, The serum concentration of Imatinib can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Imatinib can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Salmon calcitonin can be decreased when used in combination with Imatinib.]
[A03FA03, domperidone, The serum concentration of Domperidone can be increased when it is combined with Imatinib.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Imatinib.]
[N06AA16, dothiepin, The serum concentration of Dosulepin can be increased when it is combined with Imatinib.]
[N06AA12, doxepin, The serum concentration of Doxepin can be increased when it is combined with Imatinib.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Imatinib.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Imatinib.]
[N06AB06, sertraline, The serum concentration of Sertraline can be increased when it is combined with Imatinib.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Imatinib.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Imatinib.]
[C10AA01, simvastatin, The serum concentration of Simvastatin can be increased when it is combined with Imatinib.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Sultopride is combined with Imatinib.]
[N02CC01, sumatriptan, Imatinib may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[G01AF05, econazole, The serum concentration of Imatinib can be increased when it is combined with Econazole.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Imatinib.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Imatinib is combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Imatinib is combined with Temozolomide.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Imatinib.]
[D01BA02, terbinafine, The metabolism of Imatinib can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Terodiline.]
[C07AA16, tertatolol, The serum concentration of Tertatolol can be increased when it is combined with Imatinib.]
[N06AX14, tianeptine, The serum concentration of Tianeptine can be increased when it is combined with Imatinib.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Imatinib.]
[N03AX11, topiramate, The metabolism of Imatinib can be decreased when combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Toremifene is combined with Imatinib.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Imatinib.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Imatinib.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Imatinib is combined with Trilostane.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Follitropin can be decreased when used in combination with Imatinib.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Imatinib.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Imatinib is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Imatinib.]
[J01MA04, enoxacin, The metabolism of Imatinib can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The serum concentration of Vinorelbine can be increased when it is combined with Imatinib.]
[S01GX10, epinastine, The serum concentration of Epinastine can be increased when it is combined with Imatinib.]
[N06AX16, venlafaxine, The serum concentration of Venlafaxine can be increased when it is combined with Imatinib.]
[C08CA12, mepirodipine, The metabolism of Imatinib can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The serum concentration of Epinephrine can be increased when it is combined with Imatinib.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Imatinib.]
[N05CF02, zolpidem, The serum concentration of Zolpidem can be increased when it is combined with Imatinib.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Imatinib.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Imatinib.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Imatinib.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Imatinib.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Imatinib is combined with Carboplatin.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Imatinib.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Imatinib.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Imatinib.]
[N02CA02, ergotamine, The serum concentration of Imatinib can be increased when it is combined with Ergotamine.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Imatinib.]
[N05CD04, estazolam, The serum concentration of Estazolam can be increased when it is combined with Imatinib.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Imatinib can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Imatinib.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Imatinib is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), Imatinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Imatinib can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Imatinib is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Imatinib is combined with Fluticasone.]
[C10AA04, fluvastatin, The serum concentration of Fluvastatin can be increased when it is combined with Imatinib.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ibutilide is combined with Imatinib.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Imatinib.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Meloxicam.]
[S01XA06, ethylmorphine, The serum concentration of Ethylmorphine can be increased when it is combined with Imatinib.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Etidocaine.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Imatinib.]
[N05AE03, sertindole, The serum concentration of Sertindole can be increased when it is combined with Imatinib.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Imatinib.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Imatinib.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Imatinib.]
[R06AX11, astemizole, The serum concentration of Astemizole can be increased when it is combined with Imatinib.]
[R06AX12, terfenadine, The serum concentration of Imatinib can be increased when it is combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Imatinib can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The serum concentration of Fluvoxamine can be increased when it is combined with Imatinib.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Imatinib.]
[C01BC08, encainide, The serum concentration of Encainide can be increased when it is combined with Imatinib.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Imatinib.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Imatinib.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Imatinib which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Imatinib.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Imatinib.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Imatinib.]
[P02CA03, albendazole, The metabolism of Imatinib can be increased when combined with Albendazole.]
[C08CA02, felodipine, The serum concentration of Felodipine can be increased when it is combined with Imatinib.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Fendiline is combined with Imatinib.]
[N03AX26, fenfluramine, The serum concentration of Fenfluramine can be increased when it is combined with Imatinib.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Imatinib.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Imatinib.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Imatinib.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Imatinib is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Imatinib.]
[N07AX03, cevimeline, The serum concentration of Cevimeline can be increased when it is combined with Imatinib.]
[C01BC04, flecainide, The serum concentration of Flecainide can be increased when it is combined with Imatinib.]
[J01CF05, floxacillin, Flucloxacillin may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Imatinib can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Imatinib is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Imatinib is combined with Fludrocortisone.]
[N07CA03, flunarizine, The serum concentration of Flunarizine can be increased when it is combined with Imatinib.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Imatinib.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Imatinib is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Imatinib is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Imatinib can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Imatinib.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Imatinib.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Imatinib.]
[N06AB03, fluoxetine, The serum concentration of Imatinib can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Imatinib can be decreased when combined with Fluphenazine.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Imatinib.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Fluspirilene is combined with Imatinib.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Imatinib.]
[V04CX02, folic acid, Imatinib may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Imatinib.]
[J05AE10, darunavir, The serum concentration of Imatinib can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Imatinib.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Amisulpride is combined with Imatinib.]
[N06DA04, galantamine, The serum concentration of Galantamine can be increased when it is combined with Imatinib.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Imatinib.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Ganciclovir is combined with Imatinib.]
[C10AB04, gemfibrozil, The metabolism of Imatinib can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Telavancin is combined with Imatinib.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Imatinib.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Imatinib.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Imatinib.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Imatinib.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Imatinib.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Imatinib.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Imatinib.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Imatinib.]
[A10BB01, glyburide, Glyburide may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Imatinib.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Imatinib.]
[N05CM18, dexmedetomidine, The metabolism of Imatinib can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The serum concentration of Dofetilide can be increased when it is combined with Imatinib.]
[C02CA04, doxazosin, The serum concentration of Doxazosin can be increased when it is combined with Imatinib.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Imatinib.]
[L01EX02, sorafenib, The serum concentration of Sorafenib can be increased when it is combined with Imatinib.]
[C07AB09, esmolol, The serum concentration of Esmolol can be increased when it is combined with Imatinib.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Imatinib.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Imatinib.]
[P01BX01, halofantrine, The metabolism of Imatinib can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Imatinib.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Imatinib.]
[N05AH04, quetiapine, The serum concentration of Quetiapine can be increased when it is combined with Imatinib.]
[L01CE02, irinotecan, The serum concentration of Irinotecan can be increased when it is combined with Imatinib.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Imatinib.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Imatinib.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Imatinib.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Imatinib.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Imatinib.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Imatinib.]
[J05AG01, nevirapine, The serum concentration of Nevirapine can be increased when it is combined with Imatinib.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Nilvadipine is combined with Imatinib.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Imatinib.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxatomide is combined with Imatinib.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Imatinib.]
[R05DA03, hydrocodone, The serum concentration of Hydrocodone can be increased when it is combined with Imatinib.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Imatinib.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Imatinib.]
[P01BA02, hydroxychloroquine, The serum concentration of Hydroxychloroquine can be increased when it is combined with Imatinib.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Imatinib is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Imatinib can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The serum concentration of Imatinib can be decreased when it is combined with Ibuprofen.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Imatinib.]
[L01DB06, idarubicin, The serum concentration of Idarubicin can be increased when it is combined with Imatinib.]
[L01AA06, ifosfamide, The serum concentration of Ifosfamide can be increased when it is combined with Imatinib.]
[H01AC02, somatrem, The metabolism of Imatinib can be increased when combined with Somatrem.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Imatinib.]
[L01CD01, paclitaxel, The serum concentration of Paclitaxel can be increased when it is combined with Imatinib.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Imatinib.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Imatinib is combined with Tixocortol.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Imatinib.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Imatinib is combined with Topotecan.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Imatinib.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Imatinib.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Imatinib.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Imatinib.]
[N06AX17, milnacipran, The metabolism of Imatinib can be decreased when combined with Milnacipran.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Imatinib.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Imatinib.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Imatinib.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Imatinib.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Imatinib.]
[C10AA06, cerivastatin, Imatinib may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Imatinib.]
[C07AA01, alprenolol, The serum concentration of Alprenolol can be increased when it is combined with Imatinib.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Imatinib.]
[V03AB01, ipecac, The serum concentration of Ipecac can be increased when it is combined with Imatinib.]
[N06AF05, iproniazid, The metabolism of Imatinib can be decreased when combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Imatinib can be decreased when combined with Penciclovir.]
[P01AX06, atovaquone, The metabolism of Imatinib can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Imatinib.]
[N04BX02, entacapone, The metabolism of Imatinib can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Imatinib can be decreased when combined with Isoniazid.]
[P02CF01, ivermectin, Imatinib may decrease the excretion rate of Ivermectin which could result in a higher serum level.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Imatinib.]
[N06AX18, reboxetine, The metabolism of Imatinib can be decreased when combined with Reboxetine.]
[H01AC01, somatropin, The metabolism of Imatinib can be increased when combined with Somatotropin.]
[A02AB01, aluminum hydroxide, The absorption of Imatinib can be decreased when combined with Aluminum hydroxide.]
[L04AC07, tocilizumab, The metabolism of Imatinib can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Imatinib.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Imatinib.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Imatinib.]
[J02AB02, ketoconazole, The serum concentration of Imatinib can be increased when it is combined with Ketoconazole.]
[N05AH03, olanzapine, The serum concentration of Olanzapine can be increased when it is combined with Imatinib.]
[M02AA10, ketoprofen, The metabolism of Imatinib can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Imatinib can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Imatinib can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Mizolastine is combined with Imatinib.]
[N04BC09, rotigotine, The serum concentration of Rotigotine can be increased when it is combined with Imatinib.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Imatinib.]
[C07AG01, labetalol, The serum concentration of Labetalol can be increased when it is combined with Imatinib.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Imatinib.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Imatinib.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Imatinib.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Imatinib.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Imatinib.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Imatinib.]
[N06BA13, armodafinil, The metabolism of Imatinib can be decreased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Imatinib.]
[N02CA07, lisuride, The serum concentration of Lisuride can be increased when it is combined with Imatinib.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Imatinib is combined with Lomustine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Imatinib.]
