[P02BB01, trichlorfon, The therapeutic efficacy of Imipramine can be decreased when used in combination with Metrifonate.]
[L04AB04, adalimumab, The metabolism of Imipramine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Imipramine.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the sedative and stimulatory activities of Imipramine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Imipramine.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Imipramine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Imipramine.]
[B01AC04, clopidogrel, The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Imipramine resulting in a loss in efficacy.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Imipramine is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Imipramine.]
[P03AC04, permethrin, Imipramine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Imipramine.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[V03AH01, diazoxide, Imipramine may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R05DA08, pholcodine, Imipramine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Imipramine.]
[A03AA07, dicyclomine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Imipramine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Imipramine may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypotension can be increased when Imipramine is combined with Pinaverium.]
[A10BG03, pioglitazone, Imipramine may decrease the hypoglycemic activities of Pioglitazone.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A03AB14, pipenzolate, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The serum concentration of Imipramine can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Imipramine.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Imipramine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Imipramine.]
[L02AA01, diethylstilbestrol, The serum concentration of Imipramine can be increased when it is combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of hypotension can be increased when Imipramine is combined with Isradipine.]
[D07XC04, diflucortolone, Imipramine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Diflunisal.]
[C01AA04, digitoxin, The serum concentration of Imipramine can be increased when it is combined with Digitoxin.]
[C01AA05, digoxin, Imipramine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Imipramine can be decreased when combined with Dihydralazine.]
[L02AA02, polyestradiol phosphate, The serum concentration of Imipramine can be increased when it is combined with Polyestradiol phosphate.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Imipramine is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Imipramine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Imipramine is combined with Hydromorphone.]
[L04AX04, lenalidomide, Imipramine may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Imipramine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Imipramine may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, The risk or severity of Cardiac Arrhythmia can be increased when Potassium perchlorate is combined with Imipramine.]
[V03AB04, pralidoxime, Imipramine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Imipramine.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[V03AB09, dimercaprol, Imipramine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R06AB03, dimethindene, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Imipramine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Imipramine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Imipramine.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Proglumetacin.]
[C05CA03, diosmin, The serum concentration of Imipramine can be increased when it is combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Imipramine.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Imipramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Imipramine is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C09AA06, quinapril, Imipramine may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypotension and syncope can be increased when Dipyridamole is combined with Imipramine.]
[N06BA11, dexmethylphenidate, The serum concentration of Imipramine can be increased when it is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A03FA02, cisapride, The metabolism of Imipramine can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Imipramine may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Imipramine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Imipramine.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Imipramine.]
[S01AX06, resorcinol, Imipramine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Imipramine.]
[S02AA12, rifamycin SV, The serum concentration of Imipramine can be increased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Imipramine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05AX08, risperidone, Imipramine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[J01MB01, rosoxacin, The metabolism of Imipramine can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Imipramine.]
[A04AD12, aprepitant, The metabolism of Imipramine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Imipramine.]
[G04BE08, tadalafil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Imipramine.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Ketorolac.]
[C02KX02, ambrisentan, The serum concentration of Imipramine can be increased when it is combined with Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Imipramine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Salsalate.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Imipramine.]
[H05BA01, salmon calcitonin, The risk or severity of Cardiac Arrhythmia can be increased when Salmon calcitonin is combined with Imipramine.]
[C01CA07, dobutamine, Imipramine may increase the vasopressor activities of Dobutamine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Imipramine.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Imipramine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Imipramine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Imipramine is combined with Doxapram.]
[N06AA12, doxepin, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Imipramine.]
[L01DB01, doxorubicin, The metabolism of Imipramine can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Imipramine.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Imipramine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Imipramine.]
[V03AG05, sodium phosphate, The risk or severity of seizure can be increased when Imipramine is combined with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Imipramine.]
[C09AA11, spirapril, Imipramine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, Imipramine may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[V04CX07, edrophonium, The therapeutic efficacy of Imipramine can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Imipramine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Temafloxacin.]
[L01AX03, temozolomide, Imipramine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Tenoxicam.]
[G04CA03, terazosin, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Imipramine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Imipramine.]
[S01GA02, tetrahydrozoline, Imipramine may increase the vasopressor activities of Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[G04BD01, emepronium, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[G03CX01, tibolone, The serum concentration of Imipramine can be increased when it is combined with Tibolone.]
[C09AA02, enalapril, Imipramine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the serotonergic activities of Imipramine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Imipramine.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Imipramine is combined with Topiramate.]
[L02BA02, toremifene, The serum concentration of Imipramine can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Imipramine is combined with Tramazoline.]
[C09AA10, trandolapril, Imipramine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A03AB08, tridihexethyl, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[G03GA05, follitropin alfa, The risk or severity of Cardiac Arrhythmia can be increased when Follitropin is combined with Imipramine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Imipramine.]
[N04AA12, tropatepine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Imipramine.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C02CA06, urapidil, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Urapidil.]
[J01MA04, enoxacin, The metabolism of Imipramine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CA04, vinorelbine, The metabolism of Imipramine can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Imipramine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Imipramine.]
[N06AX16, venlafaxine, The metabolism of Imipramine can be decreased when combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Imipramine.]
[S01GA03, xylometazoline, Imipramine may increase the vasopressor activities of Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of hypotension can be increased when Imipramine is combined with Barnidipine.]
[S01EA01, epinephrine, Imipramine may increase the vasopressor activities of Epinephrine.]
[C09AA15, zofenopril, Imipramine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Zolpidem may increase the Decreased alertness activities of Imipramine.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Zomepirac.]
[N03AX15, zonisamide, The serum concentration of Imipramine can be increased when it is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, Imipramine may decrease the hypoglycemic activities of Insulin glulisine.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Imipramine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Imipramine is combined with Iloprost.]
[C01BG01, moricizine, The serum concentration of Imipramine can be increased when it is combined with Moricizine.]
[G02AB03, ergonovine, Imipramine may increase the vasopressor activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02CA02, ergotamine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Valproic acid.]
[L03AX05, pidotimod, Imipramine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The serum concentration of Imipramine can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Imipramine.]
[H05BX01, cinacalcet, The metabolism of Imipramine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Imipramine.]
[G03CC06, estriol, The serum concentration of Imipramine can be increased when it is combined with Estriol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Imipramine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Imipramine can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be decreased when combined with Imipramine.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Imipramine.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Imipramine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L02AA03, ethinyl estradiol, The metabolism of Imipramine can be decreased when combined with Ethinylestradiol.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Imipramine is combined with Amifostine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Ibutilide.]
[N04AA05, profenamine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Imipramine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Imipramine.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Imipramine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Imipramine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Imipramine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Imipramine.]
[L04AD02, tacrolimus, The serum concentration of Imipramine can be increased when it is combined with Tacrolimus.]
[A02BA04, nizatidine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Imipramine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Imipramine.]
[R06AX12, terfenadine, The metabolism of Imipramine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Imipramine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Imipramine.]
[N06AB08, fluvoxamine, The metabolism of Imipramine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Imipramine can be decreased when combined with Tocainide.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Imipramine.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Imipramine.]
[C10AA03, pravastatin, The serum concentration of Imipramine can be increased when it is combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Imipramine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Imipramine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[A02BA03, famotidine, The metabolism of Imipramine can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Imipramine may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Imipramine can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Imipramine can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypotension can be increased when Imipramine is combined with Fendiline.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Imipramine.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Fenoprofen.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Imipramine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Imipramine is combined with Fentanyl.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Imipramine.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Imipramine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Imipramine.]
[G04BD02, flavoxate, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Imipramine.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Floctafenine.]
[J02AC01, fluconazole, The serum concentration of Imipramine can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, Imipramine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Imipramine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Imipramine.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[V03AZ01, ethanol, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Imipramine.]
[N06AB03, fluoxetine, The serum concentration of Imipramine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The serum concentration of Imipramine can be increased when it is combined with Flupentixol.]
[N05AB02, fluphenazine, The serum concentration of Imipramine can be increased when it is combined with Fluphenazine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Imipramine.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[S02AA17, fosfomycin, Imipramine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Imipramine.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Imipramine.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[G01AX06, furazolidone, Furazolidone may increase the serotonergic activities of Imipramine.]
[J05AE10, darunavir, The risk or severity of adverse effects can be increased when Darunavir is combined with Imipramine.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Imipramine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Imipramine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C08DA02, gallopamil, The risk or severity of hypotension can be increased when Imipramine is combined with Gallopamil.]
[S01AD09, ganciclovir, Imipramine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The metabolism of Imipramine can be increased when combined with Barbexaclone.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C10AB04, gemfibrozil, The metabolism of Imipramine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Imipramine.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Imipramine.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Imipramine.]
[A10BJ02, liraglutide, Imipramine may decrease the hypoglycemic activities of Liraglutide.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Imipramine.]
[N03AD03, methsuximide, The metabolism of Methsuximide can be decreased when combined with Imipramine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Imipramine is combined with Alfentanil.]
[L01EH01, lapatinib, The serum concentration of Imipramine can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Imipramine.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Imipramine.]
[A10BB07, glipizide, Imipramine may decrease the hypoglycemic activities of Glipizide.]
[H04AA01, glucagon, Imipramine may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, The metabolism of Imipramine can be decreased when combined with Dexmedetomidine.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Imipramine.]
[C05AE01, nitroglycerin, Imipramine may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Dofetilide.]
[C02CA04, doxazosin, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxazosin.]
