[S02DA03, antipyrine, The metabolism of Pomalidomide can be decreased when combined with Antipyrine.]
[L01EX21, tepotinib, The serum concentration of Pomalidomide can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Pomalidomide can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The metabolism of Pomalidomide can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Febarbamate.]
[N03AX10, felbamate, The metabolism of Pomalidomide can be increased when combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N06BA10, fenethylline, The metabolism of Pomalidomide can be decreased when combined with Fenethylline.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Pomalidomide can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The metabolism of Pomalidomide can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Pomalidomide can be increased when combined with Fluocinolone acetonide.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ponesimod.]
[L01EK03, tivozanib, The serum concentration of Pomalidomide can be increased when it is combined with Tivozanib.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Pomalidomide can be increased when it is combined with Peginterferon alfa-2b.]
[L01FX22, loncastuximab tesirine, The serum concentration of Pomalidomide can be increased when it is combined with Loncastuximab tesirine.]
[A02BA01, cimetidine, The metabolism of Pomalidomide can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Pomalidomide.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Pomalidomide can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Pomalidomide can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Pomalidomide can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Pomalidomide can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The serum concentration of Pomalidomide can be increased when it is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Pomalidomide.]
[N06AB04, citalopram, The metabolism of Pomalidomide can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The metabolism of Pomalidomide can be increased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The serum concentration of Pomalidomide can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Pomalidomide can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Pomalidomide can be decreased when it is combined with Belzutifan.]
[H01AC09, lonapegsomatropin, The metabolism of Pomalidomide can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The serum concentration of Pomalidomide can be decreased when it is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Pomalidomide may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Pomalidomide can be increased when it is combined with Technetium Tc-99m sestamibi.]
[V09AX06, florbetaben f-18, Pomalidomide may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L04AA59, avacopan, The metabolism of Pomalidomide can be decreased when combined with Avacopan.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Pomalidomide.]
[M01AG01, mefenamic acid, The metabolism of Pomalidomide can be decreased when combined with Mefenamic acid.]
[N06AX25, St. John's wort extract, The serum concentration of Pomalidomide can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Pomalidomide can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Pomalidomide can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Pomalidomide.]
[D11AH08, abrocitinib, The serum concentration of Pomalidomide can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Pomalidomide can be increased when it is combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Pomalidomide.]
[C10AB01, clofibrate, The metabolism of Pomalidomide can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Pomalidomide can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Pomalidomide can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Pomalidomide can be increased when it is combined with Clomifene.]
[N06AA04, clomipramine, The metabolism of Pomalidomide can be decreased when combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Pomalidomide.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Pomalidomide.]
[C01EB24, mavacamten, The serum concentration of Pomalidomide can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Deucravacitinib.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Pomalidomide.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pomalidomide.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Pomalidomide.]
[J05AX31, lenacapavir, The metabolism of Pomalidomide can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Pomalidomide is combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Pomalidomide can be increased when it is combined with Futibatinib.]
[A10BK06, sotagliflozin, The serum concentration of Pomalidomide can be increased when it is combined with Sotagliflozin.]
[J01GB12, arbekacin, Pomalidomide may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Pomalidomide.]
[H01AC08, somatrogon, The metabolism of Pomalidomide can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Cocaine.]
[C02KB01, metyrosine, Pomalidomide may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Pomalidomide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Pomalidomide.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Pomalidomide.]
[M04AC01, colchicine, The serum concentration of Pomalidomide can be increased when it is combined with Colchicine.]
[A03AB10, hexocyclium, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Pomalidomide may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Pomalidomide.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Pomalidomide.]
[J01FA15, telithromycin, The metabolism of Pomalidomide can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Pomalidomide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Pomalidomide.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Pomalidomide.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C05BB03, invert sugar, Pomalidomide may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[V08AB05, iopromide, Pomalidomide may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Pomalidomide may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Pomalidomide may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Pomalidomide.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Pomalidomide can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Pomalidomide.]
[S01AD03, acyclovir, The metabolism of Pomalidomide can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, The metabolism of Pomalidomide can be decreased when combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Pomalidomide can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Pomalidomide can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Pomalidomide.]
[N03AX09, lamotrigine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01BA03, cortisone, The metabolism of Pomalidomide can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Pomalidomide can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Pomalidomide can be decreased when combined with Lomefloxacin.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Lormetazepam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Pomalidomide may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Pomalidomide can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Medifoxamine.]
[H02AB15, meprednisone, The metabolism of Pomalidomide can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Pomalidomide can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N04AA03, methixene, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Pomalidomide.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Pomalidomide.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Pomalidomide can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, The serum concentration of Pomalidomide can be increased when it is combined with Tenofovir disoproxil.]
[L01AA01, cyclophosphamide, The metabolism of Pomalidomide can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Pomalidomide.]
[S01XA18, cyclosporine, Pomalidomide may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Pomalidomide.]
[N06BA07, modafinil, The metabolism of Pomalidomide can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Pomalidomide can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Pomalidomide can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Pomalidomide.]
[J05AF10, entecavir, The metabolism of Pomalidomide can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The serum concentration of Pomalidomide can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Pomalidomide can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Pomalidomide.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Pomalidomide.]
[G03XA01, danazol, The metabolism of Pomalidomide can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Pomalidomide.]
[L01DB02, daunorubicin, The metabolism of Pomalidomide can be decreased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[M01AX01, nabumetone, The metabolism of Pomalidomide can be decreased when combined with Nabumetone.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Nordazepam.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Pomalidomide can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Niaprazine.]
[C01DX16, nicorandil, Pomalidomide may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Pomalidomide.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Pomalidomide.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Pomalidomide.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Pomalidomide.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Escitalopram.]
[G04BD08, solifenacin, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Pomalidomide can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Pomalidomide.]
[V04CH02, indigo carmine, Pomalidomide may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pomalidomide.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The metabolism of Pomalidomide can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Pomalidomide can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Oxiracetam.]
[N04AA08, dexetimide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, The metabolism of Pomalidomide can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Pomalidomide can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Pomalidomide can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Pomalidomide.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Pomalidomide.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Pomalidomide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Pomalidomide can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Pomalidomide.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Pomalidomide.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Pomalidomide.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Pomalidomide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Pomalidomide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Cinchocaine.]
[R05DA08, pholcodine, Pomalidomide may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[M05BA02, clodronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Pomalidomide is combined with Clodronic acid.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Pomalidomide can be decreased when combined with Diclofenac.]
[J01CF01, dicloxacillin, The metabolism of Pomalidomide can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A03AA07, dicyclomine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Pipamperone.]
[A03AB14, pipenzolate, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The serum concentration of Pomalidomide can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Pomalidomide can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Pirarubicin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Pomalidomide.]
[L02AA01, diethylstilbestrol, The metabolism of Pomalidomide can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Pomalidomide can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Pomalidomide can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C01AA04, digitoxin, The serum concentration of Pomalidomide can be increased when it is combined with Digitoxin.]
[C01AA05, digoxin, Pomalidomide may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Pomalidomide can be decreased when combined with Dihydralazine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Pomalidomide.]
[C04AE04, dihydroergocristine, The metabolism of Pomalidomide can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Pomalidomide can be decreased when combined with Dihydroergotamine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Pomalidomide.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Pomalidomide.]
[J05AE08, atazanavir, The metabolism of Pomalidomide can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Pomalidomide may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Pomalidomide can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Pomalidomide.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Pridinol.]
[R06AB03, dimethindene, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Pomalidomide can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Pomalidomide.]
[N06BC02, propentofylline, The metabolism of Pomalidomide can be decreased when combined with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C05CA03, diosmin, The serum concentration of Pomalidomide can be increased when it is combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Pomalidomide.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Pomalidomide.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Pomalidomide.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Pomalidomide.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Pomalidomide.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Pomalidomide.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Pomalidomide can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Pomalidomide.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Pomalidomide.]
[S01AX06, resorcinol, Pomalidomide may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Natalizumab.]
[S02AA12, rifamycin SV, The serum concentration of Pomalidomide can be increased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Pomalidomide can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Pomalidomide.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Pomalidomide.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Levocetirizine is combined with Pomalidomide.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Pomalidomide.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Pomalidomide can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Sunitinib is combined with Pomalidomide.]
[A04AD12, aprepitant, The metabolism of Pomalidomide can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Pomalidomide.]
[J05AE07, fosamprenavir, The metabolism of Pomalidomide can be decreased when combined with Fosamprenavir.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
