[S02DA03, antipyrine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Antipyrine.]
[L04AX04, lenalidomide, Metolazone may increase the excretion rate of Lenalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[A11CC02, dihydrotachysterol, The risk or severity of hypokalemia can be increased when Dihydrotachysterol is combined with Metolazone.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Metolazone.]
[H03BC01, potassium perchlorate, Metolazone may increase the excretion rate of Potassium perchlorate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB04, pralidoxime, Metolazone may increase the excretion rate of Pralidoxime which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DB01, diltiazem, Diltiazem may increase the hypotensive activities of Metolazone.]
[V03AB09, dimercaprol, Metolazone may increase the excretion rate of Dimercaprol which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB03, dimethindene, The serum concentration of Metolazone can be increased when it is combined with Dimetindene.]
[R03CC08, procaterol, Procaterol may decrease the antihypertensive activities of Metolazone.]
[M02AX03, dimethyl sulfoxide, Metolazone may increase the excretion rate of Dimethyl sulfoxide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Propyphenazone.]
[M01AB14, proglumetacin, The therapeutic efficacy of Metolazone can be decreased when used in combination with Proglumetacin.]
[R06AA02, diphenhydramine, The serum concentration of Metolazone can be increased when it is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The therapeutic efficacy of Metolazone can be decreased when used in combination with Diphenoxylate.]
[C09AA06, quinapril, The risk or severity of hypotension can be increased when Metolazone is combined with Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the antihypertensive activities of Metolazone.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Metolazone.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Metolazone.]
[C09AA05, ramipril, The risk or severity of hypotension can be increased when Metolazone is combined with Ramipril.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Metolazone.]
[S01AX06, resorcinol, Metolazone may increase the excretion rate of Resorcinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Metolazone.]
[N05AX08, risperidone, Metolazone may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Metolazone may increase the excretion rate of Levocetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB09, ropivacaine, Metolazone may increase the excretion rate of Ropivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be decreased when used in combination with Metolazone.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Metolazone may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC05, ketorolac, The therapeutic efficacy of Metolazone can be decreased when used in combination with Ketorolac.]
[C02KX02, ambrisentan, Metolazone may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, Metolazone may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA06, salsalate, The therapeutic efficacy of Metolazone can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, Salmeterol may decrease the antihypertensive activities of Metolazone.]
[H05BA01, salmon calcitonin, Metolazone may increase the excretion rate of Salmon calcitonin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA07, dobutamine, Metolazone may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA04, dopamine, Metolazone may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA16, dothiepin, Dosulepin may decrease the antihypertensive activities of Metolazone.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Metolazone.]
[N06AA12, doxepin, Metolazone may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AB06, sennosides, USP, The risk or severity of adverse effects can be increased when Metolazone is combined with Sennosides.]
[J01AA02, doxycycline, Metolazone may increase the excretion rate of Doxycycline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA09, doxylamine, The serum concentration of Metolazone can be increased when it is combined with Doxylamine.]
[N06AB06, sertraline, The risk or severity of hyponatremia can be increased when Sertraline is combined with Metolazone.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Metolazone.]
[N05AD08, droperidol, Droperidol may decrease the antihypertensive activities of Metolazone.]
[A08AA10, sibutramine, The risk or severity of hyponatremia can be increased when Sibutramine is combined with Metolazone.]
[V03AG05, sodium phosphate, Metolazone may increase the nephrotoxic activities of Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The risk or severity of adverse effects can be increased when Metolazone is combined with Sodium sulfate.]
[C09AA11, spirapril, The risk or severity of hypotension can be increased when Metolazone is combined with Spirapril.]
[R03DA01, dyphylline, Metolazone may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC01, sumatriptan, Metolazone may increase the excretion rate of Sumatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX07, edrophonium, Metolazone may increase the excretion rate of Edrophonium which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB13, talinolol, Metolazone may increase the hypotensive activities of Talinolol.]
[H01AA01, corticotropin, Corticotropin may increase the hypokalemic activities of Metolazone.]
[L01AX03, temozolomide, Metolazone may increase the excretion rate of Temozolomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC02, tenoxicam, The therapeutic efficacy of Metolazone can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, Metolazone may increase the hypotensive activities of Terazosin.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Metolazone.]
[G04BD01, emepronium, The serum concentration of Metolazone can be increased when it is combined with Emepronium.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Metolazone.]
[C09AA02, enalapril, The risk or severity of hypotension can be increased when Metolazone is combined with Enalapril.]
[M01AG02, tolfenamic acid, The therapeutic efficacy of Metolazone can be decreased when used in combination with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Metolazone.]
[N06BA09, atomoxetine, Metolazone may increase the excretion rate of Atomoxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX11, topiramate, The risk or severity of hypokalemia can be increased when Metolazone is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of hypercalcemia can be increased when Metolazone is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Metolazone.]
[C09AA10, trandolapril, The risk or severity of hypotension can be increased when Metolazone is combined with Trandolapril.]
[N05CC01, chloral hydrate, Metolazone may increase the excretion rate of Chloral hydrate which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB08, tridihexethyl, The serum concentration of Metolazone can be increased when it is combined with Tridihexethyl.]
[H02CA01, trilostane, Trilostane may increase the hypokalemic activities of Metolazone.]
[N04AA12, tropatepine, The serum concentration of Metolazone can be increased when it is combined with Tropatepine.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Metolazone.]
[C02CA06, urapidil, Urapidil may decrease the antihypertensive activities of Metolazone.]
[S01FB02, ephedrine, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Metolazone.]
[N06AX16, venlafaxine, Metolazone may increase the excretion rate of Venlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Metolazone.]
[S01GA03, xylometazoline, Xylometazoline may decrease the antihypertensive activities of Metolazone.]
[C08CA12, mepirodipine, Metolazone may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Metolazone.]
[C09AA15, zofenopril, The risk or severity of hypotension can be increased when Metolazone is combined with Zofenopril.]
[M01AB04, zomepirac, The therapeutic efficacy of Metolazone can be decreased when used in combination with Zomepirac.]
[N03AX15, zonisamide, Metolazone may increase the excretion rate of Zonisamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Metolazone is combined with Insulin glulisine.]
[L01XA02, carboplatin, Metolazone may increase the excretion rate of Carboplatin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC02, guanfacine, Metolazone may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Metolazone.]
[A11CC01, ergocalciferol, The risk or severity of hypokalemia can be increased when Ergocalciferol is combined with Metolazone.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Metolazone.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Metolazone.]
[N02CA02, ergotamine, Ergotamine may decrease the antihypertensive activities of Metolazone.]
[L03AX05, pidotimod, Metolazone may increase the excretion rate of Pidotimod which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD04, estazolam, Metolazone may increase the excretion rate of Estazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC02, pantoprazole, Metolazone may increase the excretion rate of Pantoprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA03, estradiol, Metolazone may increase the excretion rate of Estradiol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Metolazone may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK02, ethambutol, Metolazone may increase the excretion rate of Ethambutol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA05, fluticasone, Fluticasone may increase the hypokalemic activities of Metolazone.]
[V08CA03, gadodiamide, Metolazone may increase the excretion rate of Gadodiamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Metolazone.]
[V03AF05, amifostine, Metolazone may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Metolazone may increase the excretion rate of Ibutilide which could result in a lower serum level and potentially a reduction in efficacy.]
[N04AA05, profenamine, The serum concentration of Metolazone can be increased when it is combined with Profenamine.]
[M01AC06, meloxicam, The therapeutic efficacy of Metolazone can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Ethylmorphine.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Metolazone.]
[N01AX07, etomidate, Metolazone may increase the excretion rate of Etomidate which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[R06AX12, terfenadine, The serum concentration of Metolazone can be increased when it is combined with Terfenadine.]
[P01AX07, trimetrexate, Metolazone may increase the excretion rate of Trimetrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX12, bupropion, Metolazone may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB08, fluvoxamine, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Metolazone.]
[L02AE02, leuprolide, Metolazone may increase the excretion rate of Leuprolide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01CB01, gold sodium thiomalate, Metolazone may increase the excretion rate of Sodium aurothiomalate which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, Metolazone may increase the excretion rate of Dextran which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AF02, dexrazoxane, Metolazone may increase the excretion rate of Dexrazoxane which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AA01, levocarnitine, Metolazone may increase the excretion rate of Levocarnitine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA02, felodipine, Metolazone may increase the hypotensive activities of Felodipine.]
[M01AE04, fenoprofen, The therapeutic efficacy of Metolazone can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, Fenoterol may decrease the antihypertensive activities of Metolazone.]
[N02AB03, fentanyl, Metolazone may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC02, albuterol, Metolazone may increase the excretion rate of Salbutamol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BB06, clofarabine, Metolazone may increase the excretion rate of Clofarabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07AX03, cevimeline, Metolazone may increase the excretion rate of Cevimeline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD02, flavoxate, Metolazone may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG04, floctafenine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Floctafenine.]
[J02AC01, fluconazole, Metolazone may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AX01, flucytosine, Metolazone may increase the excretion rate of Flucytosine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA02, fludrocortisone, Fludrocortisone may increase the hypokalemic activities of Metolazone.]
[V03AB25, flumazenil, Metolazone may increase the excretion rate of Flumazenil which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XB01, flumethasone, Flumethasone may increase the hypokalemic activities of Metolazone.]
[D07AC08, fluocinonide, Fluocinonide may increase the hypokalemic activities of Metolazone.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Metolazone.]
[H02AB03, fluocortolone, Fluocortolone may increase the hypokalemic activities of Metolazone.]
[V03AZ01, ethanol, The risk or severity of hypotension and orthostatic hypotension can be increased when Ethanol is combined with Metolazone.]
[L01BC09, floxuridine, Metolazone may increase the excretion rate of Floxuridine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01CB05, fluorometholone, Fluorometholone may increase the hypokalemic activities of Metolazone.]
[N06AB03, fluoxetine, The risk or severity of hyponatremia can be increased when Fluoxetine is combined with Metolazone.]
[N05AF01, flupenthixol, Flupentixol may decrease the antihypertensive activities of Metolazone.]
[N05CD01, flurazepam, Metolazone may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Metolazone can be decreased when used in combination with Flurbiprofen.]
[L02BB01, flutamide, Metolazone may increase the excretion rate of Flutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX02, folic acid, Metolazone may increase the excretion rate of Folic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA17, fosfomycin, Metolazone may increase the excretion rate of Fosfomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[L01BC03, tegafur, Metolazone may increase the excretion rate of Tegafur which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Metolazone.]
[M03AA01, alcuronium, The serum concentration of Metolazone can be increased when it is combined with Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Metolazone.]
[C03CA01, furosemide, Metolazone may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Metolazone may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC02, gallamine, The serum concentration of Metolazone can be increased when it is combined with Gallamine.]
[S01AD09, ganciclovir, Metolazone may increase the excretion rate of Ganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA04, barbexaclone, The risk or severity of hypotension and orthostatic hypotension can be increased when Barbexaclone is combined with Metolazone.]
[C10AB04, gemfibrozil, Metolazone may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XA03, telavancin, Metolazone may increase the excretion rate of Telavancin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC06, cabergoline, Cabergoline may decrease the antihypertensive activities of Metolazone.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Metolazone.]
[A12AA13, calcium citrate, Metolazone may decrease the excretion rate of Calcium citrate which could result in a higher serum level.]
[A12AA10, calcium gluceptate, Metolazone may decrease the excretion rate of Calcium glucoheptonate which could result in a higher serum level.]
[A12AA05, calcium lactate, Metolazone may decrease the excretion rate of Calcium lactate which could result in a higher serum level.]
[A12AA30, calcium levulinate, Metolazone may decrease the excretion rate of Calcium levulinate which could result in a higher serum level.]
[N01AH02, alfentanil, The therapeutic efficacy of Metolazone can be decreased when used in combination with Alfentanil.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Metolazone.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Metolazone.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Metolazone.]
[N05CM18, dexmedetomidine, Metolazone may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX01, glycerin, The risk or severity of adverse effects can be increased when Metolazone is combined with Glycerin.]
[C05AE01, nitroglycerin, Metolazone may increase the hypotensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Metolazone is combined with Dofetilide.]
[C02CA04, doxazosin, Metolazone may increase the hypotensive activities of Doxazosin.]
[L01EX02, sorafenib, Metolazone may increase the excretion rate of Sorafenib which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB09, esmolol, Esmolol may increase the hypotensive activities of Metolazone.]
[M01CB04, aurothioglucose, Metolazone may increase the excretion rate of Aurothioglucose which could result in a lower serum level and potentially a reduction in efficacy.]
[S01LA03, pegaptanib, Metolazone may increase the excretion rate of Pegaptanib which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA09, fosinopril, The risk or severity of hypotension can be increased when Metolazone is combined with Fosinopril.]
[S01EX01, guanethidine, Metolazone may increase the excretion rate of Guanethidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE03, goserelin, Metolazone may increase the excretion rate of Goserelin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD01, haloperidol, Metolazone may increase the excretion rate of Haloperidol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Metolazone.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Metolazone.]
[N06BX13, idebenone, Metolazone may increase the excretion rate of Idebenone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Metolazone is combined with Insulin aspart.]
[M04AA01, allopurinol, The risk of a hypersensitivity reaction to Allopurinol is increased when it is combined with Metolazone.]
[C09CA01, losartan, Metolazone may increase the hypotensive activities of Losartan.]
[B05CB03, magnesium citrate, The risk or severity of adverse effects can be increased when Metolazone is combined with Magnesium citrate.]
[G03DC01, allylestrenol, Metolazone may increase the excretion rate of Allylestrenol which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC02, mesalamine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Mesalazine.]
[C01CE02, milrinone, Metolazone may increase the excretion rate of Milrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[A12CD02, sodium monofluorophosphate, The risk or severity of adverse effects can be increased when Metolazone is combined with Sodium fluorophosphate.]
[N05CA16, hexobarbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Hexobarbital is combined with Metolazone.]
[R03CC05, hexoprenaline, Hexoprenaline may decrease the antihypertensive activities of Metolazone.]
[C08CA10, nilvadipine, Metolazone may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, The therapeutic efficacy of Metolazone can be decreased when used in combination with Nimesulide.]
[C09AA04, perindopril, The risk or severity of hypotension can be increased when Metolazone is combined with Perindopril.]
[C02DB02, hydralazine, Metolazone may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Metolazone can be increased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Hydrocodone.]
[S02BA01, hydrocortisone, Hydrocortisone may increase the hypokalemic activities of Metolazone.]
[D07AB02, hydrocortisone butyrate, Hydrocortisone butyrate may increase the hypokalemic activities of Metolazone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Metolazone can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Metolazone may increase the excretion rate of Potassium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Metolazone may increase the excretion rate of Hydroxocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD06, propiverine, Metolazone may increase the excretion rate of Propiverine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA07, hetastarch, Metolazone may increase the excretion rate of Hydroxyethyl Starch which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC06, rilmenidine, Rilmenidine may decrease the antihypertensive activities of Metolazone.]
[R02AX02, ibuprofen, The therapeutic efficacy of Metolazone can be decreased when used in combination with Ibuprofen.]
[B05XA08, sodium acetate, Metolazone may increase the excretion rate of Sodium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD21, sodium tartrate, The risk or severity of adverse effects can be increased when Metolazone is combined with Sodium tartrate.]
[L01AA06, ifosfamide, Metolazone may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AH03, sufentanil, The therapeutic efficacy of Metolazone can be decreased when used in combination with Sufentanil.]
[N06AA02, imipramine, Metolazone may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Metolazone is combined with Paclitaxel.]
[R01AD07, tixocortol, Tixocortol may increase the hypokalemic activities of Metolazone.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Metolazone is combined with Tizanidine.]
[L01CE01, topotecan, Metolazone may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Metolazone.]
[S01BC01, indomethacin, The therapeutic efficacy of Metolazone can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, Indoramin may decrease the antihypertensive activities of Metolazone.]
[A11HA07, inositol, Metolazone may increase the excretion rate of Inositol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX17, milnacipran, The risk or severity of hyponatremia can be increased when Milnacipran is combined with Metolazone.]
[A03AA30, piperidolate, The serum concentration of Metolazone can be increased when it is combined with Piperidolate.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Metolazone is combined with Cyclopentamine.]
[S01XA28, varenicline, Metolazone may increase the excretion rate of Varenicline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Metolazone.]
[N05BA12, alprazolam, Metolazone may increase the excretion rate of Alprazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH02, ramelteon, Metolazone may increase the excretion rate of Ramelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AE01, buclizine, The serum concentration of Metolazone can be increased when it is combined with Buclizine.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Metolazone.]
[C07AA01, alprenolol, Metolazone may increase the hypotensive activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Metolazone may increase the excretion rate of Ipecac which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Metolazone.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Metolazone.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Metolazone.]
[S01EC03, dorzolamide, Metolazone may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, Isoetharine may decrease the antihypertensive activities of Metolazone.]
[C09AA16, imidapril, The risk or severity of hypotension can be increased when Metolazone is combined with Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Metolazone.]
[J04AC01, isoniazid, Metolazone may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AX05, inosine pranobex, Metolazone may increase the excretion rate of Inosine pranobex which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB01, isoproterenol, Isoprenaline may decrease the antihypertensive activities of Metolazone.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be decreased when used in combination with Metolazone.]
[C01DA14, isosorbide mononitrate, Metolazone may increase the excretion rate of Isosorbide mononitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Metolazone is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Metolazone may increase the excretion rate of Isotretinoin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Metolazone.]
[S01AA24, kanamycin, Metolazone may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Metolazone may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KD01, ketanserin, Metolazone may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Metolazone may increase the excretion rate of Prasugrel which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH03, olanzapine, The serum concentration of Metolazone can be increased when it is combined with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of adverse effects can be increased when Ketoprofen is combined with Metolazone.]
[C01CA22, arbutamine, Arbutamine may decrease the antihypertensive activities of Metolazone.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Metolazone.]
[D10AX03, azelaic acid, Metolazone may increase the excretion rate of Azelaic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Metolazone can be decreased when used in combination with Tiaprofenic acid.]
[C07AG01, labetalol, Metolazone may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BB01, amantadine, Metolazone may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA05, deserpidine, Metolazone may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The risk or severity of adverse effects can be increased when Metolazone is combined with Lactulose.]
[A06AX03, lubiprostone, The risk or severity of adverse effects can be increased when Metolazone is combined with Lubiprostone.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Metolazone is combined with Levodopa.]
[S01AA21, amikacin, Metolazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may decrease the antihypertensive activities of Metolazone.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Metolazone.]
