[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Ranolazine.]
[C03XA02, conivaptan, The metabolism of Ranolazine can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The serum concentration of Ranolazine can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01AX04, dacarbazine, Ranolazine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Ranolazine.]
[G03XA01, danazol, The metabolism of Ranolazine can be decreased when combined with Danazol.]
[L01DB02, daunorubicin, Ranolazine may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[C02CC04, debrisoquin, The serum concentration of Debrisoquine can be increased when it is combined with Ranolazine.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N07BB05, nalmefene, Ranolazine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The serum concentration of Nebivolol can be increased when it is combined with Ranolazine.]
[S01GX04, nedocromil, Ranolazine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Ranolazine can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Ranolazine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Ranolazine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[B01AX05, fondaparinux, Ranolazine may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Ranolazine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The serum concentration of Solifenacin can be increased when it is combined with Ranolazine.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N06AA01, desipramine, The serum concentration of Desipramine can be increased when it is combined with Ranolazine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[S01BA11, desonide, The metabolism of Ranolazine can be increased when combined with Desonide.]
[V04CH02, indigo carmine, Ranolazine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ranolazine may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Ranolazine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The metabolism of Ranolazine can be increased when combined with Oxcarbazepine.]
[G01AF17, oxiconazole, The metabolism of Ranolazine can be increased when combined with Oxiconazole.]
[S03BA01, dexamethasone, The metabolism of Ranolazine can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Ranolazine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The serum concentration of Dexfenfluramine can be increased when it is combined with Ranolazine.]
[L04AB04, adalimumab, The metabolism of Ranolazine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The serum concentration of Gefitinib can be increased when it is combined with Ranolazine.]
[N06BA02, dextroamphetamine, The serum concentration of Amphetamine can be increased when it is combined with Ranolazine.]
[R05DA09, dextromethorphan, The serum concentration of Dextromethorphan can be increased when it is combined with Ranolazine.]
[N06AB05, paroxetine, The serum concentration of Paroxetine can be increased when it is combined with Ranolazine.]
[P03AC04, permethrin, Ranolazine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Ranolazine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R05DA08, pholcodine, Ranolazine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Ranolazine may decrease the excretion rate of Diclofenac which could result in a higher serum level.]
[J01CF01, dicloxacillin, The metabolism of Ranolazine can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Ranolazine.]
[A03AA07, dicyclomine, Ranolazine may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Ranolazine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Ranolazine.]
[L01DC04, ixabepilone, The serum concentration of Ranolazine can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be increased when it is combined with Ranolazine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, Ranolazine may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[C08CA03, isradipine, The metabolism of Ranolazine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, Ranolazine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Ranolazine.]
[C10AX09, ezetimibe, Ranolazine may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Ranolazine may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Ranolazine.]
[N02AA03, hydromorphone, Ranolazine may decrease the excretion rate of Hydromorphone which could result in a higher serum level.]
[L04AX04, lenalidomide, Ranolazine may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Ranolazine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Ranolazine.]
[H03BC01, potassium perchlorate, Ranolazine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Ranolazine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D07AC18, prednicarbate, The metabolism of Ranolazine can be increased when combined with Prednicarbate.]
[C08DB01, diltiazem, The metabolism of Ranolazine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Ranolazine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, The metabolism of Ranolazine can be decreased when combined with Dimethyl sulfoxide.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C05CA03, diosmin, The serum concentration of Ranolazine can be increased when it is combined with Diosmin.]
[R06AA02, diphenhydramine, The serum concentration of Diphenhydramine can be increased when it is combined with Ranolazine.]
[B01AC07, dipyridamole, Ranolazine may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Cisapride.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be increased when it is combined with Ranolazine.]
[N05AL04, remoxipride, The serum concentration of Remoxipride can be increased when it is combined with Ranolazine.]
[S01AX06, resorcinol, Ranolazine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Disopyramide.]
[P03AA04, disulfiram, Ranolazine may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Ranolazine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Ranolazine can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Ranolazine can be increased when combined with Rifaximin.]
[N05AX08, risperidone, The serum concentration of Risperidone can be increased when it is combined with Ranolazine.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Ranolazine.]
[N01BB09, ropivacaine, Ranolazine may decrease the excretion rate of Ropivacaine which could result in a higher serum level.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Ranolazine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Ranolazine.]
[A04AD12, aprepitant, The metabolism of Ranolazine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Ranolazine.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Ranolazine.]
[G04BE08, tadalafil, Ranolazine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Ranolazine.]
[S01AA13, fusidic acid, The metabolism of Ranolazine can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Ranolazine.]
[S02BA08, fluocinolone acetonide, The metabolism of Ranolazine can be increased when combined with Fluocinolone acetonide.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Ranolazine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ranolazine.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C01CA07, dobutamine, Ranolazine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The serum concentration of Domperidone can be increased when it is combined with Ranolazine.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Ranolazine.]
[N06AA16, dothiepin, The serum concentration of Dosulepin can be increased when it is combined with Ranolazine.]
[N06AA12, doxepin, The serum concentration of Doxepin can be increased when it is combined with Ranolazine.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Ranolazine.]
[J01AA02, doxycycline, Ranolazine may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Ranolazine.]
[N06AB06, sertraline, The serum concentration of Sertraline can be increased when it is combined with Ranolazine.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Ranolazine.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Droperidol.]
[A08AA10, sibutramine, Ranolazine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The risk or severity of myopathy and rhabdomyolysis can be increased when Ranolazine is combined with Simvastatin.]
[A12CA02, sodium sulfate, Ranolazine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Ranolazine may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Sultopride.]
[N02CC01, sumatriptan, Ranolazine may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[G01AF05, econazole, The metabolism of Ranolazine can be decreased when combined with Econazole.]
[V04CX07, edrophonium, Ranolazine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Ranolazine.]
[H01AA01, corticotropin, The metabolism of Ranolazine can be increased when combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Temafloxacin.]
[L01AX03, temozolomide, Ranolazine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Ranolazine can be increased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Terodiline.]
[C07AA16, tertatolol, The serum concentration of Tertatolol can be increased when it is combined with Ranolazine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Ranolazine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N06AG03, toloxatone, Ranolazine may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Ranolazine.]
[N03AX11, topiramate, Ranolazine may decrease the excretion rate of Topiramate which could result in a higher serum level.]
[L02BA02, toremifene, The serum concentration of Ranolazine can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Ranolazine.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Ranolazine.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Ranolazine.]
[S01GX10, epinastine, The serum concentration of Epinastine can be increased when it is combined with Ranolazine.]
[N06AX16, venlafaxine, The serum concentration of Venlafaxine can be increased when it is combined with Ranolazine.]
[C08CA12, mepirodipine, The metabolism of Ranolazine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The serum concentration of Epinephrine can be increased when it is combined with Ranolazine.]
[N05CF02, zolpidem, The serum concentration of Zolpidem can be increased when it is combined with Ranolazine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N03AX15, zonisamide, The serum concentration of Ranolazine can be increased when it is combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Ranolazine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C02AC02, guanfacine, Ranolazine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Ranolazine.]
[N02CA02, ergotamine, The metabolism of Ranolazine can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Ranolazine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The serum concentration of Ranolazine can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, Ranolazine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Ranolazine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, Ranolazine may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Ranolazine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, Ranolazine may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[C10AA04, fluvastatin, The serum concentration of Fluvastatin can be increased when it is combined with Ranolazine.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Ranolazine.]
[N03AB01, ethotoin, The metabolism of Ranolazine can be increased when combined with Ethotoin.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[S01XA06, ethylmorphine, The serum concentration of Ethylmorphine can be increased when it is combined with Ranolazine.]
[N01AX07, etomidate, Ranolazine may decrease the excretion rate of Etomidate which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Ranolazine can be increased when combined with Etoposide.]
[N05AE03, sertindole, The serum concentration of Sertindole can be increased when it is combined with Ranolazine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Ranolazine.]
[L04AD02, tacrolimus, The serum concentration of Ranolazine can be increased when it is combined with Tacrolimus.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Ranolazine.]
[R06AX11, astemizole, The serum concentration of Astemizole can be increased when it is combined with Ranolazine.]
[R06AX12, terfenadine, The metabolism of Ranolazine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Ranolazine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Ranolazine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Ranolazine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The serum concentration of Encainide can be increased when it is combined with Ranolazine.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Ranolazine.]
[C10AA03, pravastatin, The serum concentration of Pravastatin can be increased when it is combined with Ranolazine.]
[M01CB01, gold sodium thiomalate, Ranolazine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Ranolazine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Ranolazine may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ranolazine.]
[A16AA01, levocarnitine, Ranolazine may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Ranolazine.]
[C08CA02, felodipine, Ranolazine may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Fendiline.]
[N03AX26, fenfluramine, The serum concentration of Fenfluramine can be increased when it is combined with Ranolazine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Ranolazine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Ranolazine.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Ranolazine.]
[N07AX03, cevimeline, The serum concentration of Cevimeline can be increased when it is combined with Ranolazine.]
[G04BD02, flavoxate, Ranolazine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The serum concentration of Flecainide can be increased when it is combined with Ranolazine.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01CF05, floxacillin, The metabolism of Ranolazine can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The serum concentration of Ranolazine can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, Ranolazine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Ranolazine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The serum concentration of Flunarizine can be increased when it is combined with Ranolazine.]
[V03AZ01, ethanol, The metabolism of Ranolazine can be increased when combined with Ethanol.]
[L01BC09, floxuridine, Ranolazine may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Fluoxetine can be increased when it is combined with Ranolazine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Ranolazine can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, Ranolazine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Fluspirilene.]
[L02BB01, flutamide, Ranolazine may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[S02AA17, fosfomycin, Ranolazine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01BC03, tegafur, Ranolazine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[J05AE10, darunavir, The metabolism of Ranolazine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Ranolazine.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Amisulpride.]
[N06DA04, galantamine, The serum concentration of Galantamine can be increased when it is combined with Ranolazine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Ranolazine.]
[S01AD09, ganciclovir, The excretion of Ganciclovir can be decreased when combined with Ranolazine.]
[N03AA04, barbexaclone, The metabolism of Ranolazine can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, Ranolazine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Ranolazine.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Ranolazine.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Ranolazine.]
[J05AG04, etravirine, The metabolism of Ranolazine can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Ranolazine.]
[L01EH01, lapatinib, The serum concentration of Ranolazine can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, Glyburide may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[A10BB07, glipizide, Ranolazine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The metabolism of Ranolazine can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Ranolazine.]
[C02CA04, doxazosin, The serum concentration of Doxazosin can be increased when it is combined with Ranolazine.]
[L01EX02, sorafenib, The serum concentration of Ranolazine can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The serum concentration of Esmolol can be increased when it is combined with Ranolazine.]
[M01CB04, aurothioglucose, Ranolazine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Ranolazine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Ranolazine may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[D01BA01, griseofulvin, The metabolism of Ranolazine can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Ranolazine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Ranolazine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Halofantrine.]
[N05AD01, haloperidol, The metabolism of Ranolazine can be decreased when combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Ranolazine.]
[N05AH04, quetiapine, The serum concentration of Quetiapine can be increased when it is combined with Ranolazine.]
[N06BX13, idebenone, Ranolazine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Ranolazine.]
[M04AA01, allopurinol, Ranolazine may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, Ranolazine may decrease the excretion rate of Losartan which could result in a higher serum level.]
[G03DC01, allylestrenol, Ranolazine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J05AG01, nevirapine, The serum concentration of Nevirapine can be increased when it is combined with Ranolazine.]
[C08CA10, nilvadipine, The metabolism of Ranolazine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Oxatomide.]
[C09AA04, perindopril, Ranolazine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Ranolazine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The serum concentration of Hydrocodone can be increased when it is combined with Ranolazine.]
[S02BA01, hydrocortisone, The metabolism of Ranolazine can be increased when combined with Hydrocortisone.]
[D07AC16, hydrocortisone aceponate, The metabolism of Ranolazine can be increased when combined with Hydrocortisone aceponate.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Ranolazine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[G04BD06, propiverine, Ranolazine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The serum concentration of Hydroxychloroquine can be increased when it is combined with Ranolazine.]
[B05AA07, hetastarch, Ranolazine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Ranolazine can be increased when combined with Rifabutin.]
[S01BA13, rimexolone, The metabolism of Ranolazine can be increased when combined with Rimexolone.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[B05XA08, sodium acetate, Ranolazine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The serum concentration of Idarubicin can be increased when it is combined with Ranolazine.]
[L01AA06, ifosfamide, The metabolism of Ranolazine can be increased when combined with Ifosfamide.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Ranolazine.]
[L01CD01, paclitaxel, The metabolism of Ranolazine can be increased when combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Terlipressin.]
[R01AD07, tixocortol, Ranolazine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Ranolazine.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Ranolazine.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Ranolazine may decrease the excretion rate of Indomethacin which could result in a higher serum level.]
[A11HA07, inositol, Ranolazine may decrease the excretion rate of Inositol which could result in a higher serum level.]
