[P02BB01, trichlorfon, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Metrifonate.]
[L04AB04, adalimumab, The metabolism of Paroxetine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Paroxetine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Paroxetine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Paroxetine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Paroxetine.]
[N02AC01, dextromoramide, The risk or severity of serotonin syndrome can be increased when Dextromoramide is combined with Paroxetine.]
[H05AA02, teriparatide, The therapeutic efficacy of Teriparatide can be decreased when used in combination with Paroxetine.]
[S01AA13, fusidic acid, The metabolism of Paroxetine can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The metabolism of Paroxetine can be decreased when combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Mefenamic acid.]
[B01AC04, clopidogrel, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of serotonin syndrome can be increased when Diamorphine is combined with Paroxetine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Paroxetine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Paroxetine.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Paroxetine.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Paroxetine.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Dibenzepin is combined with Paroxetine.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Paroxetine.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Diclofenac.]
[A03AA07, dicyclomine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Pipamperone is combined with Paroxetine.]
[A03AB14, pipenzolate, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Paroxetine.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Pirbuterol.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Paroxetine.]
[C08CA03, isradipine, The metabolism of Paroxetine can be decreased when combined with Isradipine.]
[A03AB11, poldine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Diflunisal.]
[C02DB01, dihydralazine, The metabolism of Paroxetine can be decreased when combined with Dihydralazine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Paroxetine.]
[N02AA03, hydromorphone, The risk or severity of serotonin syndrome can be increased when Hydromorphone is combined with Paroxetine.]
[J05AE08, atazanavir, The metabolism of Paroxetine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Paroxetine.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Potassium perchlorate can be decreased when used in combination with Paroxetine.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Pramocaine is combined with Paroxetine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Paroxetine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Paroxetine.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Pridinol is combined with Paroxetine.]
[R06AB03, dimethindene, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Paroxetine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Paroxetine.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Paroxetine.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Proglumetacin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Paroxetine.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Paroxetine.]
[A07DA01, diphenoxylate, The risk or severity of serotonin syndrome can be increased when Diphenoxylate is combined with Paroxetine.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Paroxetine.]
[B01AC07, dipyridamole, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Paroxetine.]
[B01AD10, drotrecogin alfa, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Quinupramine is combined with Paroxetine.]
[A03FA02, cisapride, The metabolism of Paroxetine can be decreased when combined with Cisapride.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Paroxetine.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Reproterol.]
[C01BA03, disopyramide, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Distigmine.]
[S02AA12, rifamycin SV, The metabolism of Paroxetine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Paroxetine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Paroxetine.]
[N05AX08, risperidone, The serum concentration of Risperidone can be increased when it is combined with Paroxetine.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Levocetirizine is combined with Paroxetine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Paroxetine.]
[J01MB01, rosoxacin, The metabolism of Paroxetine can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Paroxetine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Paroxetine.]
[J05AE07, fosamprenavir, The serum concentration of Paroxetine can be decreased when it is combined with Fosamprenavir.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Ketorolac.]
[C01EB18, ranolazine, The serum concentration of Paroxetine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Salmeterol.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Salmon calcitonin can be decreased when used in combination with Paroxetine.]
[C01CA07, dobutamine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Dobutamine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Paroxetine.]
[C01CA04, dopamine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Paroxetine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Paroxetine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Paroxetine.]
[L01DB01, doxorubicin, The metabolism of Paroxetine can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Paroxetine.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Paroxetine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Paroxetine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Paroxetine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Paroxetine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Paroxetine.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Sultopride is combined with Paroxetine.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Paroxetine.]
[V04CX07, edrophonium, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Paroxetine.]
[J01MA05, temafloxacin, The metabolism of Paroxetine can be decreased when combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Paroxetine can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Paroxetine.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Tetrazepam is combined with Paroxetine.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Thiocolchicoside is combined with Paroxetine.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Thiopropazate is combined with Paroxetine.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Emepronium is combined with Paroxetine.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Paroxetine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Tofisopam is combined with Paroxetine.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the serotonergic activities of Paroxetine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Paroxetine.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Paroxetine is combined with Topiramate.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Paroxetine.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Tramazoline.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Loprazolam is combined with Paroxetine.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Triclofos is combined with Paroxetine.]
[A03AB08, tridihexethyl, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Triflusal.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Paroxetine.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Follitropin can be decreased when used in combination with Paroxetine.]
[N04AA12, tropatepine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Troxerutin.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Paroxetine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Urapidil is combined with Paroxetine.]
[J01MA04, enoxacin, The metabolism of Paroxetine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Veralipride is combined with Paroxetine.]
[L01CA04, vinorelbine, The metabolism of Paroxetine can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Ephedrine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Paroxetine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Paroxetine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Paroxetine.]
[N05CF02, zolpidem, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Paroxetine.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Paroxetine.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Zotepine is combined with Paroxetine.]
[B01AD03, anistreplase, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Anistreplase.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Paroxetine.]
[B01AC11, iloprost, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Paroxetine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Paroxetine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Paroxetine.]
[N02CA02, ergotamine, The metabolism of Paroxetine can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Paroxetine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Paroxetine.]
[A02BC02, pantoprazole, The metabolism of Paroxetine can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Paroxetine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Paroxetine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Paroxetine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Paroxetine can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Paroxetine.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Paroxetine.]
[L02AA03, ethinyl estradiol, The metabolism of Paroxetine can be decreased when combined with Ethinylestradiol.]
[N04AA05, profenamine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Paroxetine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Paroxetine.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of serotonin syndrome can be increased when Ethylmorphine is combined with Paroxetine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Paroxetine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Paroxetine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Paroxetine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Paroxetine.]
[A02BA04, nizatidine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Nizatidine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Paroxetine.]
[R06AX12, terfenadine, The metabolism of Paroxetine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Paroxetine.]
[N06AB08, fluvoxamine, The metabolism of Paroxetine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Paroxetine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Paroxetine.]
[C10AA03, pravastatin, The risk or severity of increased glucose can be increased when Pravastatin is combined with Paroxetine.]
[B05AA05, dextran, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Dextran.]
[A02BA03, famotidine, The metabolism of Paroxetine can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Paroxetine can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Paroxetine can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Paroxetine is combined with Fenoterol.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Paroxetine.]
[R03CC02, albuterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Salbutamol.]
[B01AD05, plasmin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Fibrinolysin.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Paroxetine.]
[G04BD02, flavoxate, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Paroxetine.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Paroxetine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Paroxetine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Paroxetine.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Melitracen is combined with Paroxetine.]
[V03AZ01, ethanol, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Paroxetine can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Paroxetine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of adverse effects can be increased when Flupentixol is combined with Paroxetine.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Paroxetine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Paroxetine.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Fluspirilene is combined with Paroxetine.]
[L02BB01, flutamide, The metabolism of Paroxetine can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Paroxetine.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Alcuronium is combined with Paroxetine.]
[G01AX06, furazolidone, Furazolidone may increase the serotonergic activities of Paroxetine.]
[J05AE10, darunavir, The serum concentration of Paroxetine can be decreased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Paroxetine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Amisulpride is combined with Paroxetine.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Paroxetine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Gallamine is combined with Paroxetine.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Barbexaclone is combined with Paroxetine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Bifemelane is combined with Paroxetine.]
[C10AB04, gemfibrozil, The metabolism of Paroxetine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Paroxetine.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Paroxetine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Paroxetine.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Liraglutide.]
[J05AG04, etravirine, The metabolism of Paroxetine can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Methsuximide is combined with Paroxetine.]
[N01AH02, alfentanil, The risk or severity of serotonin syndrome can be increased when Alfentanil is combined with Paroxetine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Paroxetine.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Glipizide.]
[H04AA01, glucagon, Paroxetine may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Paroxetine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Paroxetine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Paroxetine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Paroxetine.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Paroxetine.]
[L01EX02, sorafenib, The metabolism of Paroxetine can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Paroxetine.]
[B01AA12, fluindione, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Fluindione.]
[P01BX01, halofantrine, The metabolism of Paroxetine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Paroxetine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Paroxetine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Paroxetine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Iprazochrome is combined with Paroxetine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Paroxetine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Allobarbital is combined with Paroxetine.]
[C09CA01, losartan, The metabolism of Paroxetine can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Heparin.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Paroxetine.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Mesalazine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Paroxetine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Paroxetine.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Paroxetine.]
[C08CA10, nilvadipine, The metabolism of Paroxetine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Nimesulide.]
[C03AA03, hydrochlorothiazide, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Hydroflumethiazide.]
[G04BD06, propiverine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Paroxetine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Prothipendyl is combined with Paroxetine.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[J04AB04, rifabutin, The metabolism of Paroxetine can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Ibuprofen.]
[B05CB02, sodium citrate, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Paroxetine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Paroxetine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Paroxetine.]
[H01AC02, somatrem, The metabolism of Paroxetine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Paroxetine.]
[N06AA02, imipramine, The metabolism of Paroxetine can be decreased when combined with Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Paroxetine.]
[C03BA11, indapamide, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Indapamide.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The metabolism of Paroxetine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Paroxetine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Paroxetine is combined with Milnacipran.]
[A03AA30, piperidolate, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Articaine is combined with Paroxetine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Sitagliptin.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Paroxetine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Paroxetine.]
[R06AE01, buclizine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Paroxetine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Paroxetine.]
