[P02BB01, trichlorfon, The therapeutic efficacy of Trospium can be decreased when used in combination with Metrifonate.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Trospium.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Trospium.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Midodrine.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Trospium.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Trospium.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Trospium.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Trospium is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Trospium.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Trospium.]
[N03AB05, fosphenytoin, Fosphenytoin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Trospium.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Trospium is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Trospium is combined with Naltrexone.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Trospium is combined with Naphazoline.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Trospium.]
[N06AX21, duloxetine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Trospium is combined with Remifentanil.]
[S01EB06, neostigmine, The therapeutic efficacy of Trospium can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, Iloperidone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Trospium is combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Trospium.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Trospium.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Trospium.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01CA03, norepinephrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Norepinephrine.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Trospium.]
[G02CA02, nylidrin, The risk or severity of Tachycardia can be increased when Trospium is combined with Nylidrin.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Trospium is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Trospium is combined with Orciprenaline.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Trospium.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Trospium is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Trospium is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Trospium is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Trospium is combined with Oxyphenonium.]
[N05AH05, asenapine, Asenapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Trospium is combined with Tapentadol.]
[M03AC01, pancuronium, Pancuronium may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Trospium is combined with Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Trospium is combined with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Trospium.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Trospium.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Trospium is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Trospium.]
[N03AA02, phenobarbital, Phenobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Trospium.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Trospium is combined with Phenoperidine.]
[A08AA01, phentermine, The risk or severity of Tachycardia can be increased when Phentermine is combined with Trospium.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Trospium is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, Phenytoin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[V03AB19, physostigmine, The therapeutic efficacy of Trospium can be decreased when used in combination with Physostigmine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Trospium.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Trospium.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Trospium is combined with Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Trospium is combined with Piritramide.]
[N02CX01, pizotyline, Pizotifen may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[J05AG02, delavirdine, The metabolism of Delavirdine can be decreased when combined with Trospium.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Trospium.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C03AA05, polythiazide, The serum concentration of Polythiazide can be increased when it is combined with Trospium.]
[J05AE03, ritonavir, The metabolism of Ritonavir can be decreased when combined with Trospium.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Trospium is combined with Potassium chloride.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Trospium.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AA03, primidone, Primidone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Trospium.]
[S01HA05, procaine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01XB01, procarbazine, Procarbazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04AA04, procyclidine, The risk or severity of adverse effects can be increased when Trospium is combined with Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Trospium.]
[N05AA03, promazine, Promazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AD02, promethazine, Promethazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Trospium.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AB05, propantheline, The risk or severity of adverse effects can be increased when Trospium is combined with Propantheline.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM06, propiomazine, Propiomazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Trospium is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Trospium.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R01BA02, pseudoephedrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Aripiprazole may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AB15, diphemanil, The risk or severity of adverse effects can be increased when Trospium is combined with Diphemanil.]
[A03AB09, isopropamide, The risk or severity of adverse effects can be increased when Trospium is combined with Isopropamide.]
[S01FA03, methscopolamine, The risk or severity of adverse effects can be increased when Trospium is combined with Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Trospium can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01BA01, quinidine, The risk or severity of adverse effects can be increased when Trospium is combined with Quinidine.]
[P01BC01, quinine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Trospium.]
[N04BD01, selegiline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Trospium.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Trospium.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Trospium is combined with Ipratropium.]
