[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rilpivirine.]
[L01BC05, gemcitabine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Gemcitabine.]
[J01DF01, aztreonam, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Aztreonam.]
[R02AB04, bacitracin, Bacitracin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Tenofovir alafenamide.]
[M03BX01, baclofen, Tenofovir alafenamide may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Tenofovir alafenamide.]
[A08AA11, lorcaserin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Carfilzomib.]
[L02BB04, enzalutamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Tenofovir alafenamide.]
[L04AA31, teriflunomide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Teriflunomide.]
[L01EX05, regorafenib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Barbital.]
[D02BA02, octinoxate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Octinoxate.]
[J05AE04, nelfinavir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nelfinavir.]
[N04BD02, rasagiline, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Rasagiline.]
[N03AX22, perampanel, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Perampanel.]
[V09IX04, fluorodeoxyglucose F18, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fludeoxyglucose (18F).]
[H01CB05, pasireotide, The metabolism of Tenofovir alafenamide can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Gadofosveset trisodium.]
[L01EA05, ponatinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ponatinib.]
[A16AX08, teduglutide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Teduglutide.]
[C10AX12, lomitapide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lomitapide.]
[A10BH04, alogliptin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pomalidomide.]
[N02BA10, benorilate, Benorilate may increase the nephrotoxic activities of Tenofovir alafenamide.]
[A10BK02, canagliflozin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Canagliflozin.]
[M04AB03, benzbromarone, The excretion of Tenofovir alafenamide can be decreased when combined with Benzbromarone.]
[J02AX04, caspofungin, The excretion of Tenofovir alafenamide can be decreased when combined with Caspofungin.]
[L03AA12, ancestim, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ancestim.]
[M01AH01, celecoxib, Celecoxib may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L04AA18, everolimus, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Benzydamine.]
[L01EE01, trametinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Trametinib.]
[V09AX05, florbetapir F-18, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Florbetapir (18F).]
[L01EB03, afatinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Levomilnacipran.]
[J05AJ03, dolutegravir, The excretion of Tenofovir alafenamide can be decreased when combined with Dolutegravir.]
[A10BJ03, lixisenatide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lixisenatide.]
[A05AA03, cholic acid, The excretion of Tenofovir alafenamide can be decreased when combined with Cholic Acid.]
[C02KX04, macitentan, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Macitentan.]
[N06AX26, vortioxetine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Vortioxetine.]
[G03AC08, etonogestrel, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Etonogestrel.]
[N03AF04, eslicarbazepine, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Simeprevir.]
[N03AG04, vigabatrin, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Vigabatrin.]
[C01CA27, droxidopa, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Droxidopa.]
[N05CH03, tasimelteon, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Tenofovir alafenamide can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Apremilast.]
[L02BG02, formestane, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Tenofovir alafenamide can be increased when combined with Betamethasone.]
[V03AB34, fomepizole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fomepizole.]
[C10AB02, bezafibrate, The excretion of Tenofovir alafenamide can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Tenofovir alafenamide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Tenofovir alafenamide.]
[B01AC26, vorapaxar, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Vorapaxar.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Tenofovir alafenamide.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Tenofovir alafenamide.]
[N07XX08, tafamidis, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tafamidis.]
[V08AA01, diatrizoic acid, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Diatrizoate.]
[V08AA04, iothalamic acid, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Diatrizoate.]
[N05CM19, suvorexant, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Tenofovir alafenamide can be increased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01EX09, nintedanib, The metabolism of Tenofovir alafenamide can be decreased when combined with Nintedanib.]
[S03AA06, gentamicin, Gentamicin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J05AP09, dasabuvir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Tenofovir alafenamide.]
[B01AF03, edoxaban, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Tenofovir alafenamide can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Tenofovir alafenamide can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The excretion of Tenofovir alafenamide can be decreased when combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Tenofovir alafenamide.]
[J05AP07, daclatasvir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Acetaminophen.]
[L01DC01, bleomycin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Bleomycin.]
[J05AF08, adefovir dipivoxil, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Adefovir dipivoxil.]
[J05AP06, asunaprevir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The excretion of Tenofovir alafenamide can be decreased when combined with Eluxadoline.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Tenofovir alafenamide.]
[A04AD14, rolapitant, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flibanserin.]
[M02AA25, aceclofenac, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Aceclofenac.]
[M01AB11, acemetacin, Acemetacin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[S01EC01, acetazolamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Acetazolamide.]
[A02BC03, lansoprazole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lansoprazole.]
[V03AB37, idarucizumab, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Idarucizumab.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Tenofovir alafenamide.]
[J02AC05, isavuconazole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Osimertinib.]
[S01AA13, fusidic acid, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fusidic acid.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Tenofovir alafenamide.]
[L01XG03, ixazomib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ixazomib.]
[L01ED03, alectinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Alectinib.]
[M04AB05, lesinurad, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lesinurad.]
[J05AP10, elbasvir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Elbasvir.]
[J05AP11, grazoprevir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Grazoprevir.]
[N05CA05, aprobarbital, The metabolism of Tenofovir alafenamide can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N03AX23, brivaracetam, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Brivaracetam.]
[L01XX52, venetoclax, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Bromazepam.]
[A02AD05, aluminum magnesium silicate, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Almasilate.]
[N05AX17, pimavanserin, The metabolism of Tenofovir alafenamide can be decreased when combined with Pimavanserin.]
[C03CA02, bumetanide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Bumetanide.]
[N01BB01, bupivacaine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Levobupivacaine.]
[N07BC01, buprenorphine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Buprenorphine.]
[N05BE01, buspirone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Buspirone.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Tenofovir alafenamide.]
[L01XX27, arsenic trioxide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Arsenic trioxide.]
[M02AA03, clofezone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Rabeprazole.]
[L01XK03, rucaparib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Tenofovir alafenamide can be decreased when combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Tenofovir alafenamide can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the nephrotoxic activities of Tenofovir alafenamide.]
[A06AH05, naldemedine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Naldemedine.]
[N07XX16, deutetrabenazine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Pregabalin.]
[N03AX30, beclamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Beclamide.]
[N06BC01, caffeine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Caffeine.]
[D05AX03, calcitriol, The metabolism of Tenofovir alafenamide can be increased when combined with Calcitriol.]
[P01CA02, benznidazole, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Benznidazole.]
[J01XX08, linezolid, The excretion of Tenofovir alafenamide can be decreased when combined with Linezolid.]
[J05AF06, abacavir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Abacavir.]
[J05AE09, tipranavir, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Tipranavir.]
[N07XX13, valbenazine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Valbenazine.]
[L04AB02, infliximab, The metabolism of Tenofovir alafenamide can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Tenofovir alafenamide can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Brigatinib.]
[N04BD03, safinamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Safinamide.]
[L04AC14, sarilumab, The metabolism of Tenofovir alafenamide can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Delafloxacin.]
[D01AC10, bifonazole, The metabolism of Tenofovir alafenamide can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Capecitabine.]
[L01XX59, enasidenib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Neratinib.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Tenofovir alafenamide.]
[L01EF03, abemaciclib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Abemaciclib.]
[C07AB07, bisoprolol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Tenofovir alafenamide can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may increase the nephrotoxic activities of Tenofovir alafenamide.]
[V03AB23, acetylcysteine, The excretion of Tenofovir alafenamide can be decreased when combined with Acetylcysteine.]
[R03BA02, budesonide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Tenofovir alafenamide.]
[S01EE06, latanoprostene bunod, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Latanoprostene bunod.]
[J05AX18, letermovir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Letermovir.]
[N01BX04, capsaicin, The metabolism of Tenofovir alafenamide can be decreased when combined with Capsaicin.]
[R06AX18, acrivastine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Acrivastine.]
[C09AA01, captopril, The excretion of Tenofovir alafenamide can be decreased when combined with Captopril.]
[L02BB05, apalutamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Carbamazepine.]
[J01CA03, carbenicillin, The excretion of Tenofovir alafenamide can be decreased when combined with Carbenicillin.]
[C07AG02, carvedilol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Carvedilol.]
[B02BX09, fostamatinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fostamatinib.]
[N03AX24, cannabidiol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cannabidiol.]
[B02BX08, avatrombopag, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Avatrombopag.]
[L04AA37, baricitinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DD10, cefetamet, Cefetamet may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DD09, cefodizime, Cefodizime may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DC11, ceforanide, Ceforanide may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DD13, cefpodoxime, Cefpodoxime may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DD14, ceftibuten, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ceftibuten.]
[J01GB14, plazomicin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Plazomicin.]
[H01CC03, elagolix, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Tenofovir alafenamide can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Migalastat.]
[N03AX17, stiripentol, The metabolism of Tenofovir alafenamide can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Tenofovir alafenamide can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Tenofovir alafenamide.]
[L01EB07, dacomitinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Sarecycline.]
[S01GX12, cetirizine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cetirizine.]
[D08AE05, chloroxylenol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Chloroxylenol.]
[M01AC05, lornoxicam, Lornoxicam may increase the nephrotoxic activities of Tenofovir alafenamide.]
[N07XX15, inotersen, Inotersen may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01ED05, lorlatinib, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Tenofovir alafenamide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Carmustine.]
[L01EX13, gilteritinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Glasdegib.]
[A06AX05, prucalopride, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Prucalopride.]
[B01AC23, cilostazol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cilostazol.]
[P02BX04, triclabendazole, The metabolism of Tenofovir alafenamide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Tenofovir alafenamide can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Tenofovir alafenamide.]
[J01FA09, clarithromycin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Solriamfetol.]
[N06AX29, brexanolone, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Brexanolone.]
[L01EN01, erdafitinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Tenofovir alafenamide can be increased when combined with Cloprednol.]
[C09CA06, candesartan, The excretion of Tenofovir alafenamide can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Tenofovir alafenamide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Tenofovir alafenamide can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Tenofovir alafenamide.]
[J01DC04, cefaclor, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cefaclor.]
[J01DB05, cefadroxil, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cefadroxil.]
[J01DC03, cefamandole, Cefamandole may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01XX66, selinexor, The excretion of Tenofovir alafenamide can be decreased when combined with Selinexor.]
[J01DB07, cefatrizine, Cefatrizine may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DB04, cefazolin, Cefazolin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L02BB06, darolutamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Darolutamide.]
[J01DC09, cefmetazole, Cefmetazole may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DC06, cefonicid, Cefonicid may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Tenofovir alafenamide.]
[J01DD12, cefoperazone, Cefoperazone may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DD01, cefotaxime, Cefotaxime may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DC05, cefotetan, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cefotetan.]
[J01DC07, cefotiam, Cefotiam may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DC01, cefoxitin, Cefoxitin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DD03, cefsulodin, Cefsulodin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DD02, ceftazidime, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ceftazidime.]
[J01DD07, ceftizoxime, Ceftizoxime may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DD04, ceftriaxone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ceftriaxone.]
[S01AA27, cefuroxime, Cefuroxime may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01EJ02, fedratinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Tenofovir alafenamide can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Tenofovir alafenamide.]
[N04CX01, istradefylline, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The excretion of Tenofovir alafenamide can be decreased when combined with Cyclothiazide.]
[J01XX09, daptomycin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Daptomycin.]
[J01DB01, cephalexin, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cephalexin.]
[J01DB02, cephaloridine, Cefaloridine may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DB03, cephalothin, Cefalotin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DB08, cephapirin, Cefapirin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[J01DB09, cephradine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Tenofovir alafenamide can be increased when combined with Deflazacort.]
[N02CC08, lasmiditan, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lasmiditan.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Tenofovir alafenamide.]
[N03AX25, cenobamate, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may increase the nephrotoxic activities of Tenofovir alafenamide.]
[M09AX08, golodirsen, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Golodirsen.]
[S01XA12, dexpanthenol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dexpanthenol.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Tenofovir alafenamide.]
[C10AX15, bempedoic acid, The excretion of Tenofovir alafenamide can be decreased when combined with Bempedoic acid.]
[J05AB16, remdesivir, The metabolism of Tenofovir alafenamide can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Tenofovir alafenamide can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Tenofovir alafenamide can be decreased when combined with Amprenavir.]
[R02AA03, dichlorobenzyl alcohol, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dichlorobenzyl alcohol.]
[G03DB08, dienogest, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dienogest.]
[M01AH02, rofecoxib, Rofecoxib may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01XF03, bexarotene, The metabolism of Tenofovir alafenamide can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dronedarone.]
[N03AG02, dipropylacetamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Valpromide.]
[J01FA13, dirithromycin, The metabolism of Tenofovir alafenamide can be decreased when combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Tenofovir alafenamide can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Tenofovir alafenamide.]
[L01EX17, capmatinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Tenofovir alafenamide can be increased when combined with Fluprednidene.]
[M01AC04, droxicam, Droxicam may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01EX19, ripretinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ripretinib.]
[V08CA05, mangafodipir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mangafodipir.]
[M02AA27, dexketoprofen, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Clomethiazole.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Tenofovir alafenamide.]
[J05AX29, fostemsavir, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fostemsavir.]
[L04AC19, satralizumab, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Chloroquine.]
[L01EX23, pralsetinib, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, The excretion of Tenofovir alafenamide can be decreased when combined with Chlorothiazide.]
[N05AA01, chlorpromazine, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Chlorpropamide.]
[M03BB03, chlorzoxazone, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Chlorzoxazone.]
[V04CK02, cholecystokinin, The excretion of Tenofovir alafenamide can be decreased when combined with Cholecystokinin.]
[N02BA07, ethenzamide, Ethenzamide may increase the nephrotoxic activities of Tenofovir alafenamide.]
