[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Antipyrine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Dobutamine.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[P01AX07, trimetrexate, Dobutamine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Dobutamine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Dobutamine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Dobutamine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C08CA02, felodipine, Dobutamine may decrease the antihypertensive activities of Felodipine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Dobutamine.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Fenoterol.]
[N02AB03, fentanyl, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Dobutamine.]
[R03CC02, albuterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Salbutamol.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[G04BD02, flavoxate, Dobutamine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Dobutamine is combined with Floctafenine.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J02AX01, flucytosine, Dobutamine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The risk or severity of hypokalemia can be increased when Fludrocortisone is combined with Dobutamine.]
[V03AB25, flumazenil, Dobutamine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of hypokalemia can be increased when Flumethasone is combined with Dobutamine.]
[D07AC08, fluocinonide, The risk or severity of hypokalemia can be increased when Fluocinonide is combined with Dobutamine.]
[N06AA14, melitracen, Melitracen may increase the vasopressor activities of Dobutamine.]
[H02AB03, fluocortolone, The risk or severity of hypokalemia can be increased when Fluocortolone is combined with Dobutamine.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01CB05, fluorometholone, The risk or severity of hypokalemia can be increased when Fluorometholone is combined with Dobutamine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Flupentixol.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Dobutamine.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L01BC03, tegafur, Dobutamine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Dobutamine is combined with Adrafinil.]
[G01AX06, furazolidone, Furazolidone may increase the hypertensive activities of Dobutamine.]
[C03CA01, furosemide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Furosemide.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01AD09, ganciclovir, Dobutamine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Dobutamine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Dobutamine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, Cabergoline may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Cafedrine.]
[A12AA13, calcium citrate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium citrate.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium lactate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium levulinate.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Dobutamine.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Dobutamine.]
[A10BB07, glipizide, Dobutamine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Dobutamine.]
[C05AE01, nitroglycerin, Dobutamine may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Doxazosin.]
[H01AB01, thyrotropin alfa, The risk or severity of adverse effects can be increased when Dobutamine is combined with Thyrotropin alfa.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C07AB09, esmolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Esmolol.]
[M01CB04, aurothioglucose, Dobutamine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Dobutamine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Dobutamine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Dobutamine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N01AB01, halothane, The risk or severity of hypertension can be increased when Dobutamine is combined with Halothane.]
[N05AH04, quetiapine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Quetiapine.]
[N06BX13, idebenone, Dobutamine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C09CA01, losartan, Dobutamine may decrease the antihypertensive activities of Losartan.]
[G03DC01, allylestrenol, Dobutamine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Dobutamine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[R03CC05, hexoprenaline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Hexoprenaline.]
[C08CA10, nilvadipine, Dobutamine may decrease the antihypertensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Dobutamine is combined with Nimesulide.]
[C09AA04, perindopril, Dobutamine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Dobutamine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hypokalemia can be increased when Hydrocortisone is combined with Dobutamine.]
[C03AA02, hydroflumethiazide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Hydroflumethiazide.]
[B05XA17, potassium acetate, Dobutamine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[G04BD06, propiverine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Propiverine.]
[B05AA07, hetastarch, Dobutamine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[C02AC06, rilmenidine, Dobutamine may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Dobutamine is combined with Ibuprofen.]
[B05XA08, sodium acetate, Dobutamine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Dobutamine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Dobutamine.]
[N06AA02, imipramine, Imipramine may increase the vasopressor activities of Dobutamine.]
[R01AD07, tixocortol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Dobutamine.]
[M03BX02, tizanidine, The risk or severity of Tachycardia can be increased when Tizanidine is combined with Dobutamine.]
[L01CE01, topotecan, Dobutamine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Dobutamine.]
[C02CA02, indoramin, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Indoramin.]
[A11HA07, inositol, Dobutamine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Milnacipran may increase the tachycardic activities of Dobutamine.]
[A03AA30, piperidolate, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Piperidolate.]
[S01XA28, varenicline, Dobutamine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Dobutamine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05CH02, ramelteon, Dobutamine may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[R06AE01, buclizine, The risk or severity of Tachycardia can be increased when Buclizine is combined with Dobutamine.]
[G02CX01, atosiban, The risk or severity of adverse effects can be increased when Dobutamine is combined with Atosiban.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Dobutamine.]
[C07AA01, alprenolol, Alprenolol may decrease the bronchodilatory activities of Dobutamine.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Dobutamine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, Iprindole may increase the vasopressor activities of Dobutamine.]
[N06AF05, iproniazid, Iproniazid may increase the hypertensive activities of Dobutamine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypertensive activities of Dobutamine.]
[R03CC06, isoetharine, The risk or severity of adverse effects can be increased when Isoetharine is combined with Dobutamine.]
[C09AA16, imidapril, Dobutamine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of hypertension can be increased when Isoflurane is combined with Dobutamine.]
[N04BX02, entacapone, The metabolism of Dobutamine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, Dobutamine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Dobutamine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Isoprenaline.]
[D10BA01, isotretinoin, Dobutamine may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Dobutamine is combined with Isoxsuprine.]
[S01AA24, kanamycin, Dobutamine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Dobutamine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02KD01, ketanserin, Dobutamine may decrease the antihypertensive activities of Ketanserin.]
[B01AC22, prasugrel, Dobutamine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[N05AH03, olanzapine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Dobutamine is combined with Ketoprofen.]
[C01CA22, arbutamine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Arbutamine.]
[N04BC09, rotigotine, The risk or severity of hypertension can be increased when Dobutamine is combined with Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Dobutamine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Labetalol.]
[N04BB01, amantadine, Dobutamine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AA05, deserpidine, Dobutamine may decrease the antihypertensive activities of Deserpidine.]
[A06AX03, lubiprostone, Dobutamine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Etacrynic acid.]
[S01AA21, amikacin, Dobutamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, Lisuride may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[N06AA07, lofepramine, Lofepramine may increase the vasopressor activities of Dobutamine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[B05XA11, magnesium chloride, Dobutamine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Dobutamine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Dobutamine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Dobutamine may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Dobutamine.]
[C02BB01, mecamylamine, Dobutamine may decrease the antihypertensive activities of Mecamylamine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Dobutamine is combined with Meclofenamic acid.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Dobutamine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Dobutamine is combined with Mephentermine.]
[N01BB03, mepivacaine, Dobutamine may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Dobutamine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Dobutamine.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N06BA03, methamphetamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Metamfetamine.]
[A03AB07, methantheline, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Methantheline.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, Metergoline may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Dobutamine is combined with Methimazole.]
[L01BA04, pemetrexed, Dobutamine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Dobutamine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of hypertension can be increased when Dobutamine is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Methyclothiazide.]
[C02AB01, methyldopa, Dobutamine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the hypertensive activities of Dobutamine.]
[G02AB01, methylergonovine, Methylergometrine may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Aminophylline.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Dobutamine.]
[H02AB04, methylprednisolone, The risk or severity of hypokalemia can be increased when Methylprednisolone is combined with Dobutamine.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hypokalemia can be increased when Methylprednisolone aceponate is combined with Dobutamine.]
[G03EK01, methyltestosterone, Dobutamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, Methysergide may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[A03FA01, metoclopramide, Dobutamine may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Metoprolol.]
[V04CD01, metyrapone, Dobutamine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, The risk or severity of hypertension can be increased when Dobutamine is combined with Mianserin.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Aminophenazone.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Dobutamine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C09CA03, valsartan, Dobutamine may decrease the antihypertensive activities of Valsartan.]
[D11AX01, minoxidil, Dobutamine may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N06AA09, amitriptyline, Amitriptyline may increase the vasopressor activities of Dobutamine.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Dobutamine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Dobutamine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Dobutamine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[G04CA04, silodosin, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Silodosin.]
[N06AA17, amoxapine, Amoxapine may increase the vasopressor activities of Dobutamine.]
[C07AA12, nadolol, Nadolol may decrease the bronchodilatory activities of Dobutamine.]
[J01CA04, amoxicillin, Dobutamine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Dobutamine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Dobutamine is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Dobutamine.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Dobutamine.]
[N06AX21, duloxetine, Duloxetine may increase the tachycardic activities of Dobutamine.]
[N04BX01, tolcapone, The metabolism of Dobutamine can be decreased when combined with Tolcapone.]
[S03AA01, neomycin, Dobutamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Dobutamine is combined with Remifentanil.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AX14, iloperidone, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L03AX16, plerixafor, Dobutamine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Dobutamine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the tachycardic activities of Dobutamine.]
[C09CA07, telmisartan, Dobutamine may decrease the antihypertensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CE01, inamrinone, Dobutamine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, Nialamide may increase the hypertensive activities of Dobutamine.]
[C08CA04, nicardipine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Dobutamine.]
[C08CA05, nifedipine, Dobutamine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Dobutamine is combined with Niflumic acid.]
[C08CA06, nimodipine, Dobutamine may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Dobutamine may decrease the antihypertensive activities of Nisoldipine.]
[C08CA08, nitrendipine, Dobutamine may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05CF03, zaleplon, Dobutamine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C02DD01, nitroprusside, Dobutamine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of hypertension can be increased when Dobutamine is combined with Nitrous oxide.]
[C01CA03, norepinephrine, The therapeutic efficacy of Dobutamine can be increased when used in combination with Norepinephrine.]
[C02KX01, bosentan, Dobutamine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the vasopressor activities of Dobutamine.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Dobutamine is combined with Nylidrin.]
[N06AA05, opipramol, Opipramol may increase the vasopressor activities of Dobutamine.]
[N02AA02, opium, Dobutamine may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, The risk or severity of adverse effects can be increased when Orciprenaline is combined with Dobutamine.]
[G04CA02, tamsulosin, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Tamsulosin.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05BA04, oxazepam, Dobutamine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C07AA02, oxprenolol, Oxprenolol may decrease the bronchodilatory activities of Dobutamine.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, Dobutamine may increase the hypertensive and vasoconstricting activities of Oxymetazoline.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Dobutamine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia can be increased when Oxyphenonium is combined with Dobutamine.]
[N05AH05, asenapine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Asenapine.]
[M03AC01, pancuronium, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Pancuronium.]
[J04AB30, capreomycin, Dobutamine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of hypokalemia can be increased when Paramethasone is combined with Dobutamine.]
[C02KC01, pargyline, Pargyline may increase the hypertensive activities of Dobutamine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[G04BD11, fesoterodine, Dobutamine may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Penbutolol may decrease the bronchodilatory activities of Dobutamine.]
[J01CE09, penicillin G procaine, Dobutamine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L01XX08, pentostatin, Dobutamine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Pentoxifylline.]
[N04BC02, pergolide, Pergolide may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may increase the hypertensive activities of Dobutamine.]
[C04AX02, phenoxybenzamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Phenoxybenzamine.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Dobutamine.]
[V03AB36, phentolamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Dobutamine.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dobutamine.]
[R01BA01, phenylpropanolamine, The risk or severity of adverse effects can be increased when Phenylpropanolamine is combined with Dobutamine.]
[S01AE05, levofloxacin, Dobutamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Dobutamine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C08CX01, mibefradil, Dobutamine may decrease the antihypertensive activities of Mibefradil.]
[C07AA03, pindolol, Pindolol may decrease the bronchodilatory activities of Dobutamine.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N06BX03, piracetam, Dobutamine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Dobutamine may decrease the antihypertensive activities of Eprosartan.]
