[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dexmedetomidine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Dexmedetomidine.]
[N07BB05, nalmefene, Dexmedetomidine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Nordazepam.]
[C07AB12, nebivolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Nebivolol.]
[S01GX04, nedocromil, Dexmedetomidine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Dexmedetomidine.]
[L02BB02, nilutamide, Dexmedetomidine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tiagabine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Dexmedetomidine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Dexmedetomidine.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Escitalopram.]
[G04BD08, solifenacin, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Dexmedetomidine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Dexmedetomidine.]
[V04CH02, indigo carmine, Dexmedetomidine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C09XA02, aliskiren, Dexmedetomidine may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Oxcarbazepine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Oxiracetam.]
[N04AA08, dexetimide, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Dexmedetomidine.]
[A03AA01, oxyphencyclimine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Dexmedetomidine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Dexmedetomidine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Dexmedetomidine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Dexmedetomidine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Dexmedetomidine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Dexmedetomidine.]
[P03AC04, permethrin, Dexmedetomidine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Phenacemide.]
[V03AH01, diazoxide, Dexmedetomidine may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of hypertension can be increased when Dibenzepin is combined with Dexmedetomidine.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Dexmedetomidine.]
[R05DA08, pholcodine, Dexmedetomidine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Dexmedetomidine.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Dexmedetomidine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Dexmedetomidine may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, Dexmedetomidine may increase the bradycardic activities of Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Pipamperone.]
[A03AB14, pipenzolate, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Dexmedetomidine.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Diethylpropion.]
[C08CA03, isradipine, Dexmedetomidine may decrease the antihypertensive activities of Isradipine.]
[D07XC04, diflucortolone, Dexmedetomidine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Diflunisal.]
[C01AA05, digoxin, Dexmedetomidine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Dexmedetomidine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Dexmedetomidine.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[B01AC21, treprostinil, Dexmedetomidine may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, Dexmedetomidine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Dexmedetomidine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Dexmedetomidine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Dexmedetomidine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Pridinol.]
[R06AB03, dimethindene, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Dexmedetomidine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Progabide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Dexmedetomidine.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Proglumetacin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Dexmedetomidine.]
[R06AA02, diphenhydramine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Quazepam.]
[C09AA06, quinapril, Dexmedetomidine may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of hypertension can be increased when Quinupramine is combined with Dexmedetomidine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Dexmedetomidine.]
[C09AA05, ramipril, Dexmedetomidine may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Dexmedetomidine.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Reproterol.]
[S01AX06, resorcinol, Dexmedetomidine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Riluzole.]
[N05AX08, risperidone, Dexmedetomidine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Dexmedetomidine.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Dexmedetomidine.]
[G04BE08, tadalafil, Dexmedetomidine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Dexmedetomidine.]
[C02KX02, ambrisentan, Dexmedetomidine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Dexmedetomidine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Dexmedetomidine.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Dexmedetomidine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Dexmedetomidine.]
[N06AA12, doxepin, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dexmedetomidine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Dexmedetomidine.]
[A12CA02, sodium sulfate, Dexmedetomidine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Dexmedetomidine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, Dexmedetomidine may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sumatriptan.]
[V04CX07, edrophonium, Dexmedetomidine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Talinolol.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Dexmedetomidine.]
[L01AX03, temozolomide, Dexmedetomidine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Dexmedetomidine.]
[G04CA03, terazosin, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Dexmedetomidine.]
[G04BD05, terodiline, Dexmedetomidine may increase the bradycardic activities of Terodiline.]
[C07AA16, tertatolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Thiopropazate.]
[G04BD01, emepronium, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of hypertension can be increased when Tianeptine is combined with Dexmedetomidine.]
[C09AA02, enalapril, Dexmedetomidine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Dexmedetomidine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Dexmedetomidine.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Tramazoline.]
[C09AA10, trandolapril, Dexmedetomidine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Triclofos.]
[A03AB08, tridihexethyl, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Trimethobenzamide.]
[N04AA12, tropatepine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Dexmedetomidine.]
[C02CA06, urapidil, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Veralipride.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Epinastine.]
[N06AX16, venlafaxine, Venlafaxine may increase the tachycardic activities of Dexmedetomidine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Epinephrine.]
[C09AA15, zofenopril, Dexmedetomidine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Moricizine.]
[G02AB03, ergonovine, Ergometrine may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[N02CA02, ergotamine, Ergotamine may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Dexmedetomidine.]
[L03AX05, pidotimod, Dexmedetomidine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Dexmedetomidine.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Dexmedetomidine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Dexmedetomidine.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Dexmedetomidine.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Dexmedetomidine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Dexmedetomidine.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Amifostine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N04AA05, profenamine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Dexmedetomidine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ethotoin.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Dexmedetomidine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Dexmedetomidine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sertindole.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Dexmedetomidine.]
[R06AX12, terfenadine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[P01AX07, trimetrexate, Dexmedetomidine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Dexmedetomidine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Dexmedetomidine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[B05AA05, dextran, Dexmedetomidine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Dexmedetomidine.]
[C08CA02, felodipine, Dexmedetomidine may decrease the antihypertensive activities of Felodipine.]
[C08EA01, fendiline, Dexmedetomidine may increase the bradycardic activities of Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Dexmedetomidine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Dexmedetomidine.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Dexmedetomidine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Dexmedetomidine.]
[G04BD02, flavoxate, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Dexmedetomidine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Floctafenine.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J02AX01, flucytosine, Dexmedetomidine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Dexmedetomidine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of hypertension can be increased when Melitracen is combined with Dexmedetomidine.]
[V03AZ01, ethanol, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Dexmedetomidine.]
[N06AB03, fluoxetine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the sedative activities of Dexmedetomidine.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dexmedetomidine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Dexmedetomidine.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[S02AA17, fosfomycin, Dexmedetomidine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Dexmedetomidine.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Dexmedetomidine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Dexmedetomidine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Gallamine.]
[C08DA02, gallopamil, Dexmedetomidine may increase the bradycardic activities of Gallopamil.]
[S01AD09, ganciclovir, Dexmedetomidine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Dexmedetomidine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Bifemelane.]
[C10AB04, gemfibrozil, Dexmedetomidine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Dexmedetomidine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Dexmedetomidine.]
[N04BC06, cabergoline, Cabergoline may increase the hypertensive and vasoconstricting activities of Dexmedetomidine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Dexmedetomidine.]
