[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Halothane.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Salbutamol is combined with Halothane.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Halothane.]
[G04BD02, flavoxate, Halothane may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Halothane can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Halothane is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Halothane can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Halothane is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Halothane is combined with Melitracen.]
[V03AZ01, ethanol, Halothane may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Halothane can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Halothane.]
[N06AB03, fluoxetine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Halothane may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Halothane.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Halothane.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Halothane.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Halothane is combined with Fluspirilene.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Halothane.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Halothane is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Halothane is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Halothane is combined with Furazolidone.]
[C03CA01, furosemide, Halothane may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Halothane is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Halothane is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Halothane is combined with Gallamine.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Halothane.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Halothane is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Halothane can be decreased when combined with Gemfibrozil.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Halothane.]
[J05AG04, etravirine, The metabolism of Halothane can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Halothane is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Halothane.]
[A10BB01, glyburide, The metabolism of Halothane can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Halothane can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, The metabolism of Halothane can be decreased when combined with Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Halothane.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Halothane is combined with Glutethimide.]
[A06AX01, glycerin, The metabolism of Halothane can be increased when combined with Glycerin.]
[C05AE01, nitroglycerin, Halothane may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Halothane may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Halothane can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Halothane may decrease the antihypertensive activities of Esmolol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Halothane.]
[C09AA09, fosinopril, Halothane may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Halothane may decrease the antihypertensive activities of Guanethidine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Halothane.]
[N07XX04, sodium oxybate, The risk or severity of adverse effects can be increased when Halothane is combined with Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Halothane.]
[N05AH04, quetiapine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Halothane is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Halothane can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Halothane is combined with Allobarbital.]
[C09CA01, losartan, Halothane may decrease the antihypertensive activities of Losartan.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Halothane.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Halothane.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Halothane is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Halothane can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Nilvadipine can be decreased when combined with Halothane.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Halothane is combined with Nimesulide.]
[C09AA04, perindopril, Halothane may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Halothane may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Halothane may decrease the antihypertensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Halothane may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Halothane can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Halothane may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Halothane is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[J04AB04, rifabutin, The metabolism of Halothane can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Halothane may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Ibuprofen is combined with Halothane.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Halothane.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Halothane.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Halothane.]
[N06AA02, imipramine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Halothane is combined with Paclitaxel.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Halothane.]
[C03BA11, indapamide, Halothane may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Halothane.]
[C02CA02, indoramin, Halothane may decrease the antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Halothane is combined with Milnacipran.]
[A03AA30, piperidolate, Halothane may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Halothane is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Halothane.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Halothane.]
[R06AE01, buclizine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Halothane can be increased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Halothane.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Halothane is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Halothane is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Halothane is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Halothane is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Halothane can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Halothane.]
[C09AA16, imidapril, Halothane may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Halothane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Halothane.]
[J04AC01, isoniazid, The metabolism of Halothane can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, Halothane may increase the arrhythmogenic activities of Isoprenaline.]
[C05AE02, isosorbide dinitrate, The metabolism of Halothane can be decreased when combined with Isosorbide dinitrate.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Halothane is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Halothane.]
[L04AC07, tocilizumab, The metabolism of Halothane can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Halothane is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Halothane is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Halothane.]
[J02AB02, ketoconazole, The metabolism of Halothane can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Halothane.]
[L04AA24, abatacept, The metabolism of Halothane can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Arbutamine is combined with Halothane.]
[N04BC09, rotigotine, Halothane may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, Halothane may decrease the antihypertensive activities of Labetalol.]
[C02AA05, deserpidine, Halothane may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Halothane is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Halothane is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Halothane.]
[N06BA13, armodafinil, The metabolism of Halothane can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amiloride is combined with Halothane.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Halothane.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Halothane is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Halothane.]
[C10AA02, lovastatin, The metabolism of Halothane can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Halothane.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Halothane.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Halothane can be increased when used in combination with Magnesium sulfate.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Mannitol is combined with Halothane.]
[N06AA21, maprotiline, Halothane may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Halothane.]
[C02BB01, mecamylamine, Halothane may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Halothane.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Halothane.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Medazepam.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Halothane.]
[N06DX01, memantine, The risk or severity of adverse effects can be increased when Halothane is combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Halothane.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Halothane is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Halothane.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Halothane.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Halothane.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Halothane.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Halothane is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Halothane.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Halothane is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Halothane.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Halothane.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Halothane.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Halothane is combined with Metamfetamine.]
[A03AB07, methantheline, Halothane may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Halothane is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Halothane is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Halothane.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Methazolamide is combined with Halothane.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Halothane is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Halothane can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Halothane.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Halothane.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Halothane is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Halothane.]
[D05BA02, methoxsalen, The metabolism of Halothane can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Halothane.]
[C03AA08, methyclothiazide, The risk or severity of adverse effects can be increased when Methyclothiazide is combined with Halothane.]
[C02AB01, methyldopa, Halothane may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Halothane is combined with Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Halothane.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Halothane.]
[N06BA04, methylphenidate, Methylphenidate may increase the hypertensive activities of Halothane.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Halothane.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Halothane.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Halothane.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Halothane.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Halothane.]
[C03BA08, metolazone, Halothane may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, Halothane may decrease the antihypertensive activities of Metoprolol.]
[P01AB01, metronidazole, The metabolism of Halothane can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Halothane can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Halothane can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Halothane is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Halothane can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Halothane is combined with Aminophenazone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Halothane.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Halothane.]
[G03XB01, mifepristone, The metabolism of Halothane can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Halothane can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[D11AX01, minoxidil, Halothane may decrease the antihypertensive activities of Minoxidil.]
[L01DB07, mitoxantrone, The metabolism of Halothane can be increased when combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Halothane is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Halothane is combined with Molindone.]
[L03AC01, aldesleukin, The metabolism of Halothane can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, Amiodarone may increase the cardiodepressant activities of Halothane.]
[N06AA09, amitriptyline, Halothane may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The therapeutic efficacy of Morphine can be increased when used in combination with Halothane.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Halothane.]
[L04AB05, certolizumab pegol, The metabolism of Halothane can be increased when combined with Certolizumab pegol.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Halothane is combined with Vecuronium.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Halothane.]
[P01BA06, amodiaquine, The metabolism of Halothane can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Halothane can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be increased when it is combined with Halothane.]
[C07AA12, nadolol, Halothane may decrease the antihypertensive activities of Nadolol.]
[N04BC04, ropinirole, Halothane may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Halothane is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Halothane.]
[L04AC03, anakinra, The metabolism of Halothane can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Halothane is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Halothane.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Halothane.]
[A10BG01, troglitazone, The metabolism of Halothane can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Halothane is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Halothane.]
[L02BG04, letrozole, The metabolism of Halothane can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Halothane.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Levosimendan is combined with Halothane.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Halothane is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Halothane.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Halothane is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Halothane may decrease the antihypertensive activities of Telmisartan.]
[C10AD02, niacin, The metabolism of Halothane can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Halothane is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Halothane can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Halothane.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Halothane.]
[N07BA01, nicotine, The metabolism of Halothane can be increased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Halothane can be decreased when combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Halothane is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Halothane is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Halothane may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Halothane may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Nitrazepam.]
[C08CA08, nitrendipine, Halothane may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Halothane.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Halothane.]
[N04BC05, pramipexole, Halothane may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Halothane may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Halothane is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Halothane is combined with Nomifensine.]
[C01CA03, norepinephrine, Halothane may increase the arrhythmogenic activities of Norepinephrine.]
[C02KX01, bosentan, The metabolism of Halothane can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Halothane may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[R05DA07, noscapine, The metabolism of Halothane can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Halothane is combined with Nylidrin.]
[L04AC04, rilonacept, The metabolism of Halothane can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Halothane can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Halothane is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Halothane is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Halothane.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Tamsulosin is combined with Halothane.]
[A14AA08, oxandrolone, The metabolism of Halothane can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Halothane.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Halothane is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Halothane.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Halothane is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Halothane.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Halothane is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Halothane is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Halothane is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Halothane may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Halothane is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[M03AC01, pancuronium, Halothane may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Papaverine is combined with Halothane.]
[N05CC05, paraldehyde, Halothane may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Halothane is combined with Pargyline.]
[G04BD11, fesoterodine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Halothane is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Halothane is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Halothane.]
[N05CA01, pentobarbital, The metabolism of Halothane can be increased when combined with Pentobarbital.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Halothane is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Halothane is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Halothane can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Halothane.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Halothane.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Halothane is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Halothane is combined with Phenelzine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Halothane.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Halothane is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Halothane may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The metabolism of Halothane can be decreased when combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Phentermine is combined with Halothane.]
[V03AB36, phentolamine, Halothane may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The metabolism of Halothane can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Halothane.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Halothane.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Halothane.]
[L04AB06, golimumab, The metabolism of Halothane can be increased when combined with Golimumab.]
[C08CX01, mibefradil, Halothane may decrease the antihypertensive activities of Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Halothane can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Pimozide is combined with Halothane.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Halothane.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Halothane is combined with Pipotiazine.]
[C09CA02, eprosartan, Halothane may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Halothane is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Halothane.]
[N02CX01, pizotyline, Halothane may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Halothane can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Halothane may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Halothane is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The metabolism of Halothane can be decreased when combined with Rosiglitazone.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Halothane.]
[L04AC08, canakinumab, The metabolism of Halothane can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Halothane may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Halothane can be increased when it is combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Halothane.]
[C07AB01, practolol, Halothane may decrease the antihypertensive activities of Practolol.]
