[S02DA03, antipyrine, The metabolism of Vortioxetine can be decreased when combined with Antipyrine.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Vortioxetine can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Vortioxetine.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Ifenprodil is combined with Vortioxetine.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Vortioxetine is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Vortioxetine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Vortioxetine can be decreased when combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Vortioxetine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Vortioxetine.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C05BB03, invert sugar, Vortioxetine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[V08AB05, iopromide, Vortioxetine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Vortioxetine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Vortioxetine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Vortioxetine.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Isometheptene is combined with Vortioxetine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Vortioxetine.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Parecoxib is combined with Vortioxetine.]
[J02AC02, itraconazole, The metabolism of Vortioxetine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Vortioxetine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Kebuzone is combined with Vortioxetine.]
[L01EA01, imatinib, The serum concentration of Vortioxetine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Vortioxetine can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Vortioxetine can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, Vortioxetine may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01BA03, cortisone, The metabolism of Vortioxetine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Vortioxetine can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Vortioxetine is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Vortioxetine can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Vortioxetine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C09AA03, lisinopril, Vortioxetine may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Vortioxetine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Vortioxetine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Vortioxetine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Vortioxetine.]
[H02AB15, meprednisone, The metabolism of Vortioxetine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Vortioxetine can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N04AA03, methixene, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Vortioxetine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Vortioxetine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Vortioxetine.]
[N06AX07, minaprine, The metabolism of Vortioxetine can be decreased when combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Vortioxetine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Vortioxetine can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Vortioxetine can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Vortioxetine may decrease the antihypertensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Vortioxetine can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Vortioxetine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Vortioxetine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Vortioxetine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Vortioxetine may decrease the antihypertensive activities of Moxonidine.]
[G04BE09, vardenafil, The metabolism of Vortioxetine can be decreased when combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Vortioxetine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Vortioxetine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Vortioxetine.]
[J04BA02, dapsone, The metabolism of Vortioxetine can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Vortioxetine can be increased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Deanol.]
[C02CC04, debrisoquin, Vortioxetine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Vortioxetine.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Vortioxetine can be decreased when combined with Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Vortioxetine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Niaprazine.]
[C01DX16, nicorandil, Vortioxetine may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, The metabolism of Vortioxetine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Vortioxetine.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Vortioxetine is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Vortioxetine.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Vortioxetine is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Vortioxetine is combined with Escitalopram.]
[G04BD08, solifenacin, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Vortioxetine.]
[N06AA01, desipramine, The metabolism of Vortioxetine can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Vortioxetine.]
[V04CH02, indigo carmine, Vortioxetine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C09XA02, aliskiren, Vortioxetine may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Vortioxetine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vortioxetine.]
[S03BA01, dexamethasone, The metabolism of Vortioxetine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Oxiracetam.]
[N04AA08, dexetimide, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Dexfenfluramine is combined with Vortioxetine.]
[A03AA01, oxyphencyclimine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Vortioxetine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Vortioxetine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Vortioxetine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Vortioxetine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Vortioxetine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Vortioxetine.]
[N06AB05, paroxetine, The metabolism of Vortioxetine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Vortioxetine is combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Vortioxetine.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Vortioxetine.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Vortioxetine.]
[V03AH01, diazoxide, Vortioxetine may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Vortioxetine.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Vortioxetine.]
[R05DA08, pholcodine, Vortioxetine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Vortioxetine can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[A03AA07, dicyclomine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C02DG01, pinacidil, Vortioxetine may decrease the antihypertensive activities of Pinacidil.]
[A10BG03, pioglitazone, The metabolism of Vortioxetine can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Pipamperone.]
[A03AB14, pipenzolate, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Vortioxetine.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Pirbuterol is combined with Vortioxetine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Vortioxetine.]
[L02AA01, diethylstilbestrol, The metabolism of Vortioxetine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Vortioxetine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Vortioxetine can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Vortioxetine.]
[C01AA05, digoxin, Vortioxetine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Vortioxetine may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the vasoconstricting activities of Vortioxetine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the vasoconstricting activities of Vortioxetine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Vortioxetine.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Vortioxetine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Vortioxetine can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Vortioxetine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Vortioxetine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Vortioxetine.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Pridinol.]
[R06AB03, dimethindene, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Procaterol is combined with Vortioxetine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Vortioxetine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Vortioxetine.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Vortioxetine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Vortioxetine is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Vortioxetine can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Vortioxetine.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Vortioxetine.]
[C09AA06, quinapril, Vortioxetine may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Vortioxetine is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Vortioxetine.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Vortioxetine can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Vortioxetine may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Vortioxetine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Remoxipride.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Vortioxetine is combined with Reproterol.]
[S01AX06, resorcinol, Vortioxetine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The metabolism of Vortioxetine can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Vortioxetine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Vortioxetine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Vortioxetine.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Levocetirizine is combined with Vortioxetine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Vortioxetine.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation and torsade de pointes can be increased when Sunitinib is combined with Vortioxetine.]
[A04AD12, aprepitant, The metabolism of Vortioxetine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Vortioxetine can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Vortioxetine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Vortioxetine can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, Vortioxetine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Vortioxetine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Salsalate is combined with Vortioxetine.]
[R03AC12, salmeterol, The metabolism of Vortioxetine can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Vortioxetine.]
[A03FA03, domperidone, The metabolism of Vortioxetine can be decreased when combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Vortioxetine.]
[N06AA16, dothiepin, The metabolism of Vortioxetine can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Vortioxetine.]
[N06AA12, doxepin, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Vortioxetine can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Vortioxetine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Vortioxetine can be decreased when combined with Simvastatin.]
[A12CA02, sodium sulfate, Vortioxetine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Vortioxetine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Vortioxetine.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C07AB13, talinolol, Vortioxetine may decrease the antihypertensive activities of Talinolol.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Vortioxetine.]
[G04CA03, terazosin, Vortioxetine may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Vortioxetine can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Vortioxetine.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Tetryzoline is combined with Vortioxetine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Thiopropazate.]
[G04BD01, emepronium, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Tianeptine.]
[C09AA02, enalapril, Vortioxetine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Tofisopam is combined with Vortioxetine.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Vortioxetine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The metabolism of Vortioxetine can be decreased when combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Vortioxetine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Vortioxetine.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Vortioxetine is combined with Tramazoline.]
[C09AA10, trandolapril, Vortioxetine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Vortioxetine.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Triclofos is combined with Vortioxetine.]
[A03AB08, tridihexethyl, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Vortioxetine is combined with Triflusal.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Vortioxetine.]
[N04AA12, tropatepine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Vortioxetine is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Vortioxetine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vortioxetine can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Ephedrine is combined with Vortioxetine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Vortioxetine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Vortioxetine is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Vortioxetine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Xylometazoline is combined with Vortioxetine.]
[C08CA12, mepirodipine, The metabolism of Vortioxetine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Vortioxetine can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, Vortioxetine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Zomepirac is combined with Vortioxetine.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Vortioxetine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vortioxetine.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Vortioxetine is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Moricizine.]
[G02AB03, ergonovine, Ergometrine may increase the vasoconstricting activities of Vortioxetine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the vasoconstricting activities of Vortioxetine.]
[N02CA02, ergotamine, The metabolism of Vortioxetine can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Vortioxetine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Vortioxetine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Vortioxetine.]
[A02BC02, pantoprazole, The metabolism of Vortioxetine can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Vortioxetine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Vortioxetine can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Vortioxetine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Vortioxetine can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Vortioxetine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Vortioxetine can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Vortioxetine is combined with Gepefrine.]
