[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L04AB04, adalimumab, The metabolism of Zaleplon can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Zaleplon can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Zaleplon.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Zaleplon.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Zaleplon can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Diamorphine.]
[C04AD01, pentifylline, Zaleplon may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[P03AC04, permethrin, Zaleplon may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Zaleplon.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Phenacemide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Zaleplon.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Cinchocaine.]
[R05DA08, pholcodine, Zaleplon may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A03AA07, dicyclomine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Pipamperone.]
[A03AB14, pipenzolate, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Zaleplon.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Zaleplon.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Zaleplon.]
[C08CA03, isradipine, The metabolism of Zaleplon can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Zaleplon can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C01AA05, digoxin, Zaleplon may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Zaleplon.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Zaleplon.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Zaleplon can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Zaleplon may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Zaleplon can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Zaleplon is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Zaleplon may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Pridinol.]
[R06AB03, dimethindene, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, Zaleplon may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Zaleplon.]
[N06BC02, propentofylline, Zaleplon may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Proparacaine.]
[R03DA03, proxyphylline, Zaleplon may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Zaleplon is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Zaleplon is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Zaleplon.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Zaleplon.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Zaleplon.]
[S01AX06, resorcinol, Zaleplon may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Zaleplon can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Zaleplon can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Zaleplon.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Zaleplon.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Zaleplon.]
[A04AD12, aprepitant, The metabolism of Zaleplon can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Zaleplon.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Zaleplon can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Zaleplon.]
[C01CA04, dopamine, Zaleplon may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Zaleplon is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Zaleplon is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Zaleplon can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, Zaleplon may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Zaleplon may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Zaleplon is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Zaleplon.]
[V04CX07, edrophonium, Zaleplon may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Zaleplon resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Zaleplon is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Zaleplon is combined with Thiopropazate.]
[G04BD01, emepronium, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Zaleplon.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Zaleplon is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Zaleplon is combined with Triclofos.]
[A03AB08, tridihexethyl, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Zaleplon.]
[N04AA12, tropatepine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Zaleplon.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Zaleplon is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Zaleplon is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Zaleplon.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Zaleplon.]
[C08CA12, mepirodipine, The metabolism of Zaleplon can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Zaleplon.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Zaleplon.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Zaleplon can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Zaleplon.]
[L03AX05, pidotimod, Zaleplon may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Zaleplon can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Zaleplon.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Zaleplon can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Zaleplon can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Zaleplon.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Zaleplon.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Zaleplon.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04AA05, profenamine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Zaleplon.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Zaleplon.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Zaleplon.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Zaleplon.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Zaleplon is combined with Sertindole.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Zaleplon.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Zaleplon.]
[R06AX12, terfenadine, The metabolism of Zaleplon can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Zaleplon may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Zaleplon is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Zaleplon may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Zaleplon may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Zaleplon.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Zaleplon.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Zaleplon.]
[R03CC02, albuterol, Zaleplon may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G04BD02, flavoxate, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Zaleplon can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Zaleplon may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the sedative activities of Zaleplon.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Zaleplon can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Zaleplon is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Zaleplon can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N06AB03, fluoxetine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the sedative activities of Zaleplon.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Zaleplon.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Zaleplon.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Zaleplon is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Zaleplon.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Zaleplon is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Zaleplon.]
[J05AE10, darunavir, The metabolism of Zaleplon can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Zaleplon is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Zaleplon is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Gallamine.]
[S01AD09, ganciclovir, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Zaleplon is combined with Bifemelane.]
[C10AB04, gemfibrozil, Zaleplon may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Zaleplon may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Zaleplon.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Zaleplon.]
[C01CA21, cafedrine, Zaleplon may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Zaleplon.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Zaleplon.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Zaleplon.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Zaleplon.]
[A10BB07, glipizide, Zaleplon may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Zaleplon.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Glutethimide.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Zaleplon.]
[M01CB04, aurothioglucose, Zaleplon may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Zaleplon may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[S01EX01, guanethidine, Zaleplon may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[P01BX01, halofantrine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Zaleplon.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Zaleplon is combined with Halothane.]
[N05AH04, quetiapine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06BX13, idebenone, Zaleplon may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Zaleplon is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Zaleplon can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Zaleplon is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G03DC01, allylestrenol, Zaleplon may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Zaleplon is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Zaleplon can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Zaleplon can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C02DB02, hydralazine, Zaleplon may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Zaleplon can be decreased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Zaleplon.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Zaleplon may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G04BD06, propiverine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Zaleplon is combined with Prothipendyl.]
[B05AA07, hetastarch, Zaleplon may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[B05XA08, sodium acetate, Zaleplon may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Zaleplon.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Zaleplon.]
[N06AA02, imipramine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Zaleplon.]
[R01AD07, tixocortol, Zaleplon may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Zaleplon.]
[L01CE01, topotecan, Zaleplon may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A11HA07, inositol, Zaleplon may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Zaleplon is combined with Milnacipran.]
[A03AA30, piperidolate, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, Zaleplon may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Articaine.]
[A10BH01, sitagliptin, Zaleplon may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[V08AB02, iohexol, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Zaleplon.]
