[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Trovafloxacin.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, Magnesium sulfate can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Trovafloxacin.]
[M02AA18, meclofenamic acid, Meclofenamic acid may increase the neuroexcitatory activities of Trovafloxacin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Trovafloxacin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Trovafloxacin.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Trovafloxacin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Mesoridazine is combined with Trovafloxacin.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Paliperidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Trovafloxacin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Trovafloxacin.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Trovafloxacin.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Trovafloxacin.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Trovafloxacin.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Trovafloxacin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Trovafloxacin.]
[H02AB04, methylprednisolone, The risk or severity of tendinopathy can be increased when Methylprednisolone is combined with Trovafloxacin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of tendinopathy can be increased when Methylprednisolone aceponate is combined with Trovafloxacin.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Trovafloxacin.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Trovafloxacin.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Trovafloxacin.]
[J01CA10, mezlocillin, The serum concentration of Trovafloxacin can be increased when it is combined with Mezlocillin.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Trovafloxacin.]
[N02BB03, aminopyrine, Aminophenazone may increase the neuroexcitatory activities of Trovafloxacin.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Mifepristone.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Amiodarone.]
[N06AA09, amitriptyline, Trovafloxacin may increase the QTc-prolonging activities of Amitriptyline.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Trovafloxacin.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Pazopanib is combined with Trovafloxacin.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Trovafloxacin.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Trovafloxacin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Trovafloxacin.]
[J01CA04, amoxicillin, The serum concentration of Trovafloxacin can be increased when it is combined with Amoxicillin.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Trovafloxacin is combined with Ropinirole.]
[J01CF06, nafcillin, The serum concentration of Trovafloxacin can be increased when it is combined with Nafcillin.]
[M02AA12, naproxen, Naproxen may increase the neuroexcitatory activities of Trovafloxacin.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Trovafloxacin.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Trovafloxacin.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Trovafloxacin.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Iloperidone.]
[S01AA19, ampicillin, The serum concentration of Trovafloxacin can be increased when it is combined with Ampicillin.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Trovafloxacin.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Trovafloxacin.]
[M02AA17, niflumic acid, Niflumic acid may increase the neuroexcitatory activities of Trovafloxacin.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Trovafloxacin.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Trovafloxacin.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Trovafloxacin can be decreased when used in combination with Nitrofurantoin.]
[C02DD01, nitroprusside, Nitroprusside can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Trovafloxacin.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Trovafloxacin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Trovafloxacin.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Trovafloxacin.]
[J01CF04, oxacillin, The serum concentration of Trovafloxacin can be increased when it is combined with Oxacillin.]
[V08CB01, ferumoxsil, Ferumoxsil can cause a decrease in the absorption of Trovafloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Trovafloxacin.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the neuroexcitatory activities of Trovafloxacin.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Trovafloxacin.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Asenapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Trovafloxacin.]
[H02AB05, paramethasone, The risk or severity of tendinopathy can be increased when Paramethasone is combined with Trovafloxacin.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Trovafloxacin.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Penfluridol is combined with Trovafloxacin.]
[S01AA14, penicillin G, The serum concentration of Trovafloxacin can be increased when it is combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The serum concentration of Trovafloxacin can be increased when it is combined with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The serum concentration of Trovafloxacin can be increased when it is combined with Phenoxymethylpenicillin.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Trovafloxacin.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Perhexiline is combined with Trovafloxacin.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Trovafloxacin.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Trovafloxacin.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Trovafloxacin.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Trovafloxacin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Trovafloxacin.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Trovafloxacin.]
[M02AA01, phenylbutazone, Phenylbutazone may increase the neuroexcitatory activities of Trovafloxacin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Trovafloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Mibefradil is combined with Trovafloxacin.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Pimozide.]
[J01CA12, piperacillin, The serum concentration of Trovafloxacin can be increased when it is combined with Piperacillin.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Saquinavir is combined with Trovafloxacin.]
[S01BC06, piroxicam, Piroxicam may increase the neuroexcitatory activities of Trovafloxacin.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Trovafloxacin.]
[J01CA02, pivampicillin, The serum concentration of Trovafloxacin can be increased when it is combined with Pivampicillin.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Trovafloxacin.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Trovafloxacin.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Trovafloxacin.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Trovafloxacin.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Trovafloxacin.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Trovafloxacin.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Trovafloxacin.]
[S03BA02, prednisolone, The risk or severity of tendinopathy can be increased when Prednisolone is combined with Trovafloxacin.]
[H02AB07, prednisone, The risk or severity of tendinopathy can be increased when Prednisone is combined with Trovafloxacin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Trovafloxacin.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Prenylamine is combined with Trovafloxacin.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Primaquine is combined with Trovafloxacin.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Trovafloxacin which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Trovafloxacin.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Procaine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Trovafloxacin.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Promazine is combined with Trovafloxacin.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Trovafloxacin.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Trovafloxacin.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Trovafloxacin.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Trovafloxacin.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Trovafloxacin.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Aripiprazole is combined with Trovafloxacin.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Trovafloxacin.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Quinidine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Trovafloxacin.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Trovafloxacin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Trovafloxacin.]
[N02BA05, salicylamide, Salicylamide may increase the neuroexcitatory activities of Trovafloxacin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the neuroexcitatory activities of Trovafloxacin.]
[S01BC08, salicylic acid, Salicylic acid may increase the neuroexcitatory activities of Trovafloxacin.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Trovafloxacin.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Sotalol is combined with Trovafloxacin.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Trovafloxacin.]
[D07AB02, hydrocortisone butyrate, The risk or severity of tendinopathy can be increased when Hydrocortisone butyrate is combined with Trovafloxacin.]
