[S02DA03, antipyrine, The metabolism of Pimozide can be decreased when combined with Antipyrine.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Pimozide.]
[L01XG01, bortezomib, The metabolism of Pimozide can be decreased when combined with Bortezomib.]
[J05AE07, fosamprenavir, The metabolism of Pimozide can be decreased when combined with Fosamprenavir.]
[G04BE08, tadalafil, The metabolism of Pimozide can be decreased when combined with Tadalafil.]
[C02KX02, ambrisentan, The metabolism of Pimozide can be decreased when combined with Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Pimozide can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Pimozide can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Pimozide can be decreased when combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Pimozide can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Pimozide can be decreased when combined with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Pimozide can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[N06AB06, sertraline, Sertraline may increase the arrhythmogenic activities of Pimozide.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Pimozide.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[A08AA10, sibutramine, The risk or severity of QTc prolongation can be increased when Sibutramine is combined with Pimozide.]
[C10AA01, simvastatin, The metabolism of Pimozide can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Sultopride is combined with Pimozide.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Pimozide.]
[C07AB13, talinolol, The metabolism of Pimozide can be decreased when combined with Talinolol.]
[H01AA01, corticotropin, The metabolism of Pimozide can be increased when combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Pimozide can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Pimozide can be decreased when combined with Tertatolol.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Pimozide is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Pimozide is combined with Thiopropazate.]
[G04BD01, emepronium, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Pimozide.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Pimozide is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Pimozide is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Pimozide.]
[N03AX11, topiramate, The metabolism of Pimozide can be increased when combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Toremifene is combined with Pimozide.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Pimozide is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Pimozide is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Pimozide is combined with Triclofos.]
[A03AB08, tridihexethyl, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Pimozide.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Pimozide.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Pimozide.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Pimozide.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Pimozide is combined with Urapidil.]
[J01MA04, enoxacin, The metabolism of Pimozide can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Pimozide is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Pimozide can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The metabolism of Pimozide can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Pimozide can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Pimozide can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Pimozide can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The metabolism of Pimozide can be decreased when combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Pimozide.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Pimozide is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Pimozide.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Pimozide.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Pimozide.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Pimozide.]
[N02CA02, ergotamine, The metabolism of Pimozide can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Pimozide can be decreased when combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation and ventricular arrhythmias can be increased when Erythromycin is combined with Pimozide.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Pimozide is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Pimozide can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Pimozide can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Pimozide can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Pimozide can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Pimozide can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Pimozide can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Pimozide can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The therapeutic efficacy of Gepefrine can be decreased when used in combination with Pimozide.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Pimozide.]
[L02AA03, ethinyl estradiol, The metabolism of Pimozide can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ibutilide is combined with Pimozide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Pimozide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Pimozide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Pimozide.]
[S01XA06, ethylmorphine, The metabolism of Pimozide can be decreased when combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Pimozide.]
[L01CB01, etoposide, The metabolism of Pimozide can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The metabolism of Pimozide can be decreased when combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Pimozide.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Pimozide.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Pimozide.]
[R06AX11, astemizole, The metabolism of Pimozide can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Pimozide can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Pimozide.]
[N06AB08, fluvoxamine, The risk or severity of QTc prolongation can be increased when Fluvoxamine is combined with Pimozide.]
[C01BB03, tocainide, The metabolism of Pimozide can be decreased when combined with Tocainide.]
[C01BC08, encainide, The metabolism of Pimozide can be decreased when combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Pimozide.]
[A02BA03, famotidine, The metabolism of Pimozide can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Pimozide can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Pimozide can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Fendiline is combined with Pimozide.]
[N03AX26, fenfluramine, The metabolism of Pimozide can be decreased when combined with Fenfluramine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Pimozide.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Pimozide.]
[N07AX03, cevimeline, The metabolism of Pimozide can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Pimozide.]
[J01CF05, floxacillin, The metabolism of Pimozide can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The serum concentration of Pimozide can be increased when it is combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Pimozide can be decreased when combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Pimozide can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Pimozide is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Pimozide can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Pimozide.]
[N06AB03, fluoxetine, Fluoxetine may increase the QTc-prolonging activities of Pimozide.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Pimozide can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pimozide.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Fluspirilene is combined with Pimozide.]
[L02BB01, flutamide, The metabolism of Pimozide can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Pimozide.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Pimozide is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Pimozide.]
[J05AE10, darunavir, The serum concentration of Pimozide can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Pimozide is combined with Eszopiclone.]
[N05AL05, amisulpride, Pimozide may increase the antipsychotic activities of Amisulpride.]
[N06DA04, galantamine, The metabolism of Pimozide can be decreased when combined with Galantamine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Pimozide is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Pimozide.]
[N03AA04, barbexaclone, The metabolism of Pimozide can be increased when combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Pimozide is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Pimozide can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Telavancin is combined with Pimozide.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Pimozide.]
[L01EA02, dasatinib, The metabolism of Pimozide can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The therapeutic efficacy of Cabergoline can be decreased when used in combination with Pimozide.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Pimozide.]
[J05AG04, etravirine, The metabolism of Pimozide can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Pimozide.]
[N01AH02, alfentanil, The metabolism of Pimozide can be decreased when combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Pimozide can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Pimozide can be decreased when combined with Glyburide.]
[N05CM18, dexmedetomidine, The metabolism of Pimozide can be decreased when combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Pimozide is combined with Glutethimide.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Dofetilide is combined with Pimozide.]
[C02CA04, doxazosin, The metabolism of Pimozide can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Pimozide can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Pimozide can be decreased when combined with Esmolol.]
[D01BA01, griseofulvin, The metabolism of Pimozide can be increased when combined with Griseofulvin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Pimozide.]
[P01BX01, halofantrine, The metabolism of Pimozide can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Pimozide is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Pimozide.]
[N05AH04, quetiapine, The metabolism of Pimozide can be decreased when combined with Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Pimozide is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Pimozide can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Pimozide is combined with Allobarbital.]
[C09CA01, losartan, The metabolism of Pimozide can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, The metabolism of Pimozide can be decreased when combined with Allylestrenol.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Pimozide is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Pimozide can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Pimozide can be decreased when combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxatomide is combined with Pimozide.]
[C02DB02, hydralazine, The metabolism of Pimozide can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Pimozide.]
[R05DA03, hydrocodone, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Pimozide can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Pimozide can be increased when combined with Hydrocortisone butyrate.]
[G04BD06, propiverine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Pimozide can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Pimozide is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Pimozide can be increased when combined with Rifabutin.]
[B05CB02, sodium citrate, Pimozide may increase the neurotoxic activities of Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Pimozide can be decreased when combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Pimozide can be increased when combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Pimozide can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pimozide.]
[N06AA02, imipramine, The metabolism of Pimozide can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Pimozide can be increased when combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Pimozide.]
[M03BX02, tizanidine, The metabolism of Pimozide can be decreased when combined with Tizanidine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Pimozide.]
[L03AB04, interferon alfa-2a, The metabolism of Pimozide can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Pimozide can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of QTc prolongation can be increased when Milnacipran is combined with Pimozide.]
[A03AA30, piperidolate, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Pimozide is combined with Articaine.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Pimozide.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Pimozide.]
[R06AE01, buclizine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Pimozide can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Pimozide.]
[C07AA01, alprenolol, The metabolism of Pimozide can be decreased when combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The metabolism of Pimozide can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Pimozide can be decreased when combined with Ipecac.]
[J05AF04, stavudine, Stavudine may increase the neurotoxic activities of Pimozide.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Pimozide is combined with Iprindole.]
[N06AF05, iproniazid, The metabolism of Pimozide can be decreased when combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Pimozide can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Pimozide.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Pimozide.]
[N04BX02, entacapone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Pimozide.]
[J04AC01, isoniazid, The metabolism of Pimozide can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The metabolism of Pimozide can be decreased when combined with Reboxetine.]
[H01AC01, somatropin, The metabolism of Pimozide can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Pimozide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Pimozide is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Pimozide is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Pimozide can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Pimozide can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The metabolism of Pimozide can be decreased when combined with Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Pimozide can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Pimozide can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Mizolastine is combined with Pimozide.]
[N04BC09, rotigotine, Pimozide may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Pimozide.]
[C07AG01, labetalol, The metabolism of Pimozide can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Pimozide.]
[N03AX18, lacosamide, The metabolism of Pimozide can be decreased when combined with Lacosamide.]
[G03AD01, levonorgestrel, The metabolism of Pimozide can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, The therapeutic efficacy of Levodopa can be decreased when used in combination with Pimozide.]
[S02DA01, lidocaine, The metabolism of Pimozide can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Pimozide.]
[J01FF02, lincomycin, Pimozide may increase the neurotoxic activities of Lincomycin.]
[N06BA13, armodafinil, The metabolism of Pimozide can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Pimozide.]
[N02CA07, lisuride, The therapeutic efficacy of Lisuride can be decreased when used in combination with Pimozide.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Pimozide is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Pimozide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Pimozide.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Pimozide.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Pimozide.]
[L01EG01, temsirolimus, The metabolism of Pimozide can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Pimozide can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Pimozide can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Pimozide can be decreased when combined with Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Pimozide.]
[R06AE05, meclizine, The metabolism of Pimozide can be decreased when combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Medazepam.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Pimozide.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Pimozide.]
[N06DX01, memantine, The therapeutic efficacy of Memantine can be decreased when used in combination with Pimozide.]
[N02AB02, meperidine, The metabolism of Pimozide can be decreased when combined with Meperidine.]
[C01CA11, mephentermine, The therapeutic efficacy of Mephentermine can be decreased when used in combination with Pimozide.]
[N03AB04, mephenytoin, The metabolism of Pimozide can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Pimozide can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Pimozide.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Pimozide.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Pimozide is combined with Meptazinol.]
[L02BG01, aminoglutethimide, The metabolism of Pimozide can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The metabolism of Pimozide can be decreased when combined with Mesoridazine.]
[N05AX13, paliperidone, The metabolism of Pimozide can be decreased when combined with Paliperidone.]
[A04AA04, dolasetron, The metabolism of Pimozide can be decreased when combined with Dolasetron.]
[H01CB03, lanreotide, The metabolism of Pimozide can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Pimozide.]
[N06BA03, methamphetamine, The therapeutic efficacy of Metamfetamine can be decreased when used in combination with Pimozide.]
[A03AB07, methantheline, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Pimozide is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Pimozide is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Pimozide.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Pimozide is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Pimozide can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pimozide can be decreased when combined with Pemetrexed.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Pimozide.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Pimozide.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Pimozide is combined with Ziconotide.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Pimozide.]
[N05AA02, methotrimeprazine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Pimozide can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Pimozide can be decreased when combined with Methoxyflurane.]
[V04CG05, methylene blue, The metabolism of Pimozide can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Pimozide can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Pimozide.]
[N06BA04, methylphenidate, The risk or severity of adverse effects can be increased when Pimozide is combined with Methylphenidate.]
[H02AB04, methylprednisolone, The metabolism of Pimozide can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Pimozide.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Pimozide is combined with Methyprylon.]
[N02CA04, methysergide, The metabolism of Pimozide can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Metoclopramide is combined with Pimozide.]
[C07AB02, metoprolol, The metabolism of Pimozide can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Pimozide can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Pimozide can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Pimozide can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Pimozide can be decreased when combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Pimozide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Pimozide can be decreased when combined with Aminophenazone.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Pimozide.]
[G03XB01, mifepristone, The serum concentration of Pimozide can be increased when it is combined with Mifepristone.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[J01FA11, miocamycin, The metabolism of Pimozide can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Pimozide can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Lisdexamfetamine can be decreased when used in combination with Pimozide.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Pimozide is combined with Molindone.]
[L03AC01, aldesleukin, The metabolism of Pimozide can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Pimozide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Pimozide.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Pimozide.]
[A04AA05, palonosetron, The metabolism of Pimozide can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Pimozide can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Pimozide.]
[L01EX03, pazopanib, The metabolism of Pimozide can be decreased when combined with Pazopanib.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Pimozide is combined with Vecuronium.]
[N05CA02, amobarbital, The metabolism of Pimozide can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Pimozide.]
[R03BB01, ipratropium bromide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[G03XC01, raloxifene, The metabolism of Pimozide can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Pimozide can be decreased when combined with Amoxapine.]
