[P02BB01, trichlorfon, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Metrifonate.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Rilmenidine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Rocuronium.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Rocuronium is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R01AD07, tixocortol, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Tixocortol.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C03BA11, indapamide, The serum concentration of Indapamide can be increased when it is combined with Rocuronium.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Rocuronium is combined with Milnacipran.]
[A03AA30, piperidolate, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R06AE01, buclizine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Rocuronium.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Rocuronium.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Isoetharine is combined with Rocuronium.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01EB07, isoflurophate, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03CB01, isoproterenol, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Isoprenaline.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Isoxsuprine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01AA24, kanamycin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Kanamycin.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J02AB02, ketoconazole, The therapeutic efficacy of Rocuronium can be increased when used in combination with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Arbutamine.]
[N04BC09, rotigotine, Rocuronium may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, The risk or severity of Tachycardia can be increased when Labetalol is combined with Rocuronium.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Amantadine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Rocuronium.]
[N07AA30, ambenonium, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Rocuronium.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Rocuronium can be increased when used in combination with Etacrynic acid.]
[J01CA11, amdinocillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The therapeutic efficacy of Rocuronium can be increased when used in combination with Pivmecillinam.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Rocuronium.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08EX01, lidoflazine, Lidoflazine may increase the neuromuscular blocking activities of Rocuronium.]
[J01FF02, lincomycin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Lincomycin.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A07DA03, loperamide, Loperamide may increase the neuromuscular blocking activities of Rocuronium.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01AA04, lymecycline, The therapeutic efficacy of Rocuronium can be increased when used in combination with Lymecycline.]
[B05XA11, magnesium chloride, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium chloride.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium oxide.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium sulfate.]
[N06AA21, maprotiline, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C02BB01, mecamylamine, The therapeutic efficacy of Rocuronium can be increased when used in combination with Mecamylamine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01AA08, medigoxin, The risk or severity of Cardiac Arrhythmia can be increased when Rocuronium is combined with Metildigoxin.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Rocuronium.]
[P01BC02, mefloquine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06DX01, memantine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Mephentermine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Rocuronium is combined with Meptazinol.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AX13, paliperidone, Paliperidone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Metaraminol is combined with Rocuronium.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01AA05, methacycline, The therapeutic efficacy of Rocuronium can be increased when used in combination with Metacycline.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Rocuronium.]
[N07XX04, sodium oxybate, Sodium oxybate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03BA09, fluticasone furoate, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Fluticasone furoate.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03AB07, methantheline, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J05AF05, lamivudine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Lamivudine.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AA02, methotrimeprazine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Methoxamine is combined with Rocuronium.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C03AA08, methyclothiazide, The serum concentration of Methyclothiazide can be increased when it is combined with Rocuronium.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Rocuronium.]
[V04CG05, methylene blue, Methylene blue may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[H02AB04, methylprednisolone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Methylprednisolone.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Rocuronium.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Rocuronium.]
[C03BA08, metolazone, The serum concentration of Metolazone can be increased when it is combined with Rocuronium.]
[P01AB01, metronidazole, The therapeutic efficacy of Rocuronium can be increased when used in combination with Metronidazole.]
[J01CA10, mezlocillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Mezlocillin.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Rocuronium.]
[S02AA13, miconazole, The therapeutic efficacy of Rocuronium can be increased when used in combination with Miconazole.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01CA17, midodrine, The risk or severity of Tachycardia can be increased when Midodrine is combined with Rocuronium.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Rocuronium.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06BA12, lisdexamfetamine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Lisdexamfetamine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01BD01, amiodarone, Amiodarone may increase the neuromuscular blocking activities of Rocuronium.]
[N06AA09, amitriptyline, Amitriptyline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CA02, amobarbital, Amobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AA17, amoxapine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AB05, fosphenytoin, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Fosphenytoin.]
[J01CA04, amoxicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Amoxicillin.]
[N04BC04, ropinirole, Rocuronium may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Nafcillin.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Rocuronium is combined with Naltrexone.]
[S01GA01, naphazoline, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of Tachycardia can be increased when Amphetamine is combined with Rocuronium.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Duloxetine.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S03AA01, neomycin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Neomycin.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Rocuronium is combined with Remifentanil.]
[S01EB06, neostigmine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, Iloperidone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01AA19, ampicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Ampicillin.]
[S01AA23, netilmicin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Netilmicin.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Desvenlafaxine.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08CA04, nicardipine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Nicotine is combined with Rocuronium.]
[C08CA05, nifedipine, Nifedipine may increase the neuromuscular blocking activities of Rocuronium.]
[C08CA06, nimodipine, Nimodipine may increase the neuromuscular blocking activities of Rocuronium.]
[C08CA07, nisoldipine, Nisoldipine may increase the neuromuscular blocking activities of Rocuronium.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08CA08, nitrendipine, Nitrendipine may increase the neuromuscular blocking activities of Rocuronium.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04BC05, pramipexole, Rocuronium may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Norepinephrine.]
[N06AA10, nortriptyline, Nortriptyline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[G02CA02, nylidrin, Nylidrin may increase the neuromuscular blocking activities of Rocuronium.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Rocuronium is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Orciprenaline.]
[P01AB03, ornidazole, The therapeutic efficacy of Rocuronium can be increased when used in combination with Ornidazole.]
[C01AC01, ouabain, The risk or severity of Cardiac Arrhythmia can be increased when Rocuronium is combined with Ouabain.]
[J01CF04, oxacillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Oxacillin.]
[N05BA04, oxazepam, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C07AA02, oxprenolol, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Rocuronium is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Rocuronium is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03AB03, oxyphenonium, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[S01AA04, oxytetracycline, The therapeutic efficacy of Rocuronium can be increased when used in combination with Oxytetracycline.]
[N05AH05, asenapine, Asenapine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03AC01, pancuronium, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[J04AB30, capreomycin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Capreomycin.]
[N05CC05, paraldehyde, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A07AA06, paromomycin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Paromomycin.]
[G04BD11, fesoterodine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, Penbutolol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AG03, penfluridol, Penfluridol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01AA14, penicillin G, The therapeutic efficacy of Rocuronium can be increased when used in combination with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The therapeutic efficacy of Rocuronium can be increased when used in combination with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The therapeutic efficacy of Rocuronium can be increased when used in combination with Phenoxymethylpenicillin.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Pentazocine.]
[N05CA01, pentobarbital, Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AB10, perazine, Perazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04BC02, pergolide, Pergolide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08EX02, perhexiline, Perhexiline may increase the neuromuscular blocking activities of Rocuronium.]
[N05AB03, perphenazine, Perphenazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A10BA01, phenformin, The risk or severity of adverse effects can be increased when Rocuronium is combined with Phenformin.]
[N03AA02, phenobarbital, Phenobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Rocuronium.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Phenoxybenzamine is combined with Rocuronium.]
[A08AA01, phentermine, The risk or severity of Tachycardia can be increased when Phentermine is combined with Rocuronium.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Rocuronium.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Phenylpropanolamine is combined with Rocuronium.]
[N03AB02, phenytoin, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Phenytoin.]
[V03AB19, physostigmine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Physostigmine.]
[C08CX01, mibefradil, Mibefradil may increase the neuromuscular blocking activities of Rocuronium.]
[N05AG02, pimozide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C07AA03, pindolol, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01CA12, piperacillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Piperacillin.]
[J05AE01, saquinavir, The risk or severity of adverse effects can be increased when Saquinavir is combined with Rocuronium.]
[N05AC04, pipothiazine, Pipotiazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A02BX03, pirenzepine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Rocuronium is combined with Piritramide.]
[J01CA02, pivampicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Pivampicillin.]
[N02CX01, pizotyline, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Rocuronium.]
[A03AE01, alosetron, Alosetron may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C03AA05, polythiazide, The serum concentration of Polythiazide can be increased when it is combined with Rocuronium.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Rocuronium is combined with Potassium chloride.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Prazosin is combined with Rocuronium.]
[S03BA02, prednisolone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Prednisone.]
[C01DX02, prenylamine, Prenylamine may increase the neuromuscular blocking activities of Rocuronium.]
[N01BB04, prilocaine, Prilocaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AA03, primidone, Primidone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M04AB01, probenecid, The risk or severity of adverse effects can be increased when Probenecid is combined with Rocuronium.]
[C01BA02, procainamide, The therapeutic efficacy of Rocuronium can be increased when used in combination with Procainamide.]
[S01HA05, procaine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[L01XB01, procarbazine, Procarbazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04AA04, procyclidine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The risk or severity of adverse effects can be increased when Progesterone is combined with Rocuronium.]
[N05AA03, promazine, Promazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R06AD02, promethazine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, Propanidid may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03AB05, propantheline, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, Periciazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CM06, propiomazine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Rocuronium is combined with Dextropropoxyphene.]
[C01AB01, proscillaridin, The risk or severity of Cardiac Arrhythmia can be increased when Rocuronium is combined with Proscillaridin.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R01BA02, pseudoephedrine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01BA01, quinidine, The therapeutic efficacy of Rocuronium can be increased when used in combination with Quinidine.]
[P01BC01, quinine, The therapeutic efficacy of Rocuronium can be increased when used in combination with Quinine.]
[A02BA02, ranitidine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Ranitidine.]
[C02AA02, reserpine, Reserpine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01AA09, rolitetracycline, The therapeutic efficacy of Rocuronium can be increased when used in combination with Rolitetracycline.]
[S01FA02, scopolamine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Rocuronium.]
[N04BD01, selegiline, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01GB08, sisomicin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Sisomicin.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Rocuronium.]
[C03DA01, spironolactone, Spironolactone may increase the neuromuscular blocking activities of Rocuronium.]
[D07AC14, methylprednisolone aceponate, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Methylprednisolone aceponate.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Rocuronium is combined with Ipratropium.]
