[S02DA03, antipyrine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Antipyrine.]
[R05DA08, pholcodine, Torasemide may increase the excretion rate of Pholcodine which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA02, clodronic acid, The risk or severity of hypocalcemia can be increased when Torasemide is combined with Clodronic acid.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Torasemide is combined with Diclofenamide.]
[S01BC03, diclofenac, The therapeutic efficacy of Torasemide can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, Torasemide may decrease the excretion rate of Foscarnet which could result in a higher serum level.]
[A03AA07, dicyclomine, Torasemide may increase the excretion rate of Dicyclomine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF02, didanosine, Torasemide may increase the excretion rate of Didanosine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DG01, pinacidil, Torasemide may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Torasemide.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Torasemide is combined with Pipamperone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Torasemide.]
[R03CC07, pirbuterol, The risk or severity of hypokalemia can be increased when Pirbuterol is combined with Torasemide.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Torasemide.]
[L02AA01, diethylstilbestrol, The metabolism of Torasemide can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, Torasemide may increase the excretion rate of Isradipine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC04, diflucortolone, The risk or severity of hypokalemia can be increased when Difluocortolone is combined with Torasemide.]
[N02BA11, diflunisal, The therapeutic efficacy of Torasemide can be decreased when used in combination with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Torasemide is combined with Digitoxin.]
[C02DB01, dihydralazine, Torasemide may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may decrease the antihypertensive activities of Torasemide.]
[N02CA01, dihydroergotamine, Dihydroergotamine may decrease the antihypertensive activities of Torasemide.]
[N02AA03, hydromorphone, Torasemide may increase the excretion rate of Hydromorphone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX04, lenalidomide, Torasemide may increase the excretion rate of Lenalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Torasemide.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Torasemide.]
[H03BC01, potassium perchlorate, Torasemide may increase the excretion rate of Potassium perchlorate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB04, pralidoxime, Torasemide may increase the excretion rate of Pralidoxime which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DB01, diltiazem, The metabolism of Torasemide can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Torasemide may increase the excretion rate of Dimercaprol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC08, procaterol, The risk or severity of hypokalemia can be increased when Procaterol is combined with Torasemide.]
[M02AX03, dimethyl sulfoxide, Torasemide may increase the excretion rate of Dimethyl sulfoxide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Propyphenazone.]
[M01AB14, proglumetacin, The therapeutic efficacy of Torasemide can be decreased when used in combination with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Torasemide can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Torasemide.]
[A07DA01, diphenoxylate, The therapeutic efficacy of Torasemide can be decreased when used in combination with Diphenoxylate.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Torasemide.]
[C09AA06, quinapril, Torasemide may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the antihypertensive activities of Torasemide.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Torasemide.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Torasemide.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Torasemide.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Torasemide.]
[S01XA23, sirolimus, The excretion of Torasemide can be decreased when combined with Sirolimus.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Torasemide.]
[S01AX06, resorcinol, Torasemide may increase the excretion rate of Resorcinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Torasemide.]
[S02AA12, rifamycin SV, The metabolism of Torasemide can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Torasemide can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The risk or severity of hypotension can be increased when Torasemide is combined with Risperidone.]
[R06AE09, levocetirizine, Torasemide may increase the excretion rate of Levocetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB09, ropivacaine, Torasemide may increase the excretion rate of Ropivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be decreased when used in combination with Torasemide.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Torasemide.]
[G04BE08, tadalafil, Torasemide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC05, ketorolac, The therapeutic efficacy of Torasemide can be decreased when used in combination with Ketorolac.]
[C02KX02, ambrisentan, Torasemide may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, Torasemide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA06, salsalate, The therapeutic efficacy of Torasemide can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Torasemide.]
[H05BA01, salmon calcitonin, Torasemide may increase the excretion rate of Salmon calcitonin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA07, dobutamine, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Torasemide.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Torasemide.]
[C01CA04, dopamine, Torasemide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA16, dothiepin, Dosulepin may decrease the antihypertensive activities of Torasemide.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Torasemide.]
[N06AA12, doxepin, Torasemide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AB06, sennosides, USP, The risk or severity of adverse effects can be increased when Torasemide is combined with Sennosides.]
[J01AA02, doxycycline, Torasemide may increase the excretion rate of Doxycycline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Torasemide.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Torasemide.]
[N05AD08, droperidol, Droperidol may decrease the antihypertensive activities of Torasemide.]
[A08AA10, sibutramine, Torasemide may increase the excretion rate of Sibutramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA01, simvastatin, The metabolism of Torasemide can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, Torasemide may increase the nephrotoxic activities of Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The risk or severity of adverse effects can be increased when Torasemide is combined with Sodium sulfate.]
[C09AA11, spirapril, Torasemide may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, Torasemide may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC01, sumatriptan, Torasemide may increase the excretion rate of Sumatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX07, edrophonium, Torasemide may increase the excretion rate of Edrophonium which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB13, talinolol, Torasemide may increase the hypotensive activities of Talinolol.]
[H01AA01, corticotropin, The risk or severity of hypokalemia can be increased when Corticotropin is combined with Torasemide.]
[L01AX03, temozolomide, Torasemide may increase the excretion rate of Temozolomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC02, tenoxicam, The therapeutic efficacy of Torasemide can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, Torasemide may increase the hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Torasemide.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Torasemide.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Torasemide.]
[C09AA02, enalapril, Torasemide may increase the hypotensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The therapeutic efficacy of Torasemide can be decreased when used in combination with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Torasemide.]
[N06BA09, atomoxetine, Torasemide may increase the excretion rate of Atomoxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX11, topiramate, The risk or severity of hypokalemia can be increased when Torasemide is combined with Topiramate.]
[S01AA13, fusidic acid, The excretion of Torasemide can be decreased when combined with Fusidic acid.]
[S02BA08, fluocinolone acetonide, Torasemide may increase the excretion rate of Fluocinolone acetonide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Torasemide can be decreased when used in combination with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Torasemide may increase the excretion rate of Pentaerythritol tetranitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Torasemide.]
[C09AA10, trandolapril, Torasemide may increase the hypotensive activities of Trandolapril.]
[H02CA01, trilostane, The risk or severity of hypokalemia can be increased when Trilostane is combined with Torasemide.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Torasemide.]
[C02CA06, urapidil, Urapidil may decrease the antihypertensive activities of Torasemide.]
[S01FB02, ephedrine, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Torasemide.]
[N06AX16, venlafaxine, Torasemide may increase the excretion rate of Venlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Torasemide.]
[S01GA03, xylometazoline, Xylometazoline may decrease the antihypertensive activities of Torasemide.]
[C08CA12, mepirodipine, Torasemide may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Torasemide.]
[C09AA15, zofenopril, Torasemide may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Torasemide.]
[M01AB04, zomepirac, The therapeutic efficacy of Torasemide can be decreased when used in combination with Zomepirac.]
[N03AX15, zonisamide, Torasemide may increase the excretion rate of Zonisamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Torasemide is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Torasemide.]
[L01XA02, carboplatin, Torasemide may increase the excretion rate of Carboplatin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC02, guanfacine, Torasemide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Torasemide.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Torasemide.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Torasemide.]
[N02CA02, ergotamine, Ergotamine may decrease the antihypertensive activities of Torasemide.]
[L03AX05, pidotimod, Torasemide may increase the excretion rate of Pidotimod which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA17, erythromycin, The excretion of Torasemide can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Torasemide may increase the excretion rate of Estazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC02, pantoprazole, Torasemide may increase the excretion rate of Pantoprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA03, estradiol, Torasemide may increase the excretion rate of Estradiol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Torasemide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK02, ethambutol, Torasemide may increase the excretion rate of Ethambutol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA09, fluticasone furoate, The metabolism of Torasemide can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Torasemide can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Torasemide can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Torasemide may increase the excretion rate of Gadodiamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Torasemide.]
[L02AA03, ethinyl estradiol, The metabolism of Torasemide can be decreased when combined with Ethinylestradiol.]
[V03AF05, amifostine, Torasemide may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Torasemide may increase the excretion rate of Ibutilide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC06, meloxicam, The therapeutic efficacy of Torasemide can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Ethylmorphine.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Torasemide.]
[N01AX07, etomidate, Torasemide may increase the excretion rate of Etomidate which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AD02, tacrolimus, The excretion of Torasemide can be decreased when combined with Tacrolimus.]
[R06AX12, terfenadine, The metabolism of Torasemide can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Torasemide may increase the excretion rate of Trimetrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX12, bupropion, Torasemide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB08, fluvoxamine, The metabolism of Torasemide can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Torasemide may increase the excretion rate of Leuprolide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01CB01, gold sodium thiomalate, Torasemide may increase the excretion rate of Sodium aurothiomalate which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, Torasemide may increase the excretion rate of Dextran which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AF02, dexrazoxane, Torasemide may increase the excretion rate of Dexrazoxane which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AA01, levocarnitine, Torasemide may increase the excretion rate of Levocarnitine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA02, felodipine, The metabolism of Torasemide can be decreased when combined with Felodipine.]
[M01AE04, fenoprofen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypokalemia can be increased when Fenoterol is combined with Torasemide.]
[N02AB03, fentanyl, Torasemide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC02, albuterol, The risk or severity of hypokalemia can be increased when Salbutamol is combined with Torasemide.]
[L01BB06, clofarabine, Torasemide may increase the excretion rate of Clofarabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07AX03, cevimeline, Torasemide may increase the excretion rate of Cevimeline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD02, flavoxate, Torasemide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BC04, flecainide, The metabolism of Torasemide can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Torasemide can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Torasemide may increase the excretion rate of Flucytosine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA02, fludrocortisone, The risk or severity of hypokalemia can be increased when Fludrocortisone is combined with Torasemide.]
[V03AB25, flumazenil, Torasemide may increase the excretion rate of Flumazenil which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XB01, flumethasone, The risk or severity of hypokalemia can be increased when Flumethasone is combined with Torasemide.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Torasemide.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Torasemide.]
[D07AC08, fluocinonide, The risk or severity of hypokalemia can be increased when Fluocinonide is combined with Torasemide.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Torasemide.]
[H02AB03, fluocortolone, The risk or severity of hypokalemia can be increased when Fluocortolone is combined with Torasemide.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Torasemide.]
[L01BC09, floxuridine, The metabolism of Torasemide can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Torasemide.]
[N06AB03, fluoxetine, The metabolism of Torasemide can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may decrease the antihypertensive activities of Torasemide.]
[N05CD01, flurazepam, Torasemide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Flurbiprofen.]
[L02BB01, flutamide, Torasemide may increase the excretion rate of Flutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX02, folic acid, Torasemide may increase the excretion rate of Folic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA17, fosfomycin, Torasemide may increase the excretion rate of Fosfomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA07, framycetin, The serum concentration of Framycetin can be increased when it is combined with Torasemide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Torasemide.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Torasemide.]
[M03AA01, alcuronium, Torasemide may decrease the neuromuscular blocking activities of Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Torasemide.]
[J05AE10, darunavir, The excretion of Torasemide can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Torasemide may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Torasemide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC02, gallamine, Torasemide may decrease the neuromuscular blocking activities of Gallamine.]
[S01AD09, ganciclovir, Torasemide may increase the excretion rate of Ganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Torasemide.]
[C10AB04, gemfibrozil, The metabolism of Torasemide can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Torasemide may increase the excretion rate of Telavancin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC06, cabergoline, Cabergoline may decrease the antihypertensive activities of Torasemide.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Torasemide.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Torasemide.]
[N01AH02, alfentanil, The therapeutic efficacy of Torasemide can be decreased when used in combination with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Torasemide.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Torasemide.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Torasemide.]
[N05CM18, dexmedetomidine, Torasemide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX01, glycerin, The risk or severity of adverse effects can be increased when Torasemide is combined with Glycerin.]
[C05AE01, nitroglycerin, Torasemide may increase the hypotensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation, torsade de pointes, hypokalemia, hypomagnesemia, and cardiac arrest can be increased when Torasemide is combined with Dofetilide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Torasemide.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Torasemide.]
[C07AB09, esmolol, Esmolol may increase the hypotensive activities of Torasemide.]
[M01CB04, aurothioglucose, Torasemide may increase the excretion rate of Aurothioglucose which could result in a lower serum level and potentially a reduction in efficacy.]
[S01LA03, pegaptanib, Torasemide may increase the excretion rate of Pegaptanib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Torasemide.]
[C09AA09, fosinopril, Torasemide may increase the excretion rate of Fosinopril which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EX01, guanethidine, Torasemide may increase the excretion rate of Guanethidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE03, goserelin, Torasemide may increase the excretion rate of Goserelin which could result in a lower serum level and potentially a reduction in efficacy.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Torasemide.]
[N05AD01, haloperidol, Torasemide may increase the excretion rate of Haloperidol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Torasemide.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Torasemide.]
[N06BX13, idebenone, Torasemide may increase the excretion rate of Idebenone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Torasemide is combined with Insulin aspart.]
[L01CE02, irinotecan, The excretion of Torasemide can be decreased when combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Torasemide is combined with Allopurinol.]
[C09CA01, losartan, The metabolism of Torasemide can be decreased when combined with Losartan.]
[B05CB03, magnesium citrate, The risk or severity of adverse effects can be increased when Torasemide is combined with Magnesium citrate.]
[G03DC01, allylestrenol, Torasemide may increase the excretion rate of Allylestrenol which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC02, mesalamine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Mesalazine.]
[C01CE02, milrinone, Torasemide may increase the excretion rate of Milrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[A12CD02, sodium monofluorophosphate, The risk or severity of adverse effects can be increased when Torasemide is combined with Sodium fluorophosphate.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Torasemide.]
[R03CC05, hexoprenaline, The risk or severity of hypokalemia can be increased when Hexoprenaline is combined with Torasemide.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Torasemide.]
[C08CA10, nilvadipine, The metabolism of Torasemide can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Nimesulide.]
[C09AA04, perindopril, Torasemide may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DB02, hydralazine, Torasemide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Torasemide can be increased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Hydrocodone.]
[S02BA01, hydrocortisone, The risk or severity of hypokalemia can be increased when Hydrocortisone is combined with Torasemide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Torasemide can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Torasemide may increase the excretion rate of Potassium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Torasemide may increase the excretion rate of Hydroxocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD06, propiverine, Torasemide may increase the excretion rate of Propiverine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Torasemide.]
[B05AA07, hetastarch, Torasemide may increase the excretion rate of Hydroxyethyl Starch which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AB04, rifabutin, The metabolism of Torasemide can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Rilmenidine may decrease the antihypertensive activities of Torasemide.]
[M05BA07, risedronic acid, The risk or severity of hypocalcemia can be increased when Torasemide is combined with Risedronic acid.]
[R02AX02, ibuprofen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Ibuprofen.]
[B05XA08, sodium acetate, Torasemide may increase the excretion rate of Sodium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Torasemide.]
[A06AD21, sodium tartrate, The risk or severity of adverse effects can be increased when Torasemide is combined with Sodium tartrate.]
[L01AA06, ifosfamide, Torasemide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AH03, sufentanil, The therapeutic efficacy of Torasemide can be decreased when used in combination with Sufentanil.]
[N06AA02, imipramine, Torasemide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Torasemide.]
[R01AD07, tixocortol, Torasemide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Torasemide is combined with Tizanidine.]
[L01CE01, topotecan, Torasemide may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Torasemide.]
[S01BC01, indomethacin, The therapeutic efficacy of Torasemide can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, Indoramin may decrease the antihypertensive activities of Torasemide.]
[A11HA07, inositol, Torasemide may increase the excretion rate of Inositol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX17, milnacipran, Torasemide may increase the excretion rate of Milnacipran which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Torasemide is combined with Cyclopentamine.]
[S01XA28, varenicline, Torasemide may increase the excretion rate of Varenicline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Torasemide.]
[N05BA12, alprazolam, Torasemide may increase the excretion rate of Alprazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH02, ramelteon, Torasemide may increase the excretion rate of Ramelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Torasemide.]
[C10AA06, cerivastatin, The metabolism of Torasemide can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, Torasemide may increase the hypotensive activities of Alprenolol.]
[V03AB01, ipecac, Torasemide may increase the excretion rate of Ipecac which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Torasemide.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Torasemide.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Torasemide.]
[S01EC03, dorzolamide, Torasemide may increase the hypotensive activities of Dorzolamide.]
[P01AX06, atovaquone, The metabolism of Torasemide can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of hypokalemia can be increased when Isoetharine is combined with Torasemide.]
[C09AA16, imidapril, Torasemide may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Torasemide.]
