[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Nitrazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Nitrazepam.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Nitrazepam.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Nitrazepam.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Oxypertine.]
[A03AB03, oxyphenonium, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[M03AC01, pancuronium, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Nitrazepam.]
[N05CC05, paraldehyde, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Pargyline.]
[G04BD11, fesoterodine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Nitrazepam.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Nitrazepam.]
[N05CA01, pentobarbital, The metabolism of Nitrazepam can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Nitrazepam.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Nitrazepam.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Phenazocine is combined with Nitrazepam.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Nitrazepam.]
[N03AA02, phenobarbital, The metabolism of Nitrazepam can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Phenoperidine is combined with Nitrazepam.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Nitrazepam is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The metabolism of Nitrazepam can be increased when combined with Phenytoin.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Pimozide is combined with Nitrazepam.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Nitrazepam.]
[J05AE01, saquinavir, The metabolism of Nitrazepam can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Pipotiazine.]
[A02BX03, pirenzepine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Piritramide is combined with Nitrazepam.]
[N02CX01, pizotyline, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Nitrazepam can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Nitrazepam.]
[J05AE03, ritonavir, The serum concentration of Nitrazepam can be increased when it is combined with Ritonavir.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Nitrazepam.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Nitrazepam can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Nitrazepam can be increased when combined with Primidone.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Nitrazepam.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Nitrazepam.]
[N04AA04, procyclidine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Nitrazepam.]
[N05AA03, promazine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Propanidid.]
[A03AB05, propantheline, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Periciazine.]
[N05CM06, propiomazine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Nitrazepam.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Nitrazepam.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Nitrazepam.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Nitrazepam.]
[N05AX12, aripiprazole, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Nitrazepam.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Mepyramine.]
[C01BA01, quinidine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P01BC01, quinine, The risk or severity of adverse effects can be increased when Quinine is combined with Nitrazepam.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Nitrazepam.]
[J04AB02, rifampin, The serum concentration of Nitrazepam can be decreased when it is combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Oxitriptan.]
[S01FA02, scopolamine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Nitrazepam.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Nitrazepam.]
