[B01AD01, streptokinase, Propylthiouracil may increase the anticoagulant activities of Streptokinase.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Prednisone.]
[C01BA02, procainamide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Procainamide.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Procarbazine.]
[C10AB05, fenofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Fenofibrate.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Propofol.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Antilymphocyte immunoglobulin (horse).]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Propylthiouracil.]
[B01AC09, epoprostenol, Propylthiouracil may increase the anticoagulant activities of Epoprostenol.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Propylthiouracil.]
[N06AA11, protriptyline, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of adverse effects can be increased when Pseudoephedrine is combined with Propylthiouracil.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Propylthiouracil.]
[A02BA02, ranitidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ranitidine.]
[G02CA01, ritodrine, The risk or severity of adverse effects can be increased when Ritodrine is combined with Propylthiouracil.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Sulfasalazine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Obinutuzumab.]
[V10XA01, sodium iodide I131, The therapeutic efficacy of Iodide I-131 can be decreased when used in combination with Propylthiouracil.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Propylthiouracil.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Propylthiouracil.]
