[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Irinotecan.]
[C02DB02, hydralazine, The metabolism of Irinotecan can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Irinotecan.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Irinotecan.]
[S02BA01, hydrocortisone, The metabolism of Irinotecan can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Irinotecan.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Irinotecan is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The metabolism of Irinotecan can be decreased when combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Irinotecan can be increased when combined with Rifabutin.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Irinotecan.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Irinotecan is combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Irinotecan can be increased when combined with Ifosfamide.]
[N06AA02, imipramine, The metabolism of Irinotecan can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Irinotecan can be increased when combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Irinotecan is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Topotecan.]
[S01BC01, indomethacin, The risk or severity of neutropenia can be increased when Indomethacin is combined with Irinotecan.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Irinotecan.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Irinotecan.]
[N06AX17, milnacipran, The metabolism of Irinotecan can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Articaine.]
[N05BA12, alprazolam, The metabolism of Irinotecan can be decreased when combined with Alprazolam.]
[C10AA06, cerivastatin, The metabolism of Irinotecan can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Irinotecan.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Irinotecan.]
[N01AB06, isoflurane, The metabolism of Irinotecan can be decreased when combined with Isoflurane.]
[S01EB07, isoflurophate, Isoflurophate may increase the neuromuscular blocking activities of Irinotecan.]
[J04AC01, isoniazid, The metabolism of Irinotecan can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, Isoprenaline may increase the neuromuscular blocking activities of Irinotecan.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Irinotecan.]
[L04AC07, tocilizumab, The metabolism of Irinotecan can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the neuromuscular blocking activities of Irinotecan.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Irinotecan.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Irinotecan.]
[J02AB02, ketoconazole, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Ketoconazole.]
[V03AC03, deferasirox, The risk or severity of neutropenia can be increased when Deferasirox is combined with Irinotecan.]
[L04AA24, abatacept, The metabolism of Irinotecan can be increased when combined with Abatacept.]
[N07AA30, ambenonium, Ambenonium may increase the neuromuscular blocking activities of Irinotecan.]
[N03AX18, lacosamide, The metabolism of Irinotecan can be decreased when combined with Lacosamide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Irinotecan.]
[G03AD01, levonorgestrel, The metabolism of Irinotecan can be decreased when combined with Levonorgestrel.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Irinotecan can be increased when combined with Armodafinil.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Lomustine.]
[C10AA02, lovastatin, The metabolism of Irinotecan can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Irinotecan.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Irinotecan is combined with Pralatrexate.]
[L01EA03, nilotinib, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Nilotinib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Mechlorethamine.]
[P01BC02, mefloquine, Mefloquine may increase the neuromuscular blocking activities of Irinotecan.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Irinotecan.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Irinotecan.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Irinotecan.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Melphalan.]
[N06DX01, memantine, The metabolism of Irinotecan can be decreased when combined with Memantine.]
[N02AB02, meperidine, The metabolism of Irinotecan can be decreased when combined with Meperidine.]
[N03AB04, mephenytoin, The metabolism of Irinotecan can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Irinotecan can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Mepivacaine.]
[L02BG01, aminoglutethimide, The metabolism of Irinotecan can be increased when combined with Aminoglutethimide.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Irinotecan.]
[H01CB03, lanreotide, The metabolism of Irinotecan can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Irinotecan can be decreased when combined with Methadone.]
[H03BB02, methimazole, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Irinotecan.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Irinotecan.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Irinotecan.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Irinotecan.]
[V04CG05, methylene blue, The metabolism of Irinotecan can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Irinotecan can be decreased when combined with Methylergometrine.]
[H02AB04, methylprednisolone, The metabolism of Irinotecan can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Irinotecan can be increased when combined with Rufinamide.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Irinotecan.]
[N02CA04, methysergide, The metabolism of Irinotecan can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, Metoclopramide may increase the neuromuscular blocking activities of Irinotecan.]
[P01AB01, metronidazole, The metabolism of Irinotecan can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Irinotecan can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Irinotecan can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Irinotecan.]
[S02AA13, miconazole, The metabolism of Irinotecan can be decreased when combined with Miconazole.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Irinotecan.]
[N05CD08, midazolam, The metabolism of Irinotecan can be decreased when combined with Midazolam.]
[G03XB01, mifepristone, The metabolism of Irinotecan can be increased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Irinotecan.]
[C09CA03, valsartan, The excretion of Valsartan can be decreased when combined with Irinotecan.]
[J01FA11, miocamycin, The metabolism of Irinotecan can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Irinotecan can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Irinotecan is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The metabolism of Irinotecan can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of neutropenia can be increased when Amitriptyline is combined with Irinotecan.]
[L04AB05, certolizumab pegol, The metabolism of Irinotecan can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The risk or severity of neutropenia can be increased when Eltrombopag is combined with Irinotecan.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of neutropenia can be increased when Pazopanib is combined with Irinotecan.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Irinotecan is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Irinotecan can be increased when combined with Amobarbital.]
[G03XC01, raloxifene, The metabolism of Irinotecan can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The metabolism of Irinotecan can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Irinotecan.]
[J01CF06, nafcillin, The metabolism of Irinotecan can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Naloxone.]
[L04AC03, anakinra, The metabolism of Irinotecan can be increased when combined with Anakinra.]
[A10BG01, troglitazone, The metabolism of Irinotecan can be increased when combined with Troglitazone.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Irinotecan.]
[L01CD02, docetaxel, The metabolism of Irinotecan can be decreased when combined with Docetaxel.]
[A10BX02, repaglinide, The excretion of Repaglinide can be decreased when combined with Irinotecan.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Irinotecan.]
[S01EB06, neostigmine, Neostigmine may increase the neuromuscular blocking activities of Irinotecan.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Irinotecan.]
[N06AX23, desvenlafaxine, The metabolism of Irinotecan can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[M04AA03, febuxostat, The excretion of Irinotecan can be decreased when combined with Febuxostat.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Irinotecan.]
[C10AD02, niacin, The metabolism of Irinotecan can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Irinotecan can be decreased when combined with Nicardipine.]
[N07BA01, nicotine, The metabolism of Irinotecan can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Irinotecan.]
[M02AA17, niflumic acid, The metabolism of Irinotecan can be decreased when combined with Niflumic acid.]
[C08CA07, nisoldipine, The metabolism of Irinotecan can be decreased when combined with Nisoldipine.]
[C08CA08, nitrendipine, The metabolism of Nitrendipine can be decreased when combined with Irinotecan.]
[N05CF03, zaleplon, The metabolism of Zaleplon can be decreased when combined with Irinotecan.]
[G03DC02, norethindrone, The metabolism of Irinotecan can be decreased when combined with Norethisterone.]
[C02KX01, bosentan, The metabolism of Irinotecan can be increased when combined with Bosentan.]
[R05DA07, noscapine, The metabolism of Irinotecan can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Irinotecan.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Irinotecan.]
[H01CB02, octreotide, The serum concentration of Irinotecan can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Irinotecan can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Irinotecan can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Irinotecan can be increased when combined with Omeprazole.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Irinotecan.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Irinotecan.]
[C01AC01, ouabain, The excretion of Ouabain can be decreased when combined with Irinotecan.]
[N02AA05, oxycodone, The metabolism of Irinotecan can be decreased when combined with Oxycodone.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Irinotecan.]
[M03AC01, pancuronium, Pancuronium may increase the neuromuscular blocking activities of Irinotecan.]
[H02AB05, paramethasone, The metabolism of Irinotecan can be increased when combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Penicillamine.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Irinotecan.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Irinotecan.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Irinotecan.]
[N05CA01, pentobarbital, The metabolism of Irinotecan can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Irinotecan.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Irinotecan.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Irinotecan.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Irinotecan.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Irinotecan.]
[N03AA02, phenobarbital, The metabolism of Irinotecan can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Irinotecan.]
[M02AA01, phenylbutazone, The metabolism of Irinotecan can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Irinotecan can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Irinotecan can be increased when combined with Golimumab.]
[V03AB19, physostigmine, Physostigmine may increase the neuromuscular blocking activities of Irinotecan.]
[L02BB03, bicalutamide, The metabolism of Irinotecan can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The metabolism of Irinotecan can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Irinotecan.]
[C10AA05, atorvastatin, The excretion of Atorvastatin can be decreased when combined with Irinotecan.]
[J05AE01, saquinavir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Saquinavir.]
[J05AG02, delavirdine, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irinotecan can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Irinotecan.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Irinotecan.]
[L04AC08, canakinumab, The metabolism of Irinotecan can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Irinotecan.]
[J05AE03, ritonavir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Ritonavir.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Irinotecan.]
[C10AA08, pitavastatin, The excretion of Pitavastatin can be decreased when combined with Irinotecan.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Irinotecan.]
[S03BA02, prednisolone, The metabolism of Irinotecan can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Irinotecan.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Irinotecan can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Irinotecan can be increased when combined with Primidone.]
[M04AB01, probenecid, The risk or severity of neutropenia can be increased when Probenecid is combined with Irinotecan.]
[C01BA02, procainamide, Procainamide may increase the neuromuscular blocking activities of Irinotecan.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Irinotecan can be decreased when combined with Fenofibrate.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Irinotecan.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Irinotecan.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Irinotecan.]
[N01AX10, propofol, The risk or severity of neutropenia can be increased when Propofol is combined with Irinotecan.]
[N02AC04, propoxyphene, The metabolism of Irinotecan can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Irinotecan can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Irinotecan.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Irinotecan.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Irinotecan.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Irinotecan.]
[N07AA02, pyridostigmine, Pyridostigmine may increase the neuromuscular blocking activities of Irinotecan.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Irinotecan.]
[C01BA01, quinidine, The metabolism of Irinotecan can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Irinotecan can be increased when combined with Quinine.]
[C02AA02, reserpine, The metabolism of Irinotecan can be increased when combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Irinotecan can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Irinotecan can be decreased when combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Sulfasalazine.]
[N05CA06, secobarbital, The metabolism of Irinotecan can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Irinotecan.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Irinotecan.]
[H01CB01, somatostatin, The metabolism of Irinotecan can be decreased when combined with Somatostatin.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Irinotecan.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Irinotecan.]
[D07AB02, hydrocortisone butyrate, The metabolism of Irinotecan can be increased when combined with Hydrocortisone butyrate.]
[H02CA04, levoketoconazole, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Levoketoconazole.]
[C08DA01, verapamil, Irinotecan - CYP3A4 inhibitors]
[J05AE02, indinavir, Irinotecan - CYP3A4 inhibitors]
[J02AC03, voriconazole, Irinotecan - CYP3A4 inhibitors]
[J05AE04, nelfinavir, Irinotecan - CYP3A4 inhibitors]
[J05AE09, tipranavir, Irinotecan - CYP3A4 inhibitors]
[J01FA09, clarithromycin, Irinotecan - CYP3A4 inhibitors]
[J05AE05, amprenavir, Irinotecan - CYP3A4 inhibitors]
[A02BA01, cimetidine, Irinotecan - CYP3A4 inhibitors]
[J01FA15, telithromycin, Irinotecan - CYP3A4 inhibitors]
[J02AC02, itraconazole, Irinotecan - CYP3A4 inhibitors]
[N06AX06, nefazodone, Irinotecan - CYP3A4 inhibitors]
[J05AE08, atazanavir, Irinotecan - CYP3A4 inhibitors]
[C08DB01, diltiazem, Irinotecan - CYP3A4 inhibitors]
[A04AD12, aprepitant, Irinotecan - CYP3A4 inhibitors]
[J05AE07, fosamprenavir, Irinotecan - CYP3A4 inhibitors]
[S01AA17, erythromycin, Irinotecan - CYP3A4 inhibitors]
[J02AC01, fluconazole, Irinotecan - CYP3A4 inhibitors]
[J05AE10, darunavir, Irinotecan - CYP3A4 inhibitors]
[J02AB02, ketoconazole, Irinotecan - CYP3A4 inhibitors]
[C01BD01, amiodarone, Irinotecan - CYP3A4 inhibitors]
[J05AE01, saquinavir, Irinotecan - CYP3A4 inhibitors]
[J05AE03, ritonavir, Irinotecan - CYP3A4 inhibitors]
