[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fenfluramine.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Fenfluramine.]
[N01AH02, alfentanil, The risk or severity of serotonin syndrome can be increased when Alfentanil is combined with Fenfluramine.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Glutethimide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Fenfluramine.]
[L01EX02, sorafenib, The metabolism of Fenfluramine can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Fenfluramine.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Fluindione.]
[P01BX01, halofantrine, The metabolism of Fenfluramine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Fenfluramine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Halothane.]
[N05AH04, quetiapine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Fenfluramine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Allobarbital.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Hexobarbital.]
[J05AG01, nevirapine, The serum concentration of Fenfluramine can be decreased when it is combined with Nevirapine.]
[R05DA03, hydrocodone, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Fenfluramine can be increased when combined with Hydrocortisone.]
[G04BD06, propiverine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[J04AB04, rifabutin, The metabolism of Fenfluramine can be increased when combined with Rifabutin.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Fenfluramine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Fenfluramine.]
[H01AC02, somatrem, The metabolism of Fenfluramine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Fenfluramine.]
[N06AA02, imipramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tizanidine.]
[L01CE01, topotecan, Fenfluramine may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB04, interferon alfa-2a, The metabolism of Fenfluramine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Fenfluramine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of serotonin syndrome can be increased when Milnacipran is combined with Fenfluramine.]
[A03AA30, piperidolate, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Articaine.]
[V08AB02, iohexol, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Fenfluramine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ramelteon.]
[R06AE01, buclizine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Fenfluramine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Fenfluramine can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The metabolism of Fenfluramine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Fenfluramine.]
[N06AA13, iprindole, The risk or severity of serotonin syndrome can be increased when Iprindole is combined with Fenfluramine.]
[N06AF05, iproniazid, The risk or severity of serotonin syndrome can be increased when Iproniazid is combined with Fenfluramine.]
[J05AB13, penciclovir, The metabolism of Fenfluramine can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of serotonin syndrome can be increased when Isocarboxazid is combined with Fenfluramine.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Fenfluramine.]
[J04AC01, isoniazid, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Fenfluramine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Fenfluramine.]
[H01AC01, somatropin, The metabolism of Fenfluramine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Fenfluramine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of serotonin syndrome can be increased when Ketanserin is combined with Fenfluramine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Fenfluramine.]
[J02AB02, ketoconazole, The metabolism of Fenfluramine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Fenfluramine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Fenfluramine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The risk or severity of serotonin syndrome can be increased when Rotigotine is combined with Fenfluramine.]
[J01MB02, nalidixic acid, The metabolism of Fenfluramine can be decreased when combined with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Fenfluramine.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Fenfluramine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Lacosamide.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Fenfluramine.]
[N04BA01, levodopa, The risk or severity of serotonin syndrome can be increased when Levodopa is combined with Fenfluramine.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Fenfluramine can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The risk or severity of serotonin syndrome can be increased when Lisuride is combined with Fenfluramine.]
[N06AA07, lofepramine, The risk or severity of serotonin syndrome can be increased when Lofepramine is combined with Fenfluramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Fenfluramine.]
[C10AA02, lovastatin, The metabolism of Fenfluramine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Fenfluramine.]
[L01EG01, temsirolimus, The metabolism of Fenfluramine can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Fenfluramine can be increased when used in combination with Magnesium sulfate.]
[N06AA21, maprotiline, The risk or severity of serotonin syndrome can be increased when Maprotiline is combined with Fenfluramine.]
[A08AA05, mazindol, The risk or severity of serotonin syndrome can be increased when Mazindol is combined with Fenfluramine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Fenfluramine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Fenfluramine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Mephentermine is combined with Fenfluramine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Fenfluramine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Fenfluramine.]
[N02AX05, meptazinol, The risk or severity of serotonin syndrome can be increased when Meptazinol is combined with Fenfluramine.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Fenfluramine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Fenfluramine.]
[N06BA03, methamphetamine, The risk or severity of serotonin syndrome can be increased when Metamfetamine is combined with Fenfluramine.]
[A03AB07, methantheline, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Fenfluramine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Fenfluramine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Fenfluramine.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Fenfluramine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Fenfluramine.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Fenfluramine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Fenfluramine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Methoxyflurane.]
[V04CG05, methylene blue, Fenfluramine may increase the serotonergic activities of Methylene blue.]
[R03DA05, aminophylline, Fenfluramine may increase the excretion rate of Aminophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA04, methylphenidate, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Fenfluramine.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Fenfluramine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Fenfluramine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Fenfluramine.]
[C07AB02, metoprolol, The metabolism of Fenfluramine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Fenfluramine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Fenfluramine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Fenfluramine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Midazolam.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Fenfluramine.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Lisdexamfetamine is combined with Fenfluramine.]
[N05AE02, molindone, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Molindone.]
[C01BD01, amiodarone, The metabolism of Fenfluramine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Fenfluramine.]
[N02AA01, morphine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Fenfluramine.]
[A04AA05, palonosetron, The risk or severity of serotonin syndrome can be increased when Palonosetron is combined with Fenfluramine.]
[L04AB05, certolizumab pegol, The metabolism of Fenfluramine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Fenfluramine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Fenfluramine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Amobarbital.]
[G03XC01, raloxifene, The metabolism of Fenfluramine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Amoxapine.]
[N03AB05, fosphenytoin, The serum concentration of Fenfluramine can be decreased when it is combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The metabolism of Fenfluramine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Fenfluramine.]
[N04BC04, ropinirole, Fenfluramine may increase the sedative activities of Ropinirole.]
[J01CF06, nafcillin, The metabolism of Fenfluramine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of serotonin syndrome can be increased when Nalbuphine is combined with Fenfluramine.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Fenfluramine.]
[L04AC03, anakinra, The metabolism of Fenfluramine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Fenfluramine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Fenfluramine.]
[A10BG01, troglitazone, The metabolism of Fenfluramine can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Duloxetine is combined with Fenfluramine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Fenfluramine.]
[N01AH06, remifentanil, The risk or severity of serotonin syndrome can be increased when Remifentanil is combined with Fenfluramine.]
[N05AX14, iloperidone, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of serotonin syndrome can be increased when Desvenlafaxine is combined with Fenfluramine.]
[C10AD02, niacin, The metabolism of Fenfluramine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of serotonin syndrome can be increased when Nialamide is combined with Fenfluramine.]
[C08CA04, nicardipine, The metabolism of Fenfluramine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Fenfluramine.]
[P02DA01, niclosamide, The metabolism of Fenfluramine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The metabolism of Fenfluramine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Fenfluramine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Nitrazepam.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Zaleplon.]
[N04BC05, pramipexole, Fenfluramine may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Fenfluramine.]
[S01AE02, norfloxacin, The metabolism of Fenfluramine can be decreased when combined with Norfloxacin.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Fenfluramine.]
[N06AA10, nortriptyline, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Nortriptyline.]
[L03AB07, interferon beta-1a, The metabolism of Fenfluramine can be decreased when combined with Interferon beta-1a.]
[L04AC04, rilonacept, The metabolism of Fenfluramine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Fenfluramine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of serotonin syndrome can be increased when Opipramol is combined with Fenfluramine.]
[N02AA02, opium, The risk or severity of serotonin syndrome can be increased when Opium is combined with Fenfluramine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Fenfluramine.]
[P02BA02, oxamniquine, The metabolism of Fenfluramine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Fenfluramine.]
[N02AA11, oxymorphone, The risk or severity of serotonin syndrome can be increased when Oxymorphone is combined with Fenfluramine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Oxypertine.]
[A03AB03, oxyphenonium, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[M03AC01, pancuronium, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[G03DB06, chlormadinone, The metabolism of Chlormadinone can be increased when combined with Fenfluramine.]
[N05CC05, paraldehyde, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of serotonin syndrome can be increased when Pargyline is combined with Fenfluramine.]
[J01MA03, pefloxacin, The metabolism of Fenfluramine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of serotonin syndrome can be increased when Pentazocine is combined with Fenfluramine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Fenfluramine.]
[C04AD03, pentoxifylline, Fenfluramine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of serotonin syndrome can be increased when Pergolide is combined with Fenfluramine.]
[C08EX02, perhexiline, The metabolism of Fenfluramine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Fenfluramine.]
[N02AD02, phenazocine, The risk or severity of serotonin syndrome can be increased when Phenazocine is combined with Fenfluramine.]
[N06AF03, phenelzine, The risk or severity of serotonin syndrome can be increased when Phenelzine is combined with Fenfluramine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Fenfluramine.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Phenindione.]
[N03AA02, phenobarbital, The serum concentration of Fenfluramine can be decreased when it is combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of serotonin syndrome can be increased when Phenoperidine is combined with Fenfluramine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of serotonin syndrome can be increased when Phentermine is combined with Fenfluramine.]
[S01GA05, phenylephrine, The metabolism of Fenfluramine can be increased when combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Fenfluramine can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Fenfluramine can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Fenfluramine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Fenfluramine.]
[C07AA03, pindolol, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Pindolol.]
[J05AE01, saquinavir, The metabolism of Fenfluramine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Fenfluramine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Pipotiazine.]
[A02BX03, pirenzepine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of serotonin syndrome can be increased when Piritramide is combined with Fenfluramine.]
[J01MA11, grepafloxacin, The metabolism of Fenfluramine can be decreased when combined with Grepafloxacin.]
[N02CX01, pizotyline, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Pizotifen.]
[J05AG02, delavirdine, The metabolism of Fenfluramine can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Proxibarbal.]
[A03AE01, alosetron, The metabolism of Fenfluramine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Fenfluramine can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The metabolism of Fenfluramine can be decreased when combined with Ritonavir.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Fenfluramine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Fenfluramine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Fenfluramine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The serum concentration of Fenfluramine can be decreased when it is combined with Primidone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Fenfluramine.]
[S01HA05, procaine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Fenfluramine.]
[L01XB01, procarbazine, The risk or severity of serotonin syndrome can be increased when Procarbazine is combined with Fenfluramine.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Fenfluramine.]
[N04AA04, procyclidine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be increased when combined with Fenfluramine.]
[N05AA03, promazine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Promazine.]
[R06AD02, promethazine, The risk or severity of serotonin syndrome can be increased when Promethazine is combined with Fenfluramine.]
[C01BC03, propafenone, The metabolism of Fenfluramine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Propanidid.]
[A03AB05, propantheline, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Periciazine.]
[N05CM06, propiomazine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Fenfluramine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of serotonin syndrome can be increased when Dextropropoxyphene is combined with Fenfluramine.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Fenfluramine.]
[N02CC04, rizatriptan, The risk or severity of serotonin syndrome can be increased when Rizatriptan is combined with Fenfluramine.]
[N06AA11, protriptyline, The risk or severity of serotonin syndrome can be increased when Protriptyline is combined with Fenfluramine.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Pseudoephedrine is combined with Fenfluramine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Aripiprazole.]
[A03AB15, diphemanil, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Fenfluramine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Fenfluramine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Fenfluramine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Fenfluramine can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Fenfluramine.]
[J04AB02, rifampin, The serum concentration of Fenfluramine can be decreased when it is combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Oxitriptan.]
[S01FA02, scopolamine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Fenfluramine.]
[N04BD01, selegiline, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Fenfluramine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Fenfluramine.]
[H02CA04, levoketoconazole, The metabolism of Fenfluramine can be decreased when combined with Levoketoconazole.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Gamolenic acid.]
[R03BB01, ipratropium bromide, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
