[P02BB01, trichlorfon, The therapeutic efficacy of Clozapine can be decreased when used in combination with Metrifonate.]
[B01AX05, fondaparinux, Clozapine may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Clozapine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Clozapine.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Clozapine is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Clozapine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Clozapine.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be decreased when combined with Clozapine.]
[L01XA03, oxaliplatin, The risk or severity of neutropenia can be increased when Oxaliplatin is combined with Clozapine.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Clozapine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[S03BA01, dexamethasone, The metabolism of Clozapine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Clozapine.]
[G04BD04, oxybutynin, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Clozapine.]
[A03AA01, oxyphencyclimine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Clozapine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Clozapine.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the sedative and stimulatory activities of Clozapine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Clozapine.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Clozapine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Clozapine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Clozapine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Clozapine is combined with Diamorphine.]
[C01DA05, pentaerythritol tetranitrate, Clozapine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Clozapine.]
[P03AC04, permethrin, Clozapine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Clozapine.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[V03AH01, diazoxide, Clozapine may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[R05DA08, pholcodine, Clozapine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Clozapine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Clozapine.]
[A03AA07, dicyclomine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Clozapine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Clozapine.]
[A03AX04, pinaverium, The risk or severity of hypotension can be increased when Clozapine is combined with Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Clozapine.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A03AB14, pipenzolate, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The risk or severity of neutropenia can be increased when Ixabepilone is combined with Clozapine.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Clozapine.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Clozapine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Clozapine.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Clozapine.]
[C08CA03, isradipine, The risk or severity of hypotension can be increased when Clozapine is combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Difluocortolone can be decreased when combined with Clozapine.]
[A03AB11, poldine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Clozapine is combined with Diflunisal.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Clozapine.]
[C01AA05, digoxin, Clozapine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Clozapine can be decreased when combined with Dihydralazine.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Clozapine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Clozapine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Clozapine is combined with Hydromorphone.]
[L04AX04, lenalidomide, The risk or severity of neutropenia can be increased when Lenalidomide is combined with Clozapine.]
[J05AE08, atazanavir, The metabolism of Clozapine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Clozapine may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, Clozapine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Clozapine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Clozapine.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[V03AB09, dimercaprol, Clozapine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[R06AB03, dimethindene, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Clozapine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Clozapine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Clozapine.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Clozapine.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Clozapine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Clozapine is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Clozapine can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Clozapine.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Clozapine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Clozapine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Clozapine.]
[C09AA06, quinapril, Clozapine may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypotension and syncope can be increased when Dipyridamole is combined with Clozapine.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Clozapine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Cisapride.]
[C09AA05, ramipril, Clozapine may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The risk or severity of neutropenia can be increased when Sirolimus is combined with Clozapine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Clozapine.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Clozapine.]
[S01AX06, resorcinol, Clozapine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Clozapine.]
[S02AA12, rifamycin SV, The metabolism of Clozapine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Clozapine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05AX08, risperidone, Clozapine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J01MB01, rosoxacin, The metabolism of Clozapine can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Clozapine.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Clozapine.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Clozapine.]
[L01XG01, bortezomib, The risk or severity of neutropenia can be increased when Bortezomib is combined with Clozapine.]
[J05AE07, fosamprenavir, The metabolism of Fosamprenavir can be decreased when combined with Clozapine.]
[G04BE08, tadalafil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Clozapine.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Clozapine is combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Clozapine.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Clozapine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Clozapine is combined with Salsalate.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Clozapine.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Clozapine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Clozapine.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Clozapine is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Clozapine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Clozapine is combined with Doxapram.]
[N06AA12, doxepin, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Clozapine.]
[L01DB01, doxorubicin, The risk or severity of neutropenia can be increased when Doxorubicin is combined with Clozapine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Clozapine.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Clozapine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Clozapine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Clozapine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Clozapine.]
[C09AA11, spirapril, Clozapine may decrease the antihypertensive activities of Spirapril.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Clozapine.]
[R03DA01, dyphylline, Clozapine may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[V04CX07, edrophonium, The therapeutic efficacy of Clozapine can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Clozapine.]
[H01AA01, corticotropin, The metabolism of Corticotropin can be decreased when combined with Clozapine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of neutropenia can be increased when Temozolomide is combined with Clozapine.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Clozapine is combined with Tenoxicam.]
[G04CA03, terazosin, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Clozapine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Clozapine.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Clozapine.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[G04BD01, emepronium, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Clozapine.]
[C09AA02, enalapril, Clozapine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be decreased when combined with Clozapine.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Clozapine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Clozapine.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Clozapine is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Clozapine is combined with Tramazoline.]
[C09AA10, trandolapril, Clozapine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Loprazolam is combined with Clozapine.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A03AB08, tridihexethyl, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Clozapine.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Clozapine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Clozapine.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C02CA06, urapidil, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Urapidil.]
[J01MA04, enoxacin, The serum concentration of Clozapine can be increased when it is combined with Enoxacin.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01CA04, vinorelbine, The risk or severity of neutropenia can be increased when Vinorelbine is combined with Clozapine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Clozapine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Clozapine.]
[N06AX16, venlafaxine, The metabolism of Clozapine can be decreased when combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Clozapine.]
[S01GA03, xylometazoline, The therapeutic efficacy of Xylometazoline can be decreased when used in combination with Clozapine.]
[C08CA12, mepirodipine, The risk or severity of hypotension can be increased when Clozapine is combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Clozapine.]
[L01DB03, epirubicin, The risk or severity of neutropenia can be increased when Epirubicin is combined with Clozapine.]
[C09AA15, zofenopril, Clozapine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be decreased when combined with Clozapine.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Clozapine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Clozapine.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01XA02, carboplatin, The risk or severity of neutropenia can be increased when Carboplatin is combined with Clozapine.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Clozapine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Clozapine is combined with Iloprost.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Clozapine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02CA02, ergotamine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Ergotamine.]
[L03AX05, pidotimod, Clozapine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Clozapine.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Clozapine.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Clozapine.]
[H05BX01, cinacalcet, The metabolism of Clozapine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Clozapine.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Clozapine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Clozapine.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Clozapine.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Clozapine.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Clozapine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Clozapine.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Clozapine is combined with Amifostine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Clozapine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Clozapine.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Clozapine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Clozapine.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Clozapine.]
[L01CB01, etoposide, The risk or severity of neutropenia can be increased when Etoposide is combined with Clozapine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Clozapine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Clozapine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Clozapine.]
[A02BA04, nizatidine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Clozapine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Clozapine.]
[R06AX12, terfenadine, The metabolism of Clozapine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Clozapine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Clozapine.]
[N06AB08, fluvoxamine, The serum concentration of Clozapine can be increased when it is combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Clozapine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Clozapine.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Clozapine.]
[M01CB01, gold sodium thiomalate, Clozapine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Clozapine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of neutropenia can be increased when Dexrazoxane is combined with Clozapine.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Clozapine.]
[A16AA01, levocarnitine, Clozapine may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Clozapine can be increased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of hypotension can be increased when Clozapine is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypotension can be increased when Clozapine is combined with Fendiline.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Clozapine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Clozapine is combined with Fenoprofen.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Clozapine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Clozapine.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Clozapine.]
[L01BB06, clofarabine, The risk or severity of neutropenia can be increased when Clofarabine is combined with Clozapine.]
[L04AA40, cladribine, The risk or severity of neutropenia can be increased when Cladribine is combined with Clozapine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Clozapine.]
[G04BD02, flavoxate, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Clozapine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Clozapine is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Clozapine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of neutropenia can be increased when Flucytosine is combined with Clozapine.]
[H02AA02, fludrocortisone, The metabolism of Fludrocortisone can be decreased when combined with Clozapine.]
[V03AB25, flumazenil, Clozapine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be decreased when combined with Clozapine.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Clozapine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Clozapine.]
[D07AC08, fluocinonide, The metabolism of Fluocinonide can be decreased when combined with Clozapine.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[H02AB03, fluocortolone, The metabolism of Fluocortolone can be decreased when combined with Clozapine.]
[V03AZ01, ethanol, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The risk or severity of neutropenia can be increased when Floxuridine is combined with Clozapine.]
[L01BC02, fluorouracil, The risk or severity of neutropenia can be increased when Fluorouracil is combined with Clozapine.]
[N06AB03, fluoxetine, The serum concentration of Clozapine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Flupentixol.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Clozapine.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Clozapine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Clozapine.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[S02AA17, fosfomycin, Clozapine may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Clozapine.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Clozapine.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Clozapine.]
[J05AE10, darunavir, The metabolism of Clozapine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Clozapine is combined with Eszopiclone.]
[N05AL05, amisulpride, Clozapine may increase the antipsychotic activities of Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Clozapine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C08DA02, gallopamil, The risk or severity of hypotension can be increased when Clozapine is combined with Gallopamil.]
[S01AD09, ganciclovir, Clozapine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
