[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Progesterone.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Progesterone.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Progesterone.]
[L01CE02, irinotecan, Progesterone may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[M04AA01, allopurinol, Progesterone may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, Progesterone may decrease the excretion rate of Losartan which could result in a higher serum level.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be decreased when used in combination with Progesterone.]
[A07EC02, mesalamine, The excretion of Mesalazine can be decreased when combined with Progesterone.]
[N05CA16, hexobarbital, The metabolism of Progesterone can be increased when combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Progesterone.]
[C08CA10, nilvadipine, The metabolism of Progesterone can be decreased when combined with Nilvadipine.]
[S02BA01, hydrocortisone, The serum concentration of Hydrocortisone can be increased when it is combined with Progesterone.]
[D07AB02, hydrocortisone butyrate, The serum concentration of Hydrocortisone butyrate can be increased when it is combined with Progesterone.]
[P01BA02, hydroxychloroquine, The metabolism of Progesterone can be decreased when combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The metabolism of Hydroxyzine can be decreased when combined with Progesterone.]
[J04AB04, rifabutin, The metabolism of Progesterone can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Progesterone.]
[B05CB02, sodium citrate, The therapeutic efficacy of Sodium citrate can be decreased when used in combination with Progesterone.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Progesterone.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Progesterone.]
[N06AA02, imipramine, The metabolism of Progesterone can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Progesterone.]
[R01AD07, tixocortol, The serum concentration of Tixocortol can be increased when it is combined with Progesterone.]
[M03BX02, tizanidine, The metabolism of Progesterone can be increased when combined with Tizanidine.]
[L01CE01, topotecan, Progesterone may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[S01BC01, indomethacin, Progesterone may decrease the excretion rate of Indomethacin which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Progesterone.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Progesterone.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Progesterone.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Progesterone.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Progesterone.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Progesterone.]
[C10AA06, cerivastatin, Progesterone may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Progesterone.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Progesterone.]
[N06AF05, iproniazid, The metabolism of Progesterone can be decreased when combined with Iproniazid.]
[P01AX06, atovaquone, The metabolism of Progesterone can be decreased when combined with Atovaquone.]
[N04BX02, entacapone, The metabolism of Progesterone can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Progesterone can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, Exenatide can cause a decrease in the absorption of Progesterone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P02CF01, ivermectin, Progesterone may decrease the excretion rate of Ivermectin which could result in a higher serum level.]
[B01AE06, bivalirudin, The therapeutic efficacy of Bivalirudin can be decreased when used in combination with Progesterone.]
[N06AX18, reboxetine, The metabolism of Progesterone can be decreased when combined with Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Progesterone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Progesterone.]
[B01AC22, prasugrel, The therapeutic efficacy of Prasugrel can be decreased when used in combination with Progesterone.]
[H02CA04, levoketoconazole, The metabolism of Progesterone can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Progesterone can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Progesterone can be decreased when combined with Olanzapine.]
[V03AC03, deferasirox, The metabolism of Progesterone can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Progesterone can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The metabolism of Progesterone can be decreased when combined with Rotigotine.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Progesterone.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Progesterone.]
[N03AX18, lacosamide, The metabolism of Progesterone can be increased when combined with Lacosamide.]
[A05AA02, ursodiol, Progesterone may decrease the excretion rate of Ursodeoxycholic acid which could result in a higher serum level.]
[J01CA11, amdinocillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The therapeutic efficacy of Progesterone can be decreased when used in combination with Pivmecillinam.]
[G03AD01, levonorgestrel, The metabolism of Progesterone can be decreased when combined with Levonorgestrel.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Progesterone.]
[N06BA13, armodafinil, The metabolism of Progesterone can be decreased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Progesterone.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Progesterone.]
[N05BA06, lorazepam, The metabolism of Progesterone can be increased when combined with Lorazepam.]
[C10AA02, lovastatin, Progesterone may decrease the excretion rate of Lovastatin which could result in a higher serum level.]
[J01AA04, lymecycline, The serum concentration of Progesterone can be decreased when it is combined with Lymecycline.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Progesterone.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Progesterone.]
[V04CC02, magnesium sulfate, The metabolism of Progesterone can be increased when combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Progesterone may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Progesterone can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Progesterone.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Progesterone.]
[N05BA03, medazepam, The metabolism of Progesterone can be increased when combined with Medazepam.]
[B01AB06, nadroparin, The therapeutic efficacy of Nadroparin can be decreased when used in combination with Progesterone.]
[B01AB05, enoxaparin, The therapeutic efficacy of Enoxaparin can be decreased when used in combination with Progesterone.]
[B01AB04, dalteparin, The therapeutic efficacy of Dalteparin can be decreased when used in combination with Progesterone.]
[N06DX01, memantine, The serum concentration of Memantine can be increased when it is combined with Progesterone.]
[N03AB04, mephenytoin, The metabolism of Progesterone can be increased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Progesterone can be increased when combined with Methylphenobarbital.]
[L02BG01, aminoglutethimide, The metabolism of Progesterone can be increased when combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Progesterone.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Progesterone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be decreased when used in combination with Progesterone.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Progesterone.]
[J01AA05, methacycline, The serum concentration of Progesterone can be decreased when it is combined with Metacycline.]
[N07BC02, methadone, The metabolism of Progesterone can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Progesterone.]
[J05AF05, lamivudine, Progesterone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AA30, metharbital, The metabolism of Progesterone can be increased when combined with Metharbital.]
[H03BB02, methimazole, The metabolism of Progesterone can be decreased when combined with Methimazole.]
[N05CA15, methohexital, The metabolism of Progesterone can be increased when combined with Methohexital.]
[L04AX03, methotrexate, Progesterone may decrease the excretion rate of Methotrexate which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The metabolism of Progesterone can be decreased when combined with Methotrimeprazine.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be increased when combined with Progesterone.]
[V04CG05, methylene blue, The metabolism of Progesterone can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The serum concentration of Methylprednisolone can be increased when it is combined with Progesterone.]
[D07AC14, methylprednisolone aceponate, The serum concentration of Methylprednisolone aceponate can be increased when it is combined with Progesterone.]
[N03AF03, rufinamide, The metabolism of Progesterone can be increased when combined with Rufinamide.]
[A03FA01, metoclopramide, The metabolism of Progesterone can be decreased when combined with Metoclopramide.]
[C07AB02, metoprolol, The metabolism of Progesterone can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be decreased when combined with Progesterone.]
[V04CD01, metyrapone, The metabolism of Progesterone can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Progesterone can be decreased when combined with Mexiletine.]
[J01CA10, mezlocillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Mezlocillin.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Progesterone.]
[S02AA13, miconazole, The metabolism of Progesterone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Progesterone.]
[B01AB07, parnaparin, The therapeutic efficacy of Parnaparin can be decreased when used in combination with Progesterone.]
[N05CD08, midazolam, The metabolism of Midazolam can be decreased when combined with Progesterone.]
[G03XB01, mifepristone, Progesterone may decrease the excretion rate of Mifepristone which could result in a higher serum level.]
[B01AB10, tinzaparin, The therapeutic efficacy of Tinzaparin can be decreased when used in combination with Progesterone.]
[C09CA03, valsartan, The metabolism of Progesterone can be decreased when combined with Valsartan.]
[J01AA08, minocycline, The serum concentration of Progesterone can be decreased when it is combined with Minocycline.]
[L01XX23, mitotane, The metabolism of Progesterone can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, Progesterone may decrease the excretion rate of Mitoxantrone which could result in a higher serum level.]
[N06BA12, lisdexamfetamine, The metabolism of Progesterone can be decreased when combined with Lisdexamfetamine.]
[C01BD01, amiodarone, The metabolism of Progesterone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Progesterone.]
[A04AA05, palonosetron, The metabolism of Progesterone can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Progesterone can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, Progesterone may decrease the excretion rate of Pazopanib which could result in a higher serum level.]
[L04AA06, mycophenolic acid, The serum concentration of Progesterone can be decreased when it is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Progesterone can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Progesterone can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, Progesterone may decrease the excretion rate of Raloxifene which could result in a higher serum level.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Progesterone.]
[N03AB05, fosphenytoin, The metabolism of Progesterone can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Progesterone.]
[J01CA04, amoxicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Amoxicillin.]
[J01CF06, nafcillin, The metabolism of Progesterone can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Progesterone can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Progesterone can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Progesterone can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, Progesterone may decrease the excretion rate of Naproxen which could result in a higher serum level.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be decreased when used in combination with Progesterone.]
[N06AX21, duloxetine, The metabolism of Progesterone can be decreased when combined with Duloxetine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Progesterone.]
[L02BG04, letrozole, The metabolism of Progesterone can be decreased when combined with Letrozole.]
[A10BX02, repaglinide, Progesterone may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Progesterone.]
[S01AA19, ampicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Ampicillin.]
[N06AX23, desvenlafaxine, The metabolism of Progesterone can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Progesterone may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Progesterone can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Progesterone can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Progesterone.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Progesterone.]
[N07BA01, nicotine, The metabolism of Nicotine can be increased when combined with Progesterone.]
[C08CA05, nifedipine, Progesterone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C08CA07, nisoldipine, The metabolism of Nisoldipine can be decreased when combined with Progesterone.]
[N05CD02, nitrazepam, The metabolism of Progesterone can be increased when combined with Nitrazepam.]
[C08CA08, nitrendipine, Progesterone may decrease the excretion rate of Nitrendipine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Progesterone may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Progesterone can be increased when combined with Zaleplon.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Progesterone.]
[C01CA03, norepinephrine, The serum concentration of Norepinephrine can be increased when it is combined with Progesterone.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Progesterone.]
[C02KX01, bosentan, The serum concentration of Progesterone can be decreased when it is combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Progesterone.]
[R05DA07, noscapine, The metabolism of Progesterone can be decreased when combined with Noscapine.]
[B01AB08, reviparin, The therapeutic efficacy of Reviparin can be decreased when used in combination with Progesterone.]
[S02AA16, ofloxacin, Progesterone may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L04AC04, rilonacept, The metabolism of Progesterone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Progesterone can be increased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Progesterone.]
[B01AD07, reteplase, The therapeutic efficacy of Reteplase can be decreased when used in combination with Progesterone.]
[B01AD09, ancrod, The therapeutic efficacy of Ancrod can be decreased when used in combination with Progesterone.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Progesterone.]
[C01AC01, ouabain, The excretion of Ouabain can be decreased when combined with Progesterone.]
[J01CF04, oxacillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Oxacillin.]
[P02BA02, oxamniquine, The metabolism of Progesterone can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Progesterone can be decreased when combined with Oxandrolone.]
[C07AA02, oxprenolol, The metabolism of Progesterone can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Progesterone.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Progesterone.]
[S01AA04, oxytetracycline, The serum concentration of Progesterone can be decreased when it is combined with Oxytetracycline.]
[B01AB09, danaparoid, The therapeutic efficacy of Danaparoid can be decreased when used in combination with Progesterone.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Progesterone is combined with Pancuronium.]
[N05CC05, paraldehyde, The metabolism of Progesterone can be increased when combined with Paraldehyde.]
[H02AB05, paramethasone, The serum concentration of Paramethasone can be increased when it is combined with Progesterone.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Progesterone.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Progesterone.]
[M01CC01, penicillamine, The excretion of Penicillamine can be decreased when combined with Progesterone.]
[S01AA14, penicillin G, The therapeutic efficacy of Progesterone can be decreased when used in combination with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The therapeutic efficacy of Progesterone can be decreased when used in combination with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The therapeutic efficacy of Progesterone can be decreased when used in combination with Phenoxymethylpenicillin.]
[N05CA01, pentobarbital, The metabolism of Progesterone can be increased when combined with Pentobarbital.]
[C08EX02, perhexiline, The metabolism of Progesterone can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Progesterone can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be increased when combined with Progesterone.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Progesterone.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be decreased when used in combination with Progesterone.]
[N03AA02, phenobarbital, The metabolism of Progesterone can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Progesterone.]
[M02AA01, phenylbutazone, The metabolism of Progesterone can be increased when combined with Phenylbutazone.]
[A02BC06, dexlansoprazole, The metabolism of Progesterone can be decreased when combined with Dexlansoprazole.]
[N03AB02, phenytoin, The metabolism of Progesterone can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Progesterone can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Progesterone can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Progesterone.]
[C07AA03, pindolol, The metabolism of Progesterone can be decreased when combined with Pindolol.]
[C10AA05, atorvastatin, Progesterone may decrease the excretion rate of Atorvastatin which could result in a higher serum level.]
[J01CA12, piperacillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Piperacillin.]
[J05AE01, saquinavir, The metabolism of Progesterone can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Progesterone.]
[N05AC04, pipothiazine, The metabolism of Progesterone can be decreased when combined with Pipotiazine.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Progesterone.]
[J01CA02, pivampicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Pivampicillin.]
[J05AG02, delavirdine, The metabolism of Progesterone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Progesterone.]
[B01AC13, abciximab, The therapeutic efficacy of Abciximab can be decreased when used in combination with Progesterone.]
[S01XA13, alteplase, The therapeutic efficacy of Alteplase can be decreased when used in combination with Progesterone.]
[A10BG02, rosiglitazone, Progesterone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Progesterone.]
[L04AC08, canakinumab, The metabolism of Progesterone can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Progesterone can be decreased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Progesterone.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Progesterone.]
[C10AA08, pitavastatin, Progesterone may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Progesterone.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Progesterone.]
[C02CA01, prazosin, Progesterone may decrease the excretion rate of Prazosin which could result in a higher serum level.]
[S03BA02, prednisolone, The serum concentration of Prednisolone can be increased when it is combined with Progesterone.]
[H02AB07, prednisone, The serum concentration of Prednisone can be increased when it is combined with Progesterone.]
[P01BA03, primaquine, The metabolism of Progesterone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Progesterone can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Progesterone can be increased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Progesterone.]
[C10AB05, fenofibrate, Progesterone may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Progesterone.]
[R06AD02, promethazine, The metabolism of Progesterone can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Progesterone can be decreased when combined with Propafenone.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Progesterone.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Progesterone.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Progesterone.]
[N02AC04, propoxyphene, The metabolism of Progesterone can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Progesterone.]
[B01AC09, epoprostenol, The therapeutic efficacy of Epoprostenol can be decreased when used in combination with Progesterone.]
[R03DC03, montelukast, The metabolism of Montelukast can be increased when combined with Progesterone.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Progesterone.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Progesterone.]
[R06AC01, pyrilamine, The metabolism of Progesterone can be decreased when combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Progesterone.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Progesterone.]
[P01BC01, quinine, The metabolism of Progesterone can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be increased when it is combined with Progesterone.]
[C02AA02, reserpine, The serum concentration of Reserpine can be increased when it is combined with Progesterone.]
[J04AB02, rifampin, The metabolism of Progesterone can be increased when combined with Rifampicin.]
[J01AA09, rolitetracycline, The serum concentration of Progesterone can be decreased when it is combined with Rolitetracycline.]
[A07EC01, sulfasalazine, Progesterone may decrease the excretion rate of Sulfasalazine which could result in a higher serum level.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Progesterone.]
[N05CA06, secobarbital, The metabolism of Progesterone can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be increased when combined with Progesterone.]
[V04CC03, sincalide, The excretion of Sincalide can be increased when combined with Progesterone.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Progesterone.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Progesterone.]
[C03DA01, spironolactone, Progesterone may decrease the excretion rate of Spironolactone which could result in a higher serum level.]
