[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Formoterol.]
[N05CF02, zolpidem, The metabolism of Formoterol can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Formoterol is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Formoterol.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Formoterol.]
[C02AC02, guanfacine, Guanfacine may increase the sympathomimetic activities of Formoterol.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Formoterol.]
[G02AB03, ergonovine, Ergometrine may increase the sympathomimetic activities of Formoterol.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypertensive and vasoconstricting activities of Formoterol.]
[N02CA02, ergotamine, Ergotamine may increase the hypertensive and vasoconstricting activities of Formoterol.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Erythromycin.]
[A02BC02, pantoprazole, The metabolism of Formoterol can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Formoterol can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Formoterol can be decreased when combined with Estradiol.]
[J04AK02, ethambutol, The metabolism of Formoterol can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of hypokalemia can be increased when Fluticasone furoate is combined with Formoterol.]
[C10AA04, fluvastatin, The metabolism of Formoterol can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Formoterol is combined with Gepefrine.]
[L02AA03, ethinyl estradiol, The metabolism of Formoterol can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Profenamine.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Formoterol.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Formoterol.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Formoterol.]
[C01CA01, etilefrine, Etilefrine may increase the sympathomimetic activities of Formoterol.]
[N01AX07, etomidate, Etomidate may increase the sympathomimetic activities of Formoterol.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Formoterol.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Formoterol.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Formoterol.]
[R06AX12, terfenadine, The metabolism of Formoterol can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Formoterol can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Formoterol can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Formoterol.]
[P02CA03, albendazole, The metabolism of Formoterol can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Formoterol can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Formoterol.]
[R03CC04, fenoterol, Fenoterol may increase the sympathomimetic activities of Formoterol.]
[N02AB03, fentanyl, The risk or severity of hypertension can be increased when Fentanyl is combined with Formoterol.]
[R03CC02, albuterol, Salbutamol may increase the sympathomimetic activities of Formoterol.]
[N07AX03, cevimeline, The metabolism of Formoterol can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, The risk or severity of Tachycardia can be increased when Formoterol is combined with Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Formoterol.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Formoterol is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Formoterol can be decreased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hypokalemia can be increased when Fludrocortisone is combined with Formoterol.]
[D07XB01, flumethasone, The risk or severity of hypokalemia can be increased when Flumethasone is combined with Formoterol.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Formoterol.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Formoterol.]
[D07AC08, fluocinonide, The risk or severity of hypokalemia can be increased when Fluocinonide is combined with Formoterol.]
[N06AA14, melitracen, The risk or severity of hypertension can be increased when Melitracen is combined with Formoterol.]
[H02AB03, fluocortolone, The risk or severity of hypokalemia can be increased when Fluocortolone is combined with Formoterol.]
[V03AZ01, ethanol, The metabolism of Formoterol can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Formoterol can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of hypokalemia can be increased when Fluorometholone is combined with Formoterol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Formoterol.]
[N06AB03, fluoxetine, The serum concentration of Formoterol can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Formoterol can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, The metabolism of Formoterol can be decreased when combined with Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Formoterol.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Fluspirilene.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Formoterol.]
[N06BX17, adrafinil, Adrafinil may increase the sympathomimetic activities of Formoterol.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Formoterol.]
[J05AE10, darunavir, The metabolism of Formoterol can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Furosemide.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Formoterol.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Gallopamil.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Formoterol is combined with Ganciclovir.]
[C10AB04, gemfibrozil, The metabolism of Formoterol can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Degarelix.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Dasatinib.]
[N04BC06, cabergoline, Cabergoline may increase the hypertensive and vasoconstricting activities of Formoterol.]
[C01CA21, cafedrine, The risk or severity of hypokalemia can be increased when Cafedrine is combined with Formoterol.]
[J05AG04, etravirine, The metabolism of Formoterol can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Formoterol.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Formoterol.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Formoterol.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Formoterol.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the sympathomimetic activities of Formoterol.]
[C05AE01, nitroglycerin, Formoterol may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Dofetilide.]
[C02CA04, doxazosin, The therapeutic efficacy of Formoterol can be decreased when used in combination with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Formoterol can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Esmolol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Formoterol.]
[C09AA09, fosinopril, Formoterol may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Formoterol may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Formoterol can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the arrhythmogenic activities of Formoterol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Quetiapine.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Formoterol.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Formoterol.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Formoterol.]
[R03CC05, hexoprenaline, Hexoprenaline may increase the sympathomimetic activities of Formoterol.]
[J05AG01, nevirapine, The metabolism of Formoterol can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Formoterol can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Formoterol is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Oxatomide.]
[C09AA04, perindopril, Formoterol may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Formoterol may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hypokalemia can be increased when Hydrocortisone is combined with Formoterol.]
[C03AA02, hydroflumethiazide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Hydroflumethiazide.]
[G04BD06, propiverine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Formoterol can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Rilmenidine may increase the sympathomimetic activities of Formoterol.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Formoterol is combined with Ibuprofen.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Formoterol.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Formoterol.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Formoterol.]
[N06AA02, imipramine, The metabolism of Formoterol can be decreased when combined with Imipramine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Formoterol.]
[M03BX02, tizanidine, Tizanidine may increase the sympathomimetic activities of Formoterol.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Formoterol.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Formoterol.]
[C02CA02, indoramin, The therapeutic efficacy of Formoterol can be decreased when used in combination with Indoramin.]
[N06AX17, milnacipran, Milnacipran may increase the tachycardic activities of Formoterol.]
[A03AA30, piperidolate, The risk or severity of Tachycardia can be increased when Formoterol is combined with Piperidolate.]
[N05CH02, ramelteon, The metabolism of Formoterol can be decreased when combined with Ramelteon.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Formoterol.]
[G02CX01, atosiban, The risk or severity of adverse effects can be increased when Formoterol is combined with Atosiban.]
[C10AA06, cerivastatin, The metabolism of Formoterol can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may decrease the bronchodilatory activities of Formoterol.]
[C03BA02, quinethazone, Formoterol may increase the hypokalemic activities of Quinethazone.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Formoterol.]
[N06AA13, iprindole, The risk or severity of hypertension can be increased when Iprindole is combined with Formoterol.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Iproniazid is combined with Formoterol.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Formoterol.]
[P01AX06, atovaquone, The metabolism of Formoterol can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, Isoetharine may increase the sympathomimetic activities of Formoterol.]
[C09AA16, imidapril, Formoterol may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the arrhythmogenic activities of Formoterol.]
[N04BX02, entacapone, The metabolism of Formoterol can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Formoterol can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, Isoprenaline may increase the sympathomimetic activities of Formoterol.]
[C04AA01, isoxsuprine, Isoxsuprine may increase the sympathomimetic activities of Formoterol.]
[N06AX18, reboxetine, The metabolism of Formoterol can be decreased when combined with Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Formoterol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Formoterol.]
[C02KD01, ketanserin, Formoterol may decrease the antihypertensive activities of Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Formoterol.]
[J02AB02, ketoconazole, The metabolism of Formoterol can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Formoterol is combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Formoterol can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Formoterol can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Mizolastine.]
[C01CA22, arbutamine, Arbutamine may increase the sympathomimetic activities of Formoterol.]
[N04BC09, rotigotine, The metabolism of Formoterol can be decreased when combined with Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Formoterol is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Formoterol.]
[C02AA05, deserpidine, Formoterol may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Formoterol.]
[C03CC01, ethacrynic acid, The risk or severity of hypokalemia can be increased when Formoterol is combined with Etacrynic acid.]
[S02DA01, lidocaine, The metabolism of Formoterol can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Formoterol can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, Lisuride may increase the hypertensive and vasoconstricting activities of Formoterol.]
[N06AA07, lofepramine, The risk or severity of hypertension can be increased when Lofepramine is combined with Formoterol.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Formoterol can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Formoterol.]
[L01EG01, temsirolimus, The metabolism of Formoterol can be decreased when combined with Temsirolimus.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Formoterol.]
[C02BB01, mecamylamine, Formoterol may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The metabolism of Formoterol can be decreased when combined with Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Formoterol.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Formoterol.]
[N06DX01, memantine, The metabolism of Formoterol can be decreased when combined with Memantine.]
[C01CA11, mephentermine, Mephentermine may increase the sympathomimetic activities of Formoterol.]
[N03AB04, mephenytoin, The metabolism of Formoterol can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Formoterol can be decreased when combined with Methylphenobarbital.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Formoterol can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, Metaraminol may increase the sympathomimetic activities of Formoterol.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Dolasetron.]
[N07BC02, methadone, The metabolism of Formoterol can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may increase the sympathomimetic activities of Formoterol.]
[A03AB07, methantheline, The risk or severity of Tachycardia can be increased when Methantheline is combined with Formoterol.]
[J05AF05, lamivudine, The risk or severity of adverse effects can be increased when Formoterol is combined with Lamivudine.]
[G02CB05, metergoline, Metergoline may increase the hypertensive and vasoconstricting activities of Formoterol.]
[H03BB02, methimazole, The metabolism of Formoterol can be decreased when combined with Methimazole.]
[N05AA02, methotrimeprazine, The metabolism of Formoterol can be decreased when combined with Methotrimeprazine.]
[C01CA10, methoxamine, Methoxamine may increase the sympathomimetic activities of Formoterol.]
[D05BA02, methoxsalen, The metabolism of Formoterol can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the arrhythmogenic activities of Formoterol.]
[C03AA08, methyclothiazide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Methyclothiazide.]
[C02AB01, methyldopa, Methyldopa may increase the sympathomimetic activities of Formoterol.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Methylene blue is combined with Formoterol.]
[G02AB01, methylergonovine, Methylergometrine may increase the hypertensive and vasoconstricting activities of Formoterol.]
[R03DA05, aminophylline, The risk or severity of hypokalemia can be increased when Aminophylline is combined with Formoterol.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Formoterol.]
[H02AB04, methylprednisolone, The risk or severity of hypokalemia can be increased when Methylprednisolone is combined with Formoterol.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hypokalemia can be increased when Methylprednisolone aceponate is combined with Formoterol.]
[N02CA04, methysergide, Methysergide may increase the hypertensive and vasoconstricting activities of Formoterol.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Metoclopramide.]
[C03BA08, metolazone, Formoterol may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The metabolism of Formoterol can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Formoterol.]
[V04CD01, metyrapone, The metabolism of Formoterol can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Formoterol can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of hypertension can be increased when Formoterol is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Formoterol can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Formoterol is combined with Aminophenazone.]
[C01CA17, midodrine, Midodrine may increase the sympathomimetic activities of Formoterol.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Formoterol can be decreased when combined with Valsartan.]
[D11AX01, minoxidil, Formoterol may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Formoterol is combined with Lisdexamfetamine.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of adverse effects can be increased when Amitriptyline is combined with Formoterol.]
[A04AA05, palonosetron, The metabolism of Formoterol can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Formoterol can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Formoterol can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Pazopanib.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Formoterol.]
[G04CA04, silodosin, The therapeutic efficacy of Formoterol can be decreased when used in combination with Silodosin.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Formoterol.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Formoterol.]
[C07AA12, nadolol, Nadolol may decrease the bronchodilatory activities of Formoterol.]
[L04AC03, anakinra, The metabolism of Formoterol can be increased when combined with Anakinra.]
[S01GA01, naphazoline, Naphazoline may increase the sympathomimetic activities of Formoterol.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Formoterol.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Formoterol.]
[A10BG01, troglitazone, The metabolism of Formoterol can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Formoterol can be decreased when combined with Duloxetine.]
[L02BG04, letrozole, The metabolism of Formoterol can be decreased when combined with Letrozole.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Remifentanil is combined with Formoterol.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Levosimendan.]
[N05AX14, iloperidone, The therapeutic efficacy of Formoterol can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the tachycardic activities of Formoterol.]
[C09CA07, telmisartan, The metabolism of Formoterol can be decreased when combined with Telmisartan.]
[C10AD02, niacin, The metabolism of Formoterol can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Nialamide is combined with Formoterol.]
[C08CA04, nicardipine, The metabolism of Formoterol can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the hypertensive and vasoconstricting activities of Formoterol.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Formoterol.]
[N07BA01, nicotine, The metabolism of Formoterol can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Formoterol.]
[M02AA17, niflumic acid, The metabolism of Formoterol can be decreased when combined with Niflumic acid.]
[C08CA06, nimodipine, Formoterol may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Formoterol may decrease the antihypertensive activities of Nisoldipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Nitrendipine.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Formoterol is combined with Pramipexole.]
[C02DD01, nitroprusside, Formoterol may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the arrhythmogenic activities of Formoterol.]
[C01CA03, norepinephrine, Norepinephrine may increase the sympathomimetic activities of Formoterol.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Formoterol can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Formoterol.]
[R05DA07, noscapine, The metabolism of Formoterol can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, Nylidrin may increase the sympathomimetic activities of Formoterol.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Formoterol.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Formoterol can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Formoterol can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of hypertension can be increased when Opipramol is combined with Formoterol.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Formoterol.]
[R03CB03, metaproterenol, Orciprenaline may increase the sympathomimetic activities of Formoterol.]
[G04CA02, tamsulosin, The therapeutic efficacy of Formoterol can be decreased when used in combination with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Formoterol can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Formoterol can be decreased when combined with Oxandrolone.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Oxolinic acid.]
[C07AA02, oxprenolol, Oxprenolol may decrease the bronchodilatory activities of Formoterol.]
[N02AA05, oxycodone, The metabolism of Formoterol can be decreased when combined with Oxycodone.]
[C01DX03, oxyfedrine, Oxyfedrine may increase the sympathomimetic activities of Formoterol.]
[S01GA04, oxymetazoline, Oxymetazoline may increase the sympathomimetic activities of Formoterol.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Formoterol.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Formoterol is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia can be increased when Oxyphenonium is combined with Formoterol.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Formoterol.]
[N05AH05, asenapine, The therapeutic efficacy of Formoterol can be decreased when used in combination with Asenapine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Formoterol is combined with Pancuronium.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of hypokalemia can be increased when Paramethasone is combined with Formoterol.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Pargyline is combined with Formoterol.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Formoterol.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Formoterol.]
[C07AA23, penbutolol, Penbutolol may decrease the bronchodilatory activities of Formoterol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Penfluridol.]
[N05CA01, pentobarbital, The metabolism of Formoterol can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Formoterol.]
[N04BC02, pergolide, Pergolide may increase the sympathomimetic activities of Formoterol.]
[C08EX02, perhexiline, The metabolism of Formoterol can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Formoterol can be decreased when combined with Perphenazine.]
