[S02DA03, antipyrine, The metabolism of Hydroxychloroquine can be decreased when combined with Antipyrine.]
[A04AD12, aprepitant, The metabolism of Hydroxychloroquine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Hydroxychloroquine.]
[S01BC05, ketorolac, The metabolism of Hydroxychloroquine can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, The serum concentration of Hydroxychloroquine can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Hydroxychloroquine can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Hydroxychloroquine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Hydroxychloroquine.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Hydroxychloroquine.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Hydroxychloroquine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Hydroxychloroquine.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Hydroxychloroquine.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Droperidol.]
[C10AA01, simvastatin, The metabolism of Hydroxychloroquine can be decreased when combined with Simvastatin.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Talinolol.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Hydroxychloroquine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Hydroxychloroquine.]
[D01BA02, terbinafine, The metabolism of Hydroxychloroquine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Terodiline.]
[C07AA16, tertatolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Tertatolol.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Hydroxychloroquine.]
[N03AX11, topiramate, The therapeutic efficacy of Topiramate can be decreased when used in combination with Hydroxychloroquine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Hydroxychloroquine can be decreased when combined with Torasemide.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Hydroxychloroquine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Triptorelin.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Trofosfamide.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Hydroxychloroquine.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Hydroxychloroquine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Hydroxychloroquine.]
[N06AX16, venlafaxine, The metabolism of Hydroxychloroquine can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Hydroxychloroquine can be decreased when combined with Barnidipine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Hydroxychloroquine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Hydroxychloroquine.]
[N03AX15, zonisamide, The therapeutic efficacy of Zonisamide can be decreased when used in combination with Hydroxychloroquine.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Hydroxychloroquine.]
[N05CF01, zopiclone, The metabolism of Hydroxychloroquine can be decreased when combined with Zopiclone.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Hydroxychloroquine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Moricizine.]
[N02CA02, ergotamine, The metabolism of Hydroxychloroquine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Hydroxychloroquine.]
[S01AA17, erythromycin, The metabolism of Hydroxychloroquine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The therapeutic efficacy of Estazolam can be decreased when used in combination with Hydroxychloroquine.]
[H05BX01, cinacalcet, The metabolism of Hydroxychloroquine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Hydroxychloroquine can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Hydroxychloroquine.]
[J04AK02, ethambutol, The metabolism of Hydroxychloroquine can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Hydroxychloroquine can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Hydroxychloroquine can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Ibutilide.]
[N03AD01, ethosuximide, The therapeutic efficacy of Ethosuximide can be decreased when used in combination with Hydroxychloroquine.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be decreased when used in combination with Hydroxychloroquine.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Hydroxychloroquine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Hydroxychloroquine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Hydroxychloroquine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Hydroxychloroquine.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Hydroxychloroquine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Hydroxychloroquine.]
[R06AX12, terfenadine, The metabolism of Hydroxychloroquine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Hydroxychloroquine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Hydroxychloroquine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Hydroxychloroquine.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Leuprolide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Hydroxychloroquine.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Hydroxychloroquine.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Hydroxychloroquine.]
[C08CA02, felodipine, The metabolism of Hydroxychloroquine can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Fendiline.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Hydroxychloroquine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Hydroxychloroquine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Hydroxychloroquine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Hydroxychloroquine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Hydroxychloroquine.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Hydroxychloroquine.]
[J02AC01, fluconazole, The metabolism of Hydroxychloroquine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Hydroxychloroquine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Hydroxychloroquine.]
[N07CA03, flunarizine, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Hydroxychloroquine.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Hydroxychloroquine.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Fluocortolone.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Hydroxychloroquine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Hydroxychloroquine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Hydroxychloroquine.]
[N06AB03, fluoxetine, The serum concentration of Hydroxychloroquine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Fluphenazine.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Fluspirilene.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Hydroxychloroquine.]
[J05AE10, darunavir, The metabolism of Hydroxychloroquine can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Hydroxychloroquine can be decreased when combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Hydroxychloroquine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Gallopamil.]
[N03AA04, barbexaclone, The therapeutic efficacy of Barbexaclone can be decreased when used in combination with Hydroxychloroquine.]
[C10AB04, gemfibrozil, The metabolism of Hydroxychloroquine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Degarelix.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Dasatinib is combined with Hydroxychloroquine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Hydroxychloroquine.]
[N03AD03, methsuximide, The therapeutic efficacy of Methsuximide can be decreased when used in combination with Hydroxychloroquine.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Hydroxychloroquine.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Hydroxychloroquine.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Hydroxychloroquine.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Hydroxychloroquine.]
[N05CM18, dexmedetomidine, The metabolism of Hydroxychloroquine can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Dofetilide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Hydroxychloroquine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Hydroxychloroquine.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Esmolol.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Hydroxychloroquine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Histrelin.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Hydroxychloroquine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Hydroxychloroquine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Hydroxychloroquine.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Hydroxychloroquine.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Hydroxychloroquine.]
[N05CA16, hexobarbital, The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Hydroxychloroquine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Hydroxychloroquine.]
[C08CA10, nilvadipine, The metabolism of Hydroxychloroquine can be decreased when combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Hydroxychloroquine.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Hydroxychloroquine.]
[S02BA01, hydrocortisone, The metabolism of Hydroxychloroquine can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Hydrocortisone butyrate.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Antilymphocyte immunoglobulin (horse).]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Pipemidic acid.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Fluticasone furoate.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Hydroxychloroquine can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Hydroxychloroquine can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Hydroxychloroquine.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Hydroxychloroquine.]
[N06AA02, imipramine, The metabolism of Hydroxychloroquine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Hydroxychloroquine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Tixocortol.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Hydroxychloroquine.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Hydroxychloroquine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Hydroxychloroquine.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Hydroxychloroquine.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Hydroxychloroquine.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Hydroxychloroquine.]
[N06AX17, milnacipran, The metabolism of Hydroxychloroquine can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Hydroxychloroquine.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Articaine.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Hydroxychloroquine.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Hydroxychloroquine.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Hydroxychloroquine.]
[C10AA06, cerivastatin, The metabolism of Hydroxychloroquine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Hydroxychloroquine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Hydroxychloroquine.]
[N06AF05, iproniazid, The metabolism of Hydroxychloroquine can be decreased when combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Chlorproethazine.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Hydroxychloroquine.]
[N04BX02, entacapone, The metabolism of Hydroxychloroquine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Hydroxychloroquine can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Hydroxychloroquine.]
[N06AX18, reboxetine, The metabolism of Hydroxychloroquine can be decreased when combined with Reboxetine.]
[A07BC02, kaolin, Kaolin can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC07, tocilizumab, The metabolism of Hydroxychloroquine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Hydroxychloroquine can be decreased when combined with Ketamine.]
[J02AB02, ketoconazole, The metabolism of Hydroxychloroquine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Hydroxychloroquine.]
[M02AA10, ketoprofen, The metabolism of Hydroxychloroquine can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Hydroxychloroquine can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Hydroxychloroquine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Hydroxychloroquine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Nalidixic acid.]
[C07AG01, labetalol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Hydroxychloroquine.]
[N03AX18, lacosamide, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Hydroxychloroquine.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Hydroxychloroquine.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Lidoflazine.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Hydroxychloroquine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Hydroxychloroquine.]
[A07DA03, loperamide, The metabolism of Hydroxychloroquine can be decreased when combined with Loperamide.]
[N05BA06, lorazepam, The therapeutic efficacy of Lorazepam can be decreased when used in combination with Hydroxychloroquine.]
[C10AA02, lovastatin, The metabolism of Hydroxychloroquine can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Temsirolimus.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Magnesium sulfate can be decreased when used in combination with Hydroxychloroquine.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Hydroxychloroquine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Hydroxychloroquine.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Hydroxychloroquine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Hydroxychloroquine.]
[N05BA03, medazepam, The therapeutic efficacy of Medazepam can be decreased when used in combination with Hydroxychloroquine.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Hydroxychloroquine.]
[P01BC02, mefloquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Mefloquine.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Hydroxychloroquine.]
[N03AB04, mephenytoin, The therapeutic efficacy of Mephenytoin can be decreased when used in combination with Hydroxychloroquine.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Hydroxychloroquine.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Paliperidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Hydroxychloroquine.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Hydroxychloroquine.]
[N07BC02, methadone, The metabolism of Hydroxychloroquine can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Hydroxychloroquine.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Hydroxychloroquine.]
[H03BB02, methimazole, The metabolism of Hydroxychloroquine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Hydroxychloroquine.]
[N05CA15, methohexital, The therapeutic efficacy of Methohexital can be decreased when used in combination with Hydroxychloroquine.]
[L04AX03, methotrexate, The serum concentration of Methotrexate can be decreased when it is combined with Hydroxychloroquine.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Methotrimeprazine.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Hydroxychloroquine.]
[V04CG05, methylene blue, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Hydroxychloroquine.]
[N03AF03, rufinamide, The therapeutic efficacy of Rufinamide can be decreased when used in combination with Hydroxychloroquine.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Hydroxychloroquine.]
[C07AB02, metoprolol, The metabolism of Hydroxychloroquine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Hydroxychloroquine.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Hydroxychloroquine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Hydroxychloroquine.]
[S02AA13, miconazole, The metabolism of Hydroxychloroquine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Hydroxychloroquine can be decreased when combined with Aminophenazone.]
[G03XB01, mifepristone, The serum concentration of Hydroxychloroquine can be increased when it is combined with Mifepristone.]
[L01XX23, mitotane, The metabolism of Hydroxychloroquine can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Hydroxychloroquine.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Hydroxychloroquine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Hydroxychloroquine.]
[C01BD01, amiodarone, The metabolism of Hydroxychloroquine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Hydroxychloroquine.]
[N02AA01, morphine, The metabolism of Hydroxychloroquine can be decreased when combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Hydroxychloroquine.]
[L04AB05, certolizumab pegol, The metabolism of Hydroxychloroquine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Hydroxychloroquine can be decreased when combined with Eltrombopag.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Hydroxychloroquine.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Hydroxychloroquine.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Hydroxychloroquine.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Hydroxychloroquine.]
[G03XC01, raloxifene, The metabolism of Hydroxychloroquine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Hydroxychloroquine.]
[N03AB05, fosphenytoin, The therapeutic efficacy of Fosphenytoin can be decreased when used in combination with Hydroxychloroquine.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Hydroxychloroquine.]
[C07AA12, nadolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Nadolol.]
[V03AB15, naloxone, The metabolism of Hydroxychloroquine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Hydroxychloroquine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Hydroxychloroquine.]
[M02AA12, naproxen, The metabolism of Hydroxychloroquine can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Hydroxychloroquine.]
[N06AX21, duloxetine, The metabolism of Hydroxychloroquine can be decreased when combined with Duloxetine.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Docetaxel is combined with Hydroxychloroquine.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Hydroxychloroquine.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Iloperidone.]
[S01AA19, ampicillin, Hydroxychloroquine can cause a decrease in the absorption of Ampicillin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
