[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Buspirone is combined with Antipyrine.]
[C02AC05, moxonidine, Buspirone may decrease the antihypertensive activities of Moxonidine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Buspirone.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Buspirone is combined with Etoricoxib.]
[L01AX04, dacarbazine, Buspirone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Buspirone can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Buspirone is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Buspirone can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Buspirone can be increased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Buspirone is combined with Deanol.]
[C02CC04, debrisoquin, Buspirone may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Buspirone.]
[N07BB05, nalmefene, Buspirone may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Nordazepam.]
[C07AB12, nebivolol, Buspirone may decrease the antihypertensive activities of Nebivolol.]
[S01GX04, nedocromil, Buspirone may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The serum concentration of Buspirone can be increased when it is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Niaprazine.]
[C01DX16, nicorandil, Buspirone may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, Buspirone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Buspirone is combined with Tiagabine.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Buspirone is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Buspirone is combined with Cisatracurium.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Buspirone is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Buspirone is combined with Normethadone.]
[B01AX05, fondaparinux, Buspirone may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Escitalopram.]
[G04BD08, solifenacin, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Buspirone is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Buspirone can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Buspirone.]
[V04CH02, indigo carmine, Buspirone may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[C09XA02, aliskiren, Buspirone may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Buspirone is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Buspirone can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxiracetam.]
[N04AA08, dexetimide, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Buspirone can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Buspirone can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Buspirone.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Buspirone is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Buspirone is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Buspirone is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Buspirone can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Buspirone.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Buspirone is combined with Diamorphine.]
[C01DA05, pentaerythritol tetranitrate, Buspirone may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Buspirone may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Buspirone is combined with Phenacemide.]
[V03AH01, diazoxide, Buspirone may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Buspirone is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Buspirone is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Buspirone is combined with Cinchocaine.]
[R05DA08, pholcodine, Buspirone may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Buspirone is combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[A03AA07, dicyclomine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Buspirone may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Buspirone may decrease the antihypertensive activities of Pinacidil.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Buspirone is combined with Pipamperone.]
[A03AB14, pipenzolate, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Buspirone can be decreased when combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Buspirone.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Buspirone is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Buspirone is combined with Diethylpropion.]
[C08CA03, isradipine, The metabolism of Buspirone can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Buspirone can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Buspirone is combined with Diflunisal.]
[C01AA05, digoxin, Buspirone may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Buspirone may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Buspirone is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Buspirone.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Buspirone.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Buspirone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Buspirone may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, Buspirone may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Buspirone may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Buspirone is combined with Pramocaine.]
[C08DB01, diltiazem, The serum concentration of Buspirone can be increased when it is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Buspirone is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Buspirone may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Buspirone is combined with Pridinol.]
[R06AB03, dimethindene, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Buspirone is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Buspirone can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Buspirone is combined with Progabide.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Buspirone is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Buspirone is combined with Proglumetacin.]
[R06AA02, diphenhydramine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Buspirone is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Quazepam.]
[C09AA06, quinapril, Buspirone may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Buspirone is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Buspirone is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Buspirone can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Buspirone may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Buspirone can be decreased when combined with Sirolimus.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Buspirone.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Buspirone is combined with Reproterol.]
[S01AX06, resorcinol, Buspirone may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Buspirone.]
[S02AA12, rifamycin SV, The metabolism of Buspirone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Buspirone can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Buspirone is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Buspirone is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Buspirone is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Buspirone.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Buspirone.]
[A04AD12, aprepitant, The metabolism of Buspirone can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Buspirone can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Buspirone may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Buspirone.]
[C02KX02, ambrisentan, Buspirone may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Buspirone can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Buspirone is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Buspirone is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Buspirone is combined with Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Buspirone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Buspirone is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Buspirone can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Buspirone is combined with Doxapram.]
[N06AA12, doxepin, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Buspirone can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Buspirone is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Buspirone is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Buspirone is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Buspirone.]
[A12CA02, sodium sulfate, Buspirone may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Buspirone may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, Buspirone may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Buspirone is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Buspirone is combined with Sumatriptan.]
[V04CX07, edrophonium, Buspirone may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, Buspirone may decrease the antihypertensive activities of Talinolol.]
[L01AX03, temozolomide, Buspirone may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Buspirone.]
[G04CA03, terazosin, Buspirone may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Buspirone can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Buspirone.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Buspirone is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Buspirone is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Buspirone is combined with Thiopropazate.]
[G04BD01, emepronium, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Buspirone is combined with Tianeptine.]
[C09AA02, enalapril, Buspirone may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Buspirone is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Buspirone is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of hypertension can be increased when Toloxatone is combined with Buspirone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Buspirone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Buspirone.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Buspirone is combined with Tramazoline.]
[C09AA10, trandolapril, Buspirone may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Buspirone is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Buspirone is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Buspirone is combined with Triclofos.]
[A03AB08, tridihexethyl, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Buspirone is combined with Trimethobenzamide.]
[N04AA12, tropatepine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Buspirone is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Buspirone.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Buspirone is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Buspirone is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Buspirone can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Buspirone is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Buspirone is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Buspirone is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Buspirone is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Buspirone can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Buspirone is combined with Epinephrine.]
[C09AA15, zofenopril, Buspirone may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Buspirone is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Buspirone is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Buspirone is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Buspirone is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Buspirone is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Buspirone is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Buspirone is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Buspirone is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Buspirone can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Buspirone may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The serum concentration of Buspirone can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Buspirone is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Buspirone can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, Buspirone may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Buspirone can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Buspirone can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Buspirone.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Buspirone.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Buspirone.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N04AA05, profenamine, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Buspirone is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Buspirone is combined with Ethotoin.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Buspirone is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Buspirone is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Buspirone is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Buspirone.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Buspirone.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Buspirone is combined with Sertindole.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Buspirone.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Buspirone.]
[R06AX12, terfenadine, The metabolism of Buspirone can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Buspirone may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Buspirone can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Buspirone can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Buspirone.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Buspirone may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Buspirone may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[A16AA01, levocarnitine, Buspirone may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Buspirone can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Buspirone is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Buspirone is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Buspirone is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Buspirone is combined with Salbutamol.]
[L01BB06, clofarabine, Buspirone may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[G04BD02, flavoxate, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Buspirone.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Buspirone is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Buspirone can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Buspirone may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Buspirone may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Buspirone is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Buspirone can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Buspirone is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Buspirone can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[N06AB03, fluoxetine, The serum concentration of Buspirone can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Buspirone is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Buspirone is combined with Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Buspirone is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Buspirone is combined with Fluspirilene.]
[L02BB01, flutamide, Buspirone may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[S02AA17, fosfomycin, Buspirone may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Buspirone.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Buspirone is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Buspirone is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of hypertension can be increased when Furazolidone is combined with Buspirone.]
[J05AE10, darunavir, The metabolism of Buspirone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Buspirone is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Buspirone is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Buspirone.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Buspirone is combined with Gallamine.]
[S01AD09, ganciclovir, Buspirone may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Buspirone is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Buspirone is combined with Bifemelane.]
[C10AB04, gemfibrozil, Buspirone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Buspirone may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Buspirone.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Buspirone.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Buspirone is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Buspirone is combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Buspirone.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Buspirone.]
[A10BB07, glipizide, Buspirone may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Buspirone is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Buspirone is combined with Glutethimide.]
[C05AE01, nitroglycerin, Buspirone may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Buspirone may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Buspirone.]
