[P02BB01, trichlorfon, The therapeutic efficacy of Atropine can be decreased when used in combination with Metrifonate.]
[N06AX16, venlafaxine, Venlafaxine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Atropine is combined with Xamoterol.]
[S01GA03, xylometazoline, Atropine may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Atropine may increase the arrhythmogenic activities of Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Atropine is combined with Epinephrine.]
[C09AA15, zofenopril, Atropine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Atropine is combined with Zomepirac.]
[N03AX15, zonisamide, Atropine may increase the arrhythmogenic activities of Zonisamide.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01BG01, moricizine, Atropine may increase the arrhythmogenic activities of Moricizine.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02CA02, ergotamine, Ergotamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01AA17, erythromycin, Erythromycin may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Atropine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Atropine which could result in a higher serum level.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Atropine.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Atropine.]
[N03AD01, ethosuximide, Atropine may increase the arrhythmogenic activities of Ethosuximide.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Atropine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Atropine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Atropine is combined with Etilefrine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01BA05, ajmaline, Atropine may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Atropine.]
[A02BA04, nizatidine, The therapeutic efficacy of Atropine can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Atropine.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Atropine is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Terfenadine.]
[N06AX12, bupropion, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01BB03, tocainide, Atropine may increase the arrhythmogenic activities of Tocainide.]
[C01BC08, encainide, Atropine may increase the arrhythmogenic activities of Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Atropine.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Atropine which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Atropine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Atropine.]
[C08CA02, felodipine, Atropine may increase the arrhythmogenic activities of Felodipine.]
[C08EA01, fendiline, Atropine may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Atropine is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Atropine is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Atropine is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Atropine is combined with Salbutamol.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Atropine is combined with Flavoxate.]
[C01BC04, flecainide, Atropine may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Atropine is combined with Floctafenine.]
[J01CF05, floxacillin, Flucloxacillin may decrease the excretion rate of Atropine which could result in a higher serum level.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Atropine.]
[N07CA03, flunarizine, Atropine may increase the arrhythmogenic activities of Flunarizine.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[V03AZ01, ethanol, Ethanol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Atropine.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Atropine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Atropine is combined with Flupentixol.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Atropine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, Atropine may increase the arrhythmogenic activities of Fluspirilene.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Atropine is combined with Adrafinil.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G01AX06, furazolidone, The risk or severity of hypertension can be increased when Furazolidone is combined with Atropine.]
[C03CA01, furosemide, Atropine may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Atropine is combined with Amisulpride.]
[N06DA04, galantamine, The therapeutic efficacy of Atropine can be decreased when used in combination with Galantamine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C08DA02, gallopamil, Atropine may increase the arrhythmogenic activities of Gallopamil.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Atropine is combined with Barbexaclone.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Atropine.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Atropine.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AD03, methsuximide, Atropine may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Atropine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Atropine.]
[A10BB01, glyburide, Glyburide may decrease the excretion rate of Atropine which could result in a higher serum level.]
[A10BB07, glipizide, Atropine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[H04AA01, glucagon, Atropine may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Atropine.]
[C05AE01, nitroglycerin, Atropine may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Atropine.]
[C02CA04, doxazosin, Atropine may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Atropine.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Atropine.]
[C09AA09, fosinopril, Atropine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Atropine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Atropine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Atropine is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Atropine.]
[N05AH04, quetiapine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09CA01, losartan, Atropine may increase the arrhythmogenic activities of Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Atropine.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Atropine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Atropine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Atropine is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Atropine is combined with Hexoprenaline.]
[C08CA10, nilvadipine, Atropine may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Atropine may increase the arrhythmogenic activities of Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Atropine is combined with Oxatomide.]
[C09AA04, perindopril, Atropine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Atropine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Atropine may decrease the antihypertensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, The risk or severity of adverse effects can be increased when Atropine is combined with Hydrocodone.]
[C03AA02, hydroflumethiazide, Atropine may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, The risk or severity of hypertension can be increased when Atropine is combined with Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Atropine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Hydroxyzine.]
[C02AC06, rilmenidine, Atropine may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Atropine is combined with Ibuprofen.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Atropine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Atropine is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01CD01, paclitaxel, Paclitaxel may decrease the excretion rate of Atropine which could result in a higher serum level.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Terlipressin.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C03BA11, indapamide, Atropine may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Atropine which could result in a higher serum level.]
[C02CA02, indoramin, Atropine may decrease the antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, Milnacipran may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Atropine is combined with Piperidolate.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Atropine.]
[C10AA06, cerivastatin, Cerivastatin may decrease the excretion rate of Atropine which could result in a higher serum level.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Atropine is combined with Anagrelide.]
[C07AA01, alprenolol, Atropine may increase the arrhythmogenic activities of Alprenolol.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Atropine.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AF05, iproniazid, The risk or severity of hypertension can be increased when Iproniazid is combined with Atropine.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AF01, isocarboxazid, The risk or severity of hypertension can be increased when Isocarboxazid is combined with Atropine.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Atropine.]
[C09AA16, imidapril, Atropine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01EB07, isoflurophate, The therapeutic efficacy of Atropine can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Atropine is combined with Isoprenaline.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Atropine is combined with Isoxsuprine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J02AB02, ketoconazole, Ketoconazole may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N05AH03, olanzapine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Atropine is combined with Ketoprofen.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Mizolastine.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Atropine is combined with Arbutamine.]
[N04BC09, rotigotine, Rotigotine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Atropine is combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Atropine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Atropine may decrease the antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Atropine is combined with Amantadine.]
[C02AA05, deserpidine, Atropine may decrease the antihypertensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Atropine.]
[N07AA30, ambenonium, The therapeutic efficacy of Atropine can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Atropine.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Atropine.]
[S02DA01, lidocaine, Lidocaine may increase the arrhythmogenic activities of Atropine.]
[C08EX01, lidoflazine, Atropine may increase the arrhythmogenic activities of Lidoflazine.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A07DA03, loperamide, Atropine may increase the arrhythmogenic activities of Loperamide.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C10AA02, lovastatin, Lovastatin may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Atropine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Atropine.]
[V04CC02, magnesium sulfate, Atropine may increase the arrhythmogenic activities of Magnesium sulfate.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Nilotinib.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C02BB01, mecamylamine, Atropine may decrease the antihypertensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Atropine can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Atropine is combined with Meclofenamic acid.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01AA08, medigoxin, Atropine may increase the arrhythmogenic activities of Metildigoxin.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Atropine.]
[P01BC02, mefloquine, The therapeutic efficacy of Atropine can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06DX01, memantine, The therapeutic efficacy of Atropine can be decreased when used in combination with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Atropine is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Atropine is combined with Mephentermine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Atropine is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Atropine is combined with Meptazinol.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Atropine is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Atropine is combined with Metaraminol.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Atropine is combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Atropine is combined with Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Atropine is combined with Methohexital.]
[N02BG08, ziconotide, Atropine may increase the arrhythmogenic activities of Ziconotide.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Atropine is combined with Methoxamine.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C03AA08, methyclothiazide, The serum concentration of Methyclothiazide can be increased when it is combined with Atropine.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Atropine.]
[C02AB01, methyldopa, Atropine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, The risk or severity of hypertension can be increased when Methylene blue is combined with Atropine.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Atropine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Atropine.]
[N03AF03, rufinamide, Rufinamide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Atropine.]
[C03BA08, metolazone, Atropine may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, Metoprolol may increase the arrhythmogenic activities of Atropine.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Atropine.]
[C01BB02, mexiletine, The absorption of Mexiletine can be decreased when combined with Atropine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Atropine.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Atropine is combined with Aminophenazone.]
[N05CD08, midazolam, Midazolam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Atropine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Atropine is combined with Mifepristone.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Atropine.]
[C09CA03, valsartan, Atropine may decrease the antihypertensive activities of Valsartan.]
[D11AX01, minoxidil, Atropine may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Atropine is combined with Lisdexamfetamine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01BD01, amiodarone, The risk or severity of adverse effects can be increased when Amiodarone is combined with Atropine.]
[N06AA09, amitriptyline, Amitriptyline may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Atropine is combined with Morphine.]
[A04AA05, palonosetron, Palonosetron may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Pazopanib.]
[M03AC03, vecuronium, Vecuronium may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Atropine is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Atropine.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Atropine is combined with Ipratropium.]
[N06AA17, amoxapine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AB05, fosphenytoin, Fosphenytoin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C07AA12, nadolol, Atropine may increase the arrhythmogenic activities of Nadolol.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Atropine is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Atropine is combined with Naltrexone.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Atropine is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Atropine.]
[M02AA12, naproxen, Atropine may decrease the excretion rate of Naproxen which could result in a higher serum level.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N06AX21, duloxetine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N04BX01, tolcapone, Tolcapone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Atropine is combined with Remifentanil.]
[A10BX02, repaglinide, Atropine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C01CX08, levosimendan, Atropine may increase the arrhythmogenic activities of Levosimendan.]
[S01EB06, neostigmine, The therapeutic efficacy of Atropine can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Atropine is combined with Iloperidone.]
[N06AX23, desvenlafaxine, Desvenlafaxine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09CA07, telmisartan, Atropine may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of hypertension can be increased when Nialamide is combined with Atropine.]
[C08CA04, nicardipine, Atropine may increase the arrhythmogenic activities of Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Atropine is combined with Nicergoline.]
[N07BA01, nicotine, The risk or severity of Tachycardia can be increased when Nicotine is combined with Atropine.]
[C08CA05, nifedipine, Atropine may increase the arrhythmogenic activities of Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Atropine is combined with Niflumic acid.]
[C08CA06, nimodipine, Nimodipine may increase the arrhythmogenic activities of Atropine.]
[C08CA07, nisoldipine, Nisoldipine may increase the arrhythmogenic activities of Atropine.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C08CA08, nitrendipine, Atropine may increase the arrhythmogenic activities of Nitrendipine.]
[J01XE01, nitrofurantoin, Atropine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C02DD01, nitroprusside, Atropine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Atropine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Atropine.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N06AA10, nortriptyline, Nortriptyline may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G02CA02, nylidrin, Atropine may increase the arrhythmogenic activities of Nylidrin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Atropine.]
