[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Galantamine.]
[C07AA23, penbutolol, Galantamine may increase the bradycardic activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Penfluridol.]
[N05CA01, pentobarbital, The metabolism of Galantamine can be increased when combined with Pentobarbital.]
[C08EX02, perhexiline, The metabolism of Galantamine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Galantamine can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Galantamine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Galantamine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Galantamine can be increased when combined with Phenobarbital.]
[N03AB02, phenytoin, The metabolism of Galantamine can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Galantamine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Levofloxacin.]
[C08CX01, mibefradil, The metabolism of Galantamine can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Galantamine is combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Galantamine.]
[C07AA03, pindolol, Galantamine may increase the bradycardic activities of Pindolol.]
[J05AE01, saquinavir, The metabolism of Galantamine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Galantamine can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Galantamine can be decreased when combined with Pipotiazine.]
[A02BX03, pirenzepine, The therapeutic efficacy of Pirenzepine can be decreased when used in combination with Galantamine.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Grepafloxacin.]
[N02CX01, pizotyline, The therapeutic efficacy of Pizotifen can be decreased when used in combination with Galantamine.]
[J05AG02, delavirdine, The metabolism of Galantamine can be decreased when combined with Delavirdine.]
[L04AC08, canakinumab, The metabolism of Galantamine can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Galantamine can be increased when it is combined with Ritonavir.]
[C07AB01, practolol, Galantamine may increase the bradycardic activities of Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Prajmaline.]
[S03BA02, prednisolone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Prednisolone.]
[H02AB07, prednisone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Prednisone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Prenylamine.]
[P01BA03, primaquine, The metabolism of Galantamine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Galantamine can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Galantamine.]
[S01HA05, procaine, Galantamine may increase the neuromuscular blocking activities of Procaine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Prochlorperazine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Galantamine.]
[G03DA04, progesterone, The metabolism of Galantamine can be decreased when combined with Progesterone.]
[N05AA03, promazine, The therapeutic efficacy of Promazine can be decreased when used in combination with Galantamine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Galantamine can be decreased when combined with Propafenone.]
[A03AB05, propantheline, The therapeutic efficacy of Propantheline can be decreased when used in combination with Galantamine.]
[N05CM06, propiomazine, The therapeutic efficacy of Propiomazine can be decreased when used in combination with Galantamine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Galantamine can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, Galantamine may increase the bradycardic activities of Propranolol.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Galantamine.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Aripiprazole.]
[A03AB15, diphemanil, The therapeutic efficacy of Diphemanil can be decreased when used in combination with Galantamine.]
[A03AB09, isopropamide, The therapeutic efficacy of Isopropamide can be decreased when used in combination with Galantamine.]
[S01FA03, methscopolamine, The therapeutic efficacy of Methscopolamine can be decreased when used in combination with Galantamine.]
[N05CA07, talbutal, The therapeutic efficacy of Talbutal can be decreased when used in combination with Galantamine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Galantamine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Galantamine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Galantamine can be decreased when combined with Ranitidine.]
[J04AB02, rifampin, The metabolism of Galantamine can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Roxithromycin.]
[S01FA02, scopolamine, The therapeutic efficacy of Scopolamine can be decreased when used in combination with Galantamine.]
[N05CA06, secobarbital, The therapeutic efficacy of Secobarbital can be decreased when used in combination with Galantamine.]
[N04BD01, selegiline, The metabolism of Galantamine can be decreased when combined with Selegiline.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Galantamine.]
[D07AB02, hydrocortisone butyrate, The therapeutic efficacy of Galantamine can be decreased when used in combination with Hydrocortisone butyrate.]
[H02CA04, levoketoconazole, The metabolism of Galantamine can be decreased when combined with Levoketoconazole.]
[R03BB01, ipratropium bromide, The therapeutic efficacy of Ipratropium can be decreased when used in combination with Galantamine.]
