[S02DA03, antipyrine, The metabolism of Ifosfamide can be decreased when combined with Antipyrine.]
[S01BA03, cortisone, The metabolism of Ifosfamide can be increased when combined with Cortisone.]
[N07BC04, lofexidine, Ifosfamide may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Ifosfamide can be decreased when combined with Loratadine.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Ifosfamide may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Ifosfamide can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The metabolism of Ifosfamide can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Ifosfamide can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[R06AE03, cyclizine, The metabolism of Ifosfamide can be decreased when combined with Cyclizine.]
[C03DA04, eplerenone, The metabolism of Ifosfamide can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, Ifosfamide may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Ifosfamide.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Ifosfamide can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Ifosfamide can be increased when combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Ifosfamide may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Ifosfamide can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Ifosfamide can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Ifosfamide can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Ifosfamide.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Ifosfamide.]
[M01AH05, etoricoxib, The metabolism of Ifosfamide can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ifosfamide.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Ifosfamide.]
[G03XA01, danazol, The metabolism of Ifosfamide can be decreased when combined with Danazol.]
[J04BA02, dapsone, The risk or severity of methemoglobinemia can be increased when Dapsone is combined with Ifosfamide.]
[L01DB02, daunorubicin, The metabolism of Ifosfamide can be decreased when combined with Daunorubicin.]
[A04AD11, nabilone, The metabolism of Ifosfamide can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N07BB05, nalmefene, Ifosfamide may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Ifosfamide can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Ifosfamide may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Ifosfamide can be decreased when combined with Nilutamide.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Ifosfamide.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Ifosfamide is combined with Fondaparinux.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Ifosfamide.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Ifosfamide can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Ifosfamide.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Ifosfamide.]
[V04CH02, indigo carmine, Ifosfamide may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ifosfamide.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The metabolism of Ifosfamide can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Ifosfamide can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Ifosfamide can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Ifosfamide can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Ifosfamide can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Ifosfamide can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be increased when combined with Ifosfamide.]
[N06AB05, paroxetine, The metabolism of Ifosfamide can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Ifosfamide can be decreased when combined with Clopidogrel.]
[P03AC04, permethrin, Ifosfamide may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Ifosfamide can be decreased when combined with Diazepam.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Cinchocaine.]
[R05DA08, pholcodine, Ifosfamide may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Ifosfamide can be decreased when combined with Diclofenac.]
[J01CF01, dicloxacillin, The metabolism of Ifosfamide can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be increased when combined with Ifosfamide.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Ifosfamide.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Ifosfamide.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Pirarubicin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Ifosfamide can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Ifosfamide can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Ifosfamide can be increased when combined with Difluocortolone.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Ifosfamide.]
[C01AA05, digoxin, Ifosfamide may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Ifosfamide.]
[C04AE04, dihydroergocristine, The metabolism of Ifosfamide can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Ifosfamide.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Ifosfamide.]
[J05AE08, atazanavir, The metabolism of Ifosfamide can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be increased when combined with Ifosfamide.]
[H03BC01, potassium perchlorate, Ifosfamide may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Ifosfamide can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Ifosfamide may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, The metabolism of Ifosfamide can be decreased when combined with Dimethyl sulfoxide.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C05CA03, diosmin, The metabolism of Ifosfamide can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Ifosfamide can be decreased when combined with Quazepam.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Ifosfamide is combined with Dipyridamole.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Ifosfamide is combined with Drotrecogin alfa.]
[A03FA02, cisapride, The metabolism of Ifosfamide can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Ifosfamide.]
[S01AX06, resorcinol, Ifosfamide may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Natalizumab.]
[P03AA04, disulfiram, The metabolism of Ifosfamide can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Ifosfamide can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Ifosfamide can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Ifosfamide can be increased when combined with Rifaximin.]
[N05AX08, risperidone, The metabolism of Ifosfamide can be decreased when combined with Risperidone.]
[R06AE09, levocetirizine, Ifosfamide may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Ifosfamide.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Ifosfamide.]
[A04AD12, aprepitant, The metabolism of Ifosfamide can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Ifosfamide.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Ifosfamide.]
[J05AE07, fosamprenavir, The metabolism of Ifosfamide can be decreased when combined with Fosamprenavir.]
[G04BE08, tadalafil, The metabolism of Ifosfamide can be decreased when combined with Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be increased when combined with Ifosfamide.]
[C02KX02, ambrisentan, The metabolism of Ifosfamide can be decreased when combined with Ambrisentan.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Ifosfamide.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Ifosfamide can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Ifosfamide can be decreased when combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Ifosfamide.]
[N06AA12, doxepin, Doxepin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Ifosfamide.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Ifosfamide can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The metabolism of Ifosfamide can be decreased when combined with Sevoflurane.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Ifosfamide can be decreased when combined with Simvastatin.]
[A12CA02, sodium sulfate, Ifosfamide may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[H01AA01, corticotropin, The metabolism of Ifosfamide can be increased when combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Ifosfamide.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Ifosfamide can be increased when combined with Terbinafine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Ifosfamide.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AG03, toloxatone, Ifosfamide may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N03AX11, topiramate, The metabolism of Ifosfamide can be increased when combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Ifosfamide may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Ifosfamide is combined with Triflusal.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Ifosfamide.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Troxerutin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Ifosfamide.]
[S01GX10, epinastine, The metabolism of Ifosfamide can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C08CA12, mepirodipine, The metabolism of Ifosfamide can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Ifosfamide can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ifosfamide.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Ifosfamide.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N03AX15, zonisamide, The metabolism of Ifosfamide can be decreased when combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Ifosfamide.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Ifosfamide is combined with Anistreplase.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Ifosfamide.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Ifosfamide.]
[N02CA02, ergotamine, The metabolism of Ifosfamide can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Ifosfamide can be decreased when combined with Valproic acid.]
[L03AX05, pidotimod, Ifosfamide may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Ifosfamide can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Ifosfamide may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[G03CA03, estradiol, The metabolism of Ifosfamide can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Ifosfamide can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The metabolism of Ifosfamide can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Ifosfamide can be decreased when combined with Fluvastatin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ifosfamide can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N03AB01, ethotoin, The metabolism of Ifosfamide can be increased when combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ifosfamide can be decreased when combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Ifosfamide can be increased when combined with Etoposide.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Ifosfamide.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Ifosfamide.]
[R06AX12, terfenadine, The metabolism of Ifosfamide can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Ifosfamide can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Ifosfamide can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Ifosfamide.]
[M01CB01, gold sodium thiomalate, Ifosfamide may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Ifosfamide is combined with Dextran.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Ifosfamide.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Ifosfamide can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Ifosfamide can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The metabolism of Ifosfamide can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Ifosfamide.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Fibrinolysin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Ifosfamide.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Ifosfamide.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Ifosfamide can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01CF05, floxacillin, The metabolism of Ifosfamide can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Ifosfamide can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Ifosfamide.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Ifosfamide.]
[V03AB25, flumazenil, Ifosfamide may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Ifosfamide.]
[N05CD03, flunitrazepam, The metabolism of Ifosfamide can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Ifosfamide can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Ifosfamide can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Ifosfamide can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Ifosfamide.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Ifosfamide.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be increased when combined with Ifosfamide.]
[N06AB03, fluoxetine, The metabolism of Ifosfamide can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Ifosfamide.]
[N05CD01, flurazepam, The metabolism of Ifosfamide can be decreased when combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L02BB01, flutamide, The metabolism of Ifosfamide can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Ifosfamide.]
[J05AE10, darunavir, The serum concentration of Ifosfamide can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Ifosfamide.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N03AA04, barbexaclone, The metabolism of Ifosfamide can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Ifosfamide can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Ifosfamide may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Ifosfamide.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Ifosfamide.]
[J05AG04, etravirine, The metabolism of Ifosfamide can be increased when combined with Etravirine.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Ifosfamide.]
[N01AH02, alfentanil, The metabolism of Ifosfamide can be decreased when combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Ifosfamide can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Ifosfamide can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Ifosfamide can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C05AE01, nitroglycerin, The risk or severity of methemoglobinemia can be increased when Nitroglycerin is combined with Ifosfamide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Ifosfamide.]
[C02CA04, doxazosin, The metabolism of Ifosfamide can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Ifosfamide.]
[M01CB04, aurothioglucose, Ifosfamide may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Ifosfamide may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Ifosfamide is combined with Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[D01BA01, griseofulvin, The metabolism of Ifosfamide can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Ifosfamide can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Ifosfamide.]
[N01AB01, halothane, The metabolism of Ifosfamide can be decreased when combined with Halothane.]
[N05AH04, quetiapine, The metabolism of Ifosfamide can be decreased when combined with Quetiapine.]
[N06BX13, idebenone, Ifosfamide may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Ifosfamide.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Ifosfamide.]
[C09CA01, losartan, The metabolism of Ifosfamide can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Heparin.]
[G03DC01, allylestrenol, The metabolism of Ifosfamide can be decreased when combined with Allylestrenol.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Ifosfamide.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Ifosfamide.]
[J05AG01, nevirapine, The metabolism of Ifosfamide can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Ifosfamide can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Ifosfamide.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C02DB02, hydralazine, The metabolism of Ifosfamide can be decreased when combined with Hydralazine.]
