[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Levofloxacin.]
[L02BB04, enzalutamide, Levofloxacin may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The risk or severity of tendinopathy can be increased when Aldosterone is combined with Levofloxacin.]
[D02BA02, octinoxate, Levofloxacin may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Levofloxacin.]
[N04BD02, rasagiline, Levofloxacin may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Levofloxacin.]
[V09IX04, fluorodeoxyglucose F18, Levofloxacin may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Levofloxacin.]
[V08CA11, gadofosveset, Levofloxacin may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Levofloxacin may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Levofloxacin.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Levofloxacin.]
[A16AX09, glycerol phenylbutyrate, Levofloxacin may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Levofloxacin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, Benorilate may increase the neuroexcitatory activities of Levofloxacin.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Levofloxacin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Gemifloxacin.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Levofloxacin.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Levofloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Levofloxacin.]
[J02AX04, caspofungin, The excretion of Levofloxacin can be decreased when combined with Caspofungin.]
[L03AA12, ancestim, Levofloxacin may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may increase the neuroexcitatory activities of Levofloxacin.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Levofloxacin.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Dabrafenib is combined with Levofloxacin.]
[R02AX03, benzydamine, Benzydamine may increase the neuroexcitatory activities of Levofloxacin.]
[L01EE01, trametinib, Levofloxacin may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Levofloxacin may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX28, levomilnacipran, Levofloxacin may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[J05AJ03, dolutegravir, The excretion of Levofloxacin can be decreased when combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Bepridil.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Levofloxacin.]
[C02KX04, macitentan, Levofloxacin may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Levofloxacin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V03AE05, sucroferric oxyhydroxide, Iron sucrose can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AP08, sofosbuvir, Levofloxacin may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Levofloxacin.]
[C01CA27, droxidopa, Levofloxacin may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Levofloxacin may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Levofloxacin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Levofloxacin may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of tendinopathy can be increased when Betamethasone is combined with Levofloxacin.]
[V03AB34, fomepizole, Levofloxacin may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Levofloxacin.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Levofloxacin.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Levofloxacin.]
[N07XX08, tafamidis, The excretion of Levofloxacin can be decreased when combined with Tafamidis.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Levofloxacin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Levofloxacin.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Eliglustat.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Levofloxacin.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S03AA06, gentamicin, Levofloxacin may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Levofloxacin.]
[B01AF03, edoxaban, Levofloxacin may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Levofloxacin.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Panobinostat.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Levofloxacin.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Levofloxacin.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Levofloxacin.]
[M02AA25, aceclofenac, Aceclofenac may increase the neuroexcitatory activities of Levofloxacin.]
[M01AB11, acemetacin, Acemetacin may increase the neuroexcitatory activities of Levofloxacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Levofloxacin.]
[V03AB37, idarucizumab, Levofloxacin may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Levofloxacin.]
[L01XG03, ixazomib, Levofloxacin may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Levofloxacin.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Levofloxacin.]
[M04AB05, lesinurad, Levofloxacin may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may increase the neuroexcitatory activities of Levofloxacin.]
[N03AX23, brivaracetam, Levofloxacin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Levofloxacin may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Levofloxacin.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Levofloxacin.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Levofloxacin.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Levofloxacin.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Levofloxacin.]
[J01CE04, azidocillin, The serum concentration of Levofloxacin can be increased when it is combined with Azidocillin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Levofloxacin.]
[J01CA06, bacampicillin, The serum concentration of Levofloxacin can be increased when it is combined with Bacampicillin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the neuroexcitatory activities of Levofloxacin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Levofloxacin.]
[A06AH05, naldemedine, Levofloxacin may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Levofloxacin.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Levofloxacin.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Levofloxacin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Levofloxacin may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The excretion of Levofloxacin can be decreased when combined with Linezolid.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N07XX13, valbenazine, Levofloxacin may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L01ED04, brigatinib, The excretion of Levofloxacin can be decreased when combined with Brigatinib.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Levofloxacin.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01XX59, enasidenib, The excretion of Levofloxacin can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Levofloxacin.]
[L01EF03, abemaciclib, The excretion of Abemaciclib can be decreased when combined with Levofloxacin.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J05AG03, efavirenz, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Levofloxacin.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of tendinopathy can be increased when Budesonide is combined with Levofloxacin.]
[M01AB07, bumadizone, Bumadizone may increase the neuroexcitatory activities of Levofloxacin.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Levofloxacin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Levofloxacin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Levofloxacin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Levofloxacin.]
[C09AA01, captopril, The excretion of Levofloxacin can be decreased when combined with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Macimorelin.]
[L02BB05, apalutamide, Levofloxacin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Levofloxacin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01CA03, carbenicillin, The serum concentration of Levofloxacin can be increased when it is combined with Carbenicillin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Levofloxacin.]
[L04AA37, baricitinib, Levofloxacin may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Encorafenib.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01GB14, plazomicin, Levofloxacin may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Levofloxacin.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ivosidenib.]
[P01BA07, tafenoquine, The excretion of Levofloxacin can be decreased when combined with Tafenoquine.]
[A16AX14, migalastat, Levofloxacin may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Levofloxacin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Levofloxacin.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Levofloxacin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Levofloxacin may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may increase the neuroexcitatory activities of Levofloxacin.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Levofloxacin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Levofloxacin.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Amifampridine.]
[A06AX05, prucalopride, Levofloxacin may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Levofloxacin.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Levofloxacin.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Levofloxacin.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Clarithromycin.]
[N06BA14, solriamfetol, Levofloxacin may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of tendinopathy can be increased when Cloprednol is combined with Levofloxacin.]
[V03AE07, calcium acetate, Calcium acetate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of tendinopathy can be increased when Cortivazol is combined with Levofloxacin.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01CF03, methicillin, The serum concentration of Levofloxacin can be increased when it is combined with Meticillin.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01EX15, pexidartinib, The excretion of Levofloxacin can be decreased when combined with Pexidartinib.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01EJ02, fedratinib, The excretion of Levofloxacin can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Entrectinib.]
[N07XX11, pitolisant, Levofloxacin may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Levofloxacin.]
[N04CX01, istradefylline, The excretion of Levofloxacin can be decreased when combined with Istradefylline.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Levofloxacin.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of tendinopathy can be increased when Deflazacort is combined with Levofloxacin.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M09AX08, golodirsen, Levofloxacin may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Levofloxacin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Levofloxacin may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01XX72, tazemetostat, The excretion of Levofloxacin can be decreased when combined with Tazemetostat.]
[J05AB16, remdesivir, The excretion of Levofloxacin can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levofloxacin.]
[R02AA03, dichlorobenzyl alcohol, Levofloxacin may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Levofloxacin may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[L01XD01, porfimer sodium, Levofloxacin may increase the photosensitizing activities of Porfimer sodium.]
[M01AH02, rofecoxib, Rofecoxib may increase the neuroexcitatory activities of Levofloxacin.]
[C08CA16, clevidipine, Levofloxacin may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Dronedarone.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S03AA08, chloramphenicol, The excretion of Levofloxacin can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Levofloxacin.]
[L01EH03, tucatinib, The excretion of Levofloxacin can be decreased when combined with Tucatinib.]
[L01EX17, capmatinib, The excretion of Levofloxacin can be decreased when combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of tendinopathy can be increased when Fluprednidene is combined with Levofloxacin.]
[M01AC04, droxicam, Droxicam may increase the neuroexcitatory activities of Levofloxacin.]
[L01EX19, ripretinib, The excretion of Levofloxacin can be decreased when combined with Ripretinib.]
[V08CA05, mangafodipir, Levofloxacin may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The excretion of Levofloxacin can be decreased when combined with Selpercatinib.]
[M02AA27, dexketoprofen, Dexketoprofen may increase the neuroexcitatory activities of Levofloxacin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Dyclonine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Levofloxacin.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Levofloxacin.]
[M09AX10, risdiplam, The serum concentration of Levofloxacin can be increased when it is combined with Risdiplam.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Levofloxacin.]
[L01EX23, pralsetinib, The excretion of Levofloxacin can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Levofloxacin.]
[N05AA01, chlorpromazine, The risk or severity of QTc prolongation can be increased when Chlorpromazine is combined with Levofloxacin.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Levofloxacin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Levofloxacin.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may increase the neuroexcitatory activities of Levofloxacin.]
[N02BA03, choline salicylate, Levofloxacin may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, Etodolac may increase the neuroexcitatory activities of Levofloxacin.]
[M02AA06, etofenamate, Etofenamate may increase the neuroexcitatory activities of Levofloxacin.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Levofloxacin.]
[M01AX25, chondroitin sulfates, Levofloxacin may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[J05AJ04, cabotegravir, The excretion of Levofloxacin can be decreased when combined with Cabotegravir.]
[V03AF12, trilaciclib, The excretion of Levofloxacin can be decreased when combined with Trilaciclib.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Levofloxacin.]
[M01AE05, fenbufen, Fenbufen may increase the neuroexcitatory activities of Levofloxacin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Levofloxacin.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
