[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bupropion.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Bupropion.]
[N06AA08, dibenzepin, The risk or severity of seizure can be increased when Bupropion is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Bupropion.]
[R05DA08, pholcodine, Bupropion may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Bupropion can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A03AA07, dicyclomine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Bupropion is combined with Pipamperone.]
[A03AB14, pipenzolate, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Bupropion.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Bupropion.]
[L02AA01, diethylstilbestrol, The metabolism of Bupropion can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[D07XC04, diflucortolone, Bupropion may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C01AA05, digoxin, Bupropion may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Bupropion.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Bupropion.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Bupropion can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Bupropion can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, Bupropion may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Bupropion is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Bupropion.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Bupropion.]
[V03AB09, dimercaprol, Bupropion may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Bupropion is combined with Pridinol.]
[R06AB03, dimethindene, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Bupropion is combined with Progabide.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C05CA03, diosmin, The metabolism of Bupropion can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Bupropion.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Bupropion.]
[N05CD10, quazepam, The serum concentration of Bupropion can be increased when it is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Bupropion is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of seizure can be increased when Bupropion is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Bupropion.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Bupropion.]
[S01AX06, resorcinol, Bupropion may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The risk or severity of seizure can be increased when Bupropion is combined with Disulfiram.]
[S02AA12, rifamycin SV, The serum concentration of Bupropion can be increased when it is combined with Rifamycin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Bupropion.]
[N05AX08, risperidone, The risk or severity of seizure can be increased when Bupropion is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Bupropion is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Bupropion.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Bupropion.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Bupropion.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Bupropion.]
[C01CA04, dopamine, The excretion of Dopamine can be decreased when combined with Bupropion.]
[N06AA16, dothiepin, The risk or severity of seizure can be increased when Bupropion is combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of seizure can be increased when Bupropion is combined with Doxepin.]
[L01DB01, doxorubicin, The serum concentration of Bupropion can be increased when it is combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[N06AB06, sertraline, The risk or severity of seizure can be increased when Bupropion is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Bupropion is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Bupropion is combined with Sibutramine.]
[C10AA01, simvastatin, The serum concentration of Bupropion can be increased when it is combined with Simvastatin.]
[V03AG05, sodium phosphate, The risk or severity of seizure can be increased when Bupropion is combined with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, Bupropion may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Bupropion is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Bupropion.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Bupropion.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Bupropion can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Bupropion.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Bupropion is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Bupropion is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Bupropion is combined with Thiopropazate.]
[G04BD01, emepronium, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of seizure can be increased when Bupropion is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Bupropion is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Toloxatone is combined with Bupropion.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Bupropion.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Bupropion.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Bupropion is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Bupropion is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Bupropion is combined with Triclofos.]
[A03AB08, tridihexethyl, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Bupropion.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Bupropion is combined with Tropatepine.]
[N01AB04, enflurane, The risk or severity of seizure can be increased when Bupropion is combined with Enflurane.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Bupropion is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Bupropion is combined with Veralipride.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Bupropion.]
[N06AX16, venlafaxine, The risk or severity of seizure can be increased when Bupropion is combined with Venlafaxine.]
[S01EA01, epinephrine, The excretion of Epinephrine can be decreased when combined with Bupropion.]
[N05CF02, zolpidem, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Bupropion.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Bupropion is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Bupropion is combined with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Bupropion.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Bupropion.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Bupropion is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Bupropion.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Bupropion.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Bupropion.]
[L03AX05, pidotimod, Bupropion may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Bupropion is combined with Estazolam.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Bupropion.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Bupropion.]
[L02AA03, ethinyl estradiol, The metabolism of Bupropion can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Bupropion is combined with Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Bupropion.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Bupropion.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Bupropion.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Bupropion.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Bupropion.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Bupropion.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Bupropion.]
[P01AX07, trimetrexate, Bupropion may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Bupropion.]
[N07XX04, sodium oxybate, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Bupropion may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Bupropion is combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Bupropion.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Bupropion may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Bupropion may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Bupropion can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Bupropion.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N02AB03, fentanyl, The risk or severity of seizure can be increased when Bupropion is combined with Fentanyl.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Bupropion.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Bupropion.]
[G04BD02, flavoxate, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Bupropion.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Bupropion can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[V03AB25, flumazenil, Bupropion may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Bupropion.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Bupropion is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of seizure can be increased when Bupropion is combined with Melitracen.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Ethanol is combined with Bupropion.]
[L01BC09, floxuridine, The metabolism of Bupropion can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Bupropion can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of seizure can be increased when Bupropion is combined with Fluoxetine.]
[N05AF01, flupenthixol, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of seizure can be increased when Bupropion is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Bupropion.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Bupropion is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01BC03, tegafur, Bupropion may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Bupropion is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Bupropion.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Bupropion is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Bupropion is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Bupropion.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Bupropion is combined with Gallamine.]
[S01AD09, ganciclovir, The risk or severity of seizure can be increased when Bupropion is combined with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Bupropion is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Bupropion is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Bupropion can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Bupropion may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Bupropion is combined with Cabergoline.]
[J05AG04, etravirine, The metabolism of Bupropion can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Bupropion is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Bupropion.]
[A10BB01, glyburide, The metabolism of Bupropion can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Bupropion can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Bupropion.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Bupropion is combined with Glutethimide.]
[C01BD04, dofetilide, The excretion of Dofetilide can be decreased when combined with Bupropion.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Bupropion.]
[L01EX02, sorafenib, The serum concentration of Bupropion can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Bupropion.]
[M01CB04, aurothioglucose, Bupropion may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Bupropion may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Bupropion is combined with Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S01EX01, guanethidine, Bupropion may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[P01BX01, halofantrine, The risk or severity of seizure can be increased when Bupropion is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of seizure can be increased when Bupropion is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Bupropion is combined with Halothane.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Bupropion.]
[N06BX13, idebenone, Bupropion may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Bupropion is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Bupropion can be decreased when combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Bupropion is combined with Allobarbital.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Bupropion can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Bupropion may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Bupropion is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Bupropion.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C02DB02, hydralazine, Bupropion may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Bupropion can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Bupropion may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[G04BD06, propiverine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Bupropion.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Bupropion is combined with Prothipendyl.]
[B05AA07, hetastarch, Bupropion may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[J04AB04, rifabutin, The metabolism of Bupropion can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[B05XA08, sodium acetate, Bupropion may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Bupropion.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Bupropion.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Bupropion.]
[N06AA02, imipramine, The risk or severity of seizure can be increased when Bupropion is combined with Imipramine.]
[R01AD07, tixocortol, Bupropion may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Bupropion.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A11HA07, inositol, Bupropion may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Bupropion is combined with Milnacipran.]
[A03AA30, piperidolate, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Bupropion.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Bupropion is combined with Articaine.]
[A10BH01, sitagliptin, Bupropion may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[V08AB02, iohexol, The risk or severity of seizure can be increased when Bupropion is combined with Iohexol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Bupropion.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Bupropion.]
[R06AE01, buclizine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Bupropion can be increased when combined with Cerivastatin.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Bupropion.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Bupropion.]
[N06AA13, iprindole, The risk or severity of seizure can be increased when Bupropion is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Iproniazid is combined with Bupropion.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Bupropion is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Bupropion.]
[P01AX06, atovaquone, The metabolism of Bupropion can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The risk or severity of seizure can be increased when Bupropion is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Bupropion is combined with Entacapone.]
[J04AC01, isoniazid, The risk or severity of seizure can be increased when Bupropion is combined with Isoniazid.]
[J05AX05, inosine pranobex, Bupropion may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Bupropion.]
[S01AA24, kanamycin, Bupropion may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Bupropion can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Bupropion is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Bupropion is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Bupropion.]
[J02AB02, ketoconazole, The serum concentration of Bupropion can be increased when it is combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Bupropion.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L04AA24, abatacept, The metabolism of Bupropion can be increased when combined with Abatacept.]
[N04BC09, rotigotine, The risk or severity of adverse effects can be increased when Bupropion is combined with Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of seizure can be increased when Bupropion is combined with Nalidixic acid.]
