[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01BA01, quinidine, Abacavir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may increase the hepatotoxic activities of Abacavir.]
[J04AB02, rifampin, The metabolism of Abacavir can be increased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01GB08, sisomicin, Abacavir may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Abacavir may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Abacavir may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Abacavir may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Abacavir may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Abacavir may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Abacavir can be decreased when combined with Valproic acid.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01GA01, streptomycin, Lamivudine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01CG01, sulbactam, Lamivudine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Sulfamethoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Lamivudine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R03CC03, terbutaline, Lamivudine may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Lamivudine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S03AA02, tetracycline, Lamivudine may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Lamivudine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[A11DA01, thiamine, The serum concentration of Lamivudine can be increased when it is combined with Thiamine.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G04BE06, moxisylyte, Lamivudine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Lamivudine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[P01AB02, tinidazole, Lamivudine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Lamivudine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Lamivudine may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Lamivudine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01BA05, triamcinolone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triamcinolone is combined with Lamivudine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Lamivudine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A03AA05, trimebutine, Lamivudine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, The serum concentration of Lamivudine can be increased when it is combined with Trimethoprim.]
[R03DX07, roflumilast, Lamivudine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Lamivudine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, Vandetanib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R02AA14, oxyquinoline, Lamivudine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The serum concentration of Lamivudine can be increased when it is combined with Linagliptin.]
[S01AA28, vancomycin, Lamivudine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Lamivudine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Lamivudine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Lamivudine.]
[N06AX09, viloxazine, Lamivudine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA02, vincristine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Vincristine is combined with Lamivudine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B01AA03, warfarin, Lamivudine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE02, indinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Indinavir is combined with Lamivudine.]
[L01EC01, vemurafenib, Vemurafenib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Lamivudine.]
[M05BA05, tiludronic acid, Lamivudine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Lamivudine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Lamivudine can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Ibandronate.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Lamivudine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Lamivudine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Lamivudine may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Lamivudine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[M01CB03, auranofin, Lamivudine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B03XA04, peginesatide, Lamivudine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Lamivudine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Lamivudine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[G04BE10, avanafil, Avanafil may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Lamivudine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Lamivudine.]
[A08AA11, lorcaserin, Lamivudine may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Lamivudine may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, Cobicistat may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L02BB04, enzalutamide, Lamivudine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[L04AA31, teriflunomide, Teriflunomide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EX05, regorafenib, Regorafenib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[D02BA02, octinoxate, Lamivudine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, Nelfinavir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N04BD02, rasagiline, Lamivudine may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Lamivudine.]
[V09IX04, fluorodeoxyglucose F18, Lamivudine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Lamivudine.]
[V08CA11, gadofosveset, Lamivudine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, Ponatinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A16AX08, teduglutide, Lamivudine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Lamivudine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Lamivudine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Lamivudine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AX04, caspofungin, The excretion of Lamivudine can be decreased when combined with Caspofungin.]
[L03AA12, ancestim, Lamivudine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EC02, dabrafenib, Dabrafenib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EE01, trametinib, Lamivudine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Lamivudine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, Afatinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06AX28, levomilnacipran, Lamivudine may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[A10BJ03, lixisenatide, Lamivudine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Lamivudine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Lamivudine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AP08, sofosbuvir, Lamivudine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Lamivudine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Lamivudine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Lamivudine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Lamivudine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Betamethasone is combined with Lamivudine.]
[V03AB34, fomepizole, Lamivudine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Bezafibrate.]
[N07XX08, tafamidis, The serum concentration of Lamivudine can be increased when it is combined with Tafamidis.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S03AA06, gentamicin, Lamivudine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, Dasabuvir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B01AF03, edoxaban, Lamivudine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L01EF01, palbociclib, Palbociclib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EX08, lenvatinib, The serum concentration of Lamivudine can be increased when it is combined with Lenvatinib.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A04AD14, rolapitant, Rolapitant may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Acipimox.]
[A02BC03, lansoprazole, Lansoprazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[V03AB37, idarucizumab, Lamivudine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Trabectedin.]
[J02AC05, isavuconazole, Isavuconazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EB04, osimertinib, Osimertinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Lamivudine.]
[L01XG03, ixazomib, Lamivudine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[L01ED03, alectinib, Alectinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M04AB05, lesinurad, Lamivudine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AX23, brivaracetam, Lamivudine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XX52, venetoclax, Venetoclax may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05BA08, bromazepam, Lamivudine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Lamivudine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Lamivudine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N07BC01, buprenorphine, Buprenorphine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Lamivudine may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01XK03, rucaparib, Rucaparib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A06AH05, naldemedine, Lamivudine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Lamivudine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N06BC01, caffeine, Caffeine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[P01CA02, benznidazole, Lamivudine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The excretion of Lamivudine can be decreased when combined with Linezolid.]
[N07XX13, valbenazine, Lamivudine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Infliximab is combined with Lamivudine.]
[L01ED04, brigatinib, Brigatinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01MA23, delafloxacin, Lamivudine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Lamivudine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, Enasidenib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EF03, abemaciclib, Abemaciclib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Lamivudine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Lamivudine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Captopril.]
[L02BB05, apalutamide, The serum concentration of Lamivudine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Lamivudine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01CA03, carbenicillin, The excretion of Lamivudine can be decreased when combined with Carbenicillin.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Lamivudine.]
[B02BX09, fostamatinib, Fostamatinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N03AX24, cannabidiol, Cannabidiol may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L04AA37, baricitinib, Lamivudine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01GB14, plazomicin, Lamivudine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[P01BA07, tafenoquine, The serum concentration of Lamivudine can be increased when it is combined with Tafenoquine.]
[A16AX14, migalastat, Lamivudine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The excretion of Lamivudine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, Dacomitinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[D08AE05, chloroxylenol, Lamivudine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EX13, gilteritinib, Gilteritinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01XJ03, glasdegib, Glasdegib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[A06AX05, prucalopride, Lamivudine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Lamivudine may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Ciprofibrate.]
[N06BA14, solriamfetol, Lamivudine may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The serum concentration of Lamivudine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lamivudine is combined with Ubidecarenone.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Lamivudine can be increased when it is combined with Darolutamide.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N07XX11, pitolisant, The risk or severity of adverse effects can be increased when Pitolisant is combined with Lamivudine.]
[N04CX01, istradefylline, Istradefylline may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Lamivudine.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[N02CC08, lasmiditan, The serum concentration of Lamivudine can be increased when it is combined with Lasmiditan.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
