[S02DA03, antipyrine, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Antipyrine.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Diflunisal may decrease the excretion rate of Salmon calcitonin which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Diflunisal.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Diflunisal is combined with Dopamine.]
[N06AA16, dothiepin, The risk or severity of gastrointestinal bleeding can be increased when Dosulepin is combined with Diflunisal.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Diflunisal.]
[N06AA12, doxepin, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Diflunisal.]
[J01AA02, doxycycline, Diflunisal may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[N06AB06, sertraline, The risk or severity of bleeding can be increased when Diflunisal is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of hypertension can be increased when Diflunisal is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of hypertension can be increased when Droperidol is combined with Diflunisal.]
[A08AA10, sibutramine, The risk or severity of gastrointestinal bleeding can be increased when Sibutramine is combined with Diflunisal.]
[V03AG05, sodium phosphate, The risk or severity of renal failure can be increased when Sodium phosphate, monobasic is combined with Diflunisal.]
[A12CA02, sodium sulfate, Diflunisal may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Spirapril.]
[R03DA01, dyphylline, Diflunisal may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Diflunisal.]
[V04CX07, edrophonium, Diflunisal may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, Diflunisal may decrease the antihypertensive activities of Talinolol.]
[H01AA01, corticotropin, The risk or severity of gastrointestinal irritation can be increased when Corticotropin is combined with Diflunisal.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Diflunisal.]
[J01MA05, temafloxacin, Diflunisal may increase the neuroexcitatory activities of Temafloxacin.]
[L01AX03, temozolomide, Diflunisal may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, The therapeutic efficacy of Terazosin can be decreased when used in combination with Diflunisal.]
[G04BD05, terodiline, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Terodiline.]
[C07AA16, tertatolol, Diflunisal may decrease the antihypertensive activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Diflunisal is combined with Tetryzoline.]
[N06AX14, tianeptine, The risk or severity of gastrointestinal bleeding can be increased when Tianeptine is combined with Diflunisal.]
[C09AA02, enalapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of adverse effects can be increased when Diflunisal is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of hypertension can be increased when Diflunisal is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Diflunisal.]
[N03AX11, topiramate, Diflunisal may decrease the excretion rate of Topiramate which could result in a higher serum level.]
[C03CA04, torsemide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Diflunisal.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Diflunisal is combined with Tramazoline.]
[C09AA10, trandolapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Trandolapril.]
[B01AC18, triflusal, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Triflusal.]
[H02CA01, trilostane, The risk or severity of gastrointestinal irritation can be increased when Trilostane is combined with Diflunisal.]
[C05CA04, troxerutin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Troxerutin.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Tulobuterol.]
[C02CA06, urapidil, The therapeutic efficacy of Urapidil can be decreased when used in combination with Diflunisal.]
[J01MA04, enoxacin, Diflunisal may increase the neuroexcitatory activities of Enoxacin.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Diflunisal is combined with Ephedrine.]
[N06AX16, venlafaxine, Venlafaxine may increase the antiplatelet activities of Diflunisal.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Diflunisal is combined with Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Epinephrine is combined with Diflunisal.]
[C09AA15, zofenopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Zofenopril.]
[M01AB04, zomepirac, The risk or severity of adverse effects can be increased when Diflunisal is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Diflunisal is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Diflunisal is combined with Insulin glulisine.]
[B01AD03, anistreplase, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Anistreplase.]
[L01XA02, carboplatin, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Carboplatin.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Diflunisal.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Diflunisal is combined with Iloprost.]
[G02AB03, ergonovine, The risk or severity of hypertension can be increased when Diflunisal is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of hypertension can be increased when Diflunisal is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of hypertension can be increased when Ergotamine is combined with Diflunisal.]
[L03AX05, pidotimod, Diflunisal may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Diflunisal may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Diflunisal may decrease the excretion rate of Pantoprazole which could result in a higher serum level.]
[G03CA03, estradiol, Diflunisal may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Diflunisal may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, Diflunisal may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of gastrointestinal irritation can be increased when Fluticasone furoate is combined with Diflunisal.]
[R03BA05, fluticasone, The risk or severity of gastrointestinal irritation can be increased when Fluticasone is combined with Diflunisal.]
[V08CA03, gadodiamide, Diflunisal may decrease the excretion rate of Gadodiamide which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Diflunisal is combined with Gepefrine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Diflunisal.]
[C01BD05, ibutilide, Diflunisal may decrease the excretion rate of Ibutilide which could result in a higher serum level.]
[N03AD01, ethosuximide, The risk or severity of hyperkalemia can be increased when Ethosuximide is combined with Diflunisal.]
[M01AC06, meloxicam, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Meloxicam.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Diflunisal is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Diflunisal.]
[L04AD02, tacrolimus, The risk or severity of renal failure can be increased when Diflunisal is combined with Tacrolimus.]
[J01MA08, fleroxacin, Diflunisal may increase the neuroexcitatory activities of Fleroxacin.]
[P01AX07, trimetrexate, Diflunisal may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Diflunisal may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Diflunisal.]
[L02AE02, leuprolide, Diflunisal may decrease the excretion rate of Leuprolide which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Diflunisal may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Dextran.]
[V03AF02, dexrazoxane, Diflunisal may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A16AA01, levocarnitine, Diflunisal may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[C08CA02, felodipine, The therapeutic efficacy of Felodipine can be decreased when used in combination with Diflunisal.]
[C08EA01, fendiline, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Fendiline.]
[M01AE04, fenoprofen, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of hypertension can be increased when Fentanyl is combined with Diflunisal.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Salbutamol.]
[S01EE01, latanoprost, The therapeutic efficacy of Latanoprost can be decreased when used in combination with Diflunisal.]
[B01AD05, plasmin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Fibrinolysin.]
[L01BB06, clofarabine, Diflunisal may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Diflunisal may decrease the excretion rate of Cevimeline which could result in a higher serum level.]
[G04BD02, flavoxate, Diflunisal may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Diflunisal is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Diflunisal.]
[J02AX01, flucytosine, Diflunisal may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The risk or severity of gastrointestinal irritation can be increased when Fludrocortisone is combined with Diflunisal.]
[V03AB25, flumazenil, Diflunisal may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of gastrointestinal irritation can be increased when Flumethasone is combined with Diflunisal.]
[N07CA03, flunarizine, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Flunarizine.]
[D07AC08, fluocinonide, The risk or severity of gastrointestinal irritation can be increased when Fluocinonide is combined with Diflunisal.]
[N06AA14, melitracen, The risk or severity of gastrointestinal bleeding can be increased when Melitracen is combined with Diflunisal.]
[H02AB03, fluocortolone, The risk or severity of gastrointestinal irritation can be increased when Fluocortolone is combined with Diflunisal.]
[V03AZ01, ethanol, The risk or severity of gastrointestinal irritation can be increased when Ethanol is combined with Diflunisal.]
[L01BC09, floxuridine, Diflunisal may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[S01CB05, fluorometholone, The risk or severity of gastrointestinal irritation can be increased when Fluorometholone is combined with Diflunisal.]
[N06AB03, fluoxetine, The risk or severity of gastrointestinal bleeding can be increased when Fluoxetine is combined with Diflunisal.]
[N05AF01, flupenthixol, The risk or severity of hypertension can be increased when Diflunisal is combined with Flupentixol.]
[N05CD01, flurazepam, Diflunisal may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Fluspirilene.]
[L02BB01, flutamide, Diflunisal may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Diflunisal may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[S02AA17, fosfomycin, Diflunisal may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, The risk or severity of nephrotoxicity can be increased when Framycetin is combined with Diflunisal.]
[L01BC03, tegafur, Diflunisal may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Diflunisal is combined with Adrafinil.]
[G01AX06, furazolidone, The risk or severity of hypertension can be increased when Furazolidone is combined with Diflunisal.]
[C03CA01, furosemide, The risk or severity of adverse effects can be increased when Furosemide is combined with Diflunisal.]
[N05CF04, eszopiclone, Diflunisal may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C08DA02, gallopamil, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Gallopamil.]
[S01AD09, ganciclovir, Diflunisal may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Diflunisal.]
[J01XA03, telavancin, Diflunisal may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of hypertension can be increased when Cabergoline is combined with Diflunisal.]
[A10BJ02, liraglutide, Diflunisal may increase the hypoglycemic activities of Liraglutide.]
[N03AD03, methsuximide, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Diflunisal.]
[A10BB01, glyburide, Diflunisal may increase the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Diflunisal may increase the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Diflunisal may increase the hypoglycemic activities of Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Diflunisal.]
[C05AE01, nitroglycerin, The therapeutic efficacy of Nitroglycerin can be decreased when used in combination with Diflunisal.]
[C02CA04, doxazosin, The therapeutic efficacy of Doxazosin can be decreased when used in combination with Diflunisal.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be increased when used in combination with Diflunisal.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Diflunisal.]
[C07AB09, esmolol, Diflunisal may decrease the antihypertensive activities of Esmolol.]
[M01CB04, aurothioglucose, Diflunisal may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Diflunisal may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Fluindione.]
[C09AA09, fosinopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Fosinopril.]
[S01EX01, guanethidine, The therapeutic efficacy of Guanethidine can be decreased when used in combination with Diflunisal.]
[L02AE03, goserelin, Diflunisal may decrease the excretion rate of Goserelin which could result in a higher serum level.]
[N05AD01, haloperidol, The therapeutic efficacy of Haloperidol can be increased when used in combination with Diflunisal.]
[N01AB01, halothane, The risk or severity of hypertension can be increased when Diflunisal is combined with Halothane.]
[N05AH04, quetiapine, The risk or severity of hypertension can be increased when Diflunisal is combined with Quetiapine.]
[N06BX13, idebenone, Diflunisal may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Diflunisal is combined with Insulin aspart.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Diflunisal.]
[M04AA01, allopurinol, Diflunisal may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Losartan is combined with Diflunisal.]
[S01XA14, heparin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Heparin.]
[G03DC01, allylestrenol, Diflunisal may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Diflunisal.]
[C01CE02, milrinone, Diflunisal may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Diflunisal is combined with Hexoprenaline.]
[C08CA10, nilvadipine, The therapeutic efficacy of Nilvadipine can be decreased when used in combination with Diflunisal.]
[M02AA26, nimesulide, The risk or severity of adverse effects can be increased when Diflunisal is combined with Nimesulide.]
[C09AA04, perindopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Perindopril.]
[C02DB02, hydralazine, Diflunisal may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Diflunisal.]
[S02BA01, hydrocortisone, The risk or severity of gastrointestinal irritation can be increased when Hydrocortisone is combined with Diflunisal.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Hydroflumethiazide can be decreased when used in combination with Diflunisal.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Diflunisal.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Diflunisal.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Diflunisal which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Diflunisal may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of hypertension can be increased when Diflunisal is combined with Propiverine.]
[B05AA07, hetastarch, Diflunisal may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Diflunisal.]
[M05BA07, risedronic acid, The risk or severity of gastrointestinal bleeding can be increased when Diflunisal is combined with Risedronic acid.]
[R02AX02, ibuprofen, The risk or severity of adverse effects can be increased when Diflunisal is combined with Ibuprofen.]
[B05XA08, sodium acetate, Diflunisal may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[B05CB02, sodium citrate, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Sodium citrate.]
[L01AA06, ifosfamide, Diflunisal may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Diflunisal.]
[N06AA02, imipramine, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Diflunisal.]
[R01AD07, tixocortol, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Diflunisal.]
[L01CE01, topotecan, Diflunisal may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Diflunisal.]
[S01BC01, indomethacin, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Indomethacin.]
[C02CA02, indoramin, The therapeutic efficacy of Indoramin can be decreased when used in combination with Diflunisal.]
[A11HA07, inositol, Diflunisal may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of gastrointestinal bleeding can be increased when Milnacipran is combined with Diflunisal.]
[S01XA28, varenicline, Diflunisal may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Diflunisal may increase the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, Diflunisal may decrease the excretion rate of Alprazolam which could result in a higher serum level.]
[N05CH02, ramelteon, Diflunisal may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[A10BH02, vildagliptin, Diflunisal may increase the hypoglycemic activities of Vildagliptin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Diflunisal is combined with Anagrelide.]
[C07AA01, alprenolol, Diflunisal may decrease the antihypertensive activities of Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Quinethazone can be decreased when used in combination with Diflunisal.]
[V03AB01, ipecac, Diflunisal may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J05AF04, stavudine, The excretion of Stavudine can be decreased when combined with Diflunisal.]
[N06AA13, iprindole, The risk or severity of gastrointestinal bleeding can be increased when Iprindole is combined with Diflunisal.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Diflunisal.]
[N06AF05, iproniazid, The risk or severity of hypertension can be increased when Diflunisal is combined with Iproniazid.]
[N06AF01, isocarboxazid, The risk or severity of hypertension can be increased when Diflunisal is combined with Isocarboxazid.]
[S01EC03, dorzolamide, The risk or severity of metabolic acidosis can be increased when Dorzolamide is combined with Diflunisal.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Diflunisal.]
[C09AA16, imidapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of hypertension can be increased when Isoflurane is combined with Diflunisal.]
[N04BX02, entacapone, The metabolism of Entacapone can be decreased when combined with Diflunisal.]
[J04AC01, isoniazid, Diflunisal may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Diflunisal may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Diflunisal is combined with Isoprenaline.]
[A10BJ01, exenatide, Diflunisal may increase the hypoglycemic activities of Exenatide.]
[D10BA01, isotretinoin, Diflunisal may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Diflunisal is combined with Isoxsuprine.]
[B01AE06, bivalirudin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Bivalirudin.]
[S01AA24, kanamycin, Diflunisal may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Diflunisal may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Diflunisal is combined with Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Prasugrel.]
[J02AB02, ketoconazole, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Ketoconazole.]
[M02AA10, ketoprofen, The risk or severity of bleeding and gastrointestinal bleeding can be increased when Diflunisal is combined with Ketoprofen.]
[V03AC03, deferasirox, The risk or severity of gastrointestinal bleeding and peptic ulcer can be increased when Diflunisal is combined with Deferasirox.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Diflunisal is combined with Arbutamine.]
[N04BC09, rotigotine, The risk or severity of hypertension can be increased when Diflunisal is combined with Rotigotine.]
[J01MB02, nalidixic acid, Diflunisal may increase the neuroexcitatory activities of Nalidixic acid.]
[M01AE11, tiaprofenic acid, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Tiaprofenic acid.]
[C07AG01, labetalol, Diflunisal may decrease the antihypertensive activities of Labetalol.]
[N04BB01, amantadine, Diflunisal may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C02AA05, deserpidine, The therapeutic efficacy of Deserpidine can be decreased when used in combination with Diflunisal.]
[A06AX03, lubiprostone, Diflunisal may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Diflunisal.]
[C08EX01, lidoflazine, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Lidoflazine.]
[S01AA21, amikacin, Diflunisal may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Amiloride.]
[N02CA07, lisuride, The risk or severity of hypertension can be increased when Lisuride is combined with Diflunisal.]
[N06AA07, lofepramine, The risk or severity of gastrointestinal bleeding can be increased when Lofepramine is combined with Diflunisal.]
[A07DA03, loperamide, The risk or severity of hyperkalemia can be increased when Loperamide is combined with Diflunisal.]
[N05BA06, lorazepam, Diflunisal may decrease the excretion rate of Lorazepam which could result in a higher serum level.]
[B05XA11, magnesium chloride, Diflunisal may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Diflunisal may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[V04CC02, magnesium sulfate, The risk or severity of hyperkalemia can be increased when Magnesium sulfate is combined with Diflunisal.]
[L01BA05, pralatrexate, The serum concentration of Pralatrexate can be increased when it is combined with Diflunisal.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Diflunisal.]
[N06AA21, maprotiline, Diflunisal may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, The therapeutic efficacy of Mecamylamine can be decreased when used in combination with Diflunisal.]
[M02AA18, meclofenamic acid, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Meclofenamic acid.]
[C01AA08, medigoxin, Diflunisal may decrease the excretion rate of Metildigoxin which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Diflunisal which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Dalteparin.]
[N06DX01, memantine, Diflunisal may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Diflunisal may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Diflunisal is combined with Mephentermine.]
[N01BB03, mepivacaine, Diflunisal may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Diflunisal may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Diflunisal which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The risk or severity of hypertension can be increased when Diflunisal is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Diflunisal.]
[A10BA02, metformin, Diflunisal may increase the hypoglycemic activities of Metformin.]
[N07BC02, methadone, Diflunisal may decrease the excretion rate of Methadone which could result in a higher serum level.]
[N06BA03, methamphetamine, The risk or severity of hypertension can be increased when Diflunisal is combined with Metamfetamine.]
[J05AF05, lamivudine, Diflunisal may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Diflunisal is combined with Methazolamide.]
[G02CB05, metergoline, The risk or severity of hypertension can be increased when Diflunisal is combined with Metergoline.]
[H03BB02, methimazole, Diflunisal may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Diflunisal may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Diflunisal may decrease the excretion rate of Pyridoxine which could result in a higher serum level.]
[L04AX03, methotrexate, The serum concentration of Methotrexate can be increased when it is combined with Diflunisal.]
[N05AA02, methotrimeprazine, The risk or severity of hypertension can be increased when Diflunisal is combined with Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Diflunisal.]
[D05BA02, methoxsalen, Diflunisal may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BG09, methoxyflurane, The risk or severity of hypertension can be increased when Diflunisal is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Methyclothiazide can be decreased when used in combination with Diflunisal.]
[C02AB01, methyldopa, The therapeutic efficacy of Methyldopa can be decreased when used in combination with Diflunisal.]
[V04CG05, methylene blue, The risk or severity of hypertension can be increased when Diflunisal is combined with Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Diflunisal.]
