[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Metronidazole.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Maprotiline.]
[P02CA01, mebendazole, The risk or severity of adverse effects can be increased when Mebendazole is combined with Metronidazole.]
[N05BA03, medazepam, The therapeutic efficacy of Medazepam can be decreased when used in combination with Metronidazole.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Metronidazole.]
[N06DX01, memantine, The metabolism of Metronidazole can be decreased when combined with Memantine.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Metronidazole.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Metronidazole.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Metronidazole.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Dolasetron.]
[N07BC02, methadone, The metabolism of Methadone can be decreased when combined with Metronidazole.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Metronidazole.]
[H03BB02, methimazole, The metabolism of Metronidazole can be decreased when combined with Methimazole.]
[N05CA15, methohexital, The therapeutic efficacy of Methohexital can be decreased when used in combination with Metronidazole.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Metronidazole.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Metronidazole can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Metronidazole.]
[V04CG05, methylene blue, The metabolism of Metronidazole can be decreased when combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Metronidazole.]
[N03AF03, rufinamide, The therapeutic efficacy of Rufinamide can be decreased when used in combination with Metronidazole.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Metronidazole.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Metoclopramide.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Pipemidic acid.]
[R03BA09, fluticasone furoate, The metabolism of Metronidazole can be decreased when combined with Fluticasone furoate.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Nalidixic acid.]
[V04CD01, metyrapone, The metabolism of Metronidazole can be decreased when combined with Metyrapone.]
[S02AA13, miconazole, The metabolism of Metronidazole can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Metronidazole.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Metronidazole.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Metronidazole.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Metronidazole.]
[N06AA09, amitriptyline, The metabolism of Metronidazole can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Metronidazole.]
[L04AB05, certolizumab pegol, The metabolism of Metronidazole can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Metronidazole can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Metronidazole.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Metronidazole.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Metronidazole.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Metronidazole.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Metronidazole.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Metronidazole.]
[N03AB05, fosphenytoin, The serum concentration of Metronidazole can be decreased when it is combined with Fosphenytoin.]
[L04AC03, anakinra, The metabolism of Metronidazole can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Metronidazole can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Metronidazole.]
[A10BG01, troglitazone, The metabolism of Metronidazole can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Metronidazole.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Metronidazole.]
[L02BG04, letrozole, The metabolism of Metronidazole can be decreased when combined with Letrozole.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Metronidazole.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Levosimendan.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Metronidazole.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Metronidazole.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Metronidazole.]
[N07BA01, nicotine, The metabolism of Metronidazole can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Metronidazole.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Nimodipine.]
[C08CA07, nisoldipine, The metabolism of Metronidazole can be decreased when combined with Nisoldipine.]
[N05CD02, nitrazepam, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Metronidazole.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Nitrendipine.]
[N05CF03, zaleplon, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Metronidazole.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Metronidazole.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Norfloxacin.]
[C02KX01, bosentan, The metabolism of Bosentan can be decreased when combined with Metronidazole.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Metronidazole.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Metronidazole.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Metronidazole can be increased when combined with Rilonacept.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Oxolinic acid.]
[N02AA05, oxycodone, The metabolism of Metronidazole can be decreased when combined with Oxycodone.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Metronidazole.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Asenapine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Metronidazole.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Papaverine.]
[N05CC05, paraldehyde, The therapeutic efficacy of Paraldehyde can be decreased when used in combination with Metronidazole.]
[H02AB05, paramethasone, The metabolism of Metronidazole can be increased when combined with Paramethasone.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Metronidazole.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Penfluridol.]
[N05CA01, pentobarbital, The metabolism of Metronidazole can be increased when combined with Pentobarbital.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Perhexiline.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Metronidazole.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Metronidazole is combined with Phenindione.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Metronidazole.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Metronidazole.]
[M02AA01, phenylbutazone, The metabolism of Phenylbutazone can be decreased when combined with Metronidazole.]
[N03AB02, phenytoin, The serum concentration of Metronidazole can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Metronidazole can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Metronidazole.]
[C08CX01, mibefradil, The metabolism of Metronidazole can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Metronidazole can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Metronidazole.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Metronidazole.]
[J05AE01, saquinavir, The metabolism of Metronidazole can be decreased when combined with Saquinavir.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Metronidazole.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Metronidazole can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Metronidazole.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Metronidazole.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Metronidazole.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Metronidazole.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Metronidazole.]
[L04AC08, canakinumab, The metabolism of Metronidazole can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The risk or severity of adverse effects can be increased when Ritonavir is combined with Metronidazole.]
[A10BH03, saxagliptin, The metabolism of Saxagliptin can be decreased when combined with Metronidazole.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Metronidazole.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Metronidazole.]
[H02AB07, prednisone, The metabolism of Metronidazole can be increased when combined with Prednisone.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Prilocaine.]
[P01BA03, primaquine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Primaquine.]
[N03AA03, primidone, The metabolism of Metronidazole can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Metronidazole can be decreased when combined with Probenecid.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Procaine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Metronidazole.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Prochlorperazine.]
[G03DA04, progesterone, The metabolism of Metronidazole can be decreased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Metronidazole.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Promethazine.]
[C01BC03, propafenone, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Propafenone.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Metronidazole.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Metronidazole.]
[C07AA05, propranolol, The metabolism of Metronidazole can be decreased when combined with Propranolol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Metronidazole.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Metronidazole.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Metronidazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Metronidazole is combined with Dalfampridine.]
[P02CC01, pyrantel, The therapeutic efficacy of Pyrantel can be increased when used in combination with Metronidazole.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Mepyramine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Metronidazole.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Metronidazole.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Quinine.]
[C02AA02, reserpine, The metabolism of Metronidazole can be increased when combined with Reserpine.]
[J04AB02, rifampin, The metabolism of Metronidazole can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Roxithromycin.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Metronidazole.]
[N05CA06, secobarbital, The therapeutic efficacy of Secobarbital can be decreased when used in combination with Metronidazole.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Metronidazole.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Sotalol.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Metronidazole.]
