[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Antipyrine.]
[J02AC01, fluconazole, The metabolism of Sufentanil can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Sufentanil is combined with Melitracen.]
[V03AZ01, ethanol, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Fluoxetine.]
[N05AF01, flupenthixol, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Sufentanil.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Sufentanil is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Sufentanil is combined with Fluspirilene.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Sufentanil is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Alcuronium is combined with Sufentanil.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Furazolidone.]
[J05AE10, darunavir, The metabolism of Sufentanil can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Sufentanil.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Sufentanil is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Sufentanil is combined with Amisulpride.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Sufentanil.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Gallamine is combined with Sufentanil.]
[C08DA02, gallopamil, Sufentanil may increase the bradycardic activities of Gallopamil.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Sufentanil.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Sufentanil is combined with Bifemelane.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Sufentanil.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Alfentanil.]
[A06AH02, alvimopan, The risk or severity of adverse effects can be increased when Sufentanil is combined with Alvimopan.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Sufentanil.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Glutethimide.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Sufentanil.]
[C05AE01, nitroglycerin, Sufentanil may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Sufentanil may decrease the antihypertensive activities of Doxazosin.]
[C07AB09, esmolol, Sufentanil may decrease the antihypertensive activities of Esmolol.]
[C09AA09, fosinopril, Sufentanil may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Sufentanil may decrease the antihypertensive activities of Guanethidine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Sufentanil.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Sufentanil is combined with Halothane.]
[N05AH04, quetiapine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Sufentanil.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Sufentanil is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Sufentanil is combined with Allobarbital.]
[C09CA01, losartan, Sufentanil may decrease the antihypertensive activities of Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Sufentanil.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Sufentanil.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Sufentanil.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Sufentanil.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Sufentanil is combined with Hexoprenaline.]
[C08CA10, nilvadipine, The metabolism of Sufentanil can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Sufentanil is combined with Nimesulide.]
[C09AA04, perindopril, Sufentanil may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Sufentanil may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Sufentanil.]
[R05DA03, hydrocodone, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Hydroflumethiazide can be decreased when used in combination with Sufentanil.]
[A12BA02, potassium citrate, The therapeutic efficacy of Potassium citrate can be decreased when used in combination with Sufentanil.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Propiverine is combined with Sufentanil.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Sufentanil is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[C02AC06, rilmenidine, Sufentanil may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Sufentanil is combined with Ibuprofen.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Sufentanil.]
[N07XX04, sodium oxybate, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Sufentanil is combined with Mefenamic acid.]
[N06AA02, imipramine, The risk or severity of adverse effects can be increased when Imipramine is combined with Sufentanil.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Sufentanil is combined with Paclitaxel.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Sufentanil.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Sufentanil.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Sufentanil.]
[C02CA02, indoramin, Sufentanil may decrease the antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Milnacipran.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Piperidolate is combined with Sufentanil.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Alprazolam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ramelteon.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Sufentanil.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Quinethazone can be decreased when used in combination with Sufentanil.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Sufentanil is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Sufentanil is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of hypotension and CNS depression can be increased when Chlorproethazine is combined with Sufentanil.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Sufentanil is combined with Isocarboxazid.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Sufentanil.]
[C09AA16, imidapril, Sufentanil may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sufentanil.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Sufentanil.]
[J04AC01, isoniazid, The metabolism of Sufentanil can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Sufentanil is combined with Isoprenaline.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Isosorbide dinitrate.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Sufentanil is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Sufentanil.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Sufentanil can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Sufentanil.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Sufentanil is combined with Ketoprofen.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Sufentanil is combined with Arbutamine.]
[N04BC09, rotigotine, Sufentanil may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, Sufentanil may decrease the antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Sufentanil.]
[C02AA05, deserpidine, Sufentanil may decrease the antihypertensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Sufentanil.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Sufentanil.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Sufentanil is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Sufentanil.]
[C08EX01, lidoflazine, Sufentanil may increase the bradycardic activities of Lidoflazine.]
[C03DB01, amiloride, The therapeutic efficacy of Amiloride can be decreased when used in combination with Sufentanil.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Sufentanil.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lofepramine.]
[A07DA03, loperamide, Sufentanil may increase the bradycardic activities of Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lorazepam.]
[C10AA02, lovastatin, The metabolism of Sufentanil can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Sufentanil.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Sufentanil.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Sufentanil.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Sufentanil can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Sufentanil can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The therapeutic efficacy of Mannitol can be decreased when used in combination with Sufentanil.]
[N06AA21, maprotiline, The risk or severity of adverse effects can be increased when Maprotiline is combined with Sufentanil.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Sufentanil.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Sufentanil.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Sufentanil.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Sufentanil is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Medazepam.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Sufentanil.]
[C03BA05, mefruside, The therapeutic efficacy of Mefruside can be decreased when used in combination with Sufentanil.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Sufentanil.]
[C01CA11, mephentermine, Mephentermine may increase the analgesic activities of Sufentanil.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Sufentanil.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Sufentanil.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Sufentanil.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Meptazinol.]
[C03BC01, mersalyl, The therapeutic efficacy of Mersalyl can be decreased when used in combination with Sufentanil.]
[N05AC03, mesoridazine, The risk or severity of hypotension and CNS depression can be increased when Mesoridazine is combined with Sufentanil.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Sufentanil.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dolasetron.]
[H01CB03, lanreotide, Sufentanil may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Sufentanil.]
[N06BA03, methamphetamine, Metamfetamine may increase the analgesic activities of Sufentanil.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Methantheline is combined with Sufentanil.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Sufentanil is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Sufentanil.]
[S01EC05, methazolamide, The therapeutic efficacy of Methazolamide can be decreased when used in combination with Sufentanil.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Sufentanil is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Sufentanil can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Sufentanil.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Sufentanil.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Sufentanil is combined with Methoxamine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Sufentanil is combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Methyclothiazide can be decreased when used in combination with Sufentanil.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Sufentanil.]
[C02AB01, methyldopa, Sufentanil may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Sufentanil may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Sufentanil.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Sufentanil.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Sufentanil.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Sufentanil is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Sufentanil.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Sufentanil.]
[C03BA08, metolazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Sufentanil.]
[C07AB02, metoprolol, Sufentanil may decrease the antihypertensive activities of Metoprolol.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Sufentanil can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Aminophenazone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Midazolam.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Sufentanil.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Sufentanil.]
[C09CA03, valsartan, Sufentanil may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[D11AX01, minoxidil, Sufentanil may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Sufentanil can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may increase the analgesic activities of Sufentanil.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Sufentanil.]
[C01BD01, amiodarone, The metabolism of Sufentanil can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of adverse effects can be increased when Amitriptyline is combined with Sufentanil.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Sufentanil.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Sufentanil.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Sufentanil.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Sufentanil.]
[N06AA17, amoxapine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Sufentanil.]
[N03AB05, fosphenytoin, The metabolism of Sufentanil can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Sufentanil may decrease the antihypertensive activities of Nadolol.]
[N04BC04, ropinirole, Sufentanil may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Sufentanil is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The therapeutic efficacy of Sufentanil can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Sufentanil can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Naltrexone is combined with Sufentanil.]
[S01GA01, naphazoline, Naphazoline may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[N06BA01, amphetamine, Amphetamine may increase the analgesic activities of Sufentanil.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Sufentanil is combined with Naproxen.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Sufentanil is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Sufentanil.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Remifentanil.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Sufentanil is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Sufentanil.]
[N06AX23, desvenlafaxine, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Sufentanil may decrease the antihypertensive activities of Telmisartan.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Nialamide.]
[C08CA04, nicardipine, The risk or severity of adverse effects can be increased when Nicardipine is combined with Sufentanil.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Sufentanil.]
[C08CA05, nifedipine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Sufentanil is combined with Niflumic acid.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Sufentanil is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Sufentanil may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Sufentanil may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Nitrazepam.]
[C08CA08, nitrendipine, Sufentanil may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Sufentanil.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Sufentanil is combined with Zaleplon.]
[N04BC05, pramipexole, Sufentanil may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Sufentanil may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the cardiodepressant activities of Sufentanil.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Norepinephrine is combined with Sufentanil.]
[C02KX01, bosentan, Sufentanil may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The risk or severity of adverse effects can be increased when Nortriptyline is combined with Sufentanil.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Sufentanil is combined with Nylidrin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Sufentanil.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Sufentanil is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Sufentanil is combined with Orciprenaline.]
[G04CA02, tamsulosin, The risk or severity of adverse effects can be increased when Tamsulosin is combined with Sufentanil.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Sufentanil.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Sufentanil is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Sufentanil is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Sufentanil.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Sufentanil.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Papaverine.]
[N05CC05, paraldehyde, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pargyline.]
[G04BD11, fesoterodine, The risk or severity of adverse effects can be increased when Fesoterodine is combined with Sufentanil.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Penfluridol.]
[N02AD01, pentazocine, The therapeutic efficacy of Sufentanil can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Pentobarbital is combined with Sufentanil.]
[N05AB10, perazine, The risk or severity of hypotension and CNS depression can be increased when Perazine is combined with Sufentanil.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pergolide.]
[C08EX02, perhexiline, Sufentanil may increase the bradycardic activities of Perhexiline.]
[N05AB03, perphenazine, The risk or severity of hypotension and CNS depression can be increased when Perphenazine is combined with Sufentanil.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Phenelzine.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Phenobarbital is combined with Sufentanil.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Sufentanil.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Sufentanil may decrease the antihypertensive activities of Phenoxybenzamine.]
[A08AA01, phentermine, Phentermine may increase the analgesic activities of Sufentanil.]
[V03AB36, phentolamine, Sufentanil may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Sufentanil is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Sufentanil.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Sufentanil.]
[N03AB02, phenytoin, The metabolism of Sufentanil can be increased when combined with Phenytoin.]
[C08CX01, mibefradil, Sufentanil may decrease the antihypertensive activities of Mibefradil.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Sufentanil can be decreased when combined with Saquinavir.]
[N05AC04, pipothiazine, The risk or severity of hypotension and CNS depression can be increased when Pipotiazine is combined with Sufentanil.]
[C09CA02, eprosartan, Sufentanil may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Sufentanil.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Sufentanil.]
[N02CX01, pizotyline, The risk or severity of adverse effects can be increased when Pizotifen is combined with Sufentanil.]
[J05AG02, delavirdine, The metabolism of Sufentanil can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Sufentanil may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Sufentanil is combined with Proxibarbal.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Sufentanil.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Sufentanil is combined with Alosetron.]
[C03AA05, polythiazide, The therapeutic efficacy of Polythiazide can be decreased when used in combination with Sufentanil.]
[J05AE03, ritonavir, Ritonavir may decrease the excretion rate of Sufentanil which could result in a higher serum level.]
[C07AB01, practolol, Sufentanil may decrease the antihypertensive activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Prazepam.]
[C02CA01, prazosin, Sufentanil may decrease the antihypertensive activities of Prazosin.]
[C01DX02, prenylamine, Sufentanil may increase the bradycardic activities of Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Sufentanil can be decreased when combined with Primaquine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Primidone is combined with Sufentanil.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Procaine.]
