[P02BB01, trichlorfon, The metabolism of Succinylcholine can be decreased when combined with Metrifonate.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Succinylcholine.]
[G04BD06, propiverine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[R02AX02, ibuprofen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Ibuprofen.]
[B05CB02, sodium citrate, Succinylcholine may increase the neurotoxic activities of Sodium citrate.]
[N01AH03, sufentanil, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Sufentanil.]
[N06AA02, imipramine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, Succinylcholine may increase the neurotoxic activities of Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Tixocortol.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tizanidine.]
[S01BC01, indomethacin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Indomethacin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Milnacipran.]
[A03AA30, piperidolate, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Alprazolam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ramelteon.]
[R06AE01, buclizine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Alprenolol.]
[J05AF04, stavudine, Succinylcholine may increase the neurotoxic activities of Stavudine.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Isocarboxazid.]
[C09AA16, imidapril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Isoflurane.]
[S01EB07, isoflurophate, The metabolism of Succinylcholine can be decreased when combined with Isoflurophate.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Entacapone.]
[R03CB01, isoproterenol, The metabolism of Succinylcholine can be decreased when combined with Isoprenaline.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Reboxetine.]
[S01AA24, kanamycin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Kanamycin.]
[N01AX03, ketamine, The metabolism of Succinylcholine can be decreased when combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ketanserin.]
[J02AB02, ketoconazole, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Ketoconazole.]
[N05AH03, olanzapine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Ketoprofen.]
[N04BC09, rotigotine, Succinylcholine may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Labetalol.]
[N07AA30, ambenonium, The metabolism of Succinylcholine can be decreased when combined with Ambenonium.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lacosamide.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Etacrynic acid.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Lidoflazine.]
[J01FF02, lincomycin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Lincomycin.]
[C03DB01, amiloride, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Amiloride.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Loperamide.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Succinylcholine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Loxapine.]
[J01AA04, lymecycline, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Lymecycline.]
[B05XA11, magnesium chloride, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium chloride.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium oxide.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium sulfate.]
[V04CX04, mannitol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Mannitol.]
[N06AA21, maprotiline, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Mazindol.]
[C02BB01, mecamylamine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Mecamylamine.]
[L01AA05, mechlorethamine, The metabolism of Succinylcholine can be decreased when combined with Mechlorethamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Medazepam.]
[C01AA08, medigoxin, Succinylcholine may increase the arrhythmogenic activities of Metildigoxin.]
[P01BC02, mefloquine, The metabolism of Succinylcholine can be decreased when combined with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Dalteparin.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Melatonin.]
[N06DX01, memantine, The metabolism of Succinylcholine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Meperidine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Mephenytoin.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Meprobamate.]
[N02AX05, meptazinol, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dolasetron.]
[J01AA05, methacycline, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Metacycline.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Succinylcholine.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Metamfetamine.]
[A03AB07, methantheline, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Metharbital.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Metergoline.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methocarbamol.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methohexital.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methoxyflurane.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Methylprednisolone aceponate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Succinylcholine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methysergide.]
[A03FA01, metoclopramide, The metabolism of Succinylcholine can be decreased when combined with Metoclopramide.]
[C07AB02, metoprolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Metoprolol.]
[P01AB01, metronidazole, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Metronidazole.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Mianserin.]
[S02AA13, miconazole, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Parnaparin.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Midazolam.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Tinzaparin.]
[C09CA03, valsartan, The risk or severity of hyperkalemia can be increased when Valsartan is combined with Succinylcholine.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Molindone.]
[C01BD01, amiodarone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Amiodarone.]
[N06AA09, amitriptyline, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Palonosetron.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Ammonium chloride.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Amobarbital.]
[R03BB01, ipratropium bromide, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The therapeutic efficacy of Succinylcholine can be decreased when used in combination with Fosphenytoin.]
[C07AA12, nadolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nadolol.]
[N04BC04, ropinirole, Succinylcholine may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Naltrexone.]
[M02AA12, naproxen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Naproxen.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tolcapone.]
[S03AA01, neomycin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Neomycin.]
[N01AH06, remifentanil, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Remifentanil.]
[S01EB06, neostigmine, The metabolism of Succinylcholine can be decreased when combined with Neostigmine.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Iloperidone.]
[S01AA23, netilmicin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Netilmicin.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Telmisartan.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Nialamide.]
[C08CA04, nicardipine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[C08CA05, nifedipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Niflumic acid.]
[C08CA06, nimodipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nimodipine.]
[C08CA07, nisoldipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Nitrazepam.]
[C08CA08, nitrendipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nitrendipine.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nitrofurantoin.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Zaleplon.]
[N04BC05, pramipexole, Succinylcholine may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Nomifensine.]
[N06AA10, nortriptyline, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[G02CA02, nylidrin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Reviparin.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Opipramol.]
[N02AA02, opium, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Opium.]
[P01AB03, ornidazole, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Ornidazole.]
[C01AC01, ouabain, The risk or severity of Cardiac Arrhythmia can be increased when Succinylcholine is combined with Ouabain.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxazepam.]
[C07AA02, oxprenolol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Oxycodone.]
[N02AA11, oxymorphone, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[S01AA04, oxytetracycline, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Oxytetracycline.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Danaparoid.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[M03AC01, pancuronium, The metabolism of Succinylcholine can be decreased when combined with Pancuronium.]
[J04AB30, capreomycin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Capreomycin.]
[N05CC05, paraldehyde, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pargyline.]
[A07AA06, paromomycin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Paromomycin.]
[G04BD11, fesoterodine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Pentazocine.]
[N05CA01, pentobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pentobarbital.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pergolide.]
[C08EX02, perhexiline, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Perphenazine.]
[N02AD02, phenazocine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Phenazocine.]
[N06AF03, phenelzine, Phenelzine may increase the neuromuscular blocking activities of Succinylcholine.]
[N03AA02, phenobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Phenoperidine.]
[M02AA01, phenylbutazone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Phenylbutazone.]
[N03AB02, phenytoin, The therapeutic efficacy of Succinylcholine can be decreased when used in combination with Phenytoin.]
[V03AB19, physostigmine, The metabolism of Succinylcholine can be decreased when combined with Physostigmine.]
[C08CX01, mibefradil, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Mibefradil.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pindolol.]
[J01CA12, piperacillin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Piperacillin.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pipotiazine.]
[C09CA02, eprosartan, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Eprosartan.]
[A02BX03, pirenzepine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Piroxicam.]
[N02CX01, pizotyline, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[C09CA04, irbesartan, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Alosetron.]
[S03AA03, polymyxin B, Succinylcholine may increase the neurotoxic activities of Polymyxin B.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Succinylcholine.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Succinylcholine.]
[C07AB01, practolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Prazepam.]
[S03BA02, prednisolone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Prednisone.]
[C01DX02, prenylamine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Prilocaine.]
[N03AA03, primidone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Primidone.]
[C01BA02, procainamide, The metabolism of Succinylcholine can be decreased when combined with Procainamide.]
[S01HA05, procaine, The metabolism of Succinylcholine can be decreased when combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Procarbazine.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Prochlorperazine.]
[N04AA04, procyclidine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[N05AA03, promazine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Propanidid.]
[A03AB05, propantheline, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Periciazine.]
[N05CM06, propiomazine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Propranolol.]
[C01AB01, proscillaridin, The risk or severity of Cardiac Arrhythmia can be increased when Succinylcholine is combined with Proscillaridin.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Rizatriptan.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Protriptyline.]
[N05AX12, aripiprazole, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Talbutal.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pyrantel.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Succinylcholine.]
[N07AA02, pyridostigmine, The metabolism of Succinylcholine can be decreased when combined with Pyridostigmine.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Mepyramine.]
[C01BA01, quinidine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Quinidine.]
[P01BC01, quinine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Quinine.]
[C02AA01, rescinnamine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Reserpine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxitriptan.]
[J01AA09, rolitetracycline, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Rolitetracycline.]
[N02BA05, salicylamide, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Salicylic acid.]
[S01FA02, scopolamine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Secobarbital.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Selegiline.]
[J01GB08, sisomicin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Sisomicin.]
[C07AA07, sotalol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Sotalol.]
[C03DA01, spironolactone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Spironolactone.]
