[S02DA03, antipyrine, Antipyrine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01XA03, telavancin, Tenofovir disoproxil may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Tenofovir disoproxil.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Tenofovir disoproxil.]
[L01EH01, lapatinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The excretion of Tenofovir disoproxil can be decreased when combined with Glyburide.]
[A10BB07, glipizide, Tenofovir disoproxil may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Tenofovir disoproxil may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01EX02, sorafenib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Sorafenib.]
[M01CB04, aurothioglucose, Tenofovir disoproxil may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Tenofovir disoproxil may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Tenofovir disoproxil may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Tenofovir disoproxil may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Tenofovir disoproxil may decrease the excretion rate of Goserelin which could result in a higher serum level.]
[N05AD01, haloperidol, Tenofovir disoproxil may decrease the excretion rate of Haloperidol which could result in a higher serum level.]
[N05AH04, quetiapine, Tenofovir disoproxil may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Tenofovir disoproxil may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Tenofovir disoproxil may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The excretion of Tenofovir disoproxil can be decreased when combined with Losartan.]
[G03DC01, allylestrenol, Tenofovir disoproxil may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Tenofovir disoproxil.]
[C01CE02, milrinone, Tenofovir disoproxil may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[M02AA26, nimesulide, Nimesulide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C09AA04, perindopril, Tenofovir disoproxil may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Tenofovir disoproxil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Tenofovir disoproxil may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Tenofovir disoproxil may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.]
[G04BD06, propiverine, Tenofovir disoproxil may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[B05AA07, hetastarch, Tenofovir disoproxil may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[M05BA07, risedronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Risedronic acid.]
[R02AX02, ibuprofen, Ibuprofen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[B05XA08, sodium acetate, Tenofovir disoproxil may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Tenofovir disoproxil may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Tenofovir disoproxil.]
[R01AD07, tixocortol, Tenofovir disoproxil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Tenofovir disoproxil.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A11HA07, inositol, Tenofovir disoproxil may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Tenofovir disoproxil may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Tenofovir disoproxil may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, The serum concentration of Sitagliptin can be increased when it is combined with Tenofovir disoproxil.]
[N05BA12, alprazolam, Tenofovir disoproxil may decrease the excretion rate of Alprazolam which could result in a higher serum level.]
[N05CH02, ramelteon, Tenofovir disoproxil may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Tenofovir disoproxil may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[G04BE01, alprostadil, The excretion of Tenofovir disoproxil can be decreased when combined with Alprostadil.]
[J04AC01, isoniazid, Tenofovir disoproxil may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Tenofovir disoproxil may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[D10BA01, isotretinoin, Tenofovir disoproxil may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Kanamycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N01AX03, ketamine, Tenofovir disoproxil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Tenofovir disoproxil may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ketoconazole.]
[M02AA10, ketoprofen, Ketoprofen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01MB02, nalidixic acid, The excretion of Tenofovir disoproxil can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C07AG01, labetalol, Tenofovir disoproxil may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, Tenofovir disoproxil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Tenofovir disoproxil may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01AA21, amikacin, Amikacin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[A07DA03, loperamide, The serum concentration of Loperamide can be increased when it is combined with Tenofovir disoproxil.]
[N05BA06, lorazepam, Tenofovir disoproxil may decrease the excretion rate of Lorazepam which could result in a higher serum level.]
[N05AH01, loxapine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Tenofovir disoproxil may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Tenofovir disoproxil may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Tenofovir disoproxil may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Tenofovir disoproxil.]
[N06AA21, maprotiline, Tenofovir disoproxil may decrease the excretion rate of Maprotiline which could result in a higher serum level.]
[C02BB01, mecamylamine, Tenofovir disoproxil may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[P01BC02, mefloquine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The excretion of Tenofovir disoproxil can be decreased when combined with Melatonin.]
[N06DX01, memantine, Tenofovir disoproxil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Tenofovir disoproxil may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N01BB03, mepivacaine, Tenofovir disoproxil may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Tenofovir disoproxil may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Paliperidone.]
[A10BA02, metformin, Tenofovir disoproxil may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N07BC02, methadone, Tenofovir disoproxil may decrease the excretion rate of Methadone which could result in a higher serum level.]
[N06BA03, methamphetamine, Tenofovir disoproxil may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Tenofovir disoproxil may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Tenofovir disoproxil may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Tenofovir disoproxil may decrease the excretion rate of Pyridoxine which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may increase the nephrotoxic activities of Tenofovir disoproxil.]
[D05BA02, methoxsalen, Tenofovir disoproxil may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Tenofovir disoproxil may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Methylene blue.]
[G03EK01, methyltestosterone, The excretion of Tenofovir disoproxil can be increased when combined with Methyltestosterone.]
[A03FA01, metoclopramide, Tenofovir disoproxil may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Tenofovir disoproxil may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[V04CD01, metyrapone, Tenofovir disoproxil may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N02BB03, aminopyrine, Aminophenazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N05CD08, midazolam, Tenofovir disoproxil may decrease the excretion rate of Midazolam which could result in a higher serum level.]
[G03XB01, mifepristone, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Mifepristone.]
[J05AH01, zanamivir, Tenofovir disoproxil may decrease the excretion rate of Zanamivir which could result in a higher serum level.]
[J01AA08, minocycline, The excretion of Tenofovir disoproxil can be decreased when combined with Minocycline.]
[L03AC01, aldesleukin, Tenofovir disoproxil may decrease the excretion rate of Aldesleukin which could result in a higher serum level.]
[C01BD01, amiodarone, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, Tenofovir disoproxil may decrease the excretion rate of Amitriptyline which could result in a higher serum level.]
[N02AA01, morphine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Morphine.]
[A04AA05, palonosetron, Tenofovir disoproxil may decrease the excretion rate of Palonosetron which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may increase the nephrotoxic activities of Tenofovir disoproxil.]
[L04AB05, certolizumab pegol, Tenofovir disoproxil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Tenofovir disoproxil may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Tenofovir disoproxil.]
[L04AA06, mycophenolic acid, Tenofovir disoproxil may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[G04CA04, silodosin, The serum concentration of Silodosin can be increased when it is combined with Tenofovir disoproxil.]
[N03AB05, fosphenytoin, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Fosphenytoin.]
[C07AA12, nadolol, Tenofovir disoproxil may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Tenofovir disoproxil may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[J01CF06, nafcillin, The excretion of Tenofovir disoproxil can be decreased when combined with Nafcillin.]
[V03AB15, naloxone, Tenofovir disoproxil may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Tenofovir disoproxil may decrease the excretion rate of Amphetamine which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AX21, duloxetine, Tenofovir disoproxil may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N04BX01, tolcapone, Tenofovir disoproxil may decrease the excretion rate of Tolcapone which could result in a higher serum level.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Tenofovir disoproxil is combined with Neomycin.]
[B01AC17, tirofiban, Tenofovir disoproxil may decrease the excretion rate of Tirofiban which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01AA19, ampicillin, Tenofovir disoproxil may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L03AX16, plerixafor, Tenofovir disoproxil may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Netilmicin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AX23, desvenlafaxine, Tenofovir disoproxil may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C01CE01, inamrinone, Tenofovir disoproxil may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA05, nifedipine, Tenofovir disoproxil may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C08CA07, nisoldipine, Tenofovir disoproxil may decrease the excretion rate of Nisoldipine which could result in a higher serum level.]
[R07AX01, nitric oxide, Tenofovir disoproxil may decrease the excretion rate of Nitric Oxide which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Tenofovir disoproxil may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[N05CF03, zaleplon, Tenofovir disoproxil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, Tenofovir disoproxil may decrease the excretion rate of Pramipexole which could result in a higher serum level.]
[C02DD01, nitroprusside, Tenofovir disoproxil may decrease the excretion rate of Nitroprusside which could result in a higher serum level.]
[S01AE02, norfloxacin, The excretion of Tenofovir disoproxil can be decreased when combined with Norfloxacin.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Tenofovir disoproxil.]
[A16AX07, sapropterin, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Sapropterin.]
[S02AA16, ofloxacin, The excretion of Tenofovir disoproxil can be decreased when combined with Ofloxacin.]
[N02AA02, opium, Tenofovir disoproxil may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Tenofovir disoproxil may decrease the excretion rate of Tamsulosin which could result in a higher serum level.]
[C01AC01, ouabain, The excretion of Tenofovir disoproxil can be decreased when combined with Ouabain.]
[M05BA08, zoledronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Zoledronic acid.]
[J01CF04, oxacillin, Tenofovir disoproxil may decrease the excretion rate of Oxacillin which could result in a higher serum level.]
[N05BA04, oxazepam, Tenofovir disoproxil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01AA04, oxytetracycline, The excretion of Tenofovir disoproxil can be decreased when combined with Oxytetracycline.]
[V04CH30, 4-aminohippuric acid, The excretion of Tenofovir disoproxil can be decreased when combined with Aminohippuric acid.]
[J04AB30, capreomycin, Capreomycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A07AA06, paromomycin, Paromomycin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[G04BD11, fesoterodine, Tenofovir disoproxil may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Tenofovir disoproxil may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[S01AA14, penicillin G, The excretion of Tenofovir disoproxil can be decreased when combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, Tenofovir disoproxil may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Tenofovir disoproxil may decrease the excretion rate of Pentobarbital which could result in a higher serum level.]
[L01XX08, pentostatin, Tenofovir disoproxil may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Tenofovir disoproxil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N02BE03, phenacetin, The excretion of Tenofovir disoproxil can be decreased when combined with Phenacetin.]
[G04BX06, phenazopyridine, Phenazopyridine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AF03, phenelzine, Tenofovir disoproxil may decrease the excretion rate of Phenelzine which could result in a higher serum level.]
[N03AA02, phenobarbital, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Phenobarbital.]
[V03AB36, phentolamine, Tenofovir disoproxil may decrease the excretion rate of Phentolamine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N03AB02, phenytoin, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Phenytoin.]
[S01AE05, levofloxacin, Tenofovir disoproxil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Tenofovir disoproxil may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may increase the nephrotoxic activities of Tenofovir disoproxil.]
[C08CX01, mibefradil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Mibefradil.]
[C07AA03, pindolol, Tenofovir disoproxil may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01CA12, piperacillin, Tenofovir disoproxil may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[J05AE01, saquinavir, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Saquinavir.]
[N06BX03, piracetam, Tenofovir disoproxil may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may increase the nephrotoxic activities of Tenofovir disoproxil.]
[J01DD16, cefditoren, Cefditoren may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A10BG02, rosiglitazone, Tenofovir disoproxil may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S03AA03, polymyxin B, The risk or severity of adverse effects can be increased when Tenofovir disoproxil is combined with Polymyxin B.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The risk or severity of adverse effects can be increased when Ritonavir is combined with Tenofovir disoproxil.]
[A10BH03, saxagliptin, Tenofovir disoproxil may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Tenofovir disoproxil may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[H02AB07, prednisone, Tenofovir disoproxil may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[M04AB01, probenecid, The excretion of Tenofovir disoproxil can be decreased when combined with Probenecid.]
[C01BA02, procainamide, Tenofovir disoproxil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AB05, fenofibrate, Tenofovir disoproxil may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[R06AD02, promethazine, Tenofovir disoproxil may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Propafenone.]
[A03AB05, propantheline, Tenofovir disoproxil may decrease the excretion rate of Propantheline which could result in a higher serum level.]
[R06AX26, fexofenadine, The serum concentration of Fexofenadine can be increased when it is combined with Tenofovir disoproxil.]
[L01XH02, romidepsin, The serum concentration of Romidepsin can be increased when it is combined with Tenofovir disoproxil.]
[C07AA05, propranolol, Tenofovir disoproxil may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N02CC04, rizatriptan, Tenofovir disoproxil may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Tenofovir disoproxil may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N07XX07, dalfampridine, Tenofovir disoproxil may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Tenofovir disoproxil may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Tenofovir disoproxil may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[C01BA01, quinidine, Tenofovir disoproxil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, Tenofovir disoproxil may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C02AA02, reserpine, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Reserpine.]
[J05AP01, ribavirin, Tenofovir disoproxil may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[S01XA26, riboflavin, The excretion of Tenofovir disoproxil can be decreased when combined with Riboflavin.]
[J04AB02, rifampin, The excretion of Tenofovir disoproxil can be decreased when combined with Rifampicin.]
[N02BA05, salicylamide, Salicylamide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01BC08, salicylic acid, Salicylic acid may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N05CA06, secobarbital, Tenofovir disoproxil may decrease the excretion rate of Secobarbital which could result in a higher serum level.]
[J01GB08, sisomicin, Sisomicin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[A12CD01, sodium fluoride, Tenofovir disoproxil may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Tenofovir disoproxil may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Tenofovir disoproxil.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CH02, indigo carmine, Tenofovir disoproxil may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[N05CC01, chloral hydrate, Tenofovir disoproxil may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N03AG01, valproic acid, The excretion of Tenofovir disoproxil can be decreased when combined with Valproic acid.]
[M05BA01, etidronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Etidronic acid.]
[M05BA04, alendronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Tenofovir disoproxil is combined with Alendronic acid.]
[C01DA14, isosorbide mononitrate, Tenofovir disoproxil may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[H02CA04, levoketoconazole, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Levoketoconazole.]
[D10AX03, azelaic acid, Tenofovir disoproxil may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
