[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Eletriptan.]
[C03CA04, torsemide, The metabolism of Eletriptan can be decreased when combined with Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Eletriptan is combined with Tramazoline.]
[C09AA10, trandolapril, Eletriptan may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Eletriptan is combined with Triclofos.]
[A03AB08, tridihexethyl, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Trimethobenzamide.]
[N04AA12, tropatepine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Eletriptan is combined with Enflurane.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Eletriptan is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Eletriptan is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Eletriptan can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Eletriptan is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Eletriptan is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Eletriptan can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Eletriptan can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, Eletriptan may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Eletriptan is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Moricizine.]
[G02AB03, ergonovine, Ergometrine may increase the vasoconstricting activities of Eletriptan.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the vasoconstricting activities of Eletriptan.]
[N02CA02, ergotamine, The metabolism of Eletriptan can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Eletriptan can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Eletriptan can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Eletriptan.]
[J04AK02, ethambutol, The metabolism of Eletriptan can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Eletriptan can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Eletriptan.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Eletriptan.]
[N04AA05, profenamine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ethotoin.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Eletriptan is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Eletriptan is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Etomidate.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sertindole.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Eletriptan.]
[R06AX12, terfenadine, The metabolism of Eletriptan can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Eletriptan can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Eletriptan can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Eletriptan.]
[C08CA02, felodipine, The metabolism of Eletriptan can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Eletriptan is combined with Fenoprofen.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Eletriptan is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Salbutamol.]
[N07AX03, cevimeline, The metabolism of Eletriptan can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Eletriptan.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Eletriptan is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Eletriptan can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Eletriptan is combined with Melitracen.]
[V03AZ01, ethanol, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Eletriptan can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be increased when combined with Eletriptan.]
[N06AB03, fluoxetine, The serum concentration of Eletriptan can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Eletriptan is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Eletriptan is combined with Fluspirilene.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Eletriptan.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Eletriptan is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Eletriptan is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Furazolidone.]
[J05AE10, darunavir, The metabolism of Eletriptan can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Eletriptan may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Eletriptan is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Eletriptan is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Eletriptan.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Gallamine.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Eletriptan is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Eletriptan can be decreased when combined with Gemfibrozil.]
[N04BC06, cabergoline, Cabergoline may increase the vasoconstricting activities of Eletriptan.]
[J05AG04, etravirine, The metabolism of Eletriptan can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Eletriptan is combined with Alfentanil.]
[A10BB01, glyburide, The metabolism of Eletriptan can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Eletriptan.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Eletriptan.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Glutethimide.]
[C05AE01, nitroglycerin, Eletriptan may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Eletriptan may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Eletriptan can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Eletriptan may decrease the antihypertensive activities of Esmolol.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Eletriptan is combined with Fluindione.]
[C09AA09, fosinopril, Eletriptan may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Eletriptan may decrease the antihypertensive activities of Guanethidine.]
[P01BX01, halofantrine, The metabolism of Eletriptan can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Eletriptan.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Eletriptan is combined with Halothane.]
[N05AH04, quetiapine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Eletriptan is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Allobarbital.]
[C09CA01, losartan, Eletriptan may decrease the antihypertensive activities of Losartan.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Eletriptan is combined with Mesalazine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Hexobarbital.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Eletriptan is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be increased when combined with Eletriptan.]
[C08CA10, nilvadipine, The metabolism of Eletriptan can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Eletriptan is combined with Nimesulide.]
[C09AA04, perindopril, Eletriptan may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Eletriptan may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Eletriptan may decrease the antihypertensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Eletriptan may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Eletriptan can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Eletriptan is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[C02AC06, rilmenidine, Eletriptan may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Eletriptan is combined with Ibuprofen.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Eletriptan.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Eletriptan.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Eletriptan can be decreased when combined with Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tizanidine.]
[C03BA11, indapamide, Eletriptan may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Eletriptan is combined with Indomethacin.]
[C02CA02, indoramin, Eletriptan may decrease the antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Eletriptan is combined with Milnacipran.]
[A03AA30, piperidolate, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Alprazolam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ramelteon.]
[R06AE01, buclizine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Eletriptan can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Alprenolol.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Eletriptan.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Eletriptan is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Eletriptan is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Eletriptan is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Eletriptan can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Eletriptan is combined with Isoetharine.]
[C09AA16, imidapril, Eletriptan may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Eletriptan is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Eletriptan can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Eletriptan is combined with Isoprenaline.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Eletriptan is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Eletriptan can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Eletriptan.]
[J02AB02, ketoconazole, The metabolism of Eletriptan can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Eletriptan can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Eletriptan is combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Eletriptan can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Eletriptan is combined with Arbutamine.]
[N04BC09, rotigotine, Eletriptan may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Eletriptan is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Eletriptan can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Amantadine.]
[C02AA05, deserpidine, Eletriptan may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Eletriptan is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Eletriptan can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, Lisuride may increase the vasoconstricting activities of Eletriptan.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Eletriptan.]
[C10AA02, lovastatin, The metabolism of Eletriptan can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Eletriptan.]
[L01EG01, temsirolimus, The metabolism of Eletriptan can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Eletriptan can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Eletriptan can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Mazindol.]
[C02BB01, mecamylamine, Eletriptan may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Meclizine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Eletriptan is combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Medazepam.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Mephenytoin.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Meprobamate.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Eletriptan is combined with Metaraminol.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Eletriptan.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Metamfetamine.]
[A03AB07, methantheline, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Eletriptan is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Metharbital.]
[G02CB05, metergoline, Metergoline may increase the vasoconstricting activities of Eletriptan.]
[H03BB02, methimazole, The metabolism of Eletriptan can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Methocarbamol.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Methohexital.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Eletriptan is combined with Methoxamine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Eletriptan is combined with Methoxyflurane.]
[C02AB01, methyldopa, Eletriptan may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Eletriptan may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, Methylergometrine may increase the vasoconstricting activities of Eletriptan.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Eletriptan is combined with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Eletriptan.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Eletriptan is combined with Methyprylon.]
[N02CA04, methysergide, Methysergide may increase the vasoconstricting activities of Eletriptan.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Eletriptan.]
[C03BA08, metolazone, Eletriptan may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The metabolism of Eletriptan can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Metronidazole can be increased when combined with Eletriptan.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Eletriptan.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Eletriptan can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Eletriptan is combined with Aminophenazone.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Midazolam.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Eletriptan.]
[G03XB01, mifepristone, The metabolism of Eletriptan can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Eletriptan can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[D11AX01, minoxidil, Eletriptan may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Eletriptan can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Eletriptan can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Eletriptan.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Eletriptan is combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Eletriptan can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The metabolism of Eletriptan can be decreased when combined with Pazopanib.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Eletriptan is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Amobarbital.]
[P01BA06, amodiaquine, The metabolism of Eletriptan can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Eletriptan.]
[N03AB05, fosphenytoin, The metabolism of Eletriptan can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Eletriptan may decrease the antihypertensive activities of Nadolol.]
[N04BC04, ropinirole, Eletriptan may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Eletriptan is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Eletriptan can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Eletriptan can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Eletriptan is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Eletriptan.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Eletriptan is combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Eletriptan can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Eletriptan can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tolcapone.]
[L02BG04, letrozole, The metabolism of Letrozole can be increased when combined with Eletriptan.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Eletriptan is combined with Remifentanil.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Eletriptan may decrease the antihypertensive activities of Telmisartan.]
[C10AD02, niacin, The metabolism of Eletriptan can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Eletriptan can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, Nicergoline may increase the vasoconstricting activities of Eletriptan.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Eletriptan.]
[N07BA01, nicotine, The metabolism of Nicotine can be increased when combined with Eletriptan.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be increased when combined with Eletriptan.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Eletriptan is combined with Niflumic acid.]
[C08CA06, nimodipine, Eletriptan may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Eletriptan may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Nitrazepam.]
[C08CA08, nitrendipine, Eletriptan may decrease the antihypertensive activities of Nitrendipine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Eletriptan is combined with Zaleplon.]
[N04BC05, pramipexole, Eletriptan may increase the sedative activities of Pramipexole.]
[C02DD01, nitroprusside, Eletriptan may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Nomifensine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Eletriptan is combined with Norepinephrine.]
[C02KX01, bosentan, The metabolism of Eletriptan can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Eletriptan.]
[R05DA07, noscapine, The metabolism of Eletriptan can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Eletriptan is combined with Nylidrin.]
[L04AC04, rilonacept, The metabolism of Eletriptan can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Eletriptan can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Opipramol.]
