[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Buprenorphine.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Poldine is combined with Buprenorphine.]
[N02BA11, diflunisal, The metabolism of Buprenorphine can be decreased when combined with Diflunisal.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Buprenorphine.]
[C10AX09, ezetimibe, Buprenorphine may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Buprenorphine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AA03, hydromorphone, Hydromorphone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AE08, atazanavir, The metabolism of Buprenorphine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Buprenorphine can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C08DB01, diltiazem, The metabolism of Buprenorphine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Dimetindene is combined with Buprenorphine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Buprenorphine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C05CA03, diosmin, The metabolism of Buprenorphine can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A07DA01, diphenoxylate, Diphenoxylate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03FA02, cisapride, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Buprenorphine.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Buprenorphine.]
[P03AA04, disulfiram, The metabolism of Buprenorphine can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Buprenorphine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Buprenorphine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AX08, risperidone, Risperidone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Buprenorphine.]
[A04AD12, aprepitant, The metabolism of Buprenorphine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Buprenorphine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Buprenorphine.]
[G04BE08, tadalafil, The metabolism of Buprenorphine can be decreased when combined with Tadalafil.]
[S01BC05, ketorolac, The metabolism of Buprenorphine can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Buprenorphine.]
[C01EB18, ranolazine, The serum concentration of Buprenorphine can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Buprenorphine can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Buprenorphine.]
[N06AA16, dothiepin, Dosulepin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AA12, doxepin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Buprenorphine.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Buprenorphine.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AB06, sertraline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A08AA10, sibutramine, Sibutramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C10AA01, simvastatin, The metabolism of Buprenorphine can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Buprenorphine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Buprenorphine.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Buprenorphine.]
[M01AC02, tenoxicam, The metabolism of Buprenorphine can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Buprenorphine can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Buprenorphine.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AG03, toloxatone, Toloxatone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Buprenorphine.]
[N03AX11, topiramate, Topiramate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03CA04, torsemide, The metabolism of Buprenorphine can be decreased when combined with Torasemide.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Buprenorphine.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Tropatepine is combined with Buprenorphine.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Buprenorphine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AX16, venlafaxine, Venlafaxine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C08CA12, mepirodipine, The metabolism of Buprenorphine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Buprenorphine can be decreased when combined with Epinephrine.]
[N05CF02, zolpidem, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02CA02, ergotamine, Ergotamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01AA17, erythromycin, The metabolism of Buprenorphine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Buprenorphine.]
[H05BX01, cinacalcet, The metabolism of Buprenorphine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Buprenorphine.]
[G03CA57, estrogens, conjugated (USP), Buprenorphine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Buprenorphine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Buprenorphine can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Buprenorphine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Buprenorphine can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, Gepefrine may increase the analgesic activities of Buprenorphine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AA03, ethinyl estradiol, The metabolism of Buprenorphine can be increased when combined with Ethinylestradiol.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Buprenorphine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M01AC06, meloxicam, The metabolism of Buprenorphine can be decreased when combined with Meloxicam.]
[S01XA06, ethylmorphine, Ethylmorphine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Buprenorphine.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Buprenorphine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Buprenorphine.]
[R06AX12, terfenadine, The metabolism of Buprenorphine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Buprenorphine.]
[C10AA03, pravastatin, Buprenorphine may decrease the excretion rate of Pravastatin which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, The metabolism of Buprenorphine can be decreased when combined with Sodium aurothiomalate.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Buprenorphine.]
[C08CA02, felodipine, The metabolism of Buprenorphine can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Buprenorphine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Buprenorphine.]
[L01BB06, clofarabine, Buprenorphine may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[L04AA40, cladribine, Buprenorphine may decrease the excretion rate of Cladribine which could result in a higher serum level.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Buprenorphine.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Buprenorphine.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Buprenorphine.]
[J02AC01, fluconazole, The metabolism of Buprenorphine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[D07AC08, fluocinonide, The metabolism of Buprenorphine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[H02AB03, fluocortolone, The metabolism of Buprenorphine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Ethanol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01BC09, floxuridine, The metabolism of Buprenorphine can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Buprenorphine.]
[N06AB03, fluoxetine, Fluoxetine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AF01, flupenthixol, Flupentixol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01BC04, flurbiprofen, The metabolism of Buprenorphine can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02BB01, flutamide, The metabolism of Buprenorphine can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Buprenorphine may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Buprenorphine.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AE10, darunavir, The serum concentration of Buprenorphine can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Furosemide can be decreased when used in combination with Buprenorphine.]
[N05CF04, eszopiclone, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Buprenorphine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C10AB04, gemfibrozil, The metabolism of Buprenorphine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Buprenorphine.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Buprenorphine.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N01AH02, alfentanil, Alfentanil may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Buprenorphine.]
[A06AH02, alvimopan, The risk or severity of adverse effects can be increased when Buprenorphine is combined with Alvimopan.]
[A10BB01, glyburide, Buprenorphine may decrease the excretion rate of Glyburide which could result in a higher serum level.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Buprenorphine.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Buprenorphine.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Buprenorphine.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Buprenorphine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Buprenorphine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Buprenorphine.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Buprenorphine.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Buprenorphine.]
[P01BX01, halofantrine, The metabolism of Buprenorphine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, Haloperidol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AH04, quetiapine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Buprenorphine.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M04AA01, allopurinol, Buprenorphine may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Buprenorphine can be decreased when combined with Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Buprenorphine.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Buprenorphine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Buprenorphine.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AG01, nevirapine, The metabolism of Buprenorphine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Buprenorphine can be decreased when combined with Nilvadipine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Buprenorphine.]
[R05DA03, hydrocodone, The therapeutic efficacy of Hydrocodone can be decreased when used in combination with Buprenorphine.]
[S02BA01, hydrocortisone, The metabolism of Buprenorphine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Hydroflumethiazide can be decreased when used in combination with Buprenorphine.]
[A12BA02, potassium citrate, The therapeutic efficacy of Potassium citrate can be decreased when used in combination with Buprenorphine.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Propiverine is combined with Buprenorphine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Buprenorphine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J04AB04, rifabutin, The metabolism of Buprenorphine can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Buprenorphine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Buprenorphine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Buprenorphine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Buprenorphine.]
[N01AH03, sufentanil, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AA02, imipramine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Buprenorphine.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01CE01, topotecan, Buprenorphine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Buprenorphine.]
[S01BC01, indomethacin, The metabolism of Buprenorphine can be decreased when combined with Indomethacin.]
[N06AX17, milnacipran, Milnacipran may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Piperidolate is combined with Buprenorphine.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Buprenorphine.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Buprenorphine.]
[C10AA06, cerivastatin, Buprenorphine may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03BA02, quinethazone, The therapeutic efficacy of Quinethazone can be decreased when used in combination with Buprenorphine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Buprenorphine.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[P01AX06, atovaquone, The metabolism of Buprenorphine can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J04AC01, isoniazid, The metabolism of Buprenorphine can be decreased when combined with Isoniazid.]
[P02CF01, ivermectin, Buprenorphine may decrease the excretion rate of Ivermectin which could result in a higher serum level.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AC07, tocilizumab, The metabolism of Buprenorphine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Buprenorphine.]
[H02CA04, levoketoconazole, The metabolism of Buprenorphine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Buprenorphine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M02AA10, ketoprofen, The metabolism of Buprenorphine can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Buprenorphine can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Buprenorphine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Rotigotine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Buprenorphine.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Amantadine is combined with Buprenorphine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Buprenorphine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Buprenorphine.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Etacrynic acid can be decreased when used in combination with Buprenorphine.]
[G03AD01, levonorgestrel, The metabolism of Buprenorphine can be decreased when combined with Levonorgestrel.]
[N04BA01, levodopa, Levodopa may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06BA13, armodafinil, The metabolism of Buprenorphine can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Buprenorphine.]
[C03DB01, amiloride, The therapeutic efficacy of Amiloride can be decreased when used in combination with Buprenorphine.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A07DA03, loperamide, The metabolism of Buprenorphine can be decreased when combined with Loperamide.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Buprenorphine.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Buprenorphine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Buprenorphine.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Buprenorphine.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Buprenorphine.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01BA05, pralatrexate, Buprenorphine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Buprenorphine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The therapeutic efficacy of Mannitol can be decreased when used in combination with Buprenorphine.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Buprenorphine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Buprenorphine.]
[C03BA05, mefruside, The therapeutic efficacy of Mefruside can be decreased when used in combination with Buprenorphine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AB02, meperidine, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
