[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dopamine is combined with Antipyrine.]
[G04BD02, flavoxate, Dopamine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Dopamine is combined with Floctafenine.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J02AX01, flucytosine, Dopamine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Dopamine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N06AA14, melitracen, The risk or severity of hypertension can be increased when Dopamine is combined with Melitracen.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AF01, flupenthixol, The risk or severity of hypertension can be increased when Flupentixol is combined with Dopamine.]
[N05CD01, flurazepam, The serum concentration of Dopamine can be increased when it is combined with Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Dopamine.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L01BC03, tegafur, Dopamine may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Dopamine is combined with Adrafinil.]
[G01AX06, furazolidone, The metabolism of Dopamine can be decreased when combined with Furazolidone.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Ganciclovir is combined with Dopamine.]
[C10AB04, gemfibrozil, Dopamine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Dopamine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of hypertension can be increased when Cabergoline is combined with Dopamine.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Dopamine is combined with Cafedrine.]
[N01AH02, alfentanil, The risk or severity of hypertension can be increased when Alfentanil is combined with Dopamine.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Dopamine.]
[A10BB07, glipizide, Dopamine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Dopamine.]
[C05AE01, nitroglycerin, Dopamine may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The serum concentration of Dofetilide can be increased when it is combined with Dopamine.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Dopamine.]
[H01AB01, thyrotropin alfa, The risk or severity of adverse effects can be increased when Dopamine is combined with Thyrotropin alfa.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C07AB09, esmolol, Dopamine may decrease the antihypertensive activities of Esmolol.]
[M01CB04, aurothioglucose, Dopamine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Dopamine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Dopamine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Dopamine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N01AB01, halothane, Halothane may increase the arrhythmogenic activities of Dopamine.]
[N05AH04, quetiapine, The risk or severity of hypertension can be increased when Dopamine is combined with Quetiapine.]
[N06BX13, idebenone, Dopamine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C09CA01, losartan, Dopamine may decrease the antihypertensive activities of Losartan.]
[G03DC01, allylestrenol, Dopamine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Dopamine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Dopamine is combined with Hexoprenaline.]
[J05AG01, nevirapine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Dopamine.]
[C08CA10, nilvadipine, Dopamine may decrease the antihypertensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Dopamine is combined with Nimesulide.]
[C09AA04, perindopril, Dopamine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Dopamine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Dopamine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of hypertension can be increased when Dopamine is combined with Propiverine.]
[B05AA07, hetastarch, Dopamine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[C02AC06, rilmenidine, Dopamine may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Dopamine is combined with Ibuprofen.]
[B05XA08, sodium acetate, Dopamine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Dopamine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, The risk or severity of hypertension can be increased when Sufentanil is combined with Dopamine.]
[N06AA02, imipramine, The serum concentration of Dopamine can be increased when it is combined with Imipramine.]
[R01AD07, tixocortol, Dopamine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of Tachycardia can be increased when Tizanidine is combined with Dopamine.]
[L01CE01, topotecan, Dopamine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Dopamine.]
[C02CA02, indoramin, Dopamine may decrease the antihypertensive activities of Indoramin.]
[A11HA07, inositol, Dopamine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Dopamine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[A03AA30, piperidolate, The risk or severity of Tachycardia can be increased when Dopamine is combined with Piperidolate.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Dopamine.]
[A10BH01, sitagliptin, Dopamine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[R06AE01, buclizine, The risk or severity of Tachycardia can be increased when Buclizine is combined with Dopamine.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Dopamine.]
[C07AA01, alprenolol, Dopamine may decrease the antihypertensive activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Dopamine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of hypertension can be increased when Dopamine is combined with Iprindole.]
[N06AF05, iproniazid, The metabolism of Dopamine can be decreased when combined with Iproniazid.]
[N06AF01, isocarboxazid, The metabolism of Dopamine can be decreased when combined with Isocarboxazid.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Dopamine.]
[C09AA16, imidapril, Dopamine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may increase the arrhythmogenic activities of Dopamine.]
[N04BX02, entacapone, The metabolism of Dopamine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J05AX05, inosine pranobex, Dopamine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Dopamine is combined with Isoprenaline.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Dopamine is combined with Isoxsuprine.]
[S01AA24, kanamycin, Dopamine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Dopamine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02KD01, ketanserin, Dopamine may decrease the antihypertensive activities of Ketanserin.]
[B01AC22, prasugrel, Dopamine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[N05AH03, olanzapine, The risk or severity of Tachycardia can be increased when Olanzapine is combined with Dopamine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Dopamine is combined with Ketoprofen.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Dopamine is combined with Arbutamine.]
[N04BC09, rotigotine, The risk or severity of hypertension can be increased when Dopamine is combined with Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Dopamine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, Dopamine may decrease the antihypertensive activities of Labetalol.]
[N04BB01, amantadine, The serum concentration of Dopamine can be increased when it is combined with Amantadine.]
[C02AA05, deserpidine, Dopamine may decrease the antihypertensive activities of Deserpidine.]
[A06AX03, lubiprostone, Dopamine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA21, amikacin, Dopamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, The serum concentration of Dopamine can be increased when it is combined with Amiloride.]
[N02CA07, lisuride, The risk or severity of hypertension can be increased when Lisuride is combined with Dopamine.]
[N06AA07, lofepramine, The risk or severity of hypertension can be increased when Dopamine is combined with Lofepramine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[B05XA11, magnesium chloride, Dopamine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Dopamine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Dopamine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Dopamine.]
[C02BB01, mecamylamine, Dopamine may decrease the antihypertensive activities of Mecamylamine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Dopamine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, The serum concentration of Memantine can be increased when it is combined with Dopamine.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Dopamine is combined with Mephentermine.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[G04BX16, tiopronin, Dopamine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The risk or severity of hypertension can be increased when Dopamine is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Dopamine.]
[A10BA02, metformin, The serum concentration of Dopamine can be increased when it is combined with Metformin.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06BA03, methamphetamine, The metabolism of Dopamine can be decreased when combined with Metamfetamine.]
[A03AB07, methantheline, The risk or severity of Tachycardia can be increased when Methantheline is combined with Dopamine.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Dopamine.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[G02CB05, metergoline, The risk or severity of hypertension can be increased when Dopamine is combined with Metergoline.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Dopamine is combined with Methimazole.]
[L01BA04, pemetrexed, Dopamine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AA02, methotrimeprazine, The risk or severity of hypertension can be increased when Dopamine is combined with Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Dopamine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the arrhythmogenic activities of Dopamine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Dopamine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, The serum concentration of Dopamine can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Dopamine.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Aminophylline.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Dopamine.]
[G03EK01, methyltestosterone, Dopamine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N02CA04, methysergide, The risk or severity of hypertension can be increased when Methysergide is combined with Dopamine.]
[A03FA01, metoclopramide, Dopamine may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, The serum concentration of Dopamine can be increased when it is combined with Metoprolol.]
[V04CD01, metyrapone, Dopamine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[N06AX03, mianserin, The risk or severity of hypertension can be increased when Dopamine is combined with Mianserin.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Dopamine is combined with Aminophenazone.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Dopamine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C09CA03, valsartan, Dopamine may decrease the antihypertensive activities of Valsartan.]
[D11AX01, minoxidil, Dopamine may decrease the antihypertensive activities of Minoxidil.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Dopamine is combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C01BD01, amiodarone, The serum concentration of Dopamine can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of hypertension can be increased when Amitriptyline is combined with Dopamine.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Dopamine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BA01, ammonium chloride, Dopamine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Dopamine may decrease the excretion rate of Mycophenolic acid which could result in a higher serum level.]
[N06AA17, amoxapine, The risk or severity of hypertension can be increased when Amoxapine is combined with Dopamine.]
[N03AB05, fosphenytoin, The risk or severity of hypotension can be increased when Fosphenytoin is combined with Dopamine.]
[C07AA12, nadolol, Dopamine may decrease the antihypertensive activities of Nadolol.]
[J01CA04, amoxicillin, Dopamine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Dopamine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Dopamine is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Dopamine.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Dopamine.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N04BX01, tolcapone, The metabolism of Dopamine can be decreased when combined with Tolcapone.]
[S03AA01, neomycin, Dopamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of hypertension can be increased when Remifentanil is combined with Dopamine.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AX14, iloperidone, The risk or severity of hypertension can be increased when Dopamine is combined with Iloperidone.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L03AX16, plerixafor, Dopamine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Dopamine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Dopamine may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[C09CA07, telmisartan, Dopamine may decrease the antihypertensive activities of Telmisartan.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C01CE01, inamrinone, Dopamine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[N06AF02, nialamide, The risk or severity of hypertension can be increased when Dopamine is combined with Nialamide.]
[C08CA04, nicardipine, Dopamine may decrease the antihypertensive activities of Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Dopamine.]
[N07BA01, nicotine, The metabolism of Dopamine can be decreased when combined with Nicotine.]
[C08CA05, nifedipine, Dopamine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Dopamine is combined with Niflumic acid.]
[C08CA06, nimodipine, Dopamine may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Dopamine may decrease the antihypertensive activities of Nisoldipine.]
[C08CA08, nitrendipine, Dopamine may decrease the antihypertensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Dopamine.]
[C02DD01, nitroprusside, Dopamine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the arrhythmogenic activities of Dopamine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Dopamine can be increased when used in combination with Norepinephrine.]
[C02KX01, bosentan, Dopamine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The risk or severity of hypertension can be increased when Nortriptyline is combined with Dopamine.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Dopamine is combined with Nylidrin.]
[N06AA05, opipramol, The risk or severity of hypertension can be increased when Dopamine is combined with Opipramol.]
[N02AA02, opium, Dopamine may decrease the excretion rate of Opium which could result in a higher serum level.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Dopamine.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C07AA02, oxprenolol, The serum concentration of Dopamine can be increased when it is combined with Oxprenolol.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Dopamine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Dopamine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Dopamine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, The risk or severity of Tachycardia can be increased when Oxyphenonium is combined with Dopamine.]
[V04CH30, 4-aminohippuric acid, The serum concentration of Dopamine can be increased when it is combined with Aminohippuric acid.]
[N05AH05, asenapine, The risk or severity of hypertension can be increased when Dopamine is combined with Asenapine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Pancuronium is combined with Dopamine.]
[J04AB30, capreomycin, Dopamine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[C02KC01, pargyline, The metabolism of Dopamine can be decreased when combined with Pargyline.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[G04BD11, fesoterodine, Dopamine may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Dopamine may decrease the antihypertensive activities of Penbutolol.]
[J01CE09, penicillin G procaine, Dopamine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L01XX08, pentostatin, Dopamine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Pentoxifylline.]
[N04BC02, pergolide, The risk or severity of hypertension can be increased when Dopamine is combined with Pergolide.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AF03, phenelzine, The risk or severity of hypertension can be increased when Phenelzine is combined with Dopamine.]
[A10BA01, phenformin, The serum concentration of Dopamine can be increased when it is combined with Phenformin.]
[C04AX02, phenoxybenzamine, The serum concentration of Dopamine can be increased when it is combined with Phenoxybenzamine.]
[A08AA01, phentermine, The metabolism of Dopamine can be decreased when combined with Phentermine.]
[V03AB36, phentolamine, Dopamine may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Dopamine.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Dopamine.]
[R01BA01, phenylpropanolamine, The metabolism of Dopamine can be decreased when combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The risk or severity of hypotension can be increased when Phenytoin is combined with Dopamine.]
[S01AE05, levofloxacin, Dopamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Dopamine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C08CX01, mibefradil, Dopamine may decrease the antihypertensive activities of Mibefradil.]
[C07AA03, pindolol, Dopamine may decrease the antihypertensive activities of Pindolol.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J05AE01, saquinavir, The risk or severity of adverse effects can be increased when Saquinavir is combined with Dopamine.]
[N06BX03, piracetam, Dopamine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, Dopamine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia can be increased when Pirenzepine is combined with Dopamine.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Dopamine.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The serum concentration of Dopamine can be increased when it is combined with Grepafloxacin.]
[N02CX01, pizotyline, The risk or severity of hypertension can be increased when Dopamine is combined with Pizotifen.]
[C09CA04, irbesartan, Dopamine may decrease the antihypertensive activities of Irbesartan.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH03, saxagliptin, Dopamine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[V03AB21, potassium iodide, The risk or severity of adverse effects can be increased when Dopamine is combined with Potassium Iodide.]
[C07AB01, practolol, Dopamine may decrease the antihypertensive activities of Practolol.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Dopamine.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[M04AB01, probenecid, The serum concentration of Dopamine can be increased when it is combined with Probenecid.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Dopamine.]
[C10AB05, fenofibrate, Dopamine may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[N04AA04, procyclidine, The risk or severity of Tachycardia can be increased when Procyclidine is combined with Dopamine.]
[G03DA04, progesterone, The serum concentration of Dopamine can be increased when it is combined with Progesterone.]
[N05AA03, promazine, The risk or severity of hypertension can be increased when Promazine is combined with Dopamine.]
[R06AD02, promethazine, Dopamine may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[C01BC03, propafenone, The risk or severity of hypertension can be increased when Dopamine is combined with Propafenone.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AC01, periciazine, The risk or severity of hypertension can be increased when Dopamine is combined with Periciazine.]
[N05CM06, propiomazine, The risk or severity of hypertension can be increased when Propiomazine is combined with Dopamine.]
[N01AX10, propofol, The risk or severity of hypertension can be increased when Propofol is combined with Dopamine.]
[C07AA05, propranolol, The metabolism of Dopamine can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Dopamine is combined with Propylthiouracil.]
[N02CC04, rizatriptan, The risk or severity of hypertension can be increased when Rizatriptan is combined with Dopamine.]
[B01AC09, epoprostenol, Dopamine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of hypertension can be increased when Protriptyline is combined with Dopamine.]
[R01BA02, pseudoephedrine, The metabolism of Dopamine can be decreased when combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The risk or severity of hypertension can be increased when Dopamine is combined with Aripiprazole.]
