[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Procaine.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Procaine is combined with St. John's Wort.]
[L01EA06, asciminib, The risk or severity of methemoglobinemia can be increased when Asciminib is combined with Procaine.]
[L02BG06, exemestane, The risk or severity of methemoglobinemia can be increased when Exemestane is combined with Procaine.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Procaine.]
[L01XX75, tebentafusp, The risk or severity of methemoglobinemia can be increased when Tebentafusp is combined with Procaine.]
[J04BA01, clofazimine, The risk or severity of methemoglobinemia can be increased when Clofazimine is combined with Procaine.]
[B01AD11, tenecteplase, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Tenecteplase.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Levobupivacaine.]
[N06AA04, clomipramine, Procaine may increase the serotonergic activities of Clomipramine.]
[N03AE01, clonazepam, The risk or severity of methemoglobinemia can be increased when Clonazepam is combined with Procaine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Procaine.]
[A10BX16, tirzepatide, Procaine may increase the hypoglycemic activities of Tirzepatide.]
[L01FX20, tremelimumab, The risk or severity of methemoglobinemia can be increased when Tremelimumab is combined with Procaine.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Procaine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Procaine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Procaine is combined with Granisetron.]
[J01CF02, cloxacillin, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Procaine.]
[L01XX77, adagrasib, The risk or severity of methemoglobinemia can be increased when Adagrasib is combined with Procaine.]
[N05AH02, clozapine, Procaine may increase the orthostatic hypotensive activities of Clozapine.]
[L01EN04, futibatinib, The risk or severity of methemoglobinemia can be increased when Futibatinib is combined with Procaine.]
[L01FE02, panitumumab, The risk or severity of methemoglobinemia can be increased when Panitumumab is combined with Procaine.]
[A10BX01, guar gum, Procaine may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Procaine may increase the hypoglycemic activities of Sotagliflozin.]
[J01GB12, arbekacin, The risk or severity of methemoglobinemia can be increased when Arbekacin is combined with Procaine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Halazepam.]
[L01EX11, quizartinib, The risk or severity of methemoglobinemia can be increased when Quizartinib is combined with Procaine.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Cocaine.]
[C02KB01, metyrosine, Procaine may increase the sedative activities of Metyrosine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Procaine.]
[J01CA18, hetacillin, The risk or severity of methemoglobinemia can be increased when Hetacillin is combined with Procaine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the neuromuscular blocking activities of Procaine.]
[A03AB10, hexocyclium, Procaine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[J01XX04, spectinomycin, The risk or severity of methemoglobinemia can be increased when Spectinomycin is combined with Procaine.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Procaine is combined with Homatropine.]
[A03BB06, homatropine methylbromide, Procaine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, The risk or severity of methemoglobinemia can be increased when Colistin is combined with Procaine.]
[L01XX40, omacetaxine mepesuccinate, The risk or severity of methemoglobinemia can be increased when Omacetaxine mepesuccinate is combined with Procaine.]
[J01DE02, cefpirome, The risk or severity of methemoglobinemia can be increased when Cefpirome is combined with Procaine.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Procaine.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Procaine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of methemoglobinemia can be increased when Ifenprodil is combined with Procaine.]
[A10BX03, nateglinide, Procaine may increase the hypoglycemic activities of Nateglinide.]
[H01AC03, mecasermin, Procaine may increase the hypoglycemic activities of Mecasermin.]
[L01BB07, nelarabine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Procaine.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Procaine is combined with Insulin glargine.]
[J01FA15, telithromycin, The risk or severity of methemoglobinemia can be increased when Telithromycin is combined with Procaine.]
[R03BA08, ciclesonide, The therapeutic efficacy of Procaine can be decreased when used in combination with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Procaine is combined with Desloratadine.]
[H01AX01, pegvisomant, Pegvisomant may increase the neuromuscular blocking activities of Procaine.]
[A03AX10, isometheptene, Procaine may increase the sympathomimetic activities of Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Procaine.]
[B01AB12, bemiparin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Bemiparin.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Procaine is combined with Ketazolam.]
[L02BA03, fulvestrant, The risk or severity of methemoglobinemia can be increased when Fulvestrant is combined with Procaine.]
[L01EA01, imatinib, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Procaine.]
[C08CA09, lacidipine, Procaine may increase the hypotensive activities of Lacidipine.]
[V03AF07, rasburicase, The risk or severity of methemoglobinemia can be increased when Rasburicase is combined with Procaine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Procaine.]
[N03AX09, lamotrigine, The risk or severity of methemoglobinemia can be increased when Lamotrigine is combined with Procaine.]
[S01BA03, cortisone, The therapeutic efficacy of Procaine can be decreased when used in combination with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Procaine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of methemoglobinemia can be increased when Lomefloxacin is combined with Procaine.]
[R06AX13, loratadine, Procaine may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Lormetazepam.]
[J01DC08, loracarbef, The risk or severity of methemoglobinemia can be increased when Loracarbef is combined with Procaine.]
[C09AA03, lisinopril, Procaine may increase the hypotensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Procaine.]
[C08CA11, manidipine, Procaine may increase the hypotensive activities of Manidipine.]
[A03AA04, mebeverine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[D10AF04, meclocycline, The risk or severity of methemoglobinemia can be increased when Meclocycline is combined with Procaine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Procaine is combined with Medifoxamine.]
[C07AA14, mepindolol, Procaine may increase the bradycardic activities of Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Procaine can be decreased when used in combination with Meprednisone.]
[R06AD07, mequitazine, Procaine may increase the anticholinergic activities of Mequitazine.]
[J01DH02, meropenem, The risk or severity of methemoglobinemia can be increased when Meropenem is combined with Procaine.]
[J01CA14, methampicillin, The risk or severity of methemoglobinemia can be increased when Metampicillin is combined with Procaine.]
[N04AA03, methixene, Procaine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, Procaine may increase the hypertensive activities of Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Procaine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Procaine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Procaine may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Procaine is combined with Melperone.]
[S01AA22, micronomicin, The risk or severity of methemoglobinemia can be increased when Micronomicin is combined with Procaine.]
[C03AA07, cyclopenthiazide, Procaine may increase the hypotensive activities of Cyclopenthiazide.]
[J01FA03, midecamycin, The risk or severity of methemoglobinemia can be increased when Midecamycin is combined with Procaine.]
[A10BF02, miglitol, Procaine may increase the hypoglycemic activities of Miglitol.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Procaine is combined with Cyclopentolate.]
[L01AA01, cyclophosphamide, The risk or severity of methemoglobinemia can be increased when Cyclophosphamide is combined with Procaine.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Procaine is combined with Minaprine.]
[J04AB01, cycloserine, The risk or severity of methemoglobinemia can be increased when Cycloserine is combined with Procaine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Procaine is combined with Moclobemide.]
[R06AX02, cyproheptadine, Procaine may increase the anticholinergic activities of Cyproheptadine.]
[C09AA13, moexipril, Procaine may increase the hypotensive activities of Moexipril.]
[C03XA02, conivaptan, Procaine may increase the orthostatic hypotensive activities of Conivaptan.]
[C02AC05, moxonidine, Procaine may increase the hypotensive activities of Moxonidine.]
[L01BC01, cytarabine, The risk or severity of methemoglobinemia can be increased when Cytarabine is combined with Procaine.]
[L01AX04, dacarbazine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Procaine.]
[L01DA01, dactinomycin, The risk or severity of methemoglobinemia can be increased when Dactinomycin is combined with Procaine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Procaine is combined with Dantrolene.]
[J04BA02, dapsone, The risk or severity of methemoglobinemia can be increased when Dapsone is combined with Procaine.]
[L01DB02, daunorubicin, The risk or severity of methemoglobinemia can be increased when Daunorubicin is combined with Procaine.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Procaine is combined with Deanol.]
[C02CC04, debrisoquin, Procaine may increase the hypotensive activities of Debrisoquine.]
[L01DB09, valrubicin, The risk or severity of methemoglobinemia can be increased when Valrubicin is combined with Procaine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[J01AA01, demeclocycline, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Procaine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Nordazepam.]
[C07AB12, nebivolol, Procaine may increase the bradycardic activities of Nebivolol.]
[N06AX06, nefazodone, Procaine may increase the serotonergic activities of Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Procaine is combined with Niaprazine.]
[C01DX16, nicorandil, Procaine may increase the hypotensive activities of Nicorandil.]
[L02BB02, nilutamide, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Procaine.]
[L01FE01, cetuximab, The risk or severity of methemoglobinemia can be increased when Cetuximab is combined with Procaine.]
[N03AG06, tiagabine, The risk or severity of methemoglobinemia can be increased when Tiagabine is combined with Procaine.]
[M03AC11, cisatracurium, Procaine may increase the neuromuscular blocking activities of Cisatracurium.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Normethadone is combined with Procaine.]
[B01AX05, fondaparinux, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Escitalopram.]
[G04BD08, solifenacin, Procaine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[R02AA02, dequalinium, The risk or severity of methemoglobinemia can be increased when Dequalinium is combined with Procaine.]
[N06AA01, desipramine, Procaine may increase the serotonergic activities of Desipramine.]
[D07XC02, desoximetasone, The therapeutic efficacy of Procaine can be decreased when used in combination with Desoximetasone.]
[H02AA03, desoxycorticosterone, The therapeutic efficacy of Procaine can be decreased when used in combination with Desoxycortone.]
[J01DH03, ertapenem, The risk or severity of methemoglobinemia can be increased when Ertapenem is combined with Procaine.]
[C09XA02, aliskiren, Procaine may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Procaine.]
[N03AF02, oxcarbazepine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Procaine.]
[S03BA01, dexamethasone, The risk or severity of methemoglobinemia can be increased when Dexamethasone is combined with Procaine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Procaine is combined with Oxiracetam.]
[N04AA08, dexetimide, Procaine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Procaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L01EB01, gefitinib, The risk or severity of methemoglobinemia can be increased when Gefitinib is combined with Procaine.]
[N06BA02, dextroamphetamine, Procaine may increase the hypertensive activities of Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of methemoglobinemia can be increased when Paramethadione is combined with Procaine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Procaine.]
[N06AB05, paroxetine, Procaine may increase the serotonergic activities of Paroxetine.]
[B01AC04, clopidogrel, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Procaine.]
[N05BA01, diazepam, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Procaine.]
[N03AX07, phenacemide, The risk or severity of methemoglobinemia can be increased when Phenacemide is combined with Procaine.]
[V03AH01, diazoxide, Procaine may increase the hypotensive activities of Diazoxide.]
[J01CE05, phenethicillin, The risk or severity of methemoglobinemia can be increased when Pheneticillin is combined with Procaine.]
[S01AA29, dibekacin, The risk or severity of methemoglobinemia can be increased when Dibekacin is combined with Procaine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of methemoglobinemia can be increased when Phensuximide is combined with Procaine.]
[N06AA08, dibenzepin, Procaine may increase the serotonergic activities of Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Cinchocaine is combined with Procaine.]
[R05DA08, pholcodine, Pholcodine may increase the serotonergic activities of Procaine.]
[S01EC02, dichlorphenamide, Procaine may increase the orthostatic hypotensive activities of Diclofenamide.]
[J01CF01, dicloxacillin, The risk or severity of methemoglobinemia can be increased when Dicloxacillin is combined with Procaine.]
[A03AA07, dicyclomine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Procaine may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, Procaine may increase the hypoglycemic activities of Pioglitazone.]
[N05AD05, pipamperone, Procaine may increase the orthostatic hypotensive activities of Pipamperone.]
[A03AB14, pipenzolate, Procaine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The risk or severity of methemoglobinemia can be increased when Ixabepilone is combined with Procaine.]
[L01EB02, erlotinib, The risk or severity of methemoglobinemia can be increased when Erlotinib is combined with Procaine.]
[L01DB08, pirarubicin, The risk or severity of methemoglobinemia can be increased when Pirarubicin is combined with Procaine.]
[R03CC07, pirbuterol, The risk or severity of adverse effects can be increased when Procaine is combined with Pirbuterol.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the neuromuscular blocking activities of Procaine.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Procaine is combined with Diethylpropion.]
[C08CA03, isradipine, Procaine may increase the hypotensive activities of Isradipine.]
[D07XC04, diflucortolone, The therapeutic efficacy of Procaine can be decreased when used in combination with Difluocortolone.]
[A03AB11, poldine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C02DB01, dihydralazine, Procaine may increase the hypotensive activities of Dihydralazine.]
[L01XX24, pegaspargase, The risk or severity of methemoglobinemia can be increased when Pegaspargase is combined with Procaine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Procaine.]
[N02AA03, hydromorphone, Procaine may increase the serotonergic activities of Hydromorphone.]
[L04AX04, lenalidomide, The risk or severity of methemoglobinemia can be increased when Lenalidomide is combined with Procaine.]
[B01AC21, treprostinil, Procaine may increase the hypotensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Pramocaine.]
[C08DB01, diltiazem, Procaine may increase the hypotensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Procaine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Procaine is combined with Pridinol.]
[R06AB03, dimethindene, Procaine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of adverse effects can be increased when Procaine is combined with Procaterol.]
[N03AG05, progabide, The risk or severity of methemoglobinemia can be increased when Progabide is combined with Procaine.]
[J01CE03, propicillin, The risk or severity of methemoglobinemia can be increased when Propicillin is combined with Procaine.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Procaine is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Procaine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Quazepam.]
[C09AA06, quinapril, Procaine may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, The therapeutic efficacy of Procaine can be decreased when used in combination with Dipyridamole.]
[N06BA11, dexmethylphenidate, Procaine may increase the hypertensive activities of Dexmethylphenidate.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, Procaine may increase the serotonergic activities of Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Procaine.]
[C09AA05, ramipril, Procaine may increase the hypotensive activities of Ramipril.]
[S01XA23, sirolimus, The risk or severity of methemoglobinemia can be increased when Sirolimus is combined with Procaine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Procaine.]
[C01BA03, disopyramide, Procaine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07AA03, distigmine, Distigmine may increase the neuromuscular blocking activities of Procaine.]
[S02AA12, rifamycin SV, The risk or severity of methemoglobinemia can be increased when Rifamycin is combined with Procaine.]
[J04AB05, rifapentine, The risk or severity of methemoglobinemia can be increased when Rifapentine is combined with Procaine.]
[D06AX11, rifaximin, The risk or severity of methemoglobinemia can be increased when Rifaximin is combined with Procaine.]
[N07XX02, riluzole, The risk or severity of methemoglobinemia can be increased when Riluzole is combined with Procaine.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Procaine is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Procaine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Ropivacaine is combined with Procaine.]
[J01MB01, rosoxacin, The risk or severity of methemoglobinemia can be increased when Rosoxacin is combined with Procaine.]
[L01EX01, sunitinib, The risk or severity of methemoglobinemia can be increased when Sunitinib is combined with Procaine.]
[L01XG01, bortezomib, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Procaine.]
[G04BE08, tadalafil, Procaine may increase the hypotensive activities of Tadalafil.]
[C02KX02, ambrisentan, Procaine may increase the hypotensive activities of Ambrisentan.]
[R03AC12, salmeterol, The risk or severity of adverse effects can be increased when Procaine is combined with Salmeterol.]
[C01CA07, dobutamine, Procaine may increase the hypertensive activities of Dobutamine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Procaine is combined with Domperidone.]
[N06AA16, dothiepin, Procaine may increase the serotonergic activities of Dosulepin.]
[R07AB01, doxapram, Procaine may increase the hypertensive activities of Doxapram.]
[N06AA12, doxepin, Procaine may increase the serotonergic activities of Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Procaine.]
[L01DB01, doxorubicin, The risk or severity of methemoglobinemia can be increased when Doxorubicin is combined with Procaine.]
[J01AA02, doxycycline, The risk or severity of methemoglobinemia can be increased when Doxycycline is combined with Procaine.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Procaine.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Procaine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[A08AA10, sibutramine, Procaine may increase the serotonergic activities of Sibutramine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Procaine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Procaine.]
[C09AA11, spirapril, Procaine may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Procaine is combined with Sultopride.]
[N02CC01, sumatriptan, The metabolism of Sumatriptan can be decreased when combined with Procaine.]
[V04CX07, edrophonium, Edrophonium may increase the neuromuscular blocking activities of Procaine.]
[C07AB13, talinolol, Procaine may increase the bradycardic activities of Talinolol.]
[H01AA01, corticotropin, The therapeutic efficacy of Procaine can be decreased when used in combination with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of methemoglobinemia can be increased when Temafloxacin is combined with Procaine.]
[J01CA17, temocillin, The risk or severity of methemoglobinemia can be increased when Temocillin is combined with Procaine.]
[L01AX03, temozolomide, The risk or severity of methemoglobinemia can be increased when Temozolomide is combined with Procaine.]
[G04CA03, terazosin, Procaine may increase the hypotensive activities of Terazosin.]
[C07AA16, tertatolol, Procaine may increase the bradycardic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Procaine is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Procaine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Procaine is combined with Thiopropazate.]
[G04BD01, emepronium, Procaine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Tianeptine is combined with Procaine.]
[C09AA02, enalapril, Procaine may increase the hypotensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Procaine is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Procaine is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of adverse effects can be increased when Procaine is combined with Atomoxetine.]
[N03AX11, topiramate, The risk or severity of methemoglobinemia can be increased when Topiramate is combined with Procaine.]
[L02BA02, toremifene, The risk or severity of methemoglobinemia can be increased when Toremifene is combined with Procaine.]
[C03CA04, torsemide, Procaine may increase the hypotensive activities of Torasemide.]
[J01AA12, tigecycline, The risk or severity of methemoglobinemia can be increased when Tigecycline is combined with Procaine.]
[C09AA10, trandolapril, Procaine may increase the hypotensive activities of Trandolapril.]
[L01AB02, treosulfan, The risk or severity of methemoglobinemia can be increased when Treosulfan is combined with Procaine.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Procaine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Procaine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Procaine is combined with Triclofos.]
[A03AB08, tridihexethyl, Procaine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Triflusal.]
[H02CA01, trilostane, The risk or severity of methemoglobinemia can be increased when Trilostane is combined with Procaine.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Procaine.]
[L02AE04, triptorelin, The risk or severity of methemoglobinemia can be increased when Triptorelin is combined with Procaine.]
[L01AA07, trofosfamide, The risk or severity of methemoglobinemia can be increased when Trofosfamide is combined with Procaine.]
[N04AA12, tropatepine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Troxerutin.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Procaine.]
[C02CA06, urapidil, Procaine may increase the hypotensive activities of Urapidil.]
[J01MA04, enoxacin, The risk or severity of methemoglobinemia can be increased when Enoxacin is combined with Procaine.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Procaine is combined with Veralipride.]
[L01CA04, vinorelbine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Procaine.]
[S01FB02, ephedrine, Procaine may increase the neuromuscular blocking activities of Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Procaine is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Venlafaxine.]
[S01GA03, xylometazoline, Procaine may increase the hypertensive activities of Xylometazoline.]
[C08CA12, mepirodipine, Procaine may increase the orthostatic hypotensive activities of Barnidipine.]
[S01EA01, epinephrine, Procaine may increase the hypertensive activities of Epinephrine.]
[L01DB03, epirubicin, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Procaine.]
[C09AA15, zofenopril, Procaine may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Procaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of methemoglobinemia can be increased when Zonisamide is combined with Procaine.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Procaine is combined with Insulin glulisine.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Procaine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Procaine is combined with Zotepine.]
[B01AD03, anistreplase, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Anistreplase.]
[L01XA02, carboplatin, The risk or severity of methemoglobinemia can be increased when Carboplatin is combined with Procaine.]
[C02AC02, guanfacine, Procaine may increase the hypotensive activities of Guanfacine.]
[B01AC11, iloprost, Procaine may increase the orthostatic hypotensive activities of Iloprost.]
[C01BG01, moricizine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Moricizine.]
[G02AB03, ergonovine, Procaine may increase the hypertensive activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Procaine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Procaine.]
[N03AG01, valproic acid, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Procaine.]
[S01AA17, erythromycin, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Procaine.]
[N05CD04, estazolam, The risk or severity of methemoglobinemia can be increased when Estazolam is combined with Procaine.]
[L01XX11, estramustine, The risk or severity of methemoglobinemia can be increased when Estramustine is combined with Procaine.]
[J04AK02, ethambutol, The risk or severity of methemoglobinemia can be increased when Ethambutol is combined with Procaine.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Procaine can be decreased when used in combination with Fluticasone furoate.]
