[P02BB01, trichlorfon, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Metrifonate.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Amoxapine.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Amoxapine.]
[L02AA01, diethylstilbestrol, The serum concentration of Amoxapine can be increased when it is combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Isradipine.]
[A03AB11, poldine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Amoxapine.]
[C02DB01, dihydralazine, Amoxapine may decrease the antihypertensive activities of Dihydralazine.]
[L02AA02, polyestradiol phosphate, The serum concentration of Amoxapine can be increased when it is combined with Polyestradiol phosphate.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Amoxapine is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Amoxapine is combined with Hydromorphone.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Amoxapine.]
[H03BC01, potassium perchlorate, The risk or severity of Cardiac Arrhythmia can be increased when Potassium perchlorate is combined with Amoxapine.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C08DB01, diltiazem, The metabolism of Amoxapine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R06AB03, dimethindene, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Amoxapine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Amoxapine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Proglumetacin.]
[R06AA02, diphenhydramine, The metabolism of Amoxapine can be decreased when combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Amoxapine is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C09AA06, quinapril, Amoxapine may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypotension and syncope can be increased when Dipyridamole is combined with Amoxapine.]
[N06BA11, dexmethylphenidate, The serum concentration of Amoxapine can be increased when it is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A03FA02, cisapride, The metabolism of Amoxapine can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Amoxapine may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The metabolism of Amoxapine can be decreased when combined with Remoxipride.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Amoxapine.]
[C01BA03, disopyramide, Amoxapine may decrease the hypoglycemic activities of Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Disulfiram.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05AX08, risperidone, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Risperidone.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Rosoxacin.]
[L01EX01, sunitinib, Amoxapine may decrease the hypoglycemic activities of Sunitinib.]
[L01XG01, bortezomib, The metabolism of Amoxapine can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Amoxapine.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Ketorolac.]
[C02KX02, ambrisentan, Amoxapine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Amoxapine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Salsalate.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Amoxapine.]
[H05BA01, salmon calcitonin, The risk or severity of Cardiac Arrhythmia can be increased when Salmon calcitonin is combined with Amoxapine.]
[C01CA07, dobutamine, Amoxapine may increase the vasopressor activities of Dobutamine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Amoxapine.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Amoxapine is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Amoxapine can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Amoxapine is combined with Doxapram.]
[N06AA12, doxepin, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Amoxapine.]
[L01DB01, doxorubicin, The metabolism of Amoxapine can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06AB06, sertraline, The metabolism of Amoxapine can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Amoxapine can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The risk or severity of seizure can be increased when Amoxapine is combined with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Amoxapine.]
[C09AA11, spirapril, Amoxapine may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[V04CX07, edrophonium, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The metabolism of Amoxapine can be decreased when combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Tenoxicam.]
[G04CA03, terazosin, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Amoxapine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of hypotension can be increased when Amoxapine is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Amoxapine can be decreased when combined with Tertatolol.]
[S01GA02, tetrahydrozoline, Amoxapine may increase the vasopressor activities of Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[G04BD01, emepronium, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[G03CX01, tibolone, The serum concentration of Amoxapine can be increased when it is combined with Tibolone.]
[C09AA02, enalapril, Amoxapine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the serotonergic activities of Amoxapine.]
[N06BA09, atomoxetine, The metabolism of Amoxapine can be decreased when combined with Atomoxetine.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Amoxapine is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Toremifene.]
[C03CA04, torsemide, Amoxapine may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Amoxapine is combined with Tramazoline.]
[C09AA10, trandolapril, Amoxapine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A03AB08, tridihexethyl, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[G03GA05, follitropin alfa, The risk or severity of Cardiac Arrhythmia can be increased when Follitropin is combined with Amoxapine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Triptorelin.]
[N04AA12, tropatepine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Amoxapine.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C02CA06, urapidil, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Amoxapine.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L01CA04, vinorelbine, The metabolism of Amoxapine can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Amoxapine.]
[S01GX10, epinastine, The metabolism of Amoxapine can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Amoxapine can be decreased when combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Amoxapine.]
[S01GA03, xylometazoline, Amoxapine may increase the vasopressor activities of Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Barnidipine.]
[S01EA01, epinephrine, Amoxapine may increase the vasopressor activities of Epinephrine.]
[C09AA15, zofenopril, Amoxapine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10AB06, insulin glulisine, human, Amoxapine may decrease the hypoglycemic activities of Insulin glulisine.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Amoxapine.]
[C01BG01, moricizine, The serum concentration of Amoxapine can be increased when it is combined with Moricizine.]
[G02AB03, ergonovine, Amoxapine may increase the vasopressor activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02CA02, ergotamine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Ergotamine.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[H05BX01, cinacalcet, The metabolism of Amoxapine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The serum concentration of Amoxapine can be increased when it is combined with Estradiol.]
[G03CC06, estriol, The serum concentration of Amoxapine can be increased when it is combined with Estriol.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Amoxapine can be increased when it is combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Amoxapine can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Amoxapine can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Amoxapine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L02AA03, ethinyl estradiol, The serum concentration of Amoxapine can be increased when it is combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ibutilide.]
[N04AA05, profenamine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AC06, meloxicam, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Amoxapine.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Amoxapine.]
[N05AE03, sertindole, The metabolism of Amoxapine can be decreased when combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Tacrolimus.]
[A02BA04, nizatidine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Amoxapine.]
[R06AX12, terfenadine, The metabolism of Amoxapine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Amoxapine.]
[N06AB08, fluvoxamine, The metabolism of Amoxapine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Amoxapine can be decreased when combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Famotidine.]
[C08CA02, felodipine, The metabolism of Amoxapine can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypotension can be increased when Amoxapine is combined with Fendiline.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Amoxapine.]
[M01AE04, fenoprofen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Fenoprofen.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Amoxapine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Amoxapine is combined with Fentanyl.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Amoxapine.]
[N07AX03, cevimeline, The metabolism of Amoxapine can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Amoxapine.]
[N02BG04, floctafenine, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Amoxapine.]
[N07CA03, flunarizine, The metabolism of Amoxapine can be decreased when combined with Flunarizine.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[V03AZ01, ethanol, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Amoxapine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Flupentixol.]
[N05AB02, fluphenazine, The serum concentration of Amoxapine can be increased when it is combined with Fluphenazine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S01BC04, flurbiprofen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Amoxapine.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[G01AX06, furazolidone, Furazolidone may increase the serotonergic activities of Amoxapine.]
[J05AE10, darunavir, The risk or severity of adverse effects can be increased when Darunavir is combined with Amoxapine.]
[C03CA01, furosemide, Amoxapine may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Amoxapine is combined with Eszopiclone.]
[N05AL05, amisulpride, Amoxapine may increase the antipsychotic activities of Amisulpride.]
[N06DA04, galantamine, The metabolism of Amoxapine can be decreased when combined with Galantamine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C08DA02, gallopamil, The risk or severity of hypotension can be increased when Amoxapine is combined with Gallopamil.]
[N03AA04, barbexaclone, The metabolism of Amoxapine can be increased when combined with Barbexaclone.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Degarelix.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Dasatinib.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10BJ02, liraglutide, Amoxapine may decrease the hypoglycemic activities of Liraglutide.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Amoxapine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Lapatinib.]
[A10BB01, glyburide, Amoxapine may decrease the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Amoxapine may decrease the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Amoxapine may decrease the hypoglycemic activities of Glipizide.]
[H04AA01, glucagon, Amoxapine may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, The metabolism of Amoxapine can be decreased when combined with Dexmedetomidine.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Amoxapine.]
[C05AE01, nitroglycerin, Amoxapine may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Dofetilide.]
[C02CA04, doxazosin, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxazosin.]
[H01AB01, thyrotropin alfa, The risk or severity of Cardiac Arrhythmia can be increased when Thyrotropin alfa is combined with Amoxapine.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Amoxapine.]
[C07AB09, esmolol, The metabolism of Amoxapine can be decreased when combined with Esmolol.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Amoxapine is combined with Fluindione.]
[C09AA09, fosinopril, Amoxapine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Amoxapine may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Amoxapine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Amoxapine can be increased when it is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Histrelin.]
[N05AH04, quetiapine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[A10AD05, insulin aspart, human, Amoxapine may decrease the hypoglycemic activities of Insulin aspart.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Amoxapine.]
[A07EC02, mesalamine, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Mesalazine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Amoxapine.]
[L01XX03, altretamine, The risk or severity of orthostatic hypotension can be increased when Altretamine is combined with Amoxapine.]
[N05CA16, hexobarbital, The metabolism of Amoxapine can be increased when combined with Hexobarbital.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Amoxapine.]
[J05AG01, nevirapine, The metabolism of Amoxapine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Oxatomide.]
[C09AA04, perindopril, Amoxapine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Amoxapine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Amoxapine may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Amoxapine can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Hydroxyzine.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Amoxapine.]
[R02AX02, ibuprofen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Ibuprofen.]
[B05CB02, sodium citrate, Amoxapine may increase the neurotoxic activities of Sodium citrate.]
[L01DB06, idarubicin, The metabolism of Amoxapine can be decreased when combined with Idarubicin.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Amoxapine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Amoxapine is combined with Sufentanil.]
[N06AA02, imipramine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[L01CD01, paclitaxel, Amoxapine may increase the neurotoxic activities of Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Terlipressin.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Amoxapine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Indapamide.]
[S01BC01, indomethacin, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Indomethacin.]
[C02CA02, indoramin, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Amoxapine is combined with Milnacipran.]
[A03AA30, piperidolate, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10BH01, sitagliptin, Amoxapine may decrease the hypoglycemic activities of Sitagliptin.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R06AE01, buclizine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, Amoxapine may decrease the hypoglycemic activities of Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Amoxapine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Amoxapine can be decreased when combined with Alprenolol.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Amoxapine.]
[V03AB01, ipecac, The metabolism of Amoxapine can be decreased when combined with Ipecac.]
[J05AF04, stavudine, Amoxapine may increase the neurotoxic activities of Stavudine.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06AF05, iproniazid, Iproniazid may increase the serotonergic activities of Amoxapine.]
[N05AA07, chlorproethazine, The serum concentration of Amoxapine can be increased when it is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the serotonergic activities of Amoxapine.]
