[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Azathioprine.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Azathioprine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Azathioprine is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Fluticasone.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Azathioprine can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Azathioprine.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Azathioprine.]
[P01AX07, trimetrexate, Azathioprine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Azathioprine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Azathioprine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Azathioprine.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Azathioprine.]
[M01CB01, gold sodium thiomalate, Azathioprine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Azathioprine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Azathioprine.]
[A02BA03, famotidine, The metabolism of Azathioprine can be decreased when combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Azathioprine can be increased when combined with Albendazole.]
[N03AX26, fenfluramine, The metabolism of Azathioprine can be decreased when combined with Fenfluramine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[R03CC02, albuterol, Azathioprine may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Azathioprine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Azathioprine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[G04BD02, flavoxate, Azathioprine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Azathioprine.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Azathioprine.]
[V03AB25, flumazenil, Azathioprine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Azathioprine.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Azathioprine can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Azathioprine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Azathioprine.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Azathioprine.]
[N06AB03, fluoxetine, The metabolism of Azathioprine can be decreased when combined with Fluoxetine.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L02BB01, flutamide, The metabolism of Azathioprine can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Azathioprine.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be decreased when used in combination with Azathioprine.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be decreased when used in combination with Azathioprine.]
[S01AD09, ganciclovir, Azathioprine may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, The metabolism of Azathioprine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Azathioprine may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Dasatinib.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Azathioprine.]
[A10BB07, glipizide, Azathioprine may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, The metabolism of Azathioprine can be decreased when combined with Dexmedetomidine.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Azathioprine.]
[M01CB04, aurothioglucose, Azathioprine may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Azathioprine may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be decreased when used in combination with Azathioprine.]
[C09AA09, fosinopril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Fosinopril is combined with Azathioprine.]
[S01EX01, guanethidine, Azathioprine may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N05AD01, haloperidol, The metabolism of Azathioprine can be decreased when combined with Haloperidol.]
[N05AH04, quetiapine, Azathioprine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Azathioprine may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Azathioprine.]
[M04AA01, allopurinol, The serum concentration of Azathioprine can be increased when it is combined with Allopurinol.]
[G03DC01, allylestrenol, Azathioprine may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of myelosuppression can be increased when Mesalazine is combined with Azathioprine.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Azathioprine.]
[J05AG01, nevirapine, The metabolism of Azathioprine can be decreased when combined with Nevirapine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C09AA04, perindopril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Perindopril is combined with Azathioprine.]
[C02DB02, hydralazine, Azathioprine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Azathioprine may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[G04BD06, propiverine, Azathioprine may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Hydroxychloroquine.]
[B05AA07, hetastarch, Azathioprine may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Azathioprine is combined with Hydroxyurea.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[B05XA08, sodium acetate, Azathioprine may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Azathioprine is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Azathioprine can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Azathioprine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Azathioprine is combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Azathioprine is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Azathioprine can be decreased when combined with Tizanidine.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Azathioprine is combined with Topotecan.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Azathioprine.]
[A11HA07, inositol, Azathioprine may decrease the excretion rate of Inositol which could result in a higher serum level.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Azathioprine.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Azathioprine.]
[N06AX17, milnacipran, Azathioprine may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Azathioprine may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Eculizumab.]
[A10BH01, sitagliptin, Azathioprine may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Azathioprine can be decreased when combined with Ramelteon.]
[L01XX35, anagrelide, The metabolism of Azathioprine can be decreased when combined with Anagrelide.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Azathioprine.]
[V03AB01, ipecac, Azathioprine may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J05AB13, penciclovir, The metabolism of Azathioprine can be decreased when combined with Penciclovir.]
[C09AA16, imidapril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Imidapril is combined with Azathioprine.]
[J04AC01, isoniazid, The metabolism of Azathioprine can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Azathioprine may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Azathioprine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01AA24, kanamycin, Azathioprine may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[H01AC01, somatropin, The metabolism of Azathioprine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Azathioprine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Azathioprine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Azathioprine may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Azathioprine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Azathioprine can be decreased when combined with Olanzapine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[V03AC03, deferasirox, The serum concentration of Azathioprine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Azathioprine can be increased when combined with Abatacept.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01MB02, nalidixic acid, The metabolism of Azathioprine can be decreased when combined with Nalidixic acid.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[A06AX03, lubiprostone, Azathioprine may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Azathioprine.]
[S02DA01, lidocaine, The metabolism of Azathioprine can be decreased when combined with Lidocaine.]
[S01AA21, amikacin, Azathioprine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA13, armodafinil, The metabolism of Azathioprine can be increased when combined with Armodafinil.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Lomustine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Azathioprine is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Azathioprine may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Azathioprine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Azathioprine is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Azathioprine can be decreased when combined with Maprotiline.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Azathioprine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Azathioprine.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Azathioprine is combined with Melphalan.]
[N06DX01, memantine, Azathioprine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Azathioprine can be decreased when combined with Mephenytoin.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[G04BX16, tiopronin, Azathioprine may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Azathioprine may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N06BA03, methamphetamine, Azathioprine may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Azathioprine.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Azathioprine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L04AX03, methotrexate, The serum concentration of Azathioprine can be increased when it is combined with Methotrexate.]
[D05BA02, methoxsalen, The metabolism of Azathioprine can be decreased when combined with Methoxsalen.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Azathioprine can be increased when combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Azathioprine.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Azathioprine.]
[G03EK01, methyltestosterone, Azathioprine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Azathioprine.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[V04CD01, metyrapone, Azathioprine may decrease the excretion rate of Metyrapone which could result in a higher serum level.]
[C01BB02, mexiletine, The metabolism of Azathioprine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Azathioprine.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Azathioprine.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Azathioprine.]
[C01BD01, amiodarone, The metabolism of Azathioprine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Azathioprine can be decreased when combined with Amitriptyline.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Azathioprine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Azathioprine.]
[G04BA01, ammonium chloride, Azathioprine may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Azathioprine is combined with Mycophenolic acid.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be decreased when used in combination with Azathioprine.]
[N03AB05, fosphenytoin, The metabolism of Azathioprine can be increased when combined with Fosphenytoin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Azathioprine.]
[C07AA12, nadolol, Azathioprine may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Azathioprine may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[J01CF06, nafcillin, The metabolism of Azathioprine can be increased when combined with Nafcillin.]
[V03AB15, naloxone, Azathioprine may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[L04AC03, anakinra, The metabolism of Azathioprine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M02AA12, naproxen, The metabolism of Azathioprine can be decreased when combined with Naproxen.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Azathioprine is combined with Docetaxel.]
[S03AA01, neomycin, Azathioprine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L03AX16, plerixafor, Azathioprine may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Azathioprine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Azathioprine may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M04AA03, febuxostat, The metabolism of Azathioprine can be decreased when combined with Febuxostat.]
[C01CE01, inamrinone, Azathioprine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Azathioprine.]
[P02DA01, niclosamide, The metabolism of Azathioprine can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Azathioprine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01AE02, norfloxacin, The metabolism of Azathioprine can be decreased when combined with Norfloxacin.]
[L03AB07, interferon beta-1a, The metabolism of Azathioprine can be decreased when combined with Interferon beta-1a.]
[L04AC04, rilonacept, The metabolism of Azathioprine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Azathioprine can be increased when combined with Omeprazole.]
[N02AA02, opium, Azathioprine may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J04AA01, aminosalicylic acid, The metabolism of Azathioprine can be decreased when combined with Aminosalicylic acid.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Azathioprine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Azathioprine.]
[J04AB30, capreomycin, Azathioprine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Paramethasone.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Azathioprine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, Azathioprine may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Azathioprine may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Azathioprine.]
[J01CE09, penicillin G procaine, Azathioprine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Azathioprine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Azathioprine.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Azathioprine.]
[C04AD03, pentoxifylline, The metabolism of Azathioprine can be decreased when combined with Pentoxifylline.]
[N05AB03, perphenazine, The metabolism of Azathioprine can be decreased when combined with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Azathioprine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Azathioprine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be decreased when used in combination with Azathioprine.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be decreased when used in combination with Azathioprine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01GA05, phenylephrine, The metabolism of Azathioprine can be increased when combined with Phenylephrine.]
[L04AB06, golimumab, The metabolism of Azathioprine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Azathioprine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Azathioprine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Azathioprine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Azathioprine.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N06BX03, piracetam, Azathioprine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
