[P02BB01, trichlorfon, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Metrifonate.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Olanzapine.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C07AB12, nebivolol, The therapeutic efficacy of Nebivolol can be decreased when used in combination with Olanzapine.]
[N06AX06, nefazodone, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nefazodone.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Olanzapine.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Olanzapine.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Olanzapine.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Olanzapine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Olanzapine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Olanzapine is combined with Escitalopram.]
[G04BD08, solifenacin, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Olanzapine is combined with Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Olanzapine.]
[G04BD04, oxybutynin, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Olanzapine.]
[A03AA01, oxyphencyclimine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Olanzapine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Olanzapine can cause a decrease in the absorption of Gefitinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the sedative and stimulatory activities of Olanzapine.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Olanzapine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Olanzapine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Olanzapine is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Olanzapine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Olanzapine.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[V03AH01, diazoxide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Diazoxide.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Olanzapine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Foscarnet.]
[A03AA07, dicyclomine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Olanzapine may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypotension can be increased when Olanzapine is combined with Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Olanzapine.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A03AB14, pipenzolate, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, Olanzapine can cause a decrease in the absorption of Erlotinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Olanzapine.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the sedative and stimulatory activities of Olanzapine.]
[C08CA03, isradipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Isradipine.]
[A03AB11, poldine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Digoxin.]
[C02DB01, dihydralazine, The metabolism of Olanzapine can be decreased when combined with Dihydralazine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Olanzapine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Olanzapine is combined with Hydromorphone.]
[J05AE08, atazanavir, Olanzapine can cause a decrease in the absorption of Atazanavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Treprostinil.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C08DB01, diltiazem, The risk or severity of hypotension can be increased when Olanzapine is combined with Diltiazem.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R06AB03, dimethindene, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Olanzapine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Olanzapine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Olanzapine.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Olanzapine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Olanzapine.]
[R06AA02, diphenhydramine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Olanzapine is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C09AA06, quinapril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypotension and syncope can be increased when Dipyridamole is combined with Olanzapine.]
[N06BA11, dexmethylphenidate, The therapeutic efficacy of Dexmethylphenidate can be decreased when used in combination with Olanzapine.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A03FA02, cisapride, The metabolism of Olanzapine can be decreased when combined with Cisapride.]
[C09AA05, ramipril, The risk or severity of adverse effects can be increased when Ramipril is combined with Olanzapine.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Olanzapine.]
[C01BA03, disopyramide, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Olanzapine can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AX08, risperidone, Olanzapine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Rosoxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be decreased when used in combination with Olanzapine.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Olanzapine.]
[J05AE07, fosamprenavir, Olanzapine can cause a decrease in the absorption of Fosamprenavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BE08, tadalafil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Olanzapine.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Olanzapine.]
[C02KX02, ambrisentan, Olanzapine may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Olanzapine can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Olanzapine.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Olanzapine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Olanzapine.]
[C01CA04, dopamine, The risk or severity of Tachycardia can be increased when Olanzapine is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Olanzapine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Olanzapine.]
[L01DB01, doxorubicin, The metabolism of Olanzapine can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Olanzapine is combined with Sertraline.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Olanzapine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Olanzapine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Olanzapine.]
[C09AA11, spirapril, Olanzapine may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[V04CX07, edrophonium, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, Talinolol may increase the orthostatic hypotensive activities of Olanzapine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Temafloxacin.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Olanzapine.]
[G04CA03, terazosin, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Olanzapine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of hypotension can be increased when Olanzapine is combined with Terodiline.]
[C07AA16, tertatolol, Tertatolol may increase the orthostatic hypotensive activities of Olanzapine.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Olanzapine.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[G04BD01, emepronium, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C09AA02, enalapril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Enalapril.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Olanzapine.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Olanzapine.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Olanzapine is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Toremifene.]
[C03CA04, torsemide, The risk or severity of adverse effects can be increased when Torasemide is combined with Olanzapine.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Olanzapine is combined with Tramazoline.]
[C09AA10, trandolapril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Loprazolam is combined with Olanzapine.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A03AB08, tridihexethyl, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Triptorelin.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Olanzapine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Olanzapine.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C02CA06, urapidil, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Urapidil.]
[J01MA04, enoxacin, The metabolism of Olanzapine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01CA04, vinorelbine, The metabolism of Olanzapine can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Olanzapine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Olanzapine is combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Olanzapine.]
[S01GA03, xylometazoline, The therapeutic efficacy of Xylometazoline can be decreased when used in combination with Olanzapine.]
[C08CA12, mepirodipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Olanzapine.]
[C09AA15, zofenopril, Olanzapine may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Olanzapine.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Olanzapine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Olanzapine is combined with Iloprost.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Olanzapine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02CA02, ergotamine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Ergotamine.]
[N03AG01, valproic acid, The serum concentration of Olanzapine can be decreased when it is combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Erythromycin.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Olanzapine.]
[H05BX01, cinacalcet, The metabolism of Olanzapine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Olanzapine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Olanzapine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Olanzapine can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Olanzapine.]
[C01CA15, gepefrine, Gepefrine may decrease the sedative and stimulatory activities of Olanzapine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Olanzapine.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Amifostine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Olanzapine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Olanzapine.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Olanzapine.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Olanzapine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Olanzapine.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Tacrolimus.]
[A02BA04, nizatidine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Olanzapine.]
[R06AX12, terfenadine, The metabolism of Olanzapine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Olanzapine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Olanzapine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Olanzapine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Olanzapine can be increased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypotension can be increased when Olanzapine is combined with Fendiline.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Olanzapine.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Olanzapine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Olanzapine is combined with Fentanyl.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Olanzapine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Clofarabine.]
[N07AX03, cevimeline, The metabolism of Olanzapine can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Olanzapine.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Olanzapine.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[V03AZ01, ethanol, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Olanzapine.]
[N06AB03, fluoxetine, The serum concentration of Olanzapine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Flupentixol.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Olanzapine.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Olanzapine.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Olanzapine.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Olanzapine.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Olanzapine.]
[J05AE10, darunavir, The metabolism of Olanzapine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Olanzapine is combined with Eszopiclone.]
[N05AL05, amisulpride, Olanzapine may increase the antipsychotic activities of Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Galantamine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C08DA02, gallopamil, The risk or severity of hypotension can be increased when Olanzapine is combined with Gallopamil.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C10AB04, gemfibrozil, The metabolism of Olanzapine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Degarelix.]
[L01EA02, dasatinib, Olanzapine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04BC06, cabergoline, The therapeutic efficacy of Cabergoline can be decreased when used in combination with Olanzapine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Olanzapine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Olanzapine.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Olanzapine.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Olanzapine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Lapatinib.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Olanzapine.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Olanzapine.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Olanzapine.]
[H04AA01, glucagon, Olanzapine may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Olanzapine.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Olanzapine.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Olanzapine is combined with Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Dofetilide.]
[C02CA04, doxazosin, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the orthostatic hypotensive activities of Olanzapine.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Olanzapine.]
[C09AA09, fosinopril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Fosinopril.]
[S01EX01, guanethidine, Olanzapine may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Olanzapine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Haloperidol.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Histrelin.]
[N05AH04, quetiapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Olanzapine.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Olanzapine.]
[A07EC02, mesalamine, The therapeutic efficacy of Mesalazine can be decreased when used in combination with Olanzapine.]
