[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Propofol.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Propofol is combined with Phenacemide.]
[V03AH01, diazoxide, Propofol may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Propofol is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Propofol is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Propofol.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Propofol is combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Propofol.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Propofol.]
[A03AA07, dicyclomine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Propofol may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Propofol is combined with Pinaverium.]
[A10BG03, pioglitazone, The metabolism of Propofol can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Propofol is combined with Pipamperone.]
[A03AB14, pipenzolate, Propofol may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Propofol.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Propofol.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Propofol is combined with Pirbuterol.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Propofol is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Propofol can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Propofol.]
[A03AB11, poldine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The metabolism of Propofol can be decreased when combined with Diflunisal.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Propofol.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Propofol.]
[C02DB01, dihydralazine, Propofol may decrease the antihypertensive activities of Dihydralazine.]
[C10AX09, ezetimibe, The metabolism of Ezetimibe can be decreased when combined with Propofol.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Propofol is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Propofol.]
[N02AA03, hydromorphone, Hydromorphone may increase the sedative activities of Propofol.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Propofol is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Propofol.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Propofol is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Propofol can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Propofol is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Propofol is combined with Pridinol.]
[R06AB03, dimethindene, Propofol may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Propofol is combined with Procaterol.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Propofol is combined with Progabide.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Propofol is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Propofol is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Propofol can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Propofol is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Quazepam.]
[C09AA06, quinapril, Propofol may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Propofol is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Propofol is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Propofol is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Propofol is combined with Cisapride.]
[C09AA05, ramipril, Propofol may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Propofol.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Propofol.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Propofol is combined with Reproterol.]
[C01BA03, disopyramide, Propofol may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Propofol is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Propofol can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Propofol can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Propofol.]
[N05AX08, risperidone, Propofol may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Propofol is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Propofol.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Propofol.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Propofol.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Propofol.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Propofol.]
[G04BE08, tadalafil, Propofol may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Propofol can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, Propofol may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Propofol is combined with Salsalate.]
[R03AC12, salmeterol, The metabolism of Propofol can be decreased when combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Propofol is combined with Dobutamine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Propofol is combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Propofol is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Propofol.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Propofol.]
[N06AA12, doxepin, Propofol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Propofol.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Propofol is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Propofol is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Propofol is combined with Sibutramine.]
[C10AA01, simvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Simvastatin is combined with Propofol.]
[C09AA11, spirapril, Propofol may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Propofol is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Propofol.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Propofol.]
[G04CA03, terazosin, Propofol may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Propofol is combined with Terodiline.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Propofol is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Propofol is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Propofol is combined with Thiopropazate.]
[G04BD01, emepronium, Propofol may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Emetine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Propofol.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Propofol.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Propofol is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Propofol is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Propofol.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Propofol.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Propofol.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Propofol is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Propofol can be decreased when combined with Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Propofol is combined with Tramazoline.]
[C09AA10, trandolapril, Propofol may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Propofol is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Propofol is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Propofol is combined with Triclofos.]
[A03AB08, tridihexethyl, Propofol may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Propofol.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Triptorelin.]
[N04AA12, tropatepine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Propofol is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Propofol.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Propofol is combined with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Propofol.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Propofol is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Propofol.]
[S01FB02, ephedrine, Propofol may increase the hypertensive activities of Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Propofol.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Propofol.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Propofol is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Propofol is combined with Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of adverse effects can be increased when Propofol is combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Propofol can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, Propofol may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Propofol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Propofol is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Propofol is combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Propofol.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Propofol is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Propofol is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Propofol.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Propofol is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Propofol is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Propofol.]
[N03AG01, valproic acid, The serum concentration of Propofol can be increased when it is combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Propofol is combined with Estazolam.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Propofol.]
[J04AK02, ethambutol, The metabolism of Propofol can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Propofol can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Propofol can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Propofol can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Propofol is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Propofol.]
[L02AA03, ethinyl estradiol, The metabolism of Propofol can be increased when combined with Ethinylestradiol.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Propofol is combined with Amifostine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Propofol is combined with Ibutilide.]
[N04AA05, profenamine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Propofol.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Propofol.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Propofol.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Propofol is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Propofol is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Propofol.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Propofol.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Propofol is combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Propofol is combined with Ajmaline.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Propofol.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Propofol.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Propofol.]
[R06AX12, terfenadine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Propofol.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Propofol is combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Propofol is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Propofol.]
[C10AA03, pravastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pravastatin is combined with Propofol.]
[M01CB01, gold sodium thiomalate, The metabolism of Propofol can be decreased when combined with Sodium aurothiomalate.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Propofol.]
[C08CA02, felodipine, The metabolism of Propofol can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Propofol is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Propofol.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Propofol.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Propofol is combined with Fenoterol.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Propofol.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Propofol.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Propofol.]
[G04BD02, flavoxate, Propofol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Propofol can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Propofol is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Propofol can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Propofol is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Propofol is combined with Melitracen.]
[V03AZ01, ethanol, Propofol may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Propofol can be decreased when combined with Floxuridine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Propofol.]
[N06AB03, fluoxetine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the sedative activities of Propofol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Propofol.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Propofol.]
[S01BC04, flurbiprofen, The metabolism of Propofol can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Propofol is combined with Fluspirilene.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Propofol.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Propofol is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Propofol is combined with Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Propofol.]
[C03CA01, furosemide, The metabolism of Furosemide can be decreased when combined with Propofol.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Propofol.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Propofol is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Propofol is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Propofol.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Propofol is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Propofol is combined with Gallopamil.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Ganciclovir.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Propofol.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Propofol is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Propofol can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Propofol is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Propofol.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Propofol.]
[J05AG04, etravirine, The metabolism of Propofol can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Propofol is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Propofol.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Propofol is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Propofol can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Propofol.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Propofol.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Propofol.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Propofol is combined with Glutethimide.]
[C05AE01, nitroglycerin, Propofol may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Propofol.]
[C02CA04, doxazosin, Propofol may decrease the antihypertensive activities of Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Propofol.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Propofol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Propofol.]
[C09AA09, fosinopril, Propofol may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Propofol may decrease the antihypertensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Propofol is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Histrelin.]
[N05AH04, quetiapine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Propofol is combined with Iprazochrome.]
[L01CE02, irinotecan, The risk or severity of neutropenia can be increased when Propofol is combined with Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Propofol is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Propofol.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Propofol.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Propofol.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Propofol.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Propofol is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Propofol can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Propofol can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Propofol is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Propofol is combined with Oxatomide.]
[C09AA04, perindopril, Propofol may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Propofol may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Propofol is combined with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Propofol may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Propofol can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Propofol may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Propofol is combined with Prothipendyl.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Propofol can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Propofol may decrease the antihypertensive activities of Rilmenidine.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Risedronic acid.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Propofol.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Propofol.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Propofol.]
[N01AH03, sufentanil, Sufentanil may increase the sedative activities of Propofol.]
[N06AA02, imipramine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Propofol.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Propofol.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Propofol.]
[S01BC01, indomethacin, The metabolism of Propofol can be decreased when combined with Indomethacin.]
[C02CA02, indoramin, Propofol may decrease the antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Propofol is combined with Milnacipran.]
[A03AA30, piperidolate, Propofol may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Propofol is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Propofol.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Propofol.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Propofol is combined with Ramelteon.]
[R06AE01, buclizine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cerivastatin is combined with Propofol.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Propofol is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Propofol is combined with Alprenolol.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Ipecac.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Stavudine is combined with Propofol.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Propofol is combined with Iprindole.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Propofol.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Propofol is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Propofol.]
[P01AX06, atovaquone, The metabolism of Propofol can be decreased when combined with Atovaquone.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Propofol.]
[C09AA16, imidapril, Propofol may decrease the antihypertensive activities of Imidapril.]
