[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methimazole.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Methimazole.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be decreased when combined with Methimazole.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Methimazole.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Methimazole.]
[J05AB14, valganciclovir, Methimazole may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Methimazole may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Methimazole may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Methimazole may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Methimazole may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Methimazole may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Methimazole.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Methimazole.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Methimazole.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Methimazole.]
[J02AC02, itraconazole, The metabolism of Itraconazole can be decreased when combined with Methimazole.]
[B01AB12, bemiparin, Methimazole may increase the anticoagulant activities of Bemiparin.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Methimazole.]
[N05BA10, ketazolam, The metabolism of Ketazolam can be decreased when combined with Methimazole.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Imatinib can be increased when it is combined with Methimazole.]
[J02AC04, posaconazole, The metabolism of Posaconazole can be decreased when combined with Methimazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Methimazole.]
[C08CA09, lacidipine, The metabolism of Lacidipine can be decreased when combined with Methimazole.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[S01BA03, cortisone, The metabolism of Cortisone can be decreased when combined with Methimazole.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Methimazole.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Methimazole.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Methimazole.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Methimazole may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Manidipine can be decreased when combined with Methimazole.]
[A08AA09, mefenorex, The risk or severity of adverse effects can be increased when Mefenorex is combined with Methimazole.]
[C07AA14, mepindolol, The excretion of Mepindolol can be decreased when combined with Methimazole.]
[H02AB15, meprednisone, The metabolism of Meprednisone can be decreased when combined with Methimazole.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Methimazole.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be decreased when combined with Methimazole.]
[R03CB02, methoxyphenamine, The risk or severity of adverse effects can be increased when Methoxyphenamine is combined with Methimazole.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Methimazole.]
[N05AD03, metylperon, Methimazole may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Methimazole.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Methimazole.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Methimazole.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Methimazole.]
[S01XA18, cyclosporine, Methimazole may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Methimazole.]
[N06BA07, modafinil, The metabolism of Modafinil can be decreased when combined with Methimazole.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Methimazole.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Methimazole.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Methimazole is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Methimazole.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Methimazole.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Methimazole.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Methimazole is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Methimazole is combined with Dactinomycin.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Methimazole.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Methimazole.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Methimazole.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Methimazole.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Methimazole.]
[N07BB05, nalmefene, Methimazole may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The excretion of Nebivolol can be decreased when combined with Methimazole.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Methimazole.]
[C01DX16, nicorandil, Methimazole may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Methimazole.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Methimazole.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Methimazole.]
[C01CA23, theodrenaline, Methimazole may decrease the excretion rate of Theodrenaline which could result in a higher serum level.]
[B01AX05, fondaparinux, Methimazole may increase the anticoagulant activities of Fondaparinux.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Methimazole.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Methimazole.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Methimazole.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N06AA01, desipramine, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Desipramine.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be increased when it is combined with Methimazole.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Methimazole.]
[V04CH02, indigo carmine, Methimazole may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be decreased when combined with Methimazole.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Methimazole.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[S03BA01, dexamethasone, The metabolism of Dexamethasone can be decreased when combined with Methimazole.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Methimazole.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Methimazole.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Methimazole.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Methimazole.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Methimazole.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Methimazole.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Methimazole.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Methimazole.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Methimazole.]
[C04AD01, pentifylline, Methimazole may decrease the excretion rate of Pentifylline which could result in a higher serum level.]
[P03AC04, permethrin, Methimazole may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Methimazole.]
[N06AA08, dibenzepin, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Dibenzepin.]
[R05DA08, pholcodine, Methimazole may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Methimazole.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A03AA07, dicyclomine, Methimazole may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Methimazole may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Methimazole.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be decreased when combined with Methimazole.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Methimazole.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Methimazole.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Methimazole.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Methimazole is combined with Pirarubicin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Methimazole.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Methimazole.]
[C08CA03, isradipine, The metabolism of Isradipine can be decreased when combined with Methimazole.]
[D07XC04, diflucortolone, The metabolism of Difluocortolone can be decreased when combined with Methimazole.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Methimazole.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Methimazole.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Methimazole.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Methimazole.]
[C04AE04, dihydroergocristine, The serum concentration of Dihydroergocristine can be increased when it is combined with Methimazole.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Methimazole.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Methimazole.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Methimazole.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Methimazole.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Methimazole.]
[H03BC01, potassium perchlorate, Methimazole may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Methimazole.]
[V03AB09, dimercaprol, Methimazole may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, The risk or severity of adverse effects can be increased when Procaterol is combined with Methimazole.]
[M02AX03, dimethyl sulfoxide, Methimazole may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, Methimazole may decrease the excretion rate of Propentofylline which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[R03DA03, proxyphylline, Methimazole may decrease the excretion rate of Proxyphylline which could result in a higher serum level.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Methimazole.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Methimazole.]
[B01AC07, dipyridamole, Methimazole may increase the anticoagulant activities of Dipyridamole.]
[B01AD10, drotrecogin alfa, Methimazole may increase the anticoagulant activities of Drotrecogin alfa.]
[N06AA23, quinupramine, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Methimazole.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Methimazole.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Methimazole.]
[S01AX06, resorcinol, The therapeutic efficacy of Methimazole can be decreased when used in combination with Resorcinol.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Methimazole.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Natalizumab.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Methimazole.]
[J04AB05, rifapentine, The metabolism of Rifapentine can be decreased when combined with Methimazole.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Methimazole.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Methimazole.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be decreased when combined with Methimazole.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Methimazole.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be decreased when combined with Methimazole.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Methimazole.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Methimazole.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Methimazole.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Methimazole.]
[J05AE07, fosamprenavir, The metabolism of Fosamprenavir can be decreased when combined with Methimazole.]
[G04BE08, tadalafil, The serum concentration of Tadalafil can be increased when it is combined with Methimazole.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Methimazole.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Methimazole.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Methimazole.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Methimazole.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Methimazole.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Methimazole.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Dopamine is combined with Methimazole.]
[N06AA16, dothiepin, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Methimazole.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Methimazole.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Methimazole.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Methimazole.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be decreased when combined with Methimazole.]
[C10AA01, simvastatin, The risk or severity of myopathy and rhabdomyolysis can be increased when Methimazole is combined with Simvastatin.]
[A12CA02, sodium sulfate, Methimazole may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Methimazole.]
[R03DA01, dyphylline, Methimazole may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[V04CX07, edrophonium, Methimazole may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The excretion of Talinolol can be decreased when combined with Methimazole.]
[H01AA01, corticotropin, The metabolism of Corticotropin can be decreased when combined with Methimazole.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Methimazole.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Methimazole is combined with Temozolomide.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Methimazole.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Methimazole.]
[G04BD05, terodiline, The metabolism of Terodiline can be decreased when combined with Methimazole.]
[C07AA16, tertatolol, The excretion of Tertatolol can be decreased when combined with Methimazole.]
[S01GA02, tetrahydrozoline, The risk or severity of adverse effects can be increased when Tetryzoline is combined with Methimazole.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Methimazole.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be decreased when combined with Methimazole.]
[N06AG03, toloxatone, Methimazole may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Methimazole.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L02BA02, toremifene, The metabolism of Toremifene can be decreased when combined with Methimazole.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of adverse effects can be increased when Tramazoline is combined with Methimazole.]
[N05CC01, chloral hydrate, Methimazole may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[B01AC18, triflusal, Methimazole may increase the anticoagulant activities of Triflusal.]
[H02CA01, trilostane, The metabolism of Trilostane can be decreased when combined with Methimazole.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Methimazole is combined with Trofosfamide.]
[C05CA04, troxerutin, Methimazole may increase the anticoagulant activities of Troxerutin.]
[N01AB04, enflurane, The metabolism of Enflurane can be decreased when combined with Methimazole.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Methimazole.]
[S01FB02, ephedrine, The risk or severity of adverse effects can be increased when Ephedrine is combined with Methimazole.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Methimazole.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Methimazole.]
[C08CA12, mepirodipine, The metabolism of Barnidipine can be decreased when combined with Methimazole.]
[S01EA01, epinephrine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Methimazole.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Methimazole.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Methimazole.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be decreased when combined with Methimazole.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Methimazole.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Methimazole.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Methimazole.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Methimazole.]
[B01AD03, anistreplase, Methimazole may increase the anticoagulant activities of Anistreplase.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Methimazole is combined with Carboplatin.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be decreased when combined with Methimazole.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Methimazole.]
[G02AB03, ergonovine, The serum concentration of Ergometrine can be increased when it is combined with Methimazole.]
[C04AE01, ergoloid mesylates, USP, The serum concentration of Ergoloid mesylate can be increased when it is combined with Methimazole.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Methimazole.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Methimazole.]
[L03AX05, pidotimod, Methimazole may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be decreased when combined with Methimazole.]
[N05CD04, estazolam, The metabolism of Estazolam can be decreased when combined with Methimazole.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Methimazole.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Methimazole.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Methimazole.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Methimazole.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Methimazole.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Methimazole is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Methimazole.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of adverse effects can be increased when Gepefrine is combined with Methimazole.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Methimazole.]
[J04AD03, ethionamide, The therapeutic efficacy of Methimazole can be decreased when used in combination with Ethionamide.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be decreased when combined with Methimazole.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Methimazole.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Methimazole.]
[C01CA01, etilefrine, The risk or severity of adverse effects can be increased when Etilefrine is combined with Methimazole.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Methimazole.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Methimazole.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Methimazole.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Methimazole.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Methimazole.]
[P01AX07, trimetrexate, Methimazole may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The serum concentration of Bupropion can be increased when it is combined with Methimazole.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Methimazole.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Methimazole.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Methimazole.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Methimazole.]
[M01CB01, gold sodium thiomalate, Methimazole may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be decreased when combined with Methimazole.]
[B05AA05, dextran, Methimazole may increase the anticoagulant activities of Dextran.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Methimazole.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Methimazole.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Methimazole.]
[C08EA01, fendiline, The metabolism of Fendiline can be decreased when combined with Methimazole.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Methimazole.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Methimazole.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Methimazole.]
[R03CC02, albuterol, Methimazole may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[B01AD05, plasmin, Methimazole may increase the anticoagulant activities of Fibrinolysin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Methimazole.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Methimazole.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Methimazole.]
[G04BD02, flavoxate, Methimazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Methimazole.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Methimazole is combined with Flucytosine.]
[H02AA02, fludrocortisone, The metabolism of Fludrocortisone can be decreased when combined with Methimazole.]
[V03AB25, flumazenil, Methimazole may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be decreased when combined with Methimazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Methimazole.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Methimazole.]
[D07AC08, fluocinonide, The metabolism of Fluocinonide can be decreased when combined with Methimazole.]
[N06AA14, melitracen, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Fluocortolone can be decreased when combined with Methimazole.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Methimazole.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Methimazole.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Methimazole.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Methimazole.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Methimazole.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Methimazole.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Methimazole.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Methimazole.]
[N05AG01, fluspirilene, The metabolism of Fluspirilene can be decreased when combined with Methimazole.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Methimazole.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Methimazole which could result in a higher serum level.]
