[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Metoprolol.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Metoprolol.]
[V03AB04, pralidoxime, Metoprolol may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, Metoprolol may increase the arrhythmogenic activities of Diltiazem.]
[V03AB09, dimercaprol, Metoprolol may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Metoprolol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Metoprolol can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Metoprolol is combined with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the antihypertensive activities of Metoprolol.]
[M01AB14, proglumetacin, Proglumetacin may decrease the antihypertensive activities of Metoprolol.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Metoprolol is combined with Proxyphylline.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Metoprolol.]
[C09AA06, quinapril, Metoprolol may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the bradycardic activities of Metoprolol.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Metoprolol.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Metoprolol.]
[A03FA02, cisapride, The metabolism of Metoprolol can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Metoprolol.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Metoprolol.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Metoprolol.]
[S01AX06, resorcinol, Metoprolol may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may increase the bradycardic activities of Metoprolol.]
[N07AA03, distigmine, Distigmine may increase the bradycardic activities of Metoprolol.]
[S02AA12, rifamycin SV, The metabolism of Metoprolol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Metoprolol can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Metoprolol can be increased when combined with Rifaximin.]
[N05AX08, risperidone, Metoprolol may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Metoprolol may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Ropivacaine.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Metoprolol.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Metoprolol.]
[G04BE08, tadalafil, Metoprolol may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, Ketorolac may decrease the antihypertensive activities of Metoprolol.]
[C02KX02, ambrisentan, Metoprolol may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Metoprolol can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the antihypertensive activities of Metoprolol.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Metoprolol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Metoprolol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Metoprolol.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Metoprolol.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Metoprolol.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Metoprolol.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Metoprolol.]
[L01DB01, doxorubicin, The metabolism of Metoprolol can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Metoprolol.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Metoprolol.]
[N05AD08, droperidol, Metoprolol may increase the orthostatic hypotensive activities of Droperidol.]
[A08AA10, sibutramine, The serum concentration of Metoprolol can be increased when it is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Metoprolol.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Metoprolol.]
[A12CA02, sodium sulfate, Metoprolol may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Metoprolol may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Metoprolol is combined with Dyphylline.]
[N02CC01, sumatriptan, Sumatriptan may decrease the antihypertensive activities of Metoprolol.]
[V04CX07, edrophonium, Edrophonium may increase the bradycardic activities of Metoprolol.]
[C07AB13, talinolol, Metoprolol may increase the arrhythmogenic activities of Talinolol.]
[L01AX03, temozolomide, Metoprolol may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the antihypertensive activities of Metoprolol.]
[G04CA03, terazosin, Metoprolol may increase the orthostatic hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Metoprolol can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, Metoprolol may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Metoprolol may increase the arrhythmogenic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Metoprolol.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Metoprolol.]
[C09AA02, enalapril, Metoprolol may increase the hypotensive activities of Enalapril.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the antihypertensive activities of Metoprolol.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Metoprolol.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Metoprolol.]
[N03AX11, topiramate, Metoprolol may decrease the excretion rate of Topiramate which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Metoprolol.]
[C09AA10, trandolapril, Metoprolol may increase the hypotensive activities of Trandolapril.]
[N05CC01, chloral hydrate, Metoprolol may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Metoprolol.]
[N01AB04, enflurane, Enflurane may increase the cardiodepressant activities of Metoprolol.]
[C02CA06, urapidil, Metoprolol may increase the orthostatic hypotensive activities of Urapidil.]
[L01CA04, vinorelbine, The metabolism of Metoprolol can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Metoprolol.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Metoprolol.]
[N06AX16, venlafaxine, The serum concentration of Metoprolol can be increased when it is combined with Venlafaxine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Metoprolol.]
[S01GA03, xylometazoline, Metoprolol may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Metoprolol may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Metoprolol.]
[C09AA15, zofenopril, Metoprolol may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Metoprolol.]
[M01AB04, zomepirac, Zomepirac may decrease the antihypertensive activities of Metoprolol.]
[N03AX15, zonisamide, Metoprolol may increase the arrhythmogenic activities of Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Metoprolol.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[C02AC02, guanfacine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Metoprolol.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Metoprolol.]
[C01BG01, moricizine, Metoprolol may increase the arrhythmogenic activities of Moricizine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Metoprolol.]
[C04AE01, ergoloid mesylates, USP, Metoprolol may increase the vasoconstricting activities of Ergoloid mesylate.]
[N02CA02, ergotamine, Metoprolol may increase the vasoconstricting activities of Ergotamine.]
[L03AX05, pidotimod, Metoprolol may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Metoprolol may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Metoprolol can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, Metoprolol may decrease the excretion rate of Estradiol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Metoprolol may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, Metoprolol may decrease the excretion rate of Ethambutol which could result in a higher serum level.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Metoprolol.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[C01CA15, gepefrine, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Gepefrine.]
[V03AF05, amifostine, Metoprolol may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Metoprolol may increase the arrhythmogenic activities of Ibutilide.]
[N04AA05, profenamine, Profenamine may increase the bradycardic activities of Metoprolol.]
[N03AD01, ethosuximide, Metoprolol may increase the arrhythmogenic activities of Ethosuximide.]
[M01AC06, meloxicam, Meloxicam may decrease the antihypertensive activities of Metoprolol.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Metoprolol.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Metoprolol.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Metoprolol.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Metoprolol.]
[C01BA05, ajmaline, Metoprolol may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Tacrolimus.]
[A02BA04, nizatidine, Nizatidine may increase the bradycardic activities of Metoprolol.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Metoprolol.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Metoprolol.]
[P01AX07, trimetrexate, Metoprolol may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Metoprolol can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Metoprolol can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Metoprolol may increase the arrhythmogenic activities of Tocainide.]
[C01BC08, encainide, Metoprolol may increase the arrhythmogenic activities of Encainide.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Metoprolol may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Metoprolol may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Metoprolol may decrease the excretion rate of Dexrazoxane which could result in a higher serum level.]
[A16AA01, levocarnitine, Metoprolol may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[C08EA01, fendiline, Metoprolol may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Metoprolol.]
[M01AE04, fenoprofen, Fenoprofen may decrease the antihypertensive activities of Metoprolol.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Metoprolol.]
[N02AB03, fentanyl, Fentanyl may decrease the antihypertensive activities of Metoprolol.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Metoprolol.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Metoprolol.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Metoprolol.]
[G04BD02, flavoxate, Metoprolol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, Metoprolol may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Metoprolol.]
[J02AX01, flucytosine, Metoprolol may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Metoprolol may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, Metoprolol may increase the arrhythmogenic activities of Flunarizine.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Metoprolol.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Metoprolol.]
[L01BC09, floxuridine, Metoprolol may decrease the excretion rate of Floxuridine which could result in a higher serum level.]
[N06AB03, fluoxetine, The serum concentration of Metoprolol can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Metoprolol may increase the orthostatic hypotensive activities of Flupentixol.]
[N05AB02, fluphenazine, The serum concentration of Metoprolol can be increased when it is combined with Fluphenazine.]
[N05CD01, flurazepam, Metoprolol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the antihypertensive activities of Metoprolol.]
[N05AG01, fluspirilene, Metoprolol may increase the arrhythmogenic activities of Fluspirilene.]
[L02BB01, flutamide, Metoprolol may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[S02AA17, fosfomycin, Metoprolol may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[L01BC03, tegafur, Metoprolol may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Metoprolol.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Metoprolol.]
[J05AE10, darunavir, The serum concentration of Metoprolol can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Metoprolol may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Metoprolol.]
[C08DA02, gallopamil, Metoprolol may increase the arrhythmogenic activities of Gallopamil.]
[S01AD09, ganciclovir, Metoprolol may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Metoprolol.]
[C10AB04, gemfibrozil, Metoprolol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Metoprolol may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[N04BC06, cabergoline, Metoprolol may increase the vasoconstricting activities of Cabergoline.]
[C01CA21, cafedrine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Cafedrine.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Metoprolol.]
[A12AA13, calcium citrate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium citrate.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium lactate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, Metoprolol may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Metoprolol.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Metoprolol.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Metoprolol.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Metoprolol.]
[H04AA01, glucagon, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Glucagon.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Metoprolol.]
[C05AE01, nitroglycerin, Metoprolol may increase the hypotensive activities of Nitroglycerin.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Metoprolol.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Metoprolol.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Metoprolol.]
[L01EX02, sorafenib, Metoprolol may decrease the excretion rate of Sorafenib which could result in a higher serum level.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Metoprolol.]
[M01CB04, aurothioglucose, Metoprolol may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Metoprolol may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Metoprolol may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Guanethidine may increase the hypotensive activities of Metoprolol.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[P01BX01, halofantrine, The metabolism of Metoprolol can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Metoprolol can be increased when it is combined with Haloperidol.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Metoprolol.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Metoprolol.]
[N06BX13, idebenone, Metoprolol may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be increased when used in combination with Metoprolol.]
[M04AA01, allopurinol, Metoprolol may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, Metoprolol may increase the arrhythmogenic activities of Losartan.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Heparin.]
[G03DC01, allylestrenol, Metoprolol may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the antihypertensive activities of Metoprolol.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Metoprolol.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Metoprolol.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Metoprolol.]
[C08CA10, nilvadipine, Metoprolol may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the antihypertensive activities of Metoprolol.]
[C09AA04, perindopril, Metoprolol may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Metoprolol may increase the hypotensive activities of Hydralazine.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Metoprolol.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Metoprolol can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Metoprolol.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Metoprolol.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[G04BD06, propiverine, Metoprolol may increase the orthostatic hypotensive activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Metoprolol.]
[B05AA07, hetastarch, Metoprolol may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[N05BB01, hydroxyzine, The metabolism of Metoprolol can be decreased when combined with Hydroxyzine.]
[C02AC06, rilmenidine, The therapeutic efficacy of Rilmenidine can be decreased when used in combination with Metoprolol.]
[R02AX02, ibuprofen, Ibuprofen may decrease the antihypertensive activities of Metoprolol.]
[B05XA08, sodium acetate, Metoprolol may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Metoprolol.]
[L01AA06, ifosfamide, Metoprolol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Metoprolol.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Metoprolol.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Metoprolol is combined with Paclitaxel.]
[R01AD07, tixocortol, Metoprolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Metoprolol.]
[L01CE01, topotecan, Metoprolol may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Metoprolol.]
[S01BC01, indomethacin, Indomethacin may decrease the antihypertensive activities of Metoprolol.]
[C02CA02, indoramin, Metoprolol may increase the orthostatic hypotensive activities of Indoramin.]
[A11HA07, inositol, Metoprolol may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The serum concentration of Metoprolol can be increased when it is combined with Milnacipran.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Metoprolol.]
[A10BH01, sitagliptin, The therapeutic efficacy of Sitagliptin can be increased when used in combination with Metoprolol.]
[N05BA12, alprazolam, Metoprolol may decrease the excretion rate of Alprazolam which could result in a higher serum level.]
[N05CH02, ramelteon, Metoprolol may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[A10BH02, vildagliptin, The therapeutic efficacy of Vildagliptin can be increased when used in combination with Metoprolol.]
[C10AA06, cerivastatin, The metabolism of Metoprolol can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, Metoprolol may increase the arrhythmogenic activities of Alprenolol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Metoprolol.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Metoprolol.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Metoprolol.]
[N05AA07, chlorproethazine, The serum concentration of Metoprolol can be increased when it is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Metoprolol.]
[S01EC03, dorzolamide, Metoprolol may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Metoprolol.]
[C09AA16, imidapril, Metoprolol may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Metoprolol.]
[S01EB07, isoflurophate, Isoflurophate may increase the bradycardic activities of Metoprolol.]
[N04BX02, entacapone, The metabolism of Metoprolol can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, Metoprolol may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Metoprolol may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Metoprolol.]
[A10BJ01, exenatide, The therapeutic efficacy of Exenatide can be increased when used in combination with Metoprolol.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Metoprolol is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Metoprolol is combined with Isosorbide dinitrate.]
[D10BA01, isotretinoin, Metoprolol may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Metoprolol.]
[N06AX18, reboxetine, The metabolism of Metoprolol can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Metoprolol may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Metoprolol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Ketamine may increase the bradycardic activities of Metoprolol.]
[C02KD01, ketanserin, Metoprolol may increase the hypotensive activities of Ketanserin.]
[B01AC22, prasugrel, Metoprolol may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Metoprolol can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Metoprolol.]
[M02AA10, ketoprofen, Ketoprofen may decrease the antihypertensive activities of Metoprolol.]
[L04AA24, abatacept, The metabolism of Metoprolol can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Metoprolol.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Metoprolol.]
[D10AX03, azelaic acid, Metoprolol may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the antihypertensive activities of Metoprolol.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Metoprolol.]
[N04BB01, amantadine, The serum concentration of Amantadine can be increased when it is combined with Metoprolol.]
[C02AA05, deserpidine, Deserpidine may increase the hypotensive activities of Metoprolol.]
[N07AA30, ambenonium, Ambenonium may increase the bradycardic activities of Metoprolol.]
[A06AX03, lubiprostone, Metoprolol may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[N03AX18, lacosamide, Metoprolol may increase the bradycardic activities of Lacosamide.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Metoprolol is combined with Levodopa.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be increased when it is combined with Metoprolol.]
[C08EX01, lidoflazine, Metoprolol may increase the arrhythmogenic activities of Lidoflazine.]
[S01AA21, amikacin, Metoprolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Metoprolol.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Metoprolol.]
[A07DA03, loperamide, Metoprolol may increase the arrhythmogenic activities of Loperamide.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium pangamate.]
[C10AA02, lovastatin, The metabolism of Metoprolol can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The metabolism of Metoprolol can be decreased when combined with Temsirolimus.]
