[P02BB01, trichlorfon, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metrifonate.]
[R05DA08, pholcodine, Pholcodine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, The excretion of Quinidine can be decreased when combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Quinidine.]
[J01CF01, dicloxacillin, The metabolism of Quinidine can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C02DG01, pinacidil, Quinidine may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, Quinidine may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be increased when combined with Quinidine.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Quinidine is combined with Pipenzolate.]
[L01DC04, ixabepilone, The serum concentration of Quinidine can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Quinidine.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Quinidine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, The therapeutic efficacy of Quinidine can be decreased when used in combination with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Quinidine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Quinidine.]
[D07XC04, diflucortolone, The metabolism of Quinidine can be increased when combined with Difluocortolone.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Quinidine is combined with Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Quinidine.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Quinidine.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Quinidine.]
[C10AX09, ezetimibe, Quinidine may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, The metabolism of Quinidine can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Quinidine is combined with Hydromorphone.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Quinidine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Quinidine.]
[H03BC01, potassium perchlorate, Potassium perchlorate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Pramocaine.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Quinidine.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Quinidine.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Quinidine is combined with Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Quinidine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Quinidine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be increased when it is combined with Quinidine.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Quinidine.]
[C05CA03, diosmin, The serum concentration of Quinidine can be increased when it is combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Proparacaine.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be increased when it is combined with Quinidine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Quinidine is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Quinidine.]
[B01AC07, dipyridamole, The therapeutic efficacy of Dipyridamole can be increased when used in combination with Quinidine.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[B01AD10, drotrecogin alfa, The therapeutic efficacy of Drotrecogin alfa can be increased when used in combination with Quinidine.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A03FA02, cisapride, The metabolism of Quinidine can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Quinidine may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The serum concentration of Quinidine can be increased when it is combined with Sirolimus.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Quinidine.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Quinidine.]
[S01AX06, resorcinol, Resorcinol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may increase the arrhythmogenic activities of Quinidine.]
[N07AA03, distigmine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, Quinidine may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[S02AA12, rifamycin SV, The serum concentration of Quinidine can be increased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Quinidine can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The serum concentration of Rifaximin can be increased when it is combined with Quinidine.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Quinidine.]
[N05AX08, risperidone, Risperidone may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[R06AE09, levocetirizine, Levocetirizine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Quinidine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Quinidine.]
[A04AD12, aprepitant, The metabolism of Quinidine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Quinidine.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Quinidine.]
[J05AE07, fosamprenavir, The metabolism of Quinidine can be decreased when combined with Fosamprenavir.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Quinidine.]
[C01EB18, ranolazine, The serum concentration of Ranolazine can be increased when it is combined with Quinidine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Quinidine can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Quinidine.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Quinidine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Quinidine.]
[N06AA12, doxepin, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Quinidine.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Quinidine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Quinidine.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05AD08, droperidol, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C10AA01, simvastatin, The serum concentration of Quinidine can be increased when it is combined with Simvastatin.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Quinidine.]
[A12CA02, sodium sulfate, Sodium sulfate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C09AA11, spirapril, Quinidine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, The serum concentration of Dyphylline can be increased when it is combined with Quinidine.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Sultopride is combined with Quinidine.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C07AB13, talinolol, Quinidine may increase the arrhythmogenic activities of Talinolol.]
[H01AA01, corticotropin, The metabolism of Quinidine can be increased when combined with Corticotropin.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Quinidine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Temafloxacin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[G04CA03, terazosin, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Quinidine can be increased when combined with Terbinafine.]
[G04BD05, terodiline, Quinidine may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Quinidine may increase the arrhythmogenic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Quinidine.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Quinidine.]
[C09AA02, enalapril, Quinidine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06AG03, toloxatone, Toloxatone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Quinidine.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Quinidine is combined with Topiramate.]
[L02BA02, toremifene, The serum concentration of Quinidine can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Quinidine.]
[J01AA12, tigecycline, The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Quinidine.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Quinidine is combined with Tramazoline.]
[C09AA10, trandolapril, Quinidine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Quinidine.]
[B01AC18, triflusal, The therapeutic efficacy of Triflusal can be increased when used in combination with Quinidine.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Quinidine.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Quinidine is combined with Tropatepine.]
[C05CA04, troxerutin, The therapeutic efficacy of Troxerutin can be increased when used in combination with Quinidine.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Quinidine.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C02CA06, urapidil, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Quinidine.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Quinidine.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Quinidine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Quinidine.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Quinidine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Quinidine.]
[S01GA03, xylometazoline, Quinidine may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Quinidine may increase the arrhythmogenic activities of Barnidipine.]
[S01EA01, epinephrine, The metabolism of Quinidine can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, Quinidine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Quinidine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N03AX15, zonisamide, Quinidine may increase the arrhythmogenic activities of Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Quinidine.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Quinidine.]
[B01AD03, anistreplase, The therapeutic efficacy of Anistreplase can be increased when used in combination with Quinidine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C01BG01, moricizine, Moricizine may increase the arrhythmogenic activities of Quinidine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Quinidine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N02CA02, ergotamine, Ergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[N03AG01, valproic acid, The metabolism of Quinidine can be decreased when combined with Valproic acid.]
[L03AX05, pidotimod, Pidotimod may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Quinidine.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Quinidine.]
[G03CA03, estradiol, The metabolism of Quinidine can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Quinidine.]
[J04AK02, ethambutol, The metabolism of Quinidine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Quinidine can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Quinidine can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Quinidine.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C01CA15, gepefrine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Gepefrine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Quinidine.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Quinidine.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Quinidine.]
[N03AD01, ethosuximide, Ethosuximide may increase the arrhythmogenic activities of Quinidine.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Quinidine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Quinidine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Quinidine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Quinidine.]
[C01BA05, ajmaline, Quinidine may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Quinidine.]
[A02BA04, nizatidine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Nizatidine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Quinidine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Quinidine.]
[R06AX12, terfenadine, The metabolism of Quinidine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Quinidine.]
[N06AB08, fluvoxamine, The metabolism of Quinidine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Quinidine may increase the arrhythmogenic activities of Tocainide.]
[C01BC08, encainide, Quinidine may increase the arrhythmogenic activities of Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Quinidine.]
[C10AA03, pravastatin, Quinidine may decrease the excretion rate of Pravastatin which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Sodium aurothiomalate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B05AA05, dextran, The therapeutic efficacy of Dextran can be increased when used in combination with Quinidine.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02BA03, famotidine, The excretion of Famotidine can be decreased when combined with Quinidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Quinidine.]
[C08CA02, felodipine, Quinidine may increase the arrhythmogenic activities of Felodipine.]
[C08EA01, fendiline, Quinidine may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Quinidine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Quinidine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Quinidine.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B01AD05, plasmin, The therapeutic efficacy of Fibrinolysin can be increased when used in combination with Quinidine.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Quinidine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Quinidine.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C01BC04, flecainide, Quinidine may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01CF05, floxacillin, The metabolism of Quinidine can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The serum concentration of Quinidine can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N07CA03, flunarizine, Quinidine may increase the arrhythmogenic activities of Flunarizine.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[D07AC08, fluocinonide, The metabolism of Quinidine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[H02AB03, fluocortolone, The metabolism of Quinidine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Quinidine can be increased when combined with Ethanol.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Quinidine.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Quinidine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Fluphenazine.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AG01, fluspirilene, Quinidine may increase the arrhythmogenic activities of Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Quinidine.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Quinidine.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Quinidine.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Quinidine.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[J05AE10, darunavir, The serum concentration of Quinidine can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Quinidine.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Quinidine.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Quinidine.]
[C08DA02, gallopamil, Quinidine may increase the arrhythmogenic activities of Gallopamil.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N03AA04, barbexaclone, The metabolism of Quinidine can be increased when combined with Barbexaclone.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C10AB04, gemfibrozil, Gemfibrozil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Telavancin is combined with Quinidine.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Quinidine.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Quinidine.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Quinidine.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be increased when it is combined with Quinidine.]
[J05AG04, etravirine, The metabolism of Quinidine can be increased when combined with Etravirine.]
[N03AD03, methsuximide, Quinidine may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Quinidine is combined with Alfentanil.]
[L01EH01, lapatinib, The serum concentration of Quinidine can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Quinidine can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Quinidine.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[H04AA01, glucagon, Quinidine may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Quinidine.]
[C05AE01, nitroglycerin, Quinidine may decrease the antihypertensive activities of Nitroglycerin.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Quinidine.]
[C02CA04, doxazosin, Doxazosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[L01EX02, sorafenib, The serum concentration of Quinidine can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Quinidine.]
[M01CB04, aurothioglucose, Aurothioglucose may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Quinidine.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[D01BA01, griseofulvin, The metabolism of Quinidine can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
