[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Quinine.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Quinine.]
[N05AH02, clozapine, The metabolism of Quinine can be decreased when combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Quinine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Quinine is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Quinine is combined with Sotagliflozin.]
[J01GB12, arbekacin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Arbekacin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Halazepam.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Quinine.]
[H01AC08, somatrogon, The therapeutic efficacy of Quinine can be decreased when used in combination with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Cocaine.]
[C02KB01, metyrosine, Quinine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Quinine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Quinine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Quinine is combined with Hexafluronium.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Quinine.]
[A03AB10, hexocyclium, Quinine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Quinine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Colistin.]
[L04AA13, leflunomide, The serum concentration of Quinine can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Quinine.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Quinine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Quinine is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Quinine.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Quinine is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Insulin glargine.]
[J01FA15, telithromycin, The serum concentration of Quinine can be increased when it is combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Quinine.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Quinine.]
[M01AH03, valdecoxib, The metabolism of Quinine can be decreased when combined with Valdecoxib.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Quinine.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Quinine.]
[A03AX10, isometheptene, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Quinine.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Quinine.]
[J02AC02, itraconazole, The metabolism of Quinine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The therapeutic efficacy of Bemiparin can be increased when used in combination with Quinine.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Quinine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Quinine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Quinine is combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Quinine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Quinine can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Quinine can be decreased when combined with Esomeprazole.]
[S01EE04, travoprost, Quinine may increase the hypotensive activities of Travoprost.]
[S01EE03, bimatoprost, Quinine may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Quinine.]
[V03AF07, rasburicase, The risk or severity of methemoglobinemia can be increased when Rasburicase is combined with Quinine.]
[N03AX09, lamotrigine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Quinine.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Quinine.]
[N07BC04, lofexidine, The therapeutic efficacy of Quinine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Quinine.]
[R06AX13, loratadine, The metabolism of Quinine can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Lormetazepam.]
[C09AA03, lisinopril, Quinine may increase the hypotensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Quinine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA10, magnesium phosphate, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Magnesium phosphate.]
[C08CA11, manidipine, The metabolism of Quinine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Quinine is combined with Medifoxamine.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Quinine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Quinine.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Quinine.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Quinine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Quinine.]
[N04AA03, methixene, Quinine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Quinine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Quinine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Quinine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Quinine may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Melperone is combined with Quinine.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Quinine can be decreased when used in combination with Cyclopenthiazide.]
[J01FA03, midecamycin, The serum concentration of Quinine can be increased when it is combined with Midecamycin.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Quinine is combined with Miglitol.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Quinine.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Quinine.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Quinine.]
[S01XA18, cyclosporine, The metabolism of Quinine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Quinine.]
[N06BA07, modafinil, The metabolism of Quinine can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Quinine.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Quinine can be increased when used in combination with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Quinine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Quinine may increase the hypotensive activities of Moxonidine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Quinine is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Quinine can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Quinine.]
[M01AH05, etoricoxib, The metabolism of Quinine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Quinine.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Quinine.]
[G03XA01, danazol, The metabolism of Quinine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Quinine is combined with Dantrolene.]
[J04BA02, dapsone, The risk or severity of methemoglobinemia can be increased when Dapsone is combined with Quinine.]
[L01DB02, daunorubicin, The metabolism of Quinine can be increased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Quinine is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Quinine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Quinine.]
[M01AX01, nabumetone, The metabolism of Quinine can be decreased when combined with Nabumetone.]
[J01AA01, demeclocycline, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Demeclocycline.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Quinine.]
[N06AX06, nefazodone, The metabolism of Quinine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Quinine is combined with Niaprazine.]
[C01DX16, nicorandil, Quinine may increase the hypotensive activities of Nicorandil.]
[L02BB02, nilutamide, The metabolism of Quinine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Quinine is combined with Tiagabine.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Quinine.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be increased when it is combined with Quinine.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be increased when used in combination with Quinine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Quinine is combined with Normethadone.]
[B01AX05, fondaparinux, The therapeutic efficacy of Fondaparinux can be increased when used in combination with Quinine.]
[N06AB10, escitalopram, The serum concentration of Quinine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Quinine.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Quinine.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Quinine.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be increased when it is combined with Quinine.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Quinine.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Quinine.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Quinine.]
[C09XA02, aliskiren, Quinine may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Quinine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Quinine is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Quinine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Quinine is combined with Oxiracetam.]
[N04AA08, dexetimide, Quinine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Quinine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Quinine.]
[A03AA01, oxyphencyclimine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Quinine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Quinine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Quinine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Quinine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Quinine is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Quinine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Quinine.]
[B01AC04, clopidogrel, The metabolism of Quinine can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Quinine is combined with Diamorphine.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be increased when it is combined with Quinine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Quinine is combined with Phenacemide.]
[V03AH01, diazoxide, The therapeutic efficacy of Quinine can be decreased when used in combination with Diazoxide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Quinine is combined with Phensuximide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Quinine.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Cinchocaine.]
[S01EC02, dichlorphenamide, The excretion of Quinine can be decreased when combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Quinine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Quinine.]
[A03AA07, dicyclomine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Quinine can be increased when used in combination with Phthalylsulfathiazole.]
[C02DG01, pinacidil, Quinine may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Quinine.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Quinine is combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Quinine is combined with Pipamperone.]
[A03AB14, pipenzolate, Quinine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The serum concentration of Quinine can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Quinine.]
[C03CA03, piretanide, The therapeutic efficacy of Quinine can be increased when used in combination with Piretanide.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Quinine is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Quinine.]
[C08CA03, isradipine, The metabolism of Quinine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Quinine.]
[A03AB11, poldine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Quinine.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Quinine.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Quinine.]
[C02DB01, dihydralazine, The metabolism of Quinine can be decreased when combined with Dihydralazine.]
[C10AX09, ezetimibe, The excretion of Ezetimibe can be decreased when combined with Quinine.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Quinine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Quinine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Quinine.]
[J05AE08, atazanavir, The metabolism of Quinine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Quinine.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Pramocaine.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Quinine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Quinine.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Quinine.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Quinine is combined with Pridinol.]
[R06AB03, dimethindene, Quinine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Quinine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Quinine is combined with Progabide.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be increased when it is combined with Quinine.]
[G02AD02, dinoprostone, The risk or severity of adverse effects can be increased when Dinoprostone is combined with Quinine.]
[C05CA03, diosmin, The serum concentration of Quinine can be increased when it is combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Proparacaine.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be increased when it is combined with Quinine.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Quinine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Quinine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Quazepam.]
[C09AA06, quinapril, Quinine may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, The therapeutic efficacy of Dipyridamole can be increased when used in combination with Quinine.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Quinine is combined with Dexmethylphenidate.]
[B01AD10, drotrecogin alfa, The therapeutic efficacy of Drotrecogin alfa can be increased when used in combination with Quinine.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Quinine.]
[A03FA02, cisapride, The metabolism of Quinine can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Quinine may increase the hypotensive activities of Ramipril.]
[S01XA23, sirolimus, The serum concentration of Quinine can be increased when it is combined with Sirolimus.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Quinine.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Disopyramide is combined with Quinine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Quinine.]
[S02AA12, rifamycin SV, The metabolism of Quinine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Quinine can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The serum concentration of Rifaximin can be increased when it is combined with Quinine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Quinine is combined with Riluzole.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Quinine.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Quinine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The therapeutic efficacy of Quinine can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Quinine.]
[A04AD12, aprepitant, The metabolism of Quinine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Quinine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Quinine.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Quinine can be decreased when used in combination with Fosamprenavir.]
[G04BE08, tadalafil, Quinine may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Quinine.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Quinine.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Quinine.]
[R03AC12, salmeterol, The metabolism of Quinine can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Quinine.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Quinine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Quinine.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Quinine.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Quinine.]
[J01AA02, doxycycline, The risk or severity of neuromuscular blockade can be increased when Doxycycline is combined with Quinine.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Quinine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Quinine.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Quinine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Quinine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Quinine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Quinine.]
[C09AA11, spirapril, Quinine may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, The serum concentration of Dyphylline can be increased when it is combined with Quinine.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Quinine can be increased when used in combination with Succinylsulfathiazole.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Sultopride is combined with Quinine.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Quinine is combined with Sumatriptan.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Quinine.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Quinine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Quinine is combined with Temafloxacin.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Quinine.]
[G04CA03, terazosin, Quinine may increase the hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Quinine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Quinine is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Quinine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Quinine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Quinine is combined with Thiopropazate.]
[G04BD01, emepronium, Quinine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Quinine.]
[C09AA02, enalapril, Quinine may increase the hypotensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Quinine is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Quinine is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Quinine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Quinine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Quinine is combined with Toremifene.]
[C03CA04, torsemide, The therapeutic efficacy of Quinine can be decreased when used in combination with Torasemide.]
[J01AA12, tigecycline, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Tigecycline.]
[C09AA10, trandolapril, Quinine may increase the hypotensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Quinine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Quinine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Quinine is combined with Triclofos.]
[A03AB08, tridihexethyl, Quinine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[B01AC18, triflusal, The therapeutic efficacy of Triflusal can be increased when used in combination with Quinine.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Quinine.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Quinine is combined with Trimethobenzamide.]
[L02AE04, triptorelin, The therapeutic efficacy of Quinine can be decreased when used in combination with Triptorelin.]
[N04AA12, tropatepine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[C05CA04, troxerutin, The therapeutic efficacy of Troxerutin can be increased when used in combination with Quinine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Quinine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Quinine is combined with Urapidil.]
[J01MA04, enoxacin, The metabolism of Quinine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Quinine is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Quinine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Quinine.]
[N06AX16, venlafaxine, The metabolism of Quinine can be decreased when combined with Venlafaxine.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Quinine.]
[C08CA12, mepirodipine, The metabolism of Quinine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Quinine can be decreased when used in combination with Epinephrine.]
[C09AA15, zofenopril, Quinine may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Quinine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The excretion of Quinine can be decreased when combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Quinine is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Quinine.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Quinine is combined with Zotepine.]
[B01AD03, anistreplase, The therapeutic efficacy of Anistreplase can be increased when used in combination with Quinine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Quinine is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Quinine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Quinine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Quinine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Quinine.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Quinine.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Quinine is combined with Estazolam.]
[A02BC02, pantoprazole, The metabolism of Quinine can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Quinine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The therapeutic efficacy of Quinine can be decreased when used in combination with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Quinine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Quinine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Quinine.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Quinine.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Quinine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Quinine.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Quinine.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Quinine can be decreased when used in combination with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ibutilide is combined with Quinine.]
[N04AA05, profenamine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
