[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Antipyrine is combined with Neomycin.]
[J01AA05, methacycline, The risk or severity of neuromuscular blockade can be increased when Metacycline is combined with Neomycin.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06BA03, methamphetamine, Metamfetamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01BA04, pemetrexed, Neomycin may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L04AX03, methotrexate, The serum concentration of Methotrexate can be decreased when it is combined with Neomycin.]
[N05AA02, methotrimeprazine, Neomycin may increase the neurotoxic activities of Methotrimeprazine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V04CG05, methylene blue, Methylene blue may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G03EK01, methyltestosterone, Methyltestosterone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A03FA01, metoclopramide, Metoclopramide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CA10, mezlocillin, The serum concentration of Neomycin can be decreased when it is combined with Mezlocillin.]
[N02BB03, aminopyrine, The risk or severity of nephrotoxicity can be increased when Aminophenazone is combined with Neomycin.]
[B01AB07, parnaparin, The therapeutic efficacy of Neomycin can be decreased when used in combination with Parnaparin.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AB10, tinzaparin, The therapeutic efficacy of Neomycin can be decreased when used in combination with Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01AA08, minocycline, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Minocycline.]
[N05AE02, molindone, Neomycin may increase the neurotoxic activities of Molindone.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AA09, amitriptyline, Amitriptyline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01DD06, moxalactam, The risk or severity of nephrotoxicity can be increased when Latamoxef is combined with Neomycin.]
[L04AB05, certolizumab pegol, Certolizumab pegol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Neomycin.]
[N06AA17, amoxapine, Amoxapine may increase the neurotoxic activities of Neomycin.]
[C07AA12, nadolol, Nadolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CF06, nafcillin, The serum concentration of Neomycin can be decreased when it is combined with Nafcillin.]
[V03AB15, naloxone, Naloxone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA12, naproxen, The risk or severity of nephrotoxicity can be increased when Naproxen is combined with Neomycin.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AX14, iloperidone, Neomycin may increase the neurotoxic activities of Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of nephrotoxicity can be increased when Amphotericin B is combined with Neomycin.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01AA23, netilmicin, The risk or severity of nephrotoxicity can be increased when Netilmicin is combined with Neomycin.]
[N06AX23, desvenlafaxine, Desvenlafaxine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AB11, valacyclovir, The risk or severity of nephrotoxicity can be increased when Valaciclovir is combined with Neomycin.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Neomycin is combined with Nicotine.]
[C08CA05, nifedipine, Nifedipine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA17, niflumic acid, The risk or severity of nephrotoxicity can be increased when Niflumic acid is combined with Neomycin.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AA10, nortriptyline, Nortriptyline may increase the neurotoxic activities of Neomycin.]
[B01AB08, reviparin, The therapeutic efficacy of Neomycin can be decreased when used in combination with Reviparin.]
[N06AA05, opipramol, Neomycin may increase the neurotoxic activities of Opipramol.]
[N02AA02, opium, Opium may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01AC01, ouabain, The risk or severity of adverse effects can be increased when Neomycin is combined with Ouabain.]
[M05BA08, zoledronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Neomycin is combined with Zoledronic acid.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AE01, oxypertine, Neomycin may increase the neurotoxic activities of Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of nephrotoxicity can be increased when Oxyphenbutazone is combined with Neomycin.]
[S01AA04, oxytetracycline, The risk or severity of neuromuscular blockade can be increased when Oxytetracycline is combined with Neomycin.]
[N05AH05, asenapine, Neomycin may increase the neurotoxic activities of Asenapine.]
[B01AB09, danaparoid, The therapeutic efficacy of Neomycin can be decreased when used in combination with Danaparoid.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Neomycin.]
[J04AB30, capreomycin, The risk or severity of nephrotoxicity can be increased when Capreomycin is combined with Neomycin.]
[A07AA06, paromomycin, The risk or severity of nephrotoxicity can be increased when Paromomycin is combined with Neomycin.]
[G04BD11, fesoterodine, Fesoterodine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C07AA23, penbutolol, Penbutolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AG03, penfluridol, Neomycin may increase the neurotoxic activities of Penfluridol.]
[S01AA14, penicillin G, The serum concentration of Neomycin can be decreased when it is combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, Procaine benzylpenicillin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CE02, penicillin V, Neomycin can cause a decrease in the absorption of Phenoxymethylpenicillin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01XX08, pentostatin, Neomycin may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AB10, perazine, Neomycin may increase the neurotoxic activities of Perazine.]
[N05AB03, perphenazine, Perphenazine may increase the neurotoxic activities of Neomycin.]
[G04BX06, phenazopyridine, The risk or severity of nephrotoxicity can be increased when Phenazopyridine is combined with Neomycin.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Neomycin is combined with Phenindione.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Neomycin is combined with Phenprocoumon.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA01, phenylbutazone, The risk or severity of nephrotoxicity can be increased when Phenylbutazone is combined with Neomycin.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AB12, cidofovir, The risk or severity of nephrotoxicity can be increased when Cidofovir is combined with Neomycin.]
[S01EB01, pilocarpine, The therapeutic efficacy of Pilocarpine can be decreased when used in combination with Neomycin.]
[N05AG02, pimozide, Neomycin may increase the neurotoxic activities of Pimozide.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AC04, pipothiazine, Neomycin may increase the neurotoxic activities of Pipotiazine.]
[N06BX03, piracetam, Piracetam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01BC06, piroxicam, The risk or severity of nephrotoxicity can be increased when Piroxicam is combined with Neomycin.]
[J01DD16, cefditoren, The risk or severity of nephrotoxicity can be increased when Cefditoren is combined with Neomycin.]
[J01CA02, pivampicillin, The serum concentration of Neomycin can be decreased when it is combined with Pivampicillin.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BH03, saxagliptin, Saxagliptin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA16, feprazone, The risk or severity of nephrotoxicity can be increased when Feprazone is combined with Neomycin.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Prilocaine.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01BA02, procainamide, Neomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Procaine.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AB04, prochlorperazine, Prochlorperazine may increase the neurotoxic activities of Neomycin.]
[N05AA03, promazine, Promazine may increase the neurotoxic activities of Neomycin.]
[R06AD02, promethazine, Promethazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AC01, periciazine, Neomycin may increase the neurotoxic activities of Periciazine.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01AB01, proscillaridin, The risk or severity of adverse effects can be increased when Neomycin is combined with Proscillaridin.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC09, epoprostenol, Epoprostenol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AA11, protriptyline, Protriptyline may increase the neurotoxic activities of Neomycin.]
[N05AX12, aripiprazole, Neomycin may increase the neurotoxic activities of Aripiprazole.]
[N07XX07, dalfampridine, Dalfampridine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[P02CC01, pyrantel, The therapeutic efficacy of Pyrantel can be increased when used in combination with Neomycin.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01BA01, quinidine, Neomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Neomycin.]
[A02BA02, ranitidine, Ranitidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01AA09, rolitetracycline, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Rolitetracycline.]
[N02BA05, salicylamide, The risk or severity of nephrotoxicity can be increased when Salicylamide is combined with Neomycin.]
[A07EC01, sulfasalazine, The risk or severity of nephrotoxicity can be increased when Sulfasalazine is combined with Neomycin.]
[S01BC08, salicylic acid, The risk or severity of nephrotoxicity can be increased when Salicylic acid is combined with Neomycin.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01GB08, sisomicin, The risk or severity of nephrotoxicity can be increased when Sisomicin is combined with Neomycin.]
[A12CD01, sodium fluoride, Sodium fluoride may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
