[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gatifloxacin.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lidoflazine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Loperamide.]
[A12AA11, calcium pangamate, Calcium pangamate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA11, magnesium chloride, Magnesium chloride can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, Magnesium sulfate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EA03, nilotinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Gatifloxacin.]
[M02AA18, meclofenamic acid, Meclofenamic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Gatifloxacin.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Gatifloxacin.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Gatifloxacin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Paliperidone.]
[A10BA02, metformin, The therapeutic efficacy of Metformin can be increased when used in combination with Gatifloxacin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dolasetron.]
[H01CB03, lanreotide, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Lanreotide.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Methadone.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Gatifloxacin.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Methotrimeprazine.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Gatifloxacin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Gatifloxacin.]
[H02AB04, methylprednisolone, The risk or severity of tendinopathy can be increased when Methylprednisolone is combined with Gatifloxacin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of tendinopathy can be increased when Methylprednisolone aceponate is combined with Gatifloxacin.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Gatifloxacin.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Gatifloxacin.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Gatifloxacin.]
[J01CA10, mezlocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Mezlocillin.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Gatifloxacin.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Gatifloxacin.]
[G03XB01, mifepristone, The therapeutic efficacy of Mifepristone can be increased when used in combination with Gatifloxacin.]
[C01BD01, amiodarone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Amiodarone.]
[N06AA09, amitriptyline, Gatifloxacin may increase the QTc-prolonging activities of Amitriptyline.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Gatifloxacin.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Gatifloxacin.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Gatifloxacin.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Gatifloxacin.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Gatifloxacin.]
[J01CA04, amoxicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Amoxicillin.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Gatifloxacin is combined with Ropinirole.]
[J01CF06, nafcillin, The serum concentration of Gatifloxacin can be increased when it is combined with Nafcillin.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Gatifloxacin.]
[A10BG01, troglitazone, The therapeutic efficacy of Troglitazone can be increased when used in combination with Gatifloxacin.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Gatifloxacin.]
[A10BX02, repaglinide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Gatifloxacin.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Iloperidone.]
[S01AA19, ampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Ampicillin.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Desvenlafaxine.]
[C08CA04, nicardipine, The risk or severity of QTc prolongation can be increased when Nicardipine is combined with Gatifloxacin.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Gatifloxacin.]
[M02AA17, niflumic acid, Niflumic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nimodipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nitrendipine.]
[J01XE01, nitrofurantoin, The therapeutic efficacy of Gatifloxacin can be decreased when used in combination with Nitrofurantoin.]
[C02DD01, nitroprusside, Nitroprusside can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Norfloxacin.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Gatifloxacin.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Gatifloxacin.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ofloxacin.]
[J01CF04, oxacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Oxacillin.]
[V08CB01, ferumoxsil, Ferumoxsil can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Oxolinic acid.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may increase the neuroexcitatory activities of Gatifloxacin.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Gatifloxacin.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Asenapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Papaverine.]
[H02AB05, paramethasone, The risk or severity of tendinopathy can be increased when Paramethasone is combined with Gatifloxacin.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Gatifloxacin.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Penfluridol.]
[S01AA14, penicillin G, The serum concentration of Gatifloxacin can be increased when it is combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The serum concentration of Gatifloxacin can be increased when it is combined with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The serum concentration of Gatifloxacin can be increased when it is combined with Phenoxymethylpenicillin.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Gatifloxacin.]
[C08EX02, perhexiline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Gatifloxacin.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Gatifloxacin.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be increased when used in combination with Gatifloxacin.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Gatifloxacin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pheniramine.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Gatifloxacin.]
[M02AA01, phenylbutazone, Phenylbutazone may increase the neuroexcitatory activities of Gatifloxacin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Gatifloxacin.]
[J01CA12, piperacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Piperacillin.]
[J05AE01, saquinavir, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Saquinavir.]
[S01BC06, piroxicam, Piroxicam may increase the neuroexcitatory activities of Gatifloxacin.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Grepafloxacin.]
[J01CA02, pivampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Pivampicillin.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Gatifloxacin.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Gatifloxacin.]
[J05AE03, ritonavir, The risk or severity of QTc prolongation can be increased when Ritonavir is combined with Gatifloxacin.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be increased when used in combination with Gatifloxacin.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be increased when used in combination with Gatifloxacin.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Prajmaline.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Gatifloxacin.]
[S03BA02, prednisolone, The risk or severity of tendinopathy can be increased when Prednisolone is combined with Gatifloxacin.]
[H02AB07, prednisone, The risk or severity of tendinopathy can be increased when Prednisone is combined with Gatifloxacin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Gatifloxacin.]
[M04AB01, probenecid, Probenecid may decrease the excretion rate of Gatifloxacin which could result in a higher serum level.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Procaine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Prochlorperazine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Gatifloxacin.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Gatifloxacin.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Gatifloxacin.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Gatifloxacin.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Gatifloxacin.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Aripiprazole.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mepyramine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Quinidine.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be increased when used in combination with Gatifloxacin.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Gatifloxacin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may increase the neuroexcitatory activities of Gatifloxacin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the neuroexcitatory activities of Gatifloxacin.]
[S01BC08, salicylic acid, Salicylic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Gatifloxacin.]
[C07AA07, sotalol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sotalol.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of tendinopathy can be increased when Hydrocortisone butyrate is combined with Gatifloxacin.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gatifloxacin.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA16, sulbenicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Gatifloxacin.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Gatifloxacin.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Gatifloxacin.]
[M01AB02, sulindac, Sulindac may increase the neuroexcitatory activities of Gatifloxacin.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sulpiride.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Gatifloxacin.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Gatifloxacin.]
[M01AX04, apazone, Azapropazone may increase the neuroexcitatory activities of Gatifloxacin.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Gatifloxacin.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Gatifloxacin.]
[J01CA15, talampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Talampicillin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Gatifloxacin.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Gatifloxacin.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lurasidone.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Gatifloxacin.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Gatifloxacin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Gatifloxacin.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Gatifloxacin.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Eribulin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Gatifloxacin.]
[B03AB03, sodium ironedetate, Sodium feredetate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA13, ticarcillin, The serum concentration of Gatifloxacin can be increased when it is combined with Ticarcillin.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Gatifloxacin.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Gatifloxacin.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Gatifloxacin.]
[M02AA21, tolmetin, Tolmetin may increase the neuroexcitatory activities of Gatifloxacin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Gatifloxacin.]
[S01BA05, triamcinolone, The risk or severity of tendinopathy can be increased when Triamcinolone is combined with Gatifloxacin.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Gatifloxacin.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Gatifloxacin.]
[D07AC02, fluclorolone, The risk or severity of tendinopathy can be increased when Fluclorolone is combined with Gatifloxacin.]
[R03BA07, mometasone, The risk or severity of tendinopathy can be increased when Mometasone is combined with Gatifloxacin.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Gatifloxacin.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Gatifloxacin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Gatifloxacin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Gatifloxacin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Vandetanib.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Gatifloxacin.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Gatifloxacin.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Gatifloxacin.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Zuclopenthixol.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Gatifloxacin.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Gatifloxacin.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ziprasidone.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Gatifloxacin.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Gatifloxacin.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Gatifloxacin.]
[H02AB11, prednylidene, The risk or severity of tendinopathy can be increased when Prednylidene is combined with Gatifloxacin.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Gatifloxacin.]
[J01CA09, azlocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Azlocillin.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Gatifloxacin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mirabegron.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The risk or severity of tendinopathy can be increased when Aldosterone is combined with Gatifloxacin.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Gatifloxacin.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Gatifloxacin.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Gatifloxacin.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Gatifloxacin.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Gatifloxacin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pasireotide.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Gatifloxacin.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Gatifloxacin.]
[N02BA10, benorilate, Benorilate may increase the neuroexcitatory activities of Gatifloxacin.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Gatifloxacin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Gemifloxacin.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Moxifloxacin.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Gatifloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Gatifloxacin.]
[M01AH01, celecoxib, Celecoxib may increase the neuroexcitatory activities of Gatifloxacin.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Gatifloxacin.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may increase the neuroexcitatory activities of Gatifloxacin.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Benzyl alcohol.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Bepridil.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Gatifloxacin.]
[V03AE05, sucroferric oxyhydroxide, Iron sucrose can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Gatifloxacin.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Gatifloxacin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Gatifloxacin.]
[S03BA03, betamethasone, The risk or severity of tendinopathy can be increased when Betamethasone is combined with Gatifloxacin.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Gatifloxacin.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Gatifloxacin.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Gatifloxacin.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Gatifloxacin.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Gatifloxacin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Olodaterol.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Eliglustat.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Gatifloxacin.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Gatifloxacin.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Gatifloxacin.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Gatifloxacin.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Gatifloxacin.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Gatifloxacin.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ivabradine.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Gatifloxacin.]
[M02AA25, aceclofenac, Aceclofenac may increase the neuroexcitatory activities of Gatifloxacin.]
[M01AB11, acemetacin, Acemetacin may increase the neuroexcitatory activities of Gatifloxacin.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Gatifloxacin.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Gatifloxacin.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Gatifloxacin.]
[M01AE16, alminoprofen, Alminoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Gatifloxacin.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Gatifloxacin.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Gatifloxacin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Bupranolol.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Buserelin.]
