[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Repaglinide.]
[N03AA02, phenobarbital, The metabolism of Repaglinide can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Repaglinide.]
[A08AA01, phentermine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Phentermine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Repaglinide.]
[L04AB06, golimumab, The metabolism of Repaglinide can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Repaglinide.]
[C07AA03, pindolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Pindolol.]
[C10AA05, atorvastatin, Repaglinide may decrease the excretion rate of Atorvastatin which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Repaglinide can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Pipotiazine.]
[S01BC06, piroxicam, The metabolism of Repaglinide can be decreased when combined with Piroxicam.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Repaglinide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Repaglinide can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Repaglinide can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Repaglinide.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Repaglinide.]
[L04AC08, canakinumab, The metabolism of Repaglinide can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Repaglinide can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Saxagliptin.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Insulin lispro.]
[C10AA08, pitavastatin, Repaglinide may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Practolol.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Repaglinide.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Repaglinide.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Repaglinide.]
[P01BA03, primaquine, The metabolism of Repaglinide can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Repaglinide can be increased when combined with Primidone.]
[M04AB01, probenecid, The therapeutic efficacy of Repaglinide can be increased when used in combination with Probenecid.]
[S01HA05, procaine, Procaine may increase the hypoglycemic activities of Repaglinide.]
[L01XB01, procarbazine, Procarbazine may increase the hypoglycemic activities of Repaglinide.]
[C10AB05, fenofibrate, Repaglinide may decrease the excretion rate of Fenofibrate which could result in a higher serum level.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C01BC03, propafenone, The therapeutic efficacy of Repaglinide can be increased when used in combination with Propafenone.]
[N01AX10, propofol, The metabolism of Repaglinide can be decreased when combined with Propofol.]
[C07AA05, propranolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Propranolol.]
[R03DC03, montelukast, The metabolism of Repaglinide can be decreased when combined with Montelukast.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Repaglinide.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Aripiprazole.]
[P01BD01, pyrimethamine, The metabolism of Repaglinide can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, Quinidine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Repaglinide.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Repaglinide.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Repaglinide can be decreased when it is combined with Rifampicin.]
[J01FA06, roxithromycin, The excretion of Repaglinide can be decreased when combined with Roxithromycin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Repaglinide.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Repaglinide.]
[N05CA06, secobarbital, The metabolism of Repaglinide can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Repaglinide.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Repaglinide.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Repaglinide.]
[C03DA01, spironolactone, The metabolism of Repaglinide can be decreased when combined with Spironolactone.]
