[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Yohimbine is combined with Antipyrine.]
[C01BC08, encainide, The metabolism of Yohimbine can be decreased when combined with Encainide.]
[C08CA02, felodipine, The metabolism of Yohimbine can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Yohimbine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Yohimbine.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Fenoterol is combined with Yohimbine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Yohimbine.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Salbutamol is combined with Yohimbine.]
[N07AX03, cevimeline, The metabolism of Yohimbine can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Yohimbine.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Yohimbine is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Yohimbine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The therapeutic efficacy of Flunitrazepam can be increased when used in combination with Yohimbine.]
[N06AA14, melitracen, The serum concentration of Yohimbine can be increased when it is combined with Melitracen.]
[V03AZ01, ethanol, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, The serum concentration of Yohimbine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Yohimbine.]
[N05CD01, flurazepam, The therapeutic efficacy of Flurazepam can be increased when used in combination with Yohimbine.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Flurbiprofen is combined with Yohimbine.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Yohimbine is combined with Fluspirilene.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Yohimbine is combined with Adrafinil.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Yohimbine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Yohimbine.]
[J05AE10, darunavir, The metabolism of Yohimbine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Yohimbine may decrease the antihypertensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Yohimbine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Yohimbine is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Yohimbine can be decreased when combined with Galantamine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Gallamine.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Yohimbine is combined with Bifemelane.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Yohimbine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Yohimbine.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Yohimbine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Glutethimide.]
[C05AE01, nitroglycerin, Yohimbine may decrease the antihypertensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Yohimbine may decrease the antihypertensive activities of Doxazosin.]
[C07AB09, esmolol, Yohimbine may decrease the antihypertensive activities of Esmolol.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Yohimbine is combined with Fluindione.]
[C09AA09, fosinopril, Yohimbine may decrease the antihypertensive activities of Fosinopril.]
[S01EX01, guanethidine, Yohimbine may decrease the antihypertensive activities of Guanethidine.]
[P01BX01, halofantrine, The metabolism of Yohimbine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Yohimbine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Yohimbine.]
[N05AH04, quetiapine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Yohimbine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Yohimbine is combined with Allobarbital.]
[C09CA01, losartan, Yohimbine may decrease the antihypertensive activities of Losartan.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Yohimbine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Yohimbine.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Yohimbine is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Yohimbine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Yohimbine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypertension can be increased when Yohimbine is combined with Nimesulide.]
[C09AA04, perindopril, Yohimbine may decrease the antihypertensive activities of Perindopril.]
[C02DB02, hydralazine, Yohimbine may decrease the antihypertensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, Yohimbine may decrease the antihypertensive activities of Hydrochlorothiazide.]
[R05DA03, hydrocodone, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[C03AA02, hydroflumethiazide, Yohimbine may decrease the antihypertensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Yohimbine can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Yohimbine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[C02AC06, rilmenidine, Yohimbine may decrease the antihypertensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Ibuprofen is combined with Yohimbine.]
[L01DB06, idarubicin, The metabolism of Yohimbine can be decreased when combined with Idarubicin.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Yohimbine.]
[N06AA02, imipramine, The serum concentration of Yohimbine can be increased when it is combined with Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Yohimbine.]
[C03BA11, indapamide, Yohimbine may decrease the antihypertensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypertension can be increased when Indomethacin is combined with Yohimbine.]
[C02CA02, indoramin, Yohimbine may decrease the antihypertensive activities of Indoramin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Yohimbine is combined with Milnacipran.]
[A03AA30, piperidolate, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Articaine.]
[N05BA12, alprazolam, The therapeutic efficacy of Alprazolam can be increased when used in combination with Yohimbine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Yohimbine.]
[R06AE01, buclizine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Yohimbine can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Yohimbine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Yohimbine.]
[N06AA13, iprindole, The serum concentration of Yohimbine can be increased when it is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Yohimbine is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Yohimbine.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Yohimbine.]
[C09AA16, imidapril, Yohimbine may decrease the antihypertensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Yohimbine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Yohimbine.]
[J04AC01, isoniazid, The metabolism of Yohimbine can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Isoprenaline is combined with Yohimbine.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Yohimbine is combined with Isoxsuprine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Yohimbine.]
[L04AC07, tocilizumab, The metabolism of Yohimbine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Yohimbine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Yohimbine is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Yohimbine can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Yohimbine can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Ketoprofen is combined with Yohimbine.]
[L04AA24, abatacept, The metabolism of Yohimbine can be increased when combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Arbutamine is combined with Yohimbine.]
[N04BC09, rotigotine, Yohimbine may increase the sedative activities of Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Yohimbine is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The metabolism of Yohimbine can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Yohimbine.]
[C02AA05, deserpidine, Yohimbine may decrease the antihypertensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Yohimbine.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Yohimbine.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Yohimbine.]
[N06AA07, lofepramine, The serum concentration of Yohimbine can be increased when it is combined with Lofepramine.]
[N05BA06, lorazepam, The therapeutic efficacy of Lorazepam can be increased when used in combination with Yohimbine.]
[C10AA02, lovastatin, The metabolism of Yohimbine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Yohimbine.]
[L01EG01, temsirolimus, The metabolism of Yohimbine can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Yohimbine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Yohimbine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Yohimbine.]
[C02BB01, mecamylamine, Yohimbine may decrease the antihypertensive activities of Mecamylamine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Yohimbine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Meclofenamic acid is combined with Yohimbine.]
[N05BA03, medazepam, The therapeutic efficacy of Medazepam can be increased when used in combination with Yohimbine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Yohimbine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Yohimbine.]
[C01CA11, mephentermine, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Yohimbine.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Yohimbine.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Mepivacaine is combined with Yohimbine.]
[N05BC01, meprobamate, The therapeutic efficacy of Meprobamate can be increased when used in combination with Yohimbine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Yohimbine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Paliperidone is combined with Yohimbine.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Yohimbine.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Yohimbine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Yohimbine.]
[N06BA03, methamphetamine, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Metamfetamine.]
[A03AB07, methantheline, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Yohimbine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Yohimbine.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Yohimbine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Yohimbine can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Yohimbine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Yohimbine.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Yohimbine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Yohimbine.]
[C02AB01, methyldopa, Yohimbine may decrease the antihypertensive activities of Methyldopa.]
[V04CG05, methylene blue, Yohimbine may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Yohimbine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Yohimbine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Yohimbine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Yohimbine.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Yohimbine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Yohimbine.]
[C03BA08, metolazone, Yohimbine may decrease the antihypertensive activities of Metolazone.]
[C07AB02, metoprolol, The metabolism of Yohimbine can be decreased when combined with Metoprolol.]
[C01BB02, mexiletine, The metabolism of Yohimbine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Yohimbine is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Yohimbine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Yohimbine is combined with Aminophenazone.]
[N05CD08, midazolam, The therapeutic efficacy of Midazolam can be increased when used in combination with Yohimbine.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Yohimbine.]
[G03XB01, mifepristone, The metabolism of Yohimbine can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, Yohimbine may decrease the antihypertensive activities of Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[D11AX01, minoxidil, Yohimbine may decrease the antihypertensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Yohimbine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Yohimbine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The serum concentration of Yohimbine can be increased when it is combined with Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Yohimbine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Yohimbine.]
[L04AB05, certolizumab pegol, The metabolism of Yohimbine can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The metabolism of Yohimbine can be decreased when combined with Pazopanib.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Yohimbine.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Yohimbine.]
[N06AA17, amoxapine, The serum concentration of Yohimbine can be increased when it is combined with Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Yohimbine can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Yohimbine may decrease the antihypertensive activities of Nadolol.]
[N04BC04, ropinirole, The therapeutic efficacy of Ropinirole can be decreased when used in combination with Yohimbine.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Yohimbine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Yohimbine.]
[V03AB15, naloxone, The metabolism of Yohimbine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Naltrexone is combined with Yohimbine.]
[L04AC03, anakinra, The metabolism of Yohimbine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Yohimbine is combined with Naphazoline.]
[N06BA01, amphetamine, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Naproxen is combined with Yohimbine.]
[N06AX21, duloxetine, The metabolism of Yohimbine can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Yohimbine.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Yohimbine.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Yohimbine may decrease the antihypertensive activities of Telmisartan.]
[C10AD02, niacin, The metabolism of Yohimbine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Nialamide.]
[C08CA04, nicardipine, The metabolism of Yohimbine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Yohimbine.]
[C08CA05, nifedipine, The metabolism of Yohimbine can be decreased when combined with Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Yohimbine is combined with Niflumic acid.]
[C08CA06, nimodipine, Yohimbine may decrease the antihypertensive activities of Nimodipine.]
[C08CA07, nisoldipine, Yohimbine may decrease the antihypertensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The therapeutic efficacy of Nitrazepam can be increased when used in combination with Yohimbine.]
[C08CA08, nitrendipine, Yohimbine may decrease the antihypertensive activities of Nitrendipine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Yohimbine.]
[N04BC05, pramipexole, The therapeutic efficacy of Pramipexole can be decreased when used in combination with Yohimbine.]
[C02DD01, nitroprusside, Yohimbine may decrease the antihypertensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Nomifensine.]
[C01CA03, norepinephrine, Yohimbine may decrease the hypertensive activities of Norepinephrine.]
[C02KX01, bosentan, Yohimbine may decrease the antihypertensive activities of Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Yohimbine can be increased when it is combined with Nortriptyline.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Yohimbine is combined with Nylidrin.]
[L04AC04, rilonacept, The metabolism of Yohimbine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Yohimbine can be decreased when combined with Omeprazole.]
[N06AA05, opipramol, The serum concentration of Yohimbine can be increased when it is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Yohimbine is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Orciprenaline is combined with Yohimbine.]
[G02CB04, quinagolide, The therapeutic efficacy of Quinagolide can be decreased when used in combination with Yohimbine.]
[G04CA02, tamsulosin, The metabolism of Yohimbine can be decreased when combined with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Yohimbine can be decreased when combined with Oxamniquine.]
[N05BA04, oxazepam, The therapeutic efficacy of Oxazepam can be increased when used in combination with Yohimbine.]
[C07AA02, oxprenolol, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Yohimbine.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Yohimbine.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Yohimbine is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Oxymetazoline is combined with Yohimbine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Yohimbine.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Yohimbine is combined with Oxyphenbutazone.]
[A03AB03, oxyphenonium, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Oxyphenonium.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[M03AC01, pancuronium, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Pancuronium.]
[N05CC05, paraldehyde, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Yohimbine is combined with Pargyline.]
[G04BD11, fesoterodine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Fesoterodine.]
[C07AA23, penbutolol, The risk or severity of adverse effects can be increased when Penbutolol is combined with Yohimbine.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Yohimbine.]
[N05CA01, pentobarbital, The metabolism of Yohimbine can be increased when combined with Pentobarbital.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Pergolide is combined with Yohimbine.]
[C08EX02, perhexiline, The metabolism of Yohimbine can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Perphenazine is combined with Yohimbine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Yohimbine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Yohimbine.]
[A10BA01, phenformin, The metabolism of Yohimbine can be decreased when combined with Phenformin.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Yohimbine is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Yohimbine can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Yohimbine may decrease the antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Yohimbine is combined with Phenprocoumon.]
[A08AA01, phentermine, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Yohimbine may decrease the antihypertensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Phenylbutazone is combined with Yohimbine.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Yohimbine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Phenylpropanolamine is combined with Yohimbine.]
[N03AB02, phenytoin, The metabolism of Yohimbine can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Yohimbine can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Yohimbine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Yohimbine.]
[C07AA03, pindolol, The risk or severity of adverse effects can be increased when Pindolol is combined with Yohimbine.]
[J05AE01, saquinavir, The metabolism of Yohimbine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Yohimbine can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Pipotiazine.]
[C09CA02, eprosartan, Yohimbine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Yohimbine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Yohimbine.]
[N02CX01, pizotyline, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Yohimbine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, Yohimbine may decrease the antihypertensive activities of Irbesartan.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Yohimbine is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Alosetron is combined with Yohimbine.]
[L04AC08, canakinumab, The metabolism of Yohimbine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Yohimbine may decrease the antihypertensive activities of Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Yohimbine can be increased when it is combined with Ritonavir.]
[C07AB01, practolol, Yohimbine may decrease the antihypertensive activities of Practolol.]
[N05BA11, prazepam, The therapeutic efficacy of Prazepam can be increased when used in combination with Yohimbine.]
[C02CA01, prazosin, Yohimbine may decrease the antihypertensive activities of Prazosin.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Yohimbine.]
[P01BA03, primaquine, The metabolism of Yohimbine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Yohimbine can be increased when combined with Primidone.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Yohimbine.]
[S01HA05, procaine, The risk or severity of adverse effects can be increased when Procaine is combined with Yohimbine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Yohimbine.]
