[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Resveratrol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Telithromycin.]
[G03CA57, estrogens, conjugated (USP), Indobufen may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Valdecoxib may increase the thrombogenic activities of Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Isosulfan blue which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Parecoxib may increase the thrombogenic activities of Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Itraconazole.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Bemiparin.]
[G03CA57, estrogens, conjugated (USP), The excretion of Acyclovir can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Kebuzone may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Imatinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Posaconazole.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens can cause an increase in the absorption of Copper resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Esomeprazole.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Cortisone acetate can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Cortisone can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Lofexidine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Lomefloxacin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Lonazolac may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Loxoprofen may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Coumarin.]
[G03CA57, estrogens, conjugated (USP), Loracarbef may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Lisinopril.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Lisinopril.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Magnesium trisilicate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Meprednisone can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Curcumin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Eplerenone may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Methylnaltrexone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Melperone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Cyclopenthiazide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The excretion of Tenofovir disoproxil can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Cyclosporine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Armodafinil.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Moexipril.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Cyproterone acetate.]
[G03CA57, estrogens, conjugated (USP), The excretion of Rosuvastatin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Mofebutazone may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Morniflumate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Conivaptan.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Omalizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Arformoterol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Entecavir can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Entecavir can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Etoricoxib can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Dacarbazine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of N-acetyltyrosine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Danazol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Dantrolene can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of adverse effects can be increased when Prasterone is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Nabumetone can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Nefazodone.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Cetuximab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Theodrenaline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Fondaparinux.]
[G03CA57, estrogens, conjugated (USP), Olsalazine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Desmopressin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Oxaprozin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Dexamethasone acetate can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Dexamethasone acetate can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Dexamethasone can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Oxybenzone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Dexfenfluramine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Adalimumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Adalimumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Adalimumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Adalimumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Adalimumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Adalimumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Adalimumab.]
[G03CA57, estrogens, conjugated (USP), Gefitinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Amphetamine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Paroxetine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Patent Blue which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Clopidogrel can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Pentifylline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Diatrizoate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Dibenzepin can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Diclofenamide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Diclofenac.]
[G03CA57, estrogens, conjugated (USP), Foscarnet may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Erlotinib can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Piretanide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Diethylstilbestrol may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Isradipine.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Diflunisal may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Dihydralazine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Ezetimibe can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Hydromorphone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Lenalidomide.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Potassium bicarbonate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Atazanavir.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Potassium nitrate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Potassium sulfate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Diltiazem.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Propentofylline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Propyphenazone may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Proglumetacin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Dinoprostone can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Protein S human.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Proxyphylline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Pyrithione which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Quinapril can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Dipyridamole.]
[G03CA57, estrogens, conjugated (USP), Metamizole may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Drotrecogin alfa.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Drotrecogin alfa.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Quinupramine can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Ramipril is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Sirolimus.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Disopyramide.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Human Rho(D) immune globulin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Human Rho(D) immune globulin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Natalizumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Rifamycin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Rifapentine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Riluzole can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Efalizumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Ropivacaine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Rosoxacin.]
[G03CA57, estrogens, conjugated (USP), Sunitinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Aprepitant.]
[G03CA57, estrogens, conjugated (USP), Tolvaptan may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Bortezomib.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Ketorolac may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Ambrisentan can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Ranolazine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Salsalate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Salmon calcitonin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Domperidone can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Dosulepin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Selenious acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Doxepin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Doxycycline may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Doxycycline may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Simvastatin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Spirapril.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Strontium chloride which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Succinic acid can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Sumatriptan can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Edetic acid.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Corticotropin can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Tazobactam can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Temafloxacin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Tenoxicam.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Terbinafine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Tianeptine can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Enalapril.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Enalaprilat.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Enalaprilat.]
[G03CA57, estrogens, conjugated (USP), Tolfenamic acid may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Atomoxetine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Topiramate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Torasemide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Trandolapril.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Triflusal.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Trilostane can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Troxerutin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Enoxacin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Human varicella-zoster immune globulin.]
[G03CA57, estrogens, conjugated (USP), Venlafaxine may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Barnidipine.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Zofenopril.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Zolpidem can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Zomepirac may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Zonisamide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Zotepine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Anistreplase.]
[G03CA57, estrogens, conjugated (USP), Carboplatin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Ergotamine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Valproic acid can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Valproic acid can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Erythromycin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Zileuton.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Pantoprazole.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Cinacalcet can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Estradiol can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Estradiol acetate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Estradiol cypionate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Estradiol valerate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Antilymphocyte immunoglobulin (horse).]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be increased when combined with Testosterone cypionate.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Theophylline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Fusidic acid.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Pipemidic acid.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Tetanus immune globulin, human.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Mefenamic acid can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
