[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Donepezil.]
[M01AC06, meloxicam, The metabolism of Donepezil can be decreased when combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Donepezil is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Donepezil.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Donepezil is combined with Sertindole.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Donepezil.]
[R06AX12, terfenadine, The therapeutic efficacy of Terfenadine can be decreased when used in combination with Donepezil.]
[N06AX12, bupropion, The metabolism of Donepezil can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Donepezil can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Donepezil.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[C08CA02, felodipine, The metabolism of Donepezil can be decreased when combined with Felodipine.]
[C08EA01, fendiline, Donepezil may increase the bradycardic activities of Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Donepezil.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Donepezil.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Donepezil.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Donepezil is combined with Cevimeline.]
[G04BD02, flavoxate, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Donepezil.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Donepezil.]
[J02AC01, fluconazole, The metabolism of Donepezil can be decreased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Fludrocortisone.]
[D07XB01, flumethasone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Flumethasone.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Donepezil is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The therapeutic efficacy of Donepezil can be decreased when used in combination with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Donepezil is combined with Melitracen.]
[H02AB03, fluocortolone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Fluocortolone.]
[V03AZ01, ethanol, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Donepezil can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Fluorometholone.]
[L01BC02, fluorouracil, The metabolism of Donepezil can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The therapeutic efficacy of Fluoxetine can be decreased when used in combination with Donepezil.]
[N05AF01, flupenthixol, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Donepezil.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Donepezil.]
[S01BC04, flurbiprofen, The metabolism of Donepezil can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Donepezil is combined with Fluspirilene.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be decreased when used in combination with Donepezil.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Donepezil.]
[J05AE10, darunavir, The metabolism of Donepezil can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Donepezil is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Donepezil is combined with Amisulpride.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Donepezil.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be decreased when used in combination with Donepezil.]
[C08DA02, gallopamil, Donepezil may increase the bradycardic activities of Gallopamil.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Donepezil is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Donepezil is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Donepezil can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, Dasatinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Donepezil.]
[J05AG04, etravirine, The metabolism of Donepezil can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Donepezil is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Donepezil.]
[A10BB01, glyburide, The metabolism of Donepezil can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Donepezil.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Donepezil.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Donepezil.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Donepezil is combined with Glutethimide.]
[C02CA04, doxazosin, The metabolism of Donepezil can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Donepezil can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Donepezil may increase the bradycardic activities of Esmolol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Donepezil.]
[P01BX01, halofantrine, The metabolism of Donepezil can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Donepezil.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Donepezil is combined with Halothane.]
[N05AH04, quetiapine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Donepezil.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Donepezil is combined with Iprazochrome.]
[L01CE02, irinotecan, Donepezil may increase the neuromuscular blocking activities of Irinotecan.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Donepezil is combined with Allobarbital.]
[C09CA01, losartan, The metabolism of Donepezil can be decreased when combined with Losartan.]
[N05CA16, hexobarbital, The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Donepezil.]
[J05AG01, nevirapine, The metabolism of Donepezil can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Donepezil can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Donepezil may increase the bradycardic activities of Nimesulide.]
[R05DA03, hydrocodone, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Hydrocortisone.]
[G04BD06, propiverine, The therapeutic efficacy of Propiverine can be decreased when used in combination with Donepezil.]
[P01BA02, hydroxychloroquine, The metabolism of Donepezil can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Donepezil is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Donepezil.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Donepezil.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Donepezil.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Donepezil.]
[N06AA02, imipramine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Donepezil.]
[R01AD07, tixocortol, The therapeutic efficacy of Donepezil can be decreased when used in combination with Tixocortol.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Donepezil.]
[S01BC01, indomethacin, The metabolism of Donepezil can be decreased when combined with Indomethacin.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Donepezil is combined with Milnacipran.]
[A03AA30, piperidolate, The therapeutic efficacy of Piperidolate can be decreased when used in combination with Donepezil.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Donepezil is combined with Varenicline.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Donepezil is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Donepezil.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Donepezil is combined with Ramelteon.]
[R06AE01, buclizine, The therapeutic efficacy of Buclizine can be decreased when used in combination with Donepezil.]
[C10AA06, cerivastatin, The metabolism of Donepezil can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, Donepezil may increase the bradycardic activities of Alprenolol.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Donepezil.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Donepezil is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Donepezil is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Donepezil is combined with Isocarboxazid.]
[P01AX06, atovaquone, The metabolism of Donepezil can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Donepezil.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Donepezil.]
[J04AC01, isoniazid, The metabolism of Donepezil can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Donepezil.]
[L04AC07, tocilizumab, The metabolism of Donepezil can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Donepezil is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Donepezil is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Donepezil.]
[J02AB02, ketoconazole, The metabolism of Donepezil can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Donepezil can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Donepezil.]
[L04AA24, abatacept, The metabolism of Donepezil can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Donepezil may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, Donepezil may increase the bradycardic activities of Labetalol.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Donepezil.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Donepezil is combined with Lacosamide.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Donepezil is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Donepezil.]
[C08EX01, lidoflazine, Donepezil may increase the bradycardic activities of Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Donepezil can be decreased when combined with Armodafinil.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Donepezil.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Donepezil is combined with Lofepramine.]
[A07DA03, loperamide, Loperamide may increase the bradycardic activities of Donepezil.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Donepezil.]
[C10AA02, lovastatin, The metabolism of Donepezil can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Donepezil.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Donepezil.]
[L01EG01, temsirolimus, The metabolism of Donepezil can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Donepezil can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Donepezil can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The therapeutic efficacy of Maprotiline can be decreased when used in combination with Donepezil.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Donepezil.]
[C02BB01, mecamylamine, The therapeutic efficacy of Mecamylamine can be decreased when used in combination with Donepezil.]
[R06AE05, meclizine, The therapeutic efficacy of Meclizine can be decreased when used in combination with Donepezil.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Medazepam.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Donepezil is combined with Melatonin.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Donepezil.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Donepezil.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Donepezil.]
[N01BB03, mepivacaine, The risk or severity of adverse effects can be increased when Donepezil is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Donepezil.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Donepezil is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Donepezil is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Donepezil.]
[H01CB03, lanreotide, Donepezil may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Donepezil.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Donepezil is combined with Metamfetamine.]
[A03AB07, methantheline, The therapeutic efficacy of Methantheline can be decreased when used in combination with Donepezil.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Donepezil is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Donepezil is combined with Methaqualone.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Donepezil.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Donepezil is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Donepezil can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Donepezil.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Donepezil.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Donepezil is combined with Ziconotide.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Methotrimeprazine can be decreased when used in combination with Donepezil.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Donepezil is combined with Methoxyflurane.]
[C02AB01, methyldopa, Donepezil may increase the bradycardic activities of Methyldopa.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Donepezil is combined with Methylene blue.]
[H02AB04, methylprednisolone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The therapeutic efficacy of Donepezil can be decreased when used in combination with Methylprednisolone aceponate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Donepezil.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Donepezil is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Donepezil.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Donepezil.]
[C07AB02, metoprolol, The metabolism of Donepezil can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Donepezil can be decreased when combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Donepezil can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The risk or severity of adverse effects can be increased when Donepezil is combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Donepezil can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Donepezil.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Donepezil.]
[C01CA17, midodrine, Midodrine may increase the bradycardic activities of Donepezil.]
[G03XB01, mifepristone, The metabolism of Donepezil can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Donepezil can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[L01XX23, mitotane, The metabolism of Donepezil can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Donepezil can be decreased when combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Donepezil is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Donepezil can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The therapeutic efficacy of Amitriptyline can be decreased when used in combination with Donepezil.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Donepezil.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Donepezil.]
[L04AB05, certolizumab pegol, The metabolism of Donepezil can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, Eltrombopag may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Donepezil can be decreased when combined with Pazopanib.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be decreased when used in combination with Donepezil.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Donepezil.]
[P01BA06, amodiaquine, The metabolism of Donepezil can be decreased when combined with Amodiaquine.]
[R03BB01, ipratropium bromide, The therapeutic efficacy of Ipratropium can be decreased when used in combination with Donepezil.]
[N06AA17, amoxapine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Donepezil.]
[N03AB05, fosphenytoin, The metabolism of Donepezil can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Donepezil may increase the bradycardic activities of Nadolol.]
[N04BC04, ropinirole, Donepezil may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Donepezil is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Donepezil is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Donepezil can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of respiratory depression can be increased when Naltrexone is combined with Donepezil.]
[L04AC03, anakinra, The metabolism of Donepezil can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Donepezil can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, The metabolism of Donepezil can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Donepezil can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Donepezil can be decreased when combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Donepezil.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Donepezil is combined with Remifentanil.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Donepezil is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Donepezil is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[M04AA03, febuxostat, The excretion of Donepezil can be decreased when combined with Febuxostat.]
[C10AD02, niacin, The metabolism of Donepezil can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Donepezil is combined with Nialamide.]
[C08CA04, nicardipine, The therapeutic efficacy of Nicardipine can be decreased when used in combination with Donepezil.]
[C04AE02, nicergoline, The metabolism of Donepezil can be decreased when combined with Nicergoline.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Donepezil.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Donepezil is combined with Nicotine.]
[C08CA05, nifedipine, Donepezil may increase the bradycardic activities of Nifedipine.]
[C08CA06, nimodipine, Nimodipine may increase the bradycardic activities of Donepezil.]
[C08CA07, nisoldipine, Nisoldipine may increase the bradycardic activities of Donepezil.]
[N05CD02, nitrazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Nitrazepam.]
[C08CA08, nitrendipine, Donepezil may increase the bradycardic activities of Nitrendipine.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Donepezil is combined with Zaleplon.]
[N04BC05, pramipexole, Donepezil may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Donepezil is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Donepezil is combined with Nomifensine.]
[C02KX01, bosentan, The metabolism of Donepezil can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The therapeutic efficacy of Nortriptyline can be decreased when used in combination with Donepezil.]
[R05DA07, noscapine, The metabolism of Donepezil can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, Donepezil may increase the bradycardic activities of Nylidrin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Donepezil.]
[L04AC04, rilonacept, The metabolism of Donepezil can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, Omeprazole may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Donepezil is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Donepezil is combined with Opium.]
[G04CA02, tamsulosin, The metabolism of Donepezil can be decreased when combined with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Donepezil can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Donepezil can be decreased when combined with Oxandrolone.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Donepezil.]
[C07AA02, oxprenolol, Donepezil may increase the bradycardic activities of Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Donepezil.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Donepezil is combined with Oxymorphone.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Donepezil is combined with Oxypertine.]
[A03AB03, oxyphenonium, The therapeutic efficacy of Oxyphenonium can be decreased when used in combination with Donepezil.]
[N05AH05, asenapine, The risk or severity of adverse effects can be increased when Donepezil is combined with Asenapine.]
[N02AX06, tapentadol, Tapentadol may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Donepezil.]
[N05CC05, paraldehyde, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Paraldehyde.]
[H02AB05, paramethasone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Paramethasone.]
[C02KC01, pargyline, The risk or severity of adverse effects can be increased when Donepezil is combined with Pargyline.]
[G04BD11, fesoterodine, The therapeutic efficacy of Fesoterodine can be decreased when used in combination with Donepezil.]
[C07AA23, penbutolol, Donepezil may increase the bradycardic activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Donepezil is combined with Penfluridol.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Pentazocine is combined with Donepezil.]
[N05CA01, pentobarbital, The therapeutic efficacy of Pentobarbital can be decreased when used in combination with Donepezil.]
[N05AB10, perazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of adverse effects can be increased when Donepezil is combined with Pergolide.]
[C08EX02, perhexiline, The metabolism of Donepezil can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Donepezil.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Donepezil is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of adverse effects can be increased when Phenelzine is combined with Donepezil.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Donepezil.]
[N03AA02, phenobarbital, The therapeutic efficacy of Phenobarbital can be decreased when used in combination with Donepezil.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Donepezil is combined with Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Donepezil.]
[M02AA01, phenylbutazone, The metabolism of Donepezil can be decreased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Donepezil can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Donepezil can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Donepezil can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Donepezil is combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Donepezil.]
[C07AA03, pindolol, Donepezil may increase the bradycardic activities of Pindolol.]
[J05AE01, saquinavir, The metabolism of Donepezil can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Donepezil can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Pipotiazine.]
[A02BX03, pirenzepine, The therapeutic efficacy of Pirenzepine can be decreased when used in combination with Donepezil.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Donepezil is combined with Piritramide.]
[S01BC06, piroxicam, The metabolism of Donepezil can be decreased when combined with Piroxicam.]
[N02CX01, pizotyline, The therapeutic efficacy of Pizotifen can be decreased when used in combination with Donepezil.]
[J05AG02, delavirdine, The metabolism of Donepezil can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Donepezil.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Donepezil is combined with Proxibarbal.]
[A10BG02, rosiglitazone, The metabolism of Donepezil can be decreased when combined with Rosiglitazone.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Donepezil is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Donepezil can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Donepezil can be increased when it is combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Donepezil.]
[C07AB01, practolol, Donepezil may increase the bradycardic activities of Practolol.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Prazepam.]
[S03BA02, prednisolone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Prednisolone.]
[H02AB07, prednisone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Prednisone.]
[C01DX02, prenylamine, Donepezil may increase the bradycardic activities of Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Donepezil.]
[P01BA03, primaquine, The metabolism of Donepezil can be decreased when combined with Primaquine.]
[N03AA03, primidone, The therapeutic efficacy of Primidone can be decreased when used in combination with Donepezil.]
[M04AB01, probenecid, The metabolism of Donepezil can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Donepezil.]
[S01HA05, procaine, The therapeutic efficacy of Procaine can be decreased when used in combination with Donepezil.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Donepezil can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Donepezil.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Donepezil.]
