[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Idarubicin.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Idarubicin.]
[A03FA01, metoclopramide, The metabolism of Idarubicin can be decreased when combined with Metoclopramide.]
[C07AB02, metoprolol, The metabolism of Idarubicin can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Idarubicin can be decreased when combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Idarubicin can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Idarubicin.]
[S02AA13, miconazole, The metabolism of Idarubicin can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Idarubicin.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Idarubicin.]
[G03XB01, mifepristone, The metabolism of Idarubicin can be decreased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Idarubicin.]
[C09CA03, valsartan, The metabolism of Idarubicin can be decreased when combined with Valsartan.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The metabolism of Idarubicin can be decreased when combined with Lisdexamfetamine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Idarubicin.]
[C01BD01, amiodarone, The metabolism of Idarubicin can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Idarubicin.]
[A04AA05, palonosetron, The metabolism of Idarubicin can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Idarubicin can be increased when combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Idarubicin.]
[P01BA06, amodiaquine, The metabolism of Idarubicin can be decreased when combined with Amodiaquine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Idarubicin.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Idarubicin.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Idarubicin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Idarubicin.]
[L04AC03, anakinra, The metabolism of Idarubicin can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Idarubicin can be decreased when combined with Amphetamine.]
[M02AA12, naproxen, The metabolism of Idarubicin can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Idarubicin can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Idarubicin can be decreased when combined with Duloxetine.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Idarubicin.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Idarubicin is combined with Docetaxel.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Idarubicin.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Idarubicin.]
[N06AX23, desvenlafaxine, The metabolism of Idarubicin can be decreased when combined with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Idarubicin.]
[C10AD02, niacin, The metabolism of Idarubicin can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Idarubicin can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Idarubicin can be decreased when combined with Nicergoline.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Idarubicin.]
[C08CA05, nifedipine, The metabolism of Idarubicin can be decreased when combined with Nifedipine.]
[C02KX01, bosentan, The metabolism of Idarubicin can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Idarubicin.]
[R05DA07, noscapine, The metabolism of Idarubicin can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Idarubicin.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Idarubicin.]
[L04AC04, rilonacept, The metabolism of Idarubicin can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Idarubicin can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Idarubicin.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Idarubicin.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Idarubicin.]
[G04CA02, tamsulosin, The metabolism of Idarubicin can be decreased when combined with Tamsulosin.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Idarubicin.]
[P02BA02, oxamniquine, The metabolism of Idarubicin can be decreased when combined with Oxamniquine.]
[A14AA08, oxandrolone, The metabolism of Idarubicin can be decreased when combined with Oxandrolone.]
[C07AA02, oxprenolol, The metabolism of Idarubicin can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Idarubicin can be decreased when combined with Oxycodone.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Idarubicin.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Idarubicin.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Paramethasone.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Idarubicin.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Idarubicin.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Idarubicin.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Idarubicin.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Idarubicin.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Idarubicin.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Idarubicin.]
[C08EX02, perhexiline, The metabolism of Idarubicin can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Idarubicin can be decreased when combined with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Idarubicin.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Idarubicin.]
[A10BA01, phenformin, The metabolism of Idarubicin can be decreased when combined with Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Idarubicin.]
[N03AA02, phenobarbital, The metabolism of Idarubicin can be decreased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Idarubicin.]
[M02AA01, phenylbutazone, The metabolism of Idarubicin can be decreased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Idarubicin can be decreased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Idarubicin can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Idarubicin can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Idarubicin.]
[C07AA03, pindolol, The metabolism of Idarubicin can be decreased when combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Idarubicin can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Idarubicin can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Idarubicin can be decreased when combined with Pipotiazine.]
[S01BC06, piroxicam, The metabolism of Idarubicin can be decreased when combined with Piroxicam.]
[J05AG02, delavirdine, The metabolism of Idarubicin can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Idarubicin can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Idarubicin.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Idarubicin.]
[A10BG02, rosiglitazone, The metabolism of Idarubicin can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Idarubicin is combined with Anastrozole.]
[A03AE01, alosetron, The metabolism of Idarubicin can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Idarubicin can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Idarubicin.]
[J05AE03, ritonavir, The metabolism of Idarubicin can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Idarubicin.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Idarubicin.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Idarubicin.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Idarubicin.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Idarubicin can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Idarubicin can be decreased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Idarubicin can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Idarubicin.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Idarubicin.]
[C10AB05, fenofibrate, The metabolism of Idarubicin can be decreased when combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Idarubicin can be decreased when combined with Prochlorperazine.]
[G03DA04, progesterone, The metabolism of Idarubicin can be decreased when combined with Progesterone.]
[N05AA03, promazine, The metabolism of Idarubicin can be decreased when combined with Promazine.]
[R06AD02, promethazine, The metabolism of Idarubicin can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Idarubicin can be decreased when combined with Propafenone.]
[N01AX10, propofol, The metabolism of Idarubicin can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Idarubicin can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Idarubicin can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Idarubicin.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Idarubicin.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Idarubicin.]
[R03DC03, montelukast, The metabolism of Idarubicin can be decreased when combined with Montelukast.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Idarubicin.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Idarubicin.]
[R06AC01, pyrilamine, The metabolism of Idarubicin can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Idarubicin can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Idarubicin can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Idarubicin can be decreased when combined with Ranitidine.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Idarubicin.]
[S01BC08, salicylic acid, The metabolism of Idarubicin can be decreased when combined with Salicylic acid.]
[N04BD01, selegiline, The metabolism of Idarubicin can be decreased when combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Idarubicin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Idarubicin.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Idarubicin is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Idarubicin.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Idarubicin is combined with Paclitaxel poliglumex.]
