[S02DA03, antipyrine, The serum concentration of Antipyrine can be decreased when it is combined with Leflunomide.]
[P01AB01, metronidazole, The metabolism of Leflunomide can be decreased when combined with Metronidazole.]
[C01BB02, mexiletine, The serum concentration of Mexiletine can be decreased when it is combined with Leflunomide.]
[N06AX03, mianserin, The serum concentration of Mianserin can be decreased when it is combined with Leflunomide.]
[S02AA13, miconazole, The metabolism of Leflunomide can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The serum concentration of Aminophenazone can be decreased when it is combined with Leflunomide.]
[G03XB01, mifepristone, The metabolism of Leflunomide can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Leflunomide can be decreased when combined with Valsartan.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Minocycline is combined with Leflunomide.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Leflunomide.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Leflunomide.]
[C01BD01, amiodarone, The metabolism of Leflunomide can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The serum concentration of Amitriptyline can be decreased when it is combined with Leflunomide.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Leflunomide.]
[B02BX05, eltrombopag, The serum concentration of Eltrombopag can be decreased when it is combined with Leflunomide.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Leflunomide.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Pazopanib is combined with Leflunomide.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Leflunomide.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Raltegravir.]
[P01BA06, amodiaquine, The metabolism of Leflunomide can be decreased when combined with Amodiaquine.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Leflunomide.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Leflunomide.]
[N04BC04, ropinirole, The serum concentration of Ropinirole can be decreased when it is combined with Leflunomide.]
[J01CF06, nafcillin, The metabolism of Leflunomide can be increased when combined with Nafcillin.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Naltrexone is combined with Leflunomide.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Leflunomide.]
[M02AA12, naproxen, The serum concentration of Naproxen can be decreased when it is combined with Leflunomide.]
[A10BG01, troglitazone, The metabolism of Leflunomide can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Leflunomide.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Docetaxel is combined with Leflunomide.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Letrozole is combined with Leflunomide.]
[A10BX02, repaglinide, The serum concentration of Repaglinide can be increased when it is combined with Leflunomide.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Amphotericin B is combined with Leflunomide.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[M04AA03, febuxostat, The excretion of Leflunomide can be decreased when combined with Febuxostat.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Leflunomide.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Leflunomide.]
[C08CA04, nicardipine, The metabolism of Leflunomide can be decreased when combined with Nicardipine.]
[P02DA01, niclosamide, The metabolism of Leflunomide can be decreased when combined with Niclosamide.]
[C08CA05, nifedipine, The serum concentration of Nifedipine can be decreased when it is combined with Leflunomide.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Leflunomide.]
[C02KX01, bosentan, The metabolism of Leflunomide can be increased when combined with Bosentan.]
[R05DA07, noscapine, The metabolism of Leflunomide can be decreased when combined with Noscapine.]
[L03AB07, interferon beta-1a, The metabolism of Leflunomide can be decreased when combined with Interferon beta-1a.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Ofloxacin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Rilonacept is combined with Leflunomide.]
[A02BC01, omeprazole, Omeprazole may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[A14AA08, oxandrolone, The metabolism of Leflunomide can be decreased when combined with Oxandrolone.]
[N05AH05, asenapine, The serum concentration of Asenapine can be decreased when it is combined with Leflunomide.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Leflunomide.]
[J01MA03, pefloxacin, The metabolism of Leflunomide can be decreased when combined with Pefloxacin.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Leflunomide.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Leflunomide.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Leflunomide.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Leflunomide.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be decreased when it is combined with Leflunomide.]
[N05AB03, perphenazine, The serum concentration of Perphenazine can be decreased when it is combined with Leflunomide.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Leflunomide.]
[N02BE03, phenacetin, The serum concentration of Phenacetin can be decreased when it is combined with Leflunomide.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Leflunomide.]
[N03AA02, phenobarbital, The metabolism of Phenobarbital can be decreased when combined with Leflunomide.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Leflunomide.]
[M02AA01, phenylbutazone, The metabolism of Leflunomide can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Leflunomide can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Leflunomide.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Golimumab is combined with Leflunomide.]
[C08CX01, mibefradil, The metabolism of Leflunomide can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The serum concentration of Pimozide can be decreased when it is combined with Leflunomide.]
[C10AA05, atorvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Atorvastatin is combined with Leflunomide.]
[J05AE01, saquinavir, Saquinavir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Eprosartan is combined with Leflunomide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Leflunomide.]
[J01MA11, grepafloxacin, The serum concentration of Grepafloxacin can be decreased when it is combined with Leflunomide.]
[J05AG02, delavirdine, The metabolism of Leflunomide can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Leflunomide.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Leflunomide.]
[A03AE01, alosetron, The serum concentration of Alosetron can be decreased when it is combined with Leflunomide.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Canakinumab is combined with Leflunomide.]
[J05AE03, ritonavir, Ritonavir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Pitavastatin.]
[P02BA01, praziquantel, The serum concentration of Praziquantel can be decreased when it is combined with Leflunomide.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Leflunomide.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Leflunomide.]
[P01BA03, primaquine, The serum concentration of Primaquine can be decreased when it is combined with Leflunomide.]
[N03AA03, primidone, The metabolism of Leflunomide can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Leflunomide can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Leflunomide.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Leflunomide.]
[C10AB05, fenofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Fenofibrate is combined with Leflunomide.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N05AA03, promazine, The serum concentration of Promazine can be decreased when it is combined with Leflunomide.]
[R06AD02, promethazine, The metabolism of Leflunomide can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The serum concentration of Propafenone can be decreased when it is combined with Leflunomide.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Leflunomide.]
[C07AA05, propranolol, The serum concentration of Propranolol can be decreased when it is combined with Leflunomide.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Leflunomide.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Leflunomide.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Leflunomide.]
[C01BA01, quinidine, The metabolism of Leflunomide can be decreased when combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Quinine can be decreased when it is combined with Leflunomide.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be decreased when it is combined with Leflunomide.]
[J04AB02, rifampin, The serum concentration of teriflunomide (A77 1726), an active metabolite of Leflunomide, can be increased when used in combination with Rifampicin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Leflunomide.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Leflunomide.]
[N04BD01, selegiline, The serum concentration of Selegiline can be decreased when it is combined with Leflunomide.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Obinutuzumab is combined with Leflunomide.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Leflunomide.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Leflunomide.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Leflunomide.]
[N03AG01, valproic acid, The metabolism of Leflunomide can be decreased when combined with Valproic acid.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Leflunomide.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Hydrocortisone butyrate is combined with Leflunomide.]
