[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Linezolid is combined with Antipyrine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Linezolid is combined with Xamoterol.]
[S01GA03, xylometazoline, Linezolid may increase the hypertensive activities of Xylometazoline.]
[C08CA12, mepirodipine, Linezolid may increase the orthostatic hypotensive activities of Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Linezolid is combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Linezolid.]
[C09AA15, zofenopril, Linezolid may increase the hypotensive activities of Zofenopril.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Linezolid is combined with Zomepirac.]
[N03AX15, zonisamide, The therapeutic efficacy of Zonisamide can be decreased when used in combination with Linezolid.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Linezolid is combined with Insulin glulisine.]
[N05AX11, zotepine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Zotepine.]
[B01AD03, anistreplase, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Anistreplase.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Linezolid is combined with Carboplatin.]
[C02AC02, guanfacine, Linezolid may increase the hypotensive activities of Guanfacine.]
[B01AC11, iloprost, Linezolid may increase the orthostatic hypotensive activities of Iloprost.]
[C01BG01, moricizine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Ergotamine.]
[N05CD04, estazolam, The therapeutic efficacy of Estazolam can be decreased when used in combination with Linezolid.]
[G03CA03, estradiol, The excretion of Estradiol can be decreased when combined with Linezolid.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Linezolid is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Linezolid.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Linezolid is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Linezolid is combined with Fluticasone.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Linezolid is combined with Gepefrine.]
[V03AF05, amifostine, Linezolid may increase the orthostatic hypotensive activities of Amifostine.]
[N03AD01, ethosuximide, The therapeutic efficacy of Ethosuximide can be decreased when used in combination with Linezolid.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be decreased when used in combination with Linezolid.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Linezolid is combined with Etilefrine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Linezolid.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Linezolid is combined with Etoposide.]
[N05AE03, sertindole, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Sertindole.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Linezolid.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Linezolid is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Fluvoxamine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Linezolid.]
[C10AA03, pravastatin, The excretion of Pravastatin can be decreased when combined with Linezolid.]
[B05AA05, dextran, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Dextran.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Linezolid.]
[A02BA03, famotidine, The excretion of Famotidine can be decreased when combined with Linezolid.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Linezolid.]
[C08CA02, felodipine, Linezolid may increase the hypotensive activities of Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Linezolid.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Linezolid is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Linezolid is combined with Salbutamol.]
[B01AD05, plasmin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Fibrinolysin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Linezolid is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Linezolid.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Linezolid is combined with Floctafenine.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Linezolid is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Linezolid is combined with Fludrocortisone.]
[N07CA03, flunarizine, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Linezolid.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Linezolid is combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Melitracen.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Linezolid is combined with Fluocortolone.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Ethanol is combined with Linezolid.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Linezolid.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Linezolid.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Linezolid.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Fluphenazine.]
[S01BC04, flurbiprofen, The risk or severity of hypertension can be increased when Linezolid is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Fluspirilene.]
[N06BX17, adrafinil, The risk or severity of hypertension can be increased when Linezolid is combined with Adrafinil.]
[G01AX06, furazolidone, The risk or severity of serotonin syndrome can be increased when Furazolidone is combined with Linezolid.]
[C03CA01, furosemide, Linezolid may increase the hypotensive activities of Furosemide.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Linezolid is combined with Amisulpride.]
[N03AA04, barbexaclone, The therapeutic efficacy of Barbexaclone can be decreased when used in combination with Linezolid.]
[N06AX08, bifemelane, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Bifemelane.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Dasatinib.]
[N04BC06, cabergoline, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Cabergoline.]
[A10BJ02, liraglutide, Linezolid may increase the hypoglycemic activities of Liraglutide.]
[N03AD03, methsuximide, The therapeutic efficacy of Methsuximide can be decreased when used in combination with Linezolid.]
[N01AH02, alfentanil, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Alfentanil.]
[A10BB01, glyburide, Linezolid may increase the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Linezolid may increase the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Linezolid may increase the hypoglycemic activities of Glipizide.]
[N05CM18, dexmedetomidine, Linezolid may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[C05AE01, nitroglycerin, Linezolid may increase the hypotensive activities of Nitroglycerin.]
[C02CA04, doxazosin, Linezolid may increase the hypotensive activities of Doxazosin.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Linezolid.]
[C07AB09, esmolol, Linezolid may increase the hypotensive activities of Esmolol.]
[B01AA12, fluindione, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Fluindione.]
[C09AA09, fosinopril, Linezolid may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Linezolid may increase the hypotensive activities of Guanethidine.]
[N05AD01, haloperidol, The risk or severity of adverse effects can be increased when Linezolid is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Linezolid.]
[N05AH04, quetiapine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Linezolid is combined with Insulin aspart.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Linezolid is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Linezolid.]
[C09CA01, losartan, Linezolid may increase the hypotensive activities of Losartan.]
[S01XA14, heparin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Heparin.]
[A07EC02, mesalamine, The risk or severity of hypertension can be increased when Mesalazine is combined with Linezolid.]
[L01XX03, altretamine, Altretamine may increase the orthostatic hypotensive activities of Linezolid.]
[N05CA16, hexobarbital, The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Linezolid.]
[R03CC05, hexoprenaline, The risk or severity of hypertension can be increased when Linezolid is combined with Hexoprenaline.]
[C08CA10, nilvadipine, Linezolid may increase the hypotensive activities of Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Nimesulide.]
[C09AA04, perindopril, Linezolid may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Linezolid may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The excretion of Hydrochlorothiazide can be decreased when combined with Linezolid.]
[R05DA03, hydrocodone, Linezolid may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The excretion of Hydrocortisone can be decreased when combined with Linezolid.]
[C03AA02, hydroflumethiazide, Linezolid may increase the hypotensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, The risk or severity of hypertension can be increased when Linezolid is combined with Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Linezolid is combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Linezolid is combined with Prothipendyl.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Linezolid is combined with Hydroxyurea.]
[C02AC06, rilmenidine, Linezolid may increase the hypotensive activities of Rilmenidine.]
[R02AX02, ibuprofen, The risk or severity of hypertension can be increased when Linezolid is combined with Ibuprofen.]
[B05CB02, sodium citrate, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Sodium citrate.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Linezolid is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Linezolid is combined with Ifosfamide.]
[N01AH03, sufentanil, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Sufentanil.]
[N06AA02, imipramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Linezolid is combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Linezolid is combined with Tixocortol.]
[M03BX02, tizanidine, Linezolid may increase the orthostatic hypotensive activities of Tizanidine.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Linezolid is combined with Topotecan.]
[C03BA11, indapamide, Linezolid may increase the hypotensive activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Linezolid.]
[C02CA02, indoramin, Linezolid may increase the hypotensive activities of Indoramin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Linezolid.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Linezolid.]
[N06AX17, milnacipran, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Articaine.]
[A10BH01, sitagliptin, The excretion of Sitagliptin can be decreased when combined with Linezolid.]
[A10BH02, vildagliptin, Linezolid may increase the hypoglycemic activities of Vildagliptin.]
[L01XX35, anagrelide, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Anagrelide.]
[C07AA01, alprenolol, Linezolid may increase the hypotensive activities of Alprenolol.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Linezolid.]
[J05AF04, stavudine, The excretion of Stavudine can be decreased when combined with Linezolid.]
[N06AA13, iprindole, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Iprindole.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Linezolid.]
[N06AF05, iproniazid, The risk or severity of serotonin syndrome can be increased when Iproniazid is combined with Linezolid.]
[N05AA07, chlorproethazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of serotonin syndrome can be increased when Isocarboxazid is combined with Linezolid.]
[R03CC06, isoetharine, The risk or severity of hypertension can be increased when Isoetharine is combined with Linezolid.]
[C09AA16, imidapril, Linezolid may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Linezolid.]
[J04AC01, isoniazid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of hypertension can be increased when Linezolid is combined with Isoprenaline.]
[A10BJ01, exenatide, Linezolid may increase the hypoglycemic activities of Exenatide.]
[C01DA14, isosorbide mononitrate, Linezolid may increase the orthostatic hypotensive activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, Linezolid may increase the orthostatic hypotensive activities of Isosorbide dinitrate.]
[C04AA01, isoxsuprine, The risk or severity of hypertension can be increased when Linezolid is combined with Isoxsuprine.]
[B01AE06, bivalirudin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Bivalirudin.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Ketanserin.]
[B01AC22, prasugrel, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Prasugrel.]
[N05AH03, olanzapine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Olanzapine.]
[M02AA10, ketoprofen, The risk or severity of hypertension can be increased when Linezolid is combined with Ketoprofen.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Linezolid is combined with Abatacept.]
[C01CA22, arbutamine, The risk or severity of hypertension can be increased when Linezolid is combined with Arbutamine.]
[N04BC09, rotigotine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Rotigotine.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Linezolid is combined with Tiaprofenic acid.]
[C07AG01, labetalol, The risk or severity of hypertension can be increased when Linezolid is combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Amantadine.]
[C02AA05, deserpidine, Linezolid may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Linezolid.]
[N03AX18, lacosamide, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Linezolid.]
[C03CC01, ethacrynic acid, Linezolid may increase the orthostatic hypotensive activities of Etacrynic acid.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Linezolid.]
[N04BA01, levodopa, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Lidocaine.]
[C03DB01, amiloride, Linezolid may increase the orthostatic hypotensive activities of Amiloride.]
[N02CA07, lisuride, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Lofepramine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Linezolid is combined with Lomustine.]
[N05BA06, lorazepam, The therapeutic efficacy of Lorazepam can be decreased when used in combination with Linezolid.]
[N05AH01, loxapine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Loxapine.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Linezolid is combined with Temsirolimus.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Magnesium sulfate can be decreased when used in combination with Linezolid.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Linezolid is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Nilotinib.]
[V04CX04, mannitol, Linezolid may increase the orthostatic hypotensive activities of Mannitol.]
[N06AA21, maprotiline, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Maprotiline.]
[A08AA05, mazindol, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Mazindol.]
[C02BB01, mecamylamine, Linezolid may increase the hypotensive activities of Mecamylamine.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Linezolid is combined with Mechlorethamine.]
[M02AA18, meclofenamic acid, The risk or severity of hypertension can be increased when Linezolid is combined with Meclofenamic acid.]
[N05BA03, medazepam, The therapeutic efficacy of Medazepam can be decreased when used in combination with Linezolid.]
[B01AB06, nadroparin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Dalteparin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Linezolid is combined with Melphalan.]
[N02AB02, meperidine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Linezolid is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Linezolid is combined with Mephentermine.]
[N03AB04, mephenytoin, The therapeutic efficacy of Mephenytoin can be decreased when used in combination with Linezolid.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Linezolid.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Mepivacaine.]
[N02AX05, meptazinol, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Linezolid is combined with Metaraminol.]
[A10BA02, metformin, Linezolid may increase the hypoglycemic activities of Metformin.]
[A04AA04, dolasetron, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dolasetron.]
[N07BC02, methadone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Methadone.]
[N06BA03, methamphetamine, The risk or severity of hypertension can be increased when Linezolid is combined with Metamfetamine.]
[J05AF05, lamivudine, The excretion of Lamivudine can be decreased when combined with Linezolid.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Linezolid.]
[S01EC05, methazolamide, Linezolid may increase the orthostatic hypotensive activities of Methazolamide.]
[G02CB05, metergoline, The risk or severity of hypertension can be increased when Linezolid is combined with Metergoline.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Linezolid is combined with Methimazole.]
[L01BA04, pemetrexed, Linezolid may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[N05CA15, methohexital, The therapeutic efficacy of Methohexital can be decreased when used in combination with Linezolid.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Linezolid.]
[N05AA02, methotrimeprazine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Linezolid is combined with Methoxamine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Linezolid.]
[C03AA08, methyclothiazide, Linezolid may increase the orthostatic hypotensive activities of Methyclothiazide.]
[C02AB01, methyldopa, Linezolid may decrease the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Linezolid may increase the serotonergic activities of Methylene blue.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Linezolid.]
[N06BA04, methylphenidate, Linezolid may increase the hypertensive activities of Methylphenidate.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Linezolid is combined with Methylprednisolone.]
[N03AF03, rufinamide, The therapeutic efficacy of Rufinamide can be decreased when used in combination with Linezolid.]
[N02CA04, methysergide, The risk or severity of hypertension can be increased when Methysergide is combined with Linezolid.]
[A03FA01, metoclopramide, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Metoclopramide.]
[C03BA08, metolazone, Linezolid may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, Linezolid may increase the hypotensive activities of Metoprolol.]
[N06AX03, mianserin, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Mianserin.]
[N02BB03, aminopyrine, The risk or severity of hypertension can be increased when Linezolid is combined with Aminophenazone.]
[B01AB07, parnaparin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Parnaparin.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Linezolid is combined with Midodrine.]
[G03XB01, mifepristone, Linezolid may increase the hypoglycemic activities of Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Tinzaparin.]
[C09CA03, valsartan, Linezolid may increase the hypotensive activities of Valsartan.]
[D11AX01, minoxidil, Linezolid may increase the hypotensive activities of Minoxidil.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Linezolid is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The risk or severity of hypertension can be increased when Linezolid is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Linezolid is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Linezolid.]
[C01BD01, amiodarone, Linezolid may increase the orthostatic hypotensive activities of Amiodarone.]
[N06AA09, amitriptyline, Linezolid may increase the serotonergic activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Palonosetron.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Linezolid is combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Linezolid is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Linezolid is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Linezolid.]
[N06AA17, amoxapine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Amoxapine.]
[N03AB05, fosphenytoin, The therapeutic efficacy of Fosphenytoin can be decreased when used in combination with Linezolid.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Linezolid.]
[C07AA12, nadolol, Linezolid may increase the hypotensive activities of Nadolol.]
[N04BC04, ropinirole, Linezolid may increase the orthostatic hypotensive activities of Ropinirole.]
[N02AF02, nalbuphine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Nalbuphine.]
[N07BB04, naltrexone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Naltrexone.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Linezolid.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Linezolid is combined with Naphazoline.]
[N06BA01, amphetamine, The risk or severity of hypertension can be increased when Linezolid is combined with Amphetamine.]
[M02AA12, naproxen, The risk or severity of hypertension can be increased when Linezolid is combined with Naproxen.]
[A10BG01, troglitazone, Linezolid may increase the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Duloxetine.]
[N04BX01, tolcapone, Linezolid may increase the orthostatic hypotensive activities of Tolcapone.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Linezolid is combined with Docetaxel.]
[N01AH06, remifentanil, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Remifentanil.]
[A10BX02, repaglinide, Linezolid may increase the hypoglycemic activities of Repaglinide.]
[C01CX08, levosimendan, Linezolid may increase the orthostatic hypotensive activities of Levosimendan.]
[B01AC17, tirofiban, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Tirofiban.]
[N05AX14, iloperidone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Iloperidone.]
[J02AA01, amphotericin B, Linezolid may increase the orthostatic hypotensive activities of Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Desvenlafaxine.]
[C09CA07, telmisartan, Linezolid may increase the hypotensive activities of Telmisartan.]
[J05AB11, valacyclovir, The excretion of Valaciclovir can be decreased when combined with Linezolid.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Linezolid.]
[N06AF02, nialamide, The risk or severity of serotonin syndrome can be increased when Nialamide is combined with Linezolid.]
[C08CA04, nicardipine, Linezolid may increase the hypotensive activities of Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Linezolid is combined with Nicergoline.]
[C08CA05, nifedipine, Linezolid may increase the orthostatic hypotensive activities of Nifedipine.]
[M02AA17, niflumic acid, The risk or severity of hypertension can be increased when Linezolid is combined with Niflumic acid.]
[V03AB22, amyl nitrite, Linezolid may increase the orthostatic hypotensive activities of Amyl Nitrite.]
[C08CA06, nimodipine, Linezolid may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Linezolid may increase the hypotensive activities of Nisoldipine.]
[N05CD02, nitrazepam, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Linezolid.]
[C08CA08, nitrendipine, Linezolid may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, Linezolid may increase the orthostatic hypotensive activities of Nitric Oxide.]
[N05CF03, zaleplon, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Linezolid.]
[N04BC05, pramipexole, Linezolid may increase the orthostatic hypotensive activities of Pramipexole.]
[C02DD01, nitroprusside, Linezolid may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Linezolid.]
