[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Antipyrine is combined with Tolvaptan.]
[N02BB04, propyphenazone, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Proglumetacin.]
[C05CA03, diosmin, The serum concentration of Tolvaptan can be increased when it is combined with Diosmin.]
[A07DA01, diphenoxylate, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Diphenoxylate.]
[C09AA06, quinapril, Tolvaptan may increase the hyperkalemic activities of Quinapril.]
[A03FA02, cisapride, The metabolism of Tolvaptan can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Tolvaptan may increase the hyperkalemic activities of Ramipril.]
[S01XA23, sirolimus, The serum concentration of Tolvaptan can be increased when it is combined with Sirolimus.]
[S01AX06, resorcinol, Tolvaptan may increase the excretion rate of Resorcinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA03, disopyramide, Tolvaptan may increase the excretion rate of Disopyramide which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA12, rifamycin SV, The serum concentration of Tolvaptan can be increased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Tolvaptan can be increased when combined with Rifapentine.]
[R06AE09, levocetirizine, Tolvaptan may increase the excretion rate of Levocetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB09, ropivacaine, Tolvaptan may increase the excretion rate of Ropivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AD12, aprepitant, The metabolism of Tolvaptan can be decreased when combined with Aprepitant.]
[S01AA13, fusidic acid, The metabolism of Tolvaptan can be decreased when combined with Fusidic acid.]
[S02BA08, fluocinolone acetonide, The metabolism of Tolvaptan can be increased when combined with Fluocinolone acetonide.]
[M01AG01, mefenamic acid, The risk or severity of hyperkalemia can be increased when Mefenamic acid is combined with Tolvaptan.]
[C01DA05, pentaerythritol tetranitrate, Tolvaptan may increase the excretion rate of Pentaerythritol tetranitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The serum concentration of Tolvaptan can be increased when it is combined with Bortezomib.]
[J05AE07, fosamprenavir, The metabolism of Tolvaptan can be decreased when combined with Fosamprenavir.]
[G04BE08, tadalafil, Tolvaptan may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC05, ketorolac, The risk or severity of hyperkalemia can be increased when Ketorolac is combined with Tolvaptan.]
[C02KX02, ambrisentan, The serum concentration of Tolvaptan can be increased when it is combined with Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Tolvaptan can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hyperkalemia can be increased when Salsalate is combined with Tolvaptan.]
[H05BA01, salmon calcitonin, Tolvaptan may increase the excretion rate of Salmon calcitonin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA07, dobutamine, Tolvaptan may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA04, dopamine, Tolvaptan may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA12, doxepin, Tolvaptan may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AB06, sennosides, USP, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Sennosides.]
[L01DB01, doxorubicin, The metabolism of Tolvaptan can be decreased when combined with Doxorubicin.]
[J01AA02, doxycycline, Tolvaptan may increase the excretion rate of Doxycycline which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA10, sibutramine, Tolvaptan may increase the excretion rate of Sibutramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA01, simvastatin, The serum concentration of Tolvaptan can be increased when it is combined with Simvastatin.]
[V03AG05, sodium phosphate, Tolvaptan may increase the nephrotoxic activities of Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Sodium sulfate.]
[C09AA11, spirapril, Tolvaptan may increase the hyperkalemic activities of Spirapril.]
[R03DA01, dyphylline, Tolvaptan may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC01, sumatriptan, Tolvaptan may increase the excretion rate of Sumatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX07, edrophonium, Tolvaptan may increase the excretion rate of Edrophonium which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB13, talinolol, The serum concentration of Tolvaptan can be increased when it is combined with Talinolol.]
[H01AA01, corticotropin, The metabolism of Tolvaptan can be increased when combined with Corticotropin.]
[L01AX03, temozolomide, Tolvaptan may increase the excretion rate of Temozolomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC02, tenoxicam, The risk or severity of hyperkalemia can be increased when Tenoxicam is combined with Tolvaptan.]
[D01BA02, terbinafine, The metabolism of Tolvaptan can be increased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Terodiline.]
[C07AA16, tertatolol, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Tertatolol.]
[C09AA02, enalapril, Tolvaptan may increase the hyperkalemic activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Tolvaptan may increase the excretion rate of Toloxatone which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA09, atomoxetine, Tolvaptan may increase the excretion rate of Atomoxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX11, topiramate, The metabolism of Tolvaptan can be increased when combined with Topiramate.]
[L02BA02, toremifene, The serum concentration of Tolvaptan can be increased when it is combined with Toremifene.]
[C09AA10, trandolapril, Tolvaptan may increase the hyperkalemic activities of Trandolapril.]
[S01FB02, ephedrine, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Tolvaptan.]
[N06AX16, venlafaxine, Tolvaptan may increase the excretion rate of Venlafaxine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA12, mepirodipine, The metabolism of Tolvaptan can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Tolvaptan can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, Tolvaptan may increase the hyperkalemic activities of Zofenopril.]
[M01AB04, zomepirac, The risk or severity of hyperkalemia can be increased when Zomepirac is combined with Tolvaptan.]
[N03AX15, zonisamide, The serum concentration of Tolvaptan can be increased when it is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Tolvaptan.]
[L01XA02, carboplatin, Tolvaptan may increase the excretion rate of Carboplatin which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC02, guanfacine, Tolvaptan may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA02, ergotamine, The metabolism of Tolvaptan can be decreased when combined with Ergotamine.]
[L03AX05, pidotimod, Tolvaptan may increase the excretion rate of Pidotimod which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA17, erythromycin, The serum concentration of Tolvaptan can be increased when it is combined with Erythromycin.]
[N05CD04, estazolam, Tolvaptan may increase the excretion rate of Estazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC02, pantoprazole, Tolvaptan may increase the excretion rate of Pantoprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA03, estradiol, Tolvaptan may increase the excretion rate of Estradiol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Tolvaptan may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK02, ethambutol, The metabolism of Tolvaptan can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Tolvaptan can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Tolvaptan can be increased when combined with Fluticasone.]
[V08CA03, gadodiamide, Tolvaptan may increase the excretion rate of Gadodiamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD05, ibutilide, Tolvaptan may increase the excretion rate of Ibutilide which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AD01, ethosuximide, The risk or severity of hyperkalemia can be increased when Ethosuximide is combined with Tolvaptan.]
[M01AC06, meloxicam, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Meloxicam.]
[S01XA06, ethylmorphine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Ethylmorphine.]
[N01AX07, etomidate, Tolvaptan may increase the excretion rate of Etomidate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CB01, etoposide, The serum concentration of Tolvaptan can be increased when it is combined with Etoposide.]
[L04AD02, tacrolimus, The serum concentration of Tolvaptan can be increased when it is combined with Tacrolimus.]
[R06AX11, astemizole, The metabolism of Tolvaptan can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Tolvaptan can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, Tolvaptan may increase the excretion rate of Trimetrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX12, bupropion, Tolvaptan may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB08, fluvoxamine, The metabolism of Tolvaptan can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, Tolvaptan may increase the excretion rate of Leuprolide which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA03, pravastatin, The serum concentration of Tolvaptan can be increased when it is combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Tolvaptan may increase the excretion rate of Sodium aurothiomalate which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA05, dextran, Tolvaptan may increase the excretion rate of Dextran which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AF02, dexrazoxane, Tolvaptan may increase the excretion rate of Dexrazoxane which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AA01, levocarnitine, Tolvaptan may increase the excretion rate of Levocarnitine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA03, albendazole, The metabolism of Tolvaptan can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Tolvaptan.]
[C08EA01, fendiline, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Fendiline.]
[M01AE04, fenoprofen, The risk or severity of hyperkalemia can be increased when Fenoprofen is combined with Tolvaptan.]
[N02AB03, fentanyl, Tolvaptan may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC02, albuterol, Tolvaptan may increase the excretion rate of Salbutamol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BB06, clofarabine, Tolvaptan may increase the excretion rate of Clofarabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07AX03, cevimeline, Tolvaptan may increase the excretion rate of Cevimeline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD02, flavoxate, Tolvaptan may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG04, floctafenine, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Floctafenine.]
[J01CF05, floxacillin, The metabolism of Tolvaptan can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The serum concentration of Tolvaptan can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, Tolvaptan may increase the excretion rate of Flucytosine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB25, flumazenil, Tolvaptan may increase the excretion rate of Flumazenil which could result in a lower serum level and potentially a reduction in efficacy.]
[N07CA03, flunarizine, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Tolvaptan.]
[D07AC08, fluocinonide, The metabolism of Tolvaptan can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Tolvaptan can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Tolvaptan can be increased when combined with Ethanol.]
[L01BC09, floxuridine, Tolvaptan may increase the excretion rate of Floxuridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB03, fluoxetine, The metabolism of Tolvaptan can be decreased when combined with Fluoxetine.]
[N05CD01, flurazepam, Tolvaptan may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC04, flurbiprofen, Tolvaptan may increase the excretion rate of Flurbiprofen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AG01, fluspirilene, The risk or severity of hyperkalemia can be increased when Fluspirilene is combined with Tolvaptan.]
[L02BB01, flutamide, Tolvaptan may increase the excretion rate of Flutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CX02, folic acid, Tolvaptan may increase the excretion rate of Folic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA17, fosfomycin, Tolvaptan may increase the excretion rate of Fosfomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC03, tegafur, Tolvaptan may increase the excretion rate of Tegafur which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE10, darunavir, The serum concentration of Tolvaptan can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Tolvaptan may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Tolvaptan may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DA02, gallopamil, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Gallopamil.]
[S01AD09, ganciclovir, Tolvaptan may increase the excretion rate of Ganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA04, barbexaclone, The metabolism of Tolvaptan can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, Tolvaptan may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XA03, telavancin, Tolvaptan may increase the excretion rate of Telavancin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA02, dasatinib, The metabolism of Tolvaptan can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Tolvaptan.]
[J05AG04, etravirine, The metabolism of Tolvaptan can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of hyperkalemia can be increased when Methsuximide is combined with Tolvaptan.]
[N01AH02, alfentanil, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Alfentanil.]
[L01EH01, lapatinib, The serum concentration of Tolvaptan can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Tolvaptan can be decreased when combined with Glyburide.]
[A10BB07, glipizide, Tolvaptan may increase the excretion rate of Glipizide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CM18, dexmedetomidine, Tolvaptan may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX01, glycerin, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Glycerin.]
[C02CA04, doxazosin, The metabolism of Tolvaptan can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The serum concentration of Tolvaptan can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The risk or severity of hyperkalemia can be increased when Esmolol is combined with Tolvaptan.]
[M01CB04, aurothioglucose, Tolvaptan may increase the excretion rate of Aurothioglucose which could result in a lower serum level and potentially a reduction in efficacy.]
[S01LA03, pegaptanib, Tolvaptan may increase the excretion rate of Pegaptanib which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA09, fosinopril, Tolvaptan may increase the hyperkalemic activities of Fosinopril.]
[D01BA01, griseofulvin, The metabolism of Tolvaptan can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Tolvaptan may increase the excretion rate of Guanethidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AE03, goserelin, Tolvaptan may increase the excretion rate of Goserelin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Tolvaptan.]
[N05AH04, quetiapine, Tolvaptan may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BX13, idebenone, Tolvaptan may increase the excretion rate of Idebenone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Tolvaptan.]
[M04AA01, allopurinol, Tolvaptan may increase the excretion rate of Allopurinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA01, losartan, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Losartan.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Heparin is combined with Tolvaptan.]
[B05CB03, magnesium citrate, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Magnesium citrate.]
[G03DC01, allylestrenol, The metabolism of Tolvaptan can be decreased when combined with Allylestrenol.]
[A07EC02, mesalamine, The risk or severity of hyperkalemia can be increased when Mesalazine is combined with Tolvaptan.]
[C01CE02, milrinone, Tolvaptan may increase the excretion rate of Milrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[A12CD02, sodium monofluorophosphate, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Sodium fluorophosphate.]
[C08CA10, nilvadipine, The metabolism of Tolvaptan can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hyperkalemia can be increased when Nimesulide is combined with Tolvaptan.]
[C09AA04, perindopril, Tolvaptan may increase the hyperkalemic activities of Perindopril.]
[C02DB02, hydralazine, The metabolism of Tolvaptan can be decreased when combined with Hydralazine.]
[R05DA03, hydrocodone, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Tolvaptan can be increased when combined with Hydrocortisone.]
[B05XA17, potassium acetate, Tolvaptan may increase the excretion rate of Potassium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Tolvaptan.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Tolvaptan.]
[V03AB33, hydroxocobalamin, Tolvaptan may increase the excretion rate of Hydroxocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD06, propiverine, Tolvaptan may increase the excretion rate of Propiverine which could result in a lower serum level and potentially a reduction in efficacy.]
[B05AA07, hetastarch, Tolvaptan may increase the excretion rate of Hydroxyethyl Starch which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AB04, rifabutin, The metabolism of Tolvaptan can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, Tolvaptan may increase the excretion rate of Ibuprofen which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA08, sodium acetate, Tolvaptan may increase the excretion rate of Sodium acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD21, sodium tartrate, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Sodium tartrate.]
[L01AA06, ifosfamide, The metabolism of Tolvaptan can be increased when combined with Ifosfamide.]
[N01AH03, sufentanil, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Sufentanil.]
[N06AA02, imipramine, Tolvaptan may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CD01, paclitaxel, The metabolism of Tolvaptan can be increased when combined with Paclitaxel.]
[R01AD07, tixocortol, Tolvaptan may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CE01, topotecan, Tolvaptan may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA11, indapamide, Tolvaptan may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The risk or severity of hyperkalemia can be increased when Indomethacin is combined with Tolvaptan.]
[A11HA07, inositol, Tolvaptan may increase the excretion rate of Inositol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX17, milnacipran, The metabolism of Tolvaptan can be decreased when combined with Milnacipran.]
[S01XA28, varenicline, Tolvaptan may increase the excretion rate of Varenicline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH01, sitagliptin, Tolvaptan may increase the excretion rate of Sitagliptin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA12, alprazolam, Tolvaptan may increase the excretion rate of Alprazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH02, ramelteon, Tolvaptan may increase the excretion rate of Ramelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA06, cerivastatin, The metabolism of Tolvaptan can be increased when combined with Cerivastatin.]
[C07AA01, alprenolol, The risk or severity of hyperkalemia can be increased when Alprenolol is combined with Tolvaptan.]
[V03AB01, ipecac, Tolvaptan may increase the excretion rate of Ipecac which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA16, imidapril, Tolvaptan may increase the hyperkalemic activities of Imidapril.]
[J04AC01, isoniazid, The metabolism of Tolvaptan can be decreased when combined with Isoniazid.]
[J05AX05, inosine pranobex, Tolvaptan may increase the excretion rate of Inosine pranobex which could result in a lower serum level and potentially a reduction in efficacy.]
[D10BA01, isotretinoin, Tolvaptan may increase the excretion rate of Isotretinoin which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AC07, tocilizumab, The metabolism of Tolvaptan can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, Tolvaptan may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC22, prasugrel, Tolvaptan may increase the excretion rate of Prasugrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AB02, ketoconazole, The metabolism of Tolvaptan can be decreased when combined with Ketoconazole.]
[M02AA10, ketoprofen, Tolvaptan may increase the excretion rate of Ketoprofen which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC03, deferasirox, The metabolism of Tolvaptan can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Tolvaptan can be increased when combined with Abatacept.]
[M01AE11, tiaprofenic acid, The risk or severity of hyperkalemia can be increased when Tiaprofenic acid is combined with Tolvaptan.]
[C07AG01, labetalol, Tolvaptan may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BB01, amantadine, Tolvaptan may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD11, lactulose, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Lactulose.]
[A06AX03, lubiprostone, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Lubiprostone.]
[N03AX18, lacosamide, The metabolism of Tolvaptan can be decreased when combined with Lacosamide.]
[C08EX01, lidoflazine, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Tolvaptan can be increased when combined with Armodafinil.]
[C03DB01, amiloride, The risk or severity of hyperkalemia can be increased when Amiloride is combined with Tolvaptan.]
[A07DA03, loperamide, The serum concentration of Tolvaptan can be increased when it is combined with Loperamide.]
[N05BA06, lorazepam, Tolvaptan may increase the excretion rate of Lorazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA02, lovastatin, The metabolism of Tolvaptan can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The serum concentration of Tolvaptan can be increased when it is combined with Loxapine.]
[L01EG01, temsirolimus, The serum concentration of Tolvaptan can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Tolvaptan may increase the excretion rate of Magnesium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BX01, magnesium hydroxide, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Magnesium hydroxide.]
[A12CC10, magnesium oxide, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Magnesium oxide.]
[V04CC02, magnesium sulfate, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Magnesium sulfate.]
[L01BA05, pralatrexate, Tolvaptan may increase the excretion rate of Pralatrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA03, nilotinib, The metabolism of Tolvaptan can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Mannitol.]
[N06AA21, maprotiline, Tolvaptan may increase the excretion rate of Maprotiline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02BB01, mecamylamine, Tolvaptan may increase the excretion rate of Mecamylamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA18, meclofenamic acid, Tolvaptan may increase the excretion rate of Meclofenamic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Tolvaptan.]
[A06AB07, cascara sagrada, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Frangula purshiana bark.]
[P01BC02, mefloquine, The serum concentration of Tolvaptan can be increased when it is combined with Mefloquine.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Enoxaparin is combined with Tolvaptan.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Dalteparin.]
[N06DX01, memantine, Tolvaptan may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AB02, meperidine, The metabolism of Tolvaptan can be decreased when combined with Meperidine.]
[N03AA01, mephobarbital, The metabolism of Tolvaptan can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, Tolvaptan may increase the excretion rate of Mepivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX05, meptazinol, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Meptazinol.]
[G04BX16, tiopronin, Tolvaptan may increase the excretion rate of Tiopronin which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BG01, aminoglutethimide, The metabolism of Tolvaptan can be increased when combined with Aminoglutethimide.]
[C03BC01, mersalyl, Tolvaptan may increase the excretion rate of Mersalyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, The serum concentration of Tolvaptan can be increased when it is combined with Paliperidone.]
[A10BA02, metformin, Tolvaptan may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[H01CB03, lanreotide, The metabolism of Tolvaptan can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Tolvaptan can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, Tolvaptan may increase the excretion rate of Metamfetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF05, lamivudine, Tolvaptan may increase the excretion rate of Lamivudine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, The metabolism of Tolvaptan can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Tolvaptan may increase the excretion rate of Pemetrexed which could result in a lower serum level and potentially a reduction in efficacy.]
[A11HA02, pyridoxine, Tolvaptan may increase the excretion rate of Pyridoxine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Tolvaptan is combined with Ziconotide.]
[L04AX03, methotrexate, Tolvaptan may increase the excretion rate of Methotrexate which could result in a lower serum level and potentially a reduction in efficacy.]
[D05BA02, methoxsalen, Tolvaptan may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Methylcellulose.]
[C02AB01, methyldopa, Tolvaptan may increase the excretion rate of Methyldopa which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CG05, methylene blue, The serum concentration of Tolvaptan can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Tolvaptan can be decreased when combined with Methylergometrine.]
