[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Lidocaine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Lidocaine is combined with Granisetron.]
[J01CF02, cloxacillin, The risk or severity of methemoglobinemia can be increased when Cloxacillin is combined with Lidocaine.]
[L01XX77, adagrasib, The risk or severity of methemoglobinemia can be increased when Adagrasib is combined with Lidocaine.]
[N05AH02, clozapine, The metabolism of Lidocaine can be decreased when combined with Clozapine.]
[L01EN04, futibatinib, The risk or severity of methemoglobinemia can be increased when Futibatinib is combined with Lidocaine.]
[L01FE02, panitumumab, The risk or severity of methemoglobinemia can be increased when Panitumumab is combined with Lidocaine.]
[J01GB12, arbekacin, The risk or severity of methemoglobinemia can be increased when Arbekacin is combined with Lidocaine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Halazepam.]
[L01EX11, quizartinib, The risk or severity of methemoglobinemia can be increased when Quizartinib is combined with Lidocaine.]
[H01AC08, somatrogon, The metabolism of Lidocaine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of seizure can be increased when Lidocaine is combined with Cocaine.]
[C02KB01, metyrosine, Lidocaine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Lidocaine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Codeine.]
[J01CA18, hetacillin, The risk or severity of methemoglobinemia can be increased when Hetacillin is combined with Lidocaine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Lidocaine is combined with Hexafluronium.]
[A03AB10, hexocyclium, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[J01XX04, spectinomycin, The risk or severity of methemoglobinemia can be increased when Spectinomycin is combined with Lidocaine.]
[A03BB06, homatropine methylbromide, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, The risk or severity of methemoglobinemia can be increased when Colistin is combined with Lidocaine.]
[L01XX40, omacetaxine mepesuccinate, The risk or severity of methemoglobinemia can be increased when Omacetaxine mepesuccinate is combined with Lidocaine.]
[J01DE02, cefpirome, The risk or severity of methemoglobinemia can be increased when Cefpirome is combined with Lidocaine.]
[L04AA13, leflunomide, The serum concentration of Lidocaine can be decreased when it is combined with Leflunomide.]
[C01BA13, hydroquinidine, Lidocaine may increase the arrhythmogenic activities of Hydroquinidine.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Lidocaine is combined with Desflurane.]
[A04AA03, tropisetron, Lidocaine may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of methemoglobinemia can be increased when Ifenprodil is combined with Lidocaine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Lidocaine.]
[L01BB07, nelarabine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Lidocaine.]
[J01FA15, telithromycin, The metabolism of Lidocaine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Lidocaine.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Desloratadine.]
[A03AX10, isometheptene, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Lidocaine is combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Lidocaine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Lidocaine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Ketazolam.]
[L02BA03, fulvestrant, The risk or severity of methemoglobinemia can be increased when Fulvestrant is combined with Lidocaine.]
[L01EA01, imatinib, The serum concentration of Lidocaine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Lidocaine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Lidocaine may increase the arrhythmogenic activities of Lacidipine.]
[V03AF07, rasburicase, The risk or severity of methemoglobinemia can be increased when Rasburicase is combined with Lidocaine.]
[N03AX09, lamotrigine, Lidocaine may increase the arrhythmogenic activities of Lamotrigine.]
[S01BA03, cortisone, The metabolism of Lidocaine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Lidocaine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of methemoglobinemia can be increased when Lomefloxacin is combined with Lidocaine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Lormetazepam.]
[J01DC08, loracarbef, The risk or severity of methemoglobinemia can be increased when Loracarbef is combined with Lidocaine.]
[C08CA11, manidipine, Lidocaine may increase the arrhythmogenic activities of Manidipine.]
[A03AA04, mebeverine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[D10AF04, meclocycline, The risk or severity of methemoglobinemia can be increased when Meclocycline is combined with Lidocaine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Medifoxamine.]
[C07AA14, mepindolol, The serum concentration of Lidocaine can be increased when it is combined with Mepindolol.]
[H02AB15, meprednisone, The metabolism of Lidocaine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Lidocaine.]
[J01DH02, meropenem, The risk or severity of methemoglobinemia can be increased when Meropenem is combined with Lidocaine.]
[C01EB10, adenosine, Lidocaine may increase the arrhythmogenic activities of Adenosine.]
[J01CA14, methampicillin, The risk or severity of methemoglobinemia can be increased when Metampicillin is combined with Lidocaine.]
[N04AA03, methixene, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, Lidocaine may increase the arrhythmogenic activities of Cyclandelate.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Lidocaine is combined with Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Lidocaine.]
[N05AD03, metylperon, Lidocaine may increase the arrhythmogenic activities of Melperone.]
[S01AA22, micronomicin, The risk or severity of methemoglobinemia can be increased when Micronomicin is combined with Lidocaine.]
[J01FA03, midecamycin, The risk or severity of methemoglobinemia can be increased when Midecamycin is combined with Lidocaine.]
[L01AA01, cyclophosphamide, The risk or severity of methemoglobinemia can be increased when Cyclophosphamide is combined with Lidocaine.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Minaprine.]
[J04AB01, cycloserine, The risk or severity of methemoglobinemia can be increased when Cycloserine is combined with Lidocaine.]
[S01XA18, cyclosporine, The metabolism of Lidocaine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Lidocaine is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Lidocaine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Lidocaine.]
[C03XA02, conivaptan, The metabolism of Lidocaine can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of methemoglobinemia can be increased when Cytarabine is combined with Lidocaine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Lidocaine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Lidocaine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Lidocaine.]
[L01AX04, dacarbazine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Lidocaine.]
[L01DA01, dactinomycin, The risk or severity of methemoglobinemia can be increased when Dactinomycin is combined with Lidocaine.]
[G03XA01, danazol, The metabolism of Lidocaine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dantrolene.]
[J04BA02, dapsone, The risk or severity of methemoglobinemia can be increased when Dapsone is combined with Lidocaine.]
[L01DB02, daunorubicin, The risk or severity of methemoglobinemia can be increased when Daunorubicin is combined with Lidocaine.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Lidocaine.]
[L01DB09, valrubicin, The risk or severity of methemoglobinemia can be increased when Valrubicin is combined with Lidocaine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Lidocaine.]
[J01AA01, demeclocycline, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Lidocaine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Nordazepam.]
[C07AB12, nebivolol, The serum concentration of Lidocaine can be increased when it is combined with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Lidocaine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Niaprazine.]
[C01DX16, nicorandil, Lidocaine may increase the arrhythmogenic activities of Nicorandil.]
[L02BB02, nilutamide, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Lidocaine.]
[L01FE01, cetuximab, The risk or severity of methemoglobinemia can be increased when Cetuximab is combined with Lidocaine.]
[N03AG06, tiagabine, The risk or severity of methemoglobinemia can be increased when Tiagabine is combined with Lidocaine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Lidocaine.]
[M03AC11, cisatracurium, Lidocaine may increase the neuromuscular blocking activities of Cisatracurium.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Normethadone.]
[N06AB10, escitalopram, The serum concentration of Lidocaine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[R02AA02, dequalinium, The risk or severity of methemoglobinemia can be increased when Dequalinium is combined with Lidocaine.]
[N06AA01, desipramine, The metabolism of Lidocaine can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Lidocaine may increase the arrhythmogenic activities of Deslanoside.]
[J01DH03, ertapenem, The risk or severity of methemoglobinemia can be increased when Ertapenem is combined with Lidocaine.]
[L01XA03, oxaliplatin, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Lidocaine.]
[N03AF02, oxcarbazepine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Lidocaine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Oxiracetam.]
[N04AA08, dexetimide, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Lidocaine.]
[A03AA01, oxyphencyclimine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Lidocaine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The risk or severity of methemoglobinemia can be increased when Gefitinib is combined with Lidocaine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Lidocaine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of methemoglobinemia can be increased when Paramethadione is combined with Lidocaine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Lidocaine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Lidocaine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Lidocaine is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Lidocaine.]
[N05BA01, diazepam, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Lidocaine.]
[N03AX07, phenacemide, The risk or severity of methemoglobinemia can be increased when Phenacemide is combined with Lidocaine.]
[J01CE05, phenethicillin, The risk or severity of methemoglobinemia can be increased when Pheneticillin is combined with Lidocaine.]
[S01AA29, dibekacin, The risk or severity of methemoglobinemia can be increased when Dibekacin is combined with Lidocaine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of methemoglobinemia can be increased when Phensuximide is combined with Lidocaine.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dibenzepin.]
[J01CF01, dicloxacillin, The risk or severity of methemoglobinemia can be increased when Dicloxacillin is combined with Lidocaine.]
[A03AA07, dicyclomine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A03AX04, pinaverium, Lidocaine may increase the arrhythmogenic activities of Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Pipamperone.]
[A03AB14, pipenzolate, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The risk or severity of methemoglobinemia can be increased when Ixabepilone is combined with Lidocaine.]
[L01EB02, erlotinib, The risk or severity of methemoglobinemia can be increased when Erlotinib is combined with Lidocaine.]
[L01DB08, pirarubicin, The risk or severity of methemoglobinemia can be increased when Pirarubicin is combined with Lidocaine.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Lidocaine is combined with Diethylpropion.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Lidocaine.]
[D07XC04, diflucortolone, The metabolism of Lidocaine can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, Lidocaine may increase the arrhythmogenic activities of Digitoxin.]
[C01AA05, digoxin, Lidocaine may increase the arrhythmogenic activities of Digoxin.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Lidocaine.]
[L01XX24, pegaspargase, The risk or severity of methemoglobinemia can be increased when Pegaspargase is combined with Lidocaine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Dihydroergocristine is combined with Lidocaine.]
[N02CA01, dihydroergotamine, The risk or severity of hypertension can be increased when Dihydroergotamine is combined with Lidocaine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Hydromorphone.]
[L04AX04, lenalidomide, The risk or severity of methemoglobinemia can be increased when Lenalidomide is combined with Lidocaine.]
[J05AE08, atazanavir, The metabolism of Lidocaine can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Pramocaine.]
[C08DB01, diltiazem, Lidocaine may increase the arrhythmogenic activities of Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Pridinol.]
[R06AB03, dimethindene, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Lidocaine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of methemoglobinemia can be increased when Progabide is combined with Lidocaine.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Lidocaine.]
[J01CE03, propicillin, The risk or severity of methemoglobinemia can be increased when Propicillin is combined with Lidocaine.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Lidocaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Lidocaine can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of methemoglobinemia can be increased when Sirolimus is combined with Lidocaine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Lidocaine is combined with Remoxipride.]
[C01BA03, disopyramide, Disopyramide may increase the arrhythmogenic activities of Lidocaine.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Lidocaine.]
[J04AB05, rifapentine, The risk or severity of methemoglobinemia can be increased when Rifapentine is combined with Lidocaine.]
[D06AX11, rifaximin, The risk or severity of methemoglobinemia can be increased when Rifaximin is combined with Lidocaine.]
[N07XX02, riluzole, The risk or severity of methemoglobinemia can be increased when Riluzole is combined with Lidocaine.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of methemoglobinemia can be increased when Rosoxacin is combined with Lidocaine.]
[L01EX01, sunitinib, The risk or severity of methemoglobinemia can be increased when Sunitinib is combined with Lidocaine.]
[A04AD12, aprepitant, The metabolism of Lidocaine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Lidocaine.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Lidocaine.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Lidocaine.]
[C01EB18, ranolazine, The serum concentration of Lidocaine can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Lidocaine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Lidocaine.]
[N06AA16, dothiepin, The metabolism of Lidocaine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The risk or severity of methemoglobinemia can be increased when Doxorubicin is combined with Lidocaine.]
[J01AA02, doxycycline, The risk or severity of methemoglobinemia can be increased when Doxycycline is combined with Lidocaine.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Lidocaine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Lidocaine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Lidocaine.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Lidocaine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Lidocaine.]
[C07AB13, talinolol, The serum concentration of Lidocaine can be increased when it is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of methemoglobinemia can be increased when Temafloxacin is combined with Lidocaine.]
[J01CA17, temocillin, The risk or severity of methemoglobinemia can be increased when Temocillin is combined with Lidocaine.]
[L01AX03, temozolomide, The risk or severity of methemoglobinemia can be increased when Temozolomide is combined with Lidocaine.]
[D01BA02, terbinafine, The metabolism of Lidocaine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, Lidocaine may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, The serum concentration of Lidocaine can be increased when it is combined with Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Tetryzoline is combined with Lidocaine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Lidocaine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Thiopropazate.]
[G04BD01, emepronium, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Toloxatone.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Lidocaine.]
[N03AX11, topiramate, The risk or severity of methemoglobinemia can be increased when Topiramate is combined with Lidocaine.]
[L02BA02, toremifene, The risk or severity of methemoglobinemia can be increased when Toremifene is combined with Lidocaine.]
[J01AA12, tigecycline, The risk or severity of methemoglobinemia can be increased when Tigecycline is combined with Lidocaine.]
[L01AB02, treosulfan, The risk or severity of methemoglobinemia can be increased when Treosulfan is combined with Lidocaine.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Lidocaine is combined with Triclofos.]
[A03AB08, tridihexethyl, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[H02CA01, trilostane, The risk or severity of methemoglobinemia can be increased when Trilostane is combined with Lidocaine.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Lidocaine is combined with Trimethobenzamide.]
[L02AE04, triptorelin, The risk or severity of methemoglobinemia can be increased when Triptorelin is combined with Lidocaine.]
[L01AA07, trofosfamide, The risk or severity of methemoglobinemia can be increased when Trofosfamide is combined with Lidocaine.]
[N04AA12, tropatepine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Lidocaine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Lidocaine is combined with Urapidil.]
[J01MA04, enoxacin, The risk or severity of methemoglobinemia can be increased when Enoxacin is combined with Lidocaine.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Lidocaine is combined with Veralipride.]
[L01CA04, vinorelbine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Lidocaine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Lidocaine can be decreased when combined with Venlafaxine.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Xylometazoline is combined with Lidocaine.]
[C08CA12, mepirodipine, Lidocaine may increase the arrhythmogenic activities of Barnidipine.]
[L01DB03, epirubicin, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Lidocaine.]
[N05CF02, zolpidem, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, Lidocaine may increase the arrhythmogenic activities of Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Zopiclone.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Lidocaine.]
[L01XA02, carboplatin, The risk or severity of methemoglobinemia can be increased when Carboplatin is combined with Lidocaine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Guanfacine.]
[C01BG01, moricizine, Lidocaine may increase the arrhythmogenic activities of Moricizine.]
[G02AB03, ergonovine, The risk or severity of hypertension can be increased when Ergometrine is combined with Lidocaine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of hypertension can be increased when Ergoloid mesylate is combined with Lidocaine.]
[N02CA02, ergotamine, The risk or severity of hypertension can be increased when Ergotamine is combined with Lidocaine.]
[N03AG01, valproic acid, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Lidocaine.]
[S01AA17, erythromycin, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Lidocaine.]
[N05CD04, estazolam, The risk or severity of methemoglobinemia can be increased when Estazolam is combined with Lidocaine.]
[H05BX01, cinacalcet, The metabolism of Lidocaine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Lidocaine.]
[L01XX11, estramustine, The risk or severity of methemoglobinemia can be increased when Estramustine is combined with Lidocaine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Lidocaine.]
[J04AK02, ethambutol, The risk or severity of methemoglobinemia can be increased when Ethambutol is combined with Lidocaine.]
[R03BA05, fluticasone, The metabolism of Lidocaine can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Lidocaine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Lidocaine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Lidocaine.]
[J04AD03, ethionamide, The risk or severity of methemoglobinemia can be increased when Ethionamide is combined with Lidocaine.]
[C01BD05, ibutilide, Lidocaine may increase the arrhythmogenic activities of Ibutilide.]
[L01AG01, ethoglucid, The risk or severity of methemoglobinemia can be increased when Etoglucid is combined with Lidocaine.]
[N04AA05, profenamine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Lidocaine may increase the arrhythmogenic activities of Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of methemoglobinemia can be increased when Ethotoin is combined with Lidocaine.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Etilefrine is combined with Lidocaine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Etomidate.]
[L01CB01, etoposide, The risk or severity of methemoglobinemia can be increased when Etoposide is combined with Lidocaine.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Lidocaine is combined with Sertindole.]
[C01BA05, ajmaline, Lidocaine may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Lidocaine.]
[J01MA08, fleroxacin, The risk or severity of methemoglobinemia can be increased when Fleroxacin is combined with Lidocaine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Lidocaine.]
[R06AX12, terfenadine, The metabolism of Lidocaine can be decreased when combined with Terfenadine.]
[P01AX07, trimetrexate, The risk or severity of methemoglobinemia can be increased when Trimetrexate is combined with Lidocaine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Lidocaine.]
[N06AB08, fluvoxamine, The metabolism of Lidocaine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Lidocaine may increase the arrhythmogenic activities of Tocainide.]
[C01BC08, encainide, Lidocaine may increase the arrhythmogenic activities of Encainide.]
